ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-50164001,A,Cornaceae,,Acuba,,"angustifolia",,"","C.Y. Wu",Unresolved,,L,TRO,50164001,,"Fl. Yunnan.","5: 281","281","1991"
kew-5526,A,Cornaceae,,Alangium,,"alpinum",,"","(C.B.Clarke) W.W.Sm. & Cave",Accepted,,H,WCSP,5526,271384-1,"Rec. Bot. Surv. India","6: 96","","1914"
kew-5528,A,Cornaceae,,Alangium,,"barbatum",,"","(R.Br. ex C.B.Clarke) Baill. ex Kuntze",Accepted,,H,WCSP,5528,271385-1,"Revis. Gen. Pl.","1: 273","","1891"
tro-8700367,A,Cornaceae,,Alangium,,"barbatum",,"","Baill.",Unresolved,,L,TRO,8700367,,"Adansonia","5: 195","195","1865"
kew-5529,A,Cornaceae,,Alangium,,"barbatum",subsp.,"barbatum","",Accepted,,L,WCSP,5529,,"Unknown","","",""
kew-5530,A,Cornaceae,,Alangium,,"barbatum",subsp.,"decipiens","(Evrard) Bloemb.",Accepted,,L,WCSP,5530,,"Bull. Jard. Bot. Buitenzorg","III, 16: 193","","1939"
kew-5531,A,Cornaceae,,Alangium,,"barbatum",subsp.,"faberi","(Oliv.) Bloemb.",Accepted,,L,WCSP,5531,,"Bull. Jard. Bot. Buitenzorg","III, 16: 192","","1939"
kew-5541,A,Cornaceae,,Alangium,,"brachyanthum",,"","Merr.",Accepted,,H,WCSP,5541,271389-1,"Philipp. J. Sci., C","7: 319","","1912"
kew-5545,A,Cornaceae,,Alangium,,"chinense",,"","(Lour.) Harms",Accepted,,L,WCSP,5545,58134-1,"Ber. Deutsch. Bot. Ges.","15: 24","","1897"
kew-5553,A,Cornaceae,,Alangium,,"chungii",,"","H.L.Li",Accepted,,H,WCSP,5553,58135-1,"J. Arnold Arbor.","24: 448","","1943"
kew-5554,A,Cornaceae,,Alangium,,"circulare",,"","B.C.Stone & Kochummen",Accepted,,H,WCSP,5554,58136-1,"Blumea","22: 219","","1975"
kew-5555,A,Cornaceae,,Alangium,,"cordifolium",,"","Zoll. & Moritzi",Unresolved,,L,WCSP,5555,,"Syst. Verz.","1: 63","","1854"
kew-5572,A,Cornaceae,,Alangium,,"grisolleoides",,"","Capuron",Accepted,,H,WCSP,5572,58138-1,"Adansonia","n.s., 2: 283","","1962"
kew-5574,A,Cornaceae,,Alangium,,"havilandii",,"","Bloemb.",Accepted,,H,WCSP,5574,58140-1,"Blumea","1: 277","","1935"
