ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
ifn-10223,P,Cyatheaceae,,Actinophlebia,,"obtusa",,"","C.Presl",Unresolved,,L,IPNI,17008230-1,17008230-1,"Abh. Boehm. Ges. Wiss.","V. 5. 356. 1848","","1848"
ifn-65722,P,Cyatheaceae,,Actinophlebia,,"obtusa",,"","Pr.",Unresolved,,L,IPNI,17263990-1,17263990-1,"","","","1848"
tro-50241465,P,Cyatheaceae,,Alsophila,,"abbottii",,"","(Maxon) R.M. Tryon",Accepted,,M,TRO,50241465,9888-2,"Contr. Gray Herb.","200: 29","29","1970"
ifn-10236,P,Cyatheaceae,,Alsophila,,"acantha",,"","Sehnem in Reitz",Unresolved,,L,IPNI,9889-2,9889-2,"Fl. Ilustr. Catarin.","fasc. CIAT: 46 (-48)","","1978"
ifn-10237,P,Cyatheaceae,,Alsophila,,"acanthophora",,"","R.M.Tryon",Unresolved,,L,IPNI,17533100-1,17533100-1,"Contr. Gray Herb.","200: 32","","1970"
tro-26621164,P,Cyatheaceae,,Alsophila,,"aculeata",,"","(Willd. ex Kaulf.) Klotzsch",Accepted,,M,TRO,26621164,17015730-1,"Linnaea","18: 540","540","1844"
ifn-10245,P,Cyatheaceae,,Alsophila,,"acuminata",,"","J.Sm.",Unresolved,,L,IPNI,17015750-1,17015750-1,"London J. Bot.","1. 667. 1842","","1842"
ifn-10246,P,Cyatheaceae,,Alsophila,,"acuminata",,"","R.M.Tryon",Unresolved,,L,IPNI,17533110-1,17533110-1,"Contr. Gray Herb.","200: 32","","1970"
tro-50180617,P,Cyatheaceae,,Alsophila,,"acuta",,"","C. Presl",Unresolved,,L,TRO,50180617,17015760-1,"Abh. Königl. Böhm. Ges. Wiss., ser. 5","5: 343","343","1848"
ifn-10250,P,Cyatheaceae,,Alsophila,,"adspersa",,"","Klf.; Kze.",Unresolved,,L,IPNI,17015770-1,17015770-1,"Bot. Zeitung (Berlin)","2: 314","","1844"
ifn-10252,P,Cyatheaceae,,Alsophila,,"aethiopica",,"","Welw. ex Hook.",Unresolved,,L,IPNI,17015780-1,17015780-1,"Syn. Fil. (Hooker & Baker)","44","","1866 [11 Dec 1866]"
ifn-10253,P,Cyatheaceae,,Alsophila,,"affinis",,"","F",Unresolved,,L,IPNI,17015790-1,17015790-1,"M","346. 1850-52","","1850"
ifn-10259,P,Cyatheaceae,,Alsophila,,"albosetacea",,"","Bedd.",Unresolved,,L,IPNI,17015830-1,17015830-1,"Ferns. br. Ind. Suppl.","2. 1876. NPfl. 136","","1876"
ifn-10260,P,Cyatheaceae,,Alsophila,,"alderwereltii",,"","R.M.Tryon",Unresolved,,L,IPNI,17533120-1,17533120-1,"Contr. Gray Herb.","200: 32","","1970"
ifn-10261,P,Cyatheaceae,,Alsophila,,"alleniae",,"","R.M.Tryon",Unresolved,,L,IPNI,17533130-1,17533130-1,"Contr. Gray Herb.","200: 32","","1970"
