ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35102433,B,Daltoniaceae,,Actinodontium,,"adscendens",,"","Schwägr.",Accepted,,M,TRO,35102433,,"Sp. Musc. Frond., Suppl. 2","2(1): 75. pl. 174","75","1826"
tro-35102434,B,Daltoniaceae,,Actinodontium,,"dusenii",,"","Broth.",Accepted,,M,TRO,35102434,,"Bot. Jahrb. Syst.","24: 260","260","1897"
tro-35201314,B,Daltoniaceae,,Actinodontium,,"integrifolium",,"","(Broth.) S.P. Churchill",Accepted,,M,TRO,35201314,,"Mem. New York Bot. Gard.","82: 49","49","1998"
tro-35201315,B,Daltoniaceae,,Actinodontium,,"pygmaeum",,"","W.R. Buck",Accepted,,M,TRO,35201315,,"Mem. New York Bot. Gard.","82: 48. pl. 16: f. 9–14","48","1998"
tro-35102438,B,Daltoniaceae,,Actinodontium,,"rhaphidostegum",,"","(Müll. Hal.) Bosch & Sande Lac.",Accepted,,M,TRO,35102438,,"Bryol. Jav.","2: 37. 160","37","1862"
tro-35102439,B,Daltoniaceae,,Actinodontium,,"sprucei",,"","(Mitt.) A. Jaeger",Accepted,,M,TRO,35102439,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1875–76: 325 (Gen. Sp. Musc. 2: 229)","325 ","1877"
tro-35102440,B,Daltoniaceae,,Actinodontium,,"standleyi",,"","E.B. Bartram",Accepted,,M,TRO,35102440,,"Bryologist","49: 119","119","1946"
tro-35102442,B,Daltoniaceae,,Actinodontium,,"streptopogoneum",,"","Broth.",Accepted,,M,TRO,35102442,,"Bot. Jahrb. Syst.","24: 260","260","1897"
tro-35102447,B,Daltoniaceae,,Adelothecium,,"bogotense",,"","(Hampe) Mitt.",Accepted,,M,TRO,35102447,,"J. Linn. Soc., Bot.","12: 391","391","1869"
tro-35103353,B,Daltoniaceae,,Amblytropis,,"gemmacea",,"","(Mitt.) Broth.",Accepted,,M,TRO,35103353,,"Nat. Pflanzenfam.","I(3): 954","954","1907"
tro-35103354,B,Daltoniaceae,,Amblytropis,,"hispidula",,"","(Mitt.) Broth.",Accepted,,M,TRO,35103354,,"Nat. Pflanzenfam.","I(3): 954","954","1907"
tro-35103355,B,Daltoniaceae,,Amblytropis,,"ovata",,"","(Mitt.) Broth.",Accepted,,M,TRO,35103355,,"Nat. Pflanzenfam.","I(3): 954","954","1907"
tro-35103356,B,Daltoniaceae,,Amblytropis,,"setosa",,"","(Mitt.) Broth.",Accepted,,M,TRO,35103356,,"Nat. Pflanzenfam.","I(3): 954","954","1907"
tro-35214039,B,Daltoniaceae,,Benitotania,,"elimbata",,"","H. Akiy., T. Yamag. & Suleiman",Accepted,,M,TRO,35214039,,"Bryologist","106. f. 1–4, 7–18: 456","456","2003"
tro-35140382,B,Daltoniaceae,,Callicosta,,"andersonii",,"","(Crosby) Crosby",Accepted,,M,TRO,35140382,,"Bryologist","81: 436","436","1978"
tro-35140383,B,Daltoniaceae,,Callicosta,,"armata",,"","(Broth.) Crosby",Accepted,,M,TRO,35140383,,"Bryologist","81: 436","436","1978"
tro-35140384,B,Daltoniaceae,,Callicosta,,"asperifolia",,"","(Mitt.) Crosby",Accepted,,M,TRO,35140384,,"Bryologist","81: 436","436","1978"
tro-35153176,B,Daltoniaceae,,Callicosta,,"bipinnata",,"","(Schwägr.) Müll. Hal.",Accepted,,M,TRO,35153176,,"Linnaea","21: 189","189","1848"
tro-35140385,B,Daltoniaceae,,Callicosta,,"corrugata",,"","(Renauld & Cardot) Crosby",Accepted,,M,TRO,35140385,,"Bryologist","81: 437","437","1978"
