ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2675048,A,Diapensiaceae,,Berneuxia,,"thibetica",,"","Decne.",Accepted,,M,WCSP (in review),806874,316108-1,"Bull. Soc. Bot. France","20: 159","","1873"
kew-2765249,A,Diapensiaceae,,Diapensia,,"americana",,"","Banks ex Sims",Unresolved,,L,WCSP (in review),894848,316113-1,"Bot. Mag.","28: t. 1108","","1808"
kew-2765250,A,Diapensiaceae,,Diapensia,,"barbulata",,"","Elliott",Unresolved,,L,WCSP (in review),894849,316114-1,"Sketch Bot. S. Carolina","1: 229","","1817"
kew-2765252,A,Diapensiaceae,,Diapensia,,"cuneifolia",,"","Pursh",Unresolved,,L,WCSP (in review),894851,316116-1,"Fl. Amer. Sept.","1: 148","","1813"
kew-2765254,A,Diapensiaceae,,Diapensia,,"himalaica",,"","Hook.f. & Thomson",Accepted,,M,WCSP (in review),894853,316118-1,"Hooker's J. Bot. Kew Gard. Misc.","9: 373","","1857"
kew-2765262,A,Diapensiaceae,,Diapensia,,"lapponica",,"","L.",Accepted,,M,WCSP (in review),894861,316120-1,"Sp. Pl.","141","","1753"
kew-2765266,A,Diapensiaceae,,Diapensia,,"lapponica",subsp.,"obovata","(F.Schmidt) Hultén",Accepted,,L,WCSP (in review),894865,78997-2,"Acta Univ. Lund.","n.s., 44(1): 1265","","1948"
kew-2765271,A,Diapensiaceae,,Diapensia,,"purpurea",,"","Diels",Accepted,,M,WCSP (in review),894870,316123-1,"Repert. Spec. Nov. Regni Veg.","10: 419","","1912"
kew-2765274,A,Diapensiaceae,,Diapensia,,"wardii",,"","W.E.Evans",Accepted,,M,WCSP (in review),894873,316124-1,"Notes Roy. Bot. Gard. Edinburgh","15: 233","","1927"
kew-2816160,A,Diapensiaceae,,Galax,,"aphylla",,"","L.",Unresolved,,L,WCSP (in review),943622,106782-2,"Sp. Pl.","200","","1753"
kew-2816164,A,Diapensiaceae,,Galax,,"urceolata",,"","(Poir.) Brummitt",Accepted,,M,WCSP (in review),943626,106783-2,"Taxon","21: 309","","1972"
tro-10500010,A,Diapensiaceae,,Pyxidanthera,,"barbulata",,"","Michx.",Accepted,,M,TRO,10500010,30096869-2,"Fl. Bor.-Amer.","1: 152–153, pl. 17","152","1803"
tro-10500012,A,Diapensiaceae,,Pyxidanthera,,"brevifolia",,"","Wells",Accepted,,M,TRO,10500012,215221-2,"J. Elisha Mitchell Sci. Soc.","44(2): 238–239, pl. 9","238","1929"
kew-2411588,A,Diapensiaceae,,Pyxidanthera,,"spatulata",,"","Muhl.",Unresolved,,L,WCSP (in review),549930,316134-1,"Cat. Pl. Amer. Sept.","25","","1813"
kew-2592205,A,Diapensiaceae,,Schizocodon,,"ilicifolius",,"","Maxim.",Unresolved,,L,WCSP (in review),725569,316135-1,"Bull. Acad. Imp. Sci. Saint-Pétersbourg","12: 71","","1868"
kew-2592190,A,Diapensiaceae,,Schizocodon,,"intercedens",,"","(Ohwi) T.Yamaz.",Unresolved,,L,WCSP (in review),725554,911284-1,"J. Jap. Bot.","57: 314","","1982"
kew-2592192,A,Diapensiaceae,,Schizocodon,,"soldanelloides",,"","Siebold & Zucc.",Unresolved,,L,WCSP (in review),725556,316137-1,"Abh. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss.","3(3): 725","","1843"
kew-2592195,A,Diapensiaceae,,Schizocodon,,"uniflorus",,"","Maxim.",Unresolved,,L,WCSP (in review),725559,316138-1,"Bull. Acad. Imp. Sci. Saint-Pétersbourg","12: 71","","1868"
kew-2592196,A,Diapensiaceae,,Schizocodon,,"yunnanensis",,"","T.Yamaz.",Unresolved,,L,WCSP (in review),725560,316139-1,"J. Jap. Bot.","43: 90","","1968"
tro-10500013,A,Diapensiaceae,,Sherwoodia,,"galacifolia",,"","(Torr. & A. Gray) House",Accepted,,M,TRO,10500013,316140-1,"Torreya","7: 235","235","1907"
kew-2592184,A,Diapensiaceae,,Shortia,,"californica",,"","Sisley ex Carrière",Unresolved,,L,WCSP (in review),725550,316144-1,"Rev. Hort.","1883: 41","","1883"
tro-10500005,A,Diapensiaceae,,Shortia,,"galacifolia",,"","Torr. & A. Gray",Accepted,,M,TRO,10500005,235392-2,"Amer. J. Sci. Arts","42(1): 48","48","1842"
kew-2592141,A,Diapensiaceae,,Shortia,×,"intertexta",,"","Marchant",Unresolved,,L,WCSP (in review),725508,316149-1,"J. Roy. Hort. Soc.","76: 443","","1951"
kew-2592151,A,Diapensiaceae,,Shortia,,"magna",,"","(Makino) Makino",Unresolved,,L,WCSP (in review),725518,316150-1,"J. Jap. Bot.","8: 44","","1933"
tro-50279588,A,Diapensiaceae,,Shortia,,"rotundifolia",,"","(Maxim.) Makino",Accepted,,M,TRO,50279588,,"Bot. Mag. (Tokyo)","9: 327","327","1895"
kew-2592148,A,Diapensiaceae,,Shortia,,"sinensis",,"","Hemsl.",Accepted,,M,WCSP (in review),725515,316153-1,"Hooker's Icon. Pl.","27: t. 2624","","1901"
kew-2592126,A,Diapensiaceae,,Shortia,,"uniflora",,"","Maxim.",Unresolved,,L,WCSP (in review),725493,316159-1,"Bull. Acad. Imp. Sci. Saint-Pétersbourg","16: 225","","1871"
kew-2592127,A,Diapensiaceae,,Shortia,,"yakusimensis",,"","Masam.",Unresolved,,L,WCSP (in review),725494,316160-1,"J. Soc. Trop. Agric.","4: 193","","1932"
