ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-50183033,P,Dicksoniaceae,,Balantium,,"antarcticum",,"","(Labill.) C. Presl",Accepted,,M,TRO,50183033,17057120-1,"Tent. Pterid.","134","134","1836"
ifn-16359,P,Dicksoniaceae,,Balantium,,"arborescens",,"","Hook.",Unresolved,,L,IPNI,17057130-1,17057130-1,"Gen. Fil. [Hooker]","t. 20. 1838","","1838"
tro-26620217,P,Dicksoniaceae,,Balantium,,"auricomum",,"","Kaulf.",Unresolved,,L,TRO,26620217,17057140-1,"Enum. Filic.","228, t. 1, f. 13","228","1824"
ifn-16362,P,Dicksoniaceae,,Balantium,,"beyrichii",,"","Roem.; Kze.",Unresolved,,L,IPNI,17057160-1,17057160-1,"Anal.","40. 1837 (nomen)","","1837"
ifn-16364,P,Dicksoniaceae,,Balantium,,"brownianum",,"","C.Presl",Unresolved,,L,IPNI,17057180-1,17057180-1,"Tent. Pterid.","134 t. 5 f. 4. 1836","","1836"
tro-50176050,P,Dicksoniaceae,,Balantium,,"copelandii",,"","(Christ) Christ",Accepted,,M,TRO,50176050,17242110-1,"Philipp. J. Sci.","3: 301","301","1908"
ifn-16368,P,Dicksoniaceae,,Balantium,,"culcita",,"","Kaulf.",Unresolved,,L,IPNI,17057210-1,17057210-1,"Enum. Filic.","229","","1824 [8 Apr-28 May 1824]"
ifn-16371,P,Dicksoniaceae,,Balantium,,"fibrosum",,"","F",Unresolved,,L,IPNI,17057220-1,17057220-1,"M","341. 1850-52","","1850"
ifn-16372,P,Dicksoniaceae,,Balantium,,"formosae",,"","Christ",Unresolved,,L,IPNI,17242130-1,17242130-1,"Geogr. Farne","155. (Formosanum).","","1910"
tro-26612561,P,Dicksoniaceae,,Balantium,,"glaucescens",,"","(Kunze) Link",Accepted,,M,TRO,26612561,17057230-1,"Fil. Spec.","40","40","1841"
ifn-16376,P,Dicksoniaceae,,Balantium,,"lanatum",,"","F",Unresolved,,L,IPNI,17057250-1,17057250-1,"M","341. 1850-52","","1850"
ifn-16377,P,Dicksoniaceae,,Balantium,,"magnificum",,"","de Vriese; Jungh.",Unresolved,,L,IPNI,17057260-1,17057260-1,"Java ed. germ.","1. 476. 1852","","1852"
ifn-16381,P,Dicksoniaceae,,Balantium,,"squarrosum",,"","Kunze",Unresolved,,L,IPNI,17057290-1,17057290-1,"Linnaea","23. 239. 1850","","1850"
ifn-16382,P,Dicksoniaceae,,Balantium,,"stramineum",,"","Diels",Unresolved,,L,IPNI,17057300-1,17057300-1,"Nat. Pfl.","1 [4]. 119. 1899","","1899"
ifn-16383,P,Dicksoniaceae,,Balantium,,"thyrsopteroides",,"","Fourn.",Unresolved,,L,IPNI,17057310-1,17057310-1,"Ill. Hort.","23. 99. 1876","","1876"
