ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35108295,B,Dicranaceae,,Anisothecium,,"brachyangium",,"","(Cardot) Broth.",Accepted,,M,TRO,35108295,,"Nat. Pflanzenfam. (ed. 2)","10: 178","178","1924"
tro-35108296,B,Dicranaceae,,Anisothecium,,"brachydontium",,"","H.A. Crum & Steere",Accepted,,M,TRO,35108296,,"Bryologist","59: 247","247","1956"
tro-35108297,B,Dicranaceae,,Anisothecium,,"campylophyllum",,"","(Taylor) Mitt.",Accepted,,M,TRO,35108297,,"J. Linn. Soc., Bot.","12: 40","40","1869"
tro-35108298,B,Dicranaceae,,Anisothecium,,"capituligerum",,"","(Müll. Hal.) Thér.",Accepted,,M,TRO,35108298,,"Rev. Bryol. Lichénol.","7: 170","170","1935"
tro-35204315,B,Dicranaceae,,Anisothecium,,"cardotii",,"","(R. Br. bis) Ochyra",Accepted,,M,TRO,35204315,,"Moss Fl. King George Island Antarctica","114","114","1998"
tro-35108299,B,Dicranaceae,,Anisothecium,,"clathratum",,"","(Hook. f. & Wilson) Broth.",Accepted,,M,TRO,35108299,,"Nat. Pflanzenfam. (ed. 2)","10: 177","177","1924"
tro-35108300,B,Dicranaceae,,Anisothecium,,"convolutum",,"","(Hampe) Mitt.",Accepted,,M,TRO,35108300,,"J. Linn. Soc., Bot.","12: 40","40","1869"
tro-35108303,B,Dicranaceae,,Anisothecium,,"crispum",var.,"lentum","(Wilson ex Braithw.) H. Möller",Unresolved,,L,TRO,35108303,,"Bot. Not.","1907: 142","142","1907"
tro-35108306,B,Dicranaceae,,Anisothecium,,"cyrtodontum",,"","(Müll. Hal.) Broth.",Accepted,,M,TRO,35108306,,"Nat. Pflanzenfam. (ed. 2)","10: 178","178","1924"
tro-35108307,B,Dicranaceae,,Anisothecium,,"elegans",,"","(Duby) Thér.",Accepted,,M,TRO,35108307,,"Rev. Bryol. Lichénol.","7: 170","170","1935"
tro-35108308,B,Dicranaceae,,Anisothecium,,"ferrugineum",,"","(Wilson) Mitt.",Accepted,,M,TRO,35108308,,"Trans. & Proc. Roy. Soc. Victoria","19: 51","51","1882"
tro-35204999,B,Dicranaceae,,Anisothecium,,"fontanum",,"","(Herzog) Ochyra",Accepted,,M,TRO,35204999,,"Fragm. Florist. Geobot.","44: 242","242","1999"
tro-35108310,B,Dicranaceae,,Anisothecium,,"globuligerum",,"","(Cardot) Broth.",Accepted,,M,TRO,35108310,,"Nat. Pflanzenfam. (ed. 2)","10: 178","178","1924"
tro-35108311,B,Dicranaceae,,Anisothecium,,"gracillimum",,"","Müll. Hal.",Accepted,,M,TRO,35108311,,"Trans. & Proc. New Zealand Inst.","26: 287. 30C","287","1894"
tro-35108314,B,Dicranaceae,,Anisothecium,,"hioramii",,"","Thér.",Accepted,,M,TRO,35108314,,"Mem. Soc. Cub. Hist. Nat. ""Felipe Poey""","13: 212","212","1939"
tro-35108316,B,Dicranaceae,,Anisothecium,,"hookeri",,"","(Müll. Hal.) Broth.",Accepted,,M,TRO,35108316,,"Nat. Pflanzenfam. (ed. 2)","10: 178","178","1924"
tro-35108318,B,Dicranaceae,,Anisothecium,,"horridum",,"","P. de la Varde",Accepted,,M,TRO,35108318,,"Rev. Bryol. Lichénol.","7: 229. 2","229","1935"
tro-35108319,B,Dicranaceae,,Anisothecium,,"humile",,"","(R. Ruthe) Lindb.",Accepted,,M,TRO,35108319,,"Meddeland. Soc. Fauna Fl. Fenn.","14: 74","74","1887"
tro-35108321,B,Dicranaceae,,Anisothecium,,"javanicum",,"","(M. Fleisch.) Broth.",Accepted,,M,TRO,35108321,,"Nat. Pflanzenfam. (ed. 2)","10: 178","178","1924"
tro-35108323,B,Dicranaceae,,Anisothecium,,"laxirete",,"","Broth.",Accepted,,M,TRO,35108323,,"Nat. Pflanzenfam. (ed. 2)","10: 178","178","1924"
tro-35108324,B,Dicranaceae,,Anisothecium,,"lorentzii",,"","(Müll. Hal.) Broth.",Accepted,,M,TRO,35108324,,"Nat. Pflanzenfam. (ed. 2)","10: 178","178","1924"
tro-35108325,B,Dicranaceae,,Anisothecium,,"macrostomum",,"","(Müll. Hal.) Broth.",Accepted,,M,TRO,35108325,,"Nat. Pflanzenfam. (ed. 2)","10: 177","177","1924"
tro-35108326,B,Dicranaceae,,Anisothecium,,"madagassum",,"","Thér.",Accepted,,M,TRO,35108326,,"Recueil Publ. Soc. Havraise Études Diverses","1929: 101. ic","101","1930"
tro-35108327,B,Dicranaceae,,Anisothecium,,"molliculum",,"","(Mitt.) Broth.",Accepted,,M,TRO,35108327,,"Nat. Pflanzenfam. (ed. 2)","10: 177","177","1924"
tro-35108329,B,Dicranaceae,,Anisothecium,,"nicholsii",,"","(R.S. Williams) Broth.",Accepted,,M,TRO,35108329,,"Nat. Pflanzenfam. (ed. 2)","10: 178","178","1924"
tro-35108331,B,Dicranaceae,,Anisothecium,,"paludella",,"","(Besch.) Broth.",Accepted,,M,TRO,35108331,,"Nat. Pflanzenfam. (ed. 2)","10: 177","177","1924"
tro-35108332,B,Dicranaceae,,Anisothecium,,"palustre",,"","(Dicks.) I. Hagen",Accepted,,M,TRO,35108332,,"Kongel. Norske Vidensk. Selsk. Skr. (Trondheim)","1914(1): 35","35","1915"
tro-35108333,B,Dicranaceae,,Anisothecium,,"patulum",,"","(Mitt.) Broth.",Accepted,,M,TRO,35108333,,"Nat. Pflanzenfam. (ed. 2)","10: 525","525","1925"
tro-35108335,B,Dicranaceae,,Anisothecium,,"persquarrosum",,"","(Dusén) Broth.",Accepted,,M,TRO,35108335,,"Nat. Pflanzenfam. (ed. 2)","10: 177","177","1924"
tro-35161099,B,Dicranaceae,,Anisothecium,,"persquarrosum",var.,"falklandicum","(Cardot) Wijk & Margad.",Accepted,,L,TRO,35161099,,"Taxon","9: 189","189","1960"
tro-35108336,B,Dicranaceae,,Anisothecium,,"planinervium",,"","(Taylor) Mitt.",Accepted,,M,TRO,35108336,,"J. Linn. Soc., Bot.","12: 40","40","1869"
