ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2640334,A,Dipterocarpaceae,,Anisoptera,,"aurea",,"","Foxw.",Accepted,,M,WCSP (in review),772439,320541-1,"Philipp. J. Sci.","67: 271","","1938"
kew-2640339,A,Dipterocarpaceae,,Anisoptera,,"costata",,"","Korth.",Accepted,,M,WCSP (in review),772444,,"Verh. Nat. Gesch. Ned. Bezitt., Bot.","65","","1839"
kew-2640340,A,Dipterocarpaceae,,Anisoptera,,"curtisii",,"","Dyer ex King",Accepted,,M,WCSP (in review),772445,320548-1,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.","62(2): 100","","1893"
kew-2640344,A,Dipterocarpaceae,,Anisoptera,,"grossivenia",,"","V.Sloot.",Accepted,,M,WCSP (in review),772449,,"Bull. Jard. Bot. Buitenzorg","III, 16: 431","","1940"
kew-2640347,A,Dipterocarpaceae,,Anisoptera,,"laevis",,"","Ridl.",Accepted,,M,WCSP (in review),772452,320555-1,"Fl. Malay Penins.","1: 219","","1922"
kew-2640349,A,Dipterocarpaceae,,Anisoptera,,"mangachapoi",,"","A.DC.",Unresolved,,L,WCSP (in review),772454,320557-1,"Prodr.","16(2): 616","","1864"
kew-2640350,A,Dipterocarpaceae,,Anisoptera,,"marginata",,"","Korth.",Accepted,,M,WCSP (in review),772455,320558-1,"Verh. Nat. Gesch. Ned. Bezitt., Bot.","66","","1841"
kew-2640352,A,Dipterocarpaceae,,Anisoptera,,"megistocarpa",,"","Slooten",Accepted,,M,WCSP (in review),772457,320560-1,"Bull. Jard. Bot. Buitenzorg","III, 8: 12","","1926"
kew-2640361,A,Dipterocarpaceae,,Anisoptera,,"reticulata",,"","P.S.Ashton",Accepted,,M,WCSP (in review),772466,320569-1,"Gard. Bull. Singapore","22: 260","","1967"
kew-2640363,A,Dipterocarpaceae,,Anisoptera,,"scaphula",,"","(Roxb.) Kurz",Accepted,,M,WCSP (in review),772468,,"Forest Fl. Burma","1: 547","","1877"
kew-2640364,A,Dipterocarpaceae,,Anisoptera,,"thurifera",,"","(Blanco) Blume",Accepted,,M,WCSP (in review),772469,,"Mus. Bot.","2: 42","","1856"
kew-2640365,A,Dipterocarpaceae,,Anisoptera,,"thurifera",subsp.,"polyandra","(Blume) P.S.Ashton",Accepted,,L,WCSP (in review),772470,879930-1,"Gard. Bull. Singapore","31: 16","","1978"
kew-2667999,A,Dipterocarpaceae,,Balanocarpus,,"kitulgallensis",,"","Kosterm.",Unresolved,,L,WCSP (in review),799951,897022-1,"Bull. Mus. Natl. Hist. Nat., B, Adansonia","3: 177","","1981"
kew-2668007,A,Dipterocarpaceae,,Balanocarpus,,"sibogae",,"","Boerl.",Unresolved,,L,WCSP (in review),799959,320598-1,"Cat. Pl. Phan.","112","","1901"
kew-2668010,A,Dipterocarpaceae,,Balanocarpus,,"wrayi",,"","King",Unresolved,,L,WCSP (in review),799962,320601-1,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.","62(2): 131","","1893"
kew-2668011,A,Dipterocarpaceae,,Balanocarpus,,"zeylanicus",,"","Trimen",Unresolved,,L,WCSP (in review),799963,320602-1,"J. Bot.","27: 161","","1889"
kew-2740416,A,Dipterocarpaceae,,Cotylelobiopsis,,"beccariana",,"","F.Heim",Unresolved,,L,WCSP (in review),870685,320606-1,"Rech. Dipterocarp.","125","","1892"
kew-2740421,A,Dipterocarpaceae,,Cotylelobium,,"burckii",,"","(Heim) Heim",Accepted,,M,WCSP (in review),870690,320610-1,"Rech. Dipterocarp.","122","","1892"
kew-2740425,A,Dipterocarpaceae,,Cotylelobium,,"lanceolatum",,"","Craib",Accepted,,L,WCSP (in review),870694,320614-1,"Bull. Misc. Inform. Kew","1913: 113","","1913"
kew-2740427,A,Dipterocarpaceae,,Cotylelobium,,"lewisianum",,"","(Trimen ex Hook.f.) P.S.Ashton",Accepted,,M,WCSP (in review),870696,320616-1,"Blumea","20: 358","","1972 publ. 1973"
kew-2740429,A,Dipterocarpaceae,,Cotylelobium,,"melanoxylon",,"","(Hook.f.) Pierre",Accepted,,M,WCSP (in review),870698,320618-1,"Fl. Forest. Cochinch.","t. 235","","1889"
kew-2740430,A,Dipterocarpaceae,,Cotylelobium,,"philippinense",,"","Heim ex Brandis",Unresolved,,L,WCSP (in review),870699,320619-1,"J. Linn. Soc., Bot.","31: 134","","1895"
kew-2740431,A,Dipterocarpaceae,,Cotylelobium,,"scabriusculum",,"","(A.DC.) Brandis",Accepted,,M,WCSP (in review),870700,320620-1,"J. Linn. Soc., Bot.","31: 114","","1895"
kew-2770772,A,Dipterocarpaceae,,Dioticarpus,,"barryi",,"","Dunn",Unresolved,,L,WCSP (in review),898895,320621-1,"Bull. Misc. Inform. Kew","1920: 337","","1920"
kew-2772113,A,Dipterocarpaceae,,Dipterocarpus,,"acutangulus",,"","Vesque",Accepted,,M,WCSP (in review),900231,320622-1,"Compt. Rend. Hebd. Séances Acad. Sci.","78: 626","","1874"
kew-2772115,A,Dipterocarpaceae,,Dipterocarpus,,"alatus",,"","Roxb. ex G.Don",Accepted,,M,WCSP (in review),900233,320626-1,"Gen. Hist.","1: 813","","1831"
kew-2772121,A,Dipterocarpaceae,,Dipterocarpus,,"appendiculatus",,"","Scheff.",Unresolved,,L,WCSP (in review),900239,320630-1,"Natuurk. Tijdschr. Ned.-Indië","31: 347","","1870"
kew-2772122,A,Dipterocarpaceae,,Dipterocarpus,,"applanatus",,"","Slooten",Accepted,,M,WCSP (in review),900240,320631-1,"Bull. Jard. Bot. Buitenzorg","III, 16: 443","","1940"
kew-2772127,A,Dipterocarpaceae,,Dipterocarpus,,"basilanicus",,"","Foxw.",Unresolved,,L,WCSP (in review),900245,320637-1,"Philipp. J. Sci., C","13: 179","","1918"
kew-2772128,A,Dipterocarpaceae,,Dipterocarpus,,"baudii",,"","Korth.",Accepted,,M,WCSP (in review),900246,,"Verh. Nat. Gesch. Ned. Bezitt., Bot.","59","","1840"
kew-2772132,A,Dipterocarpaceae,,Dipterocarpus,,"borneensis",,"","Slooten",Accepted,,M,WCSP (in review),900250,320642-1,"Bull. Jard. Bot. Buitenzorg","III, 16: 445","","1940"
kew-2772133,A,Dipterocarpaceae,,Dipterocarpus,,"bourdillonii",,"","Brandis",Accepted,,M,WCSP (in review),900251,320643-1,"Hooker's Icon. Pl.","25: t. 2403","","1895"
kew-2772134,A,Dipterocarpaceae,,Dipterocarpus,,"caudatus",,"","Foxw.",Accepted,,M,WCSP (in review),900252,320646-1,"Philipp. J. Sci., C","13: 177","","1918"
kew-2772135,A,Dipterocarpaceae,,Dipterocarpus,,"caudatus",subsp.,"penangianus","(Foxw.) P.S.Ashton",Accepted,,L,WCSP (in review),900253,879931-1,"Gard. Bull. Singapore","31: 8","","1978"
kew-2772136,A,Dipterocarpaceae,,Dipterocarpus,,"caudiferus",,"","Merr.",Accepted,,M,WCSP (in review),900254,320647-1,"Philipp. J. Sci.","29: 398","","1926"
