ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35179032,B,Ditrichaceae,,Aschistodon,,"conicus",,"","Mont.",Accepted,,M,TRO,35179032,,"Ann. Sci. Nat., Bot., sér. 3,","4: 110","110","1845"
tro-35186489,B,Ditrichaceae,,Astomiopsis,×,"altivallis",,"","Delgad.",Accepted,,M,TRO,35186489,,"Bryologist","92: 227. f. 2","227","1989"
tro-35179049,B,Ditrichaceae,,Astomiopsis,,"amblyocalyx",,"","Müll. Hal.",Accepted,,M,TRO,35179049,,"Linnaea","43: 391","391","1882"
tro-35184076,B,Ditrichaceae,,Astomiopsis,,"exserta",,"","(E.B. Bartram) Snider",Accepted,,M,TRO,35184076,,"Bryologist","90: 316","316","1987"
tro-35203631,B,Ditrichaceae,,Astomiopsis,,"julacea",,"","(Besch.) K. L. Yip & Snider",Accepted,,M,TRO,35203631,,"Bryologist","100: 87","87","1998"
tro-35182644,B,Ditrichaceae,,Astomiopsis,,"kieneri",,"","(E.B. Bartram) Delgad. & see Cárdenas Soriano, María de los Angeles",Accepted,,M,TRO,35182644,,"Bryologist","87: 344","344","1984"
tro-35204413,B,Ditrichaceae,,Astomiopsis,,"magilliana",,"","Snider, K. L. Yip & J. R. Clark",Accepted,,M,TRO,35204413,,"Bryologist","102: 119. f. 1–14","119","1999"
tro-35100339,B,Ditrichaceae,,Astomiopsis,,"pacifica",,"","W.R. Buck & L.R. Landrum",Accepted,,M,TRO,35100339,,"Bryologist","80: 359. f. 1–6","359","1977"
tro-35100340,B,Ditrichaceae,,Astomiopsis,,"radiculosa",,"","(Herzog) W.R. Buck & R.H. Zander",Accepted,,M,TRO,35100340,,"Bryologist","83: 255","255","1980"
tro-35179051,B,Ditrichaceae,,Astomiopsis,,"sinensis",,"","Broth.",Accepted,,M,TRO,35179051,,"Symb. Sin.","4: 12","12","1929"
tro-35179052,B,Ditrichaceae,,Astomiopsis,,"subulata",,"","Müll. Hal.",Accepted,,M,TRO,35179052,,"Linnaea","43: 391","391","1882"
tro-35200505,B,Ditrichaceae,,Austrophilibertiella,,"ditrichoidea",,"","(Cardot) Ochyra",Accepted,,M,TRO,35200505,,"Fragm. Florist. Geobot.","41: 478","478","1996"
tro-35200506,B,Ditrichaceae,,Austrophilibertiella,,"nitens",,"","(Herzog) Ochyra",Accepted,,M,TRO,35200506,,"Fragm. Florist. Geobot.","41: 478","478","1996"
tro-35100373,B,Ditrichaceae,,Bryomanginia,,"radiculosa",,"","(Herzog) R.H. Zander",Accepted,,M,TRO,35100373,,"Bryologist","81: 333","333","1978"
tro-35115795,B,Ditrichaceae,,Bryomanginia,,"saint-pierrei",,"","Thér.",Accepted,,M,TRO,35115795,,"Trav. Cryptog. Déd. L. Mangin","8. 2","8","1931"
tro-35157168,B,Ditrichaceae,,Ceratodon,,"bryophilus",,"","Besch.",Accepted,,M,TRO,35157168,,"J. Bot. (Morot)","15: 381","381","1901"
tro-35157172,B,Ditrichaceae,,Ceratodon,,"cedricola",,"","J.J. Amann",Unresolved,,L,TRO,35157172,,"Rev. Bryol.","51: 57","57","1924"
tro-35157173,B,Ditrichaceae,,Ceratodon,,"chilensis",,"","(Mont.) Paris",Accepted,,M,TRO,35157173,,"Index Bryol. (ed. 2)","1: 337","337","1904"
tro-35157174,B,Ditrichaceae,,Ceratodon,,"chloropus",,"","(Brid.) Brid.",Accepted,,M,TRO,35157174,,"Bryol. Univ.","1: 486","486","1826"
tro-35157182,B,Ditrichaceae,,Ceratodon,,"corniculatus",,"","(Wahlenb.) Fürnr.",Accepted,,M,TRO,35157182,,"Flora","12(2) Erganzungsblatter: 31","31","1829"
tro-35157183,B,Ditrichaceae,,Ceratodon,,"corralensis",,"","(Lorentz) A. Jaeger",Accepted,,M,TRO,35157183,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1870–71: 461 (Gen. Sp. Musc. 1: 309)","461 ","1872"
tro-35157187,B,Ditrichaceae,,Ceratodon,,"cylindricus",,"","(Hedw.) Fürnr.",Accepted,,M,TRO,35157187,,"Flora","12(2) Erganzungsblatter: 31","31","1829"
tro-35157194,B,Ditrichaceae,,Ceratodon,,"flavisetus",,"","(Limpr.) Müll. Hal.",Accepted,,M,TRO,35157194,,"Gen. Musc. Frond.","402","402","1900"
tro-35157195,B,Ditrichaceae,,Ceratodon,,"graefii",,"","Schlieph.",Accepted,,M,TRO,35157195,,"Laubm. Deutschl.","1: 487","487","1887"
tro-35157198,B,Ditrichaceae,,Ceratodon,,"heterophyllus",,"","Kindb.",Accepted,,M,TRO,35157198,,"Ottawa Naturalist","5: 179","179","1892"
tro-35157199,B,Ditrichaceae,,Ceratodon,,"inclinatus",,"","(Hedw.) Huebener",Accepted,,M,TRO,35157199,,"Muscol. Germ.","273","273","1833"
tro-35157206,B,Ditrichaceae,,Ceratodon,,"microcarpus",,"","Müll. Hal.",Accepted,,M,TRO,35157206,,"Flora","82: 449","449","1896"
tro-35157210,B,Ditrichaceae,,Ceratodon,,"mollis",,"","J.J. Amann",Unresolved,,L,TRO,35157210,,"Bull. Murith. Soc. Valais. Sci. Nat.","40: 44","44","1919"
tro-35157213,B,Ditrichaceae,,Ceratodon,,"novo-granatensis",,"","Hampe",Accepted,,M,TRO,35157213,,"Ann. Sci. Nat., Bot., sér. 5,","3: 352","352","1865"
tro-35157219,B,Ditrichaceae,,Ceratodon,,"purpureus",,"","(Hedw.) Brid.",Accepted,,M,TRO,35157219,,"Bryol. Univ.","1: 480","480","1826"
tro-35157231,B,Ditrichaceae,,Ceratodon,,"purpureus",var.,"arcticus","(Kindb.) Podp.",Accepted,,L,TRO,35157231,,"Consp. Musc. Eur.","99","99","1954"
tro-35157222,B,Ditrichaceae,,Ceratodon,,"purpureus",subsp.,"conicus","(Hampe) Dixon",Unresolved,,L,TRO,35157222,,"Stud. Handb. Brit. Mosses","68","68","1896"
tro-35157246,B,Ditrichaceae,,Ceratodon,,"purpureus",var.,"conicus","(Hampe) Husn.",Accepted,,L,TRO,35157246,,"Muscol. Gall.","60","60","1884"
tro-35184466,B,Ditrichaceae,,Ceratodon,,"purpureus",subsp.,"convolutus","(Reichardt) Burley",Accepted,,L,TRO,35184466,,"Harvard Pap. Bot.","2: 57","57","1990"
tro-35157254,B,Ditrichaceae,,Ceratodon,,"purpureus",var.,"dimorphus","(H. Philib.) Mönk.",Accepted,,L,TRO,35157254,,"Allg. Bot. Z. Syst.","15: 92","92","1909"
tro-35157274,B,Ditrichaceae,,Ceratodon,,"purpureus",var.,"microphyllus","(Cardot & Rechin) Podp.",Accepted,,L,TRO,35157274,,"Consp. Musc. Eur.","100","100","1954"
tro-35157226,B,Ditrichaceae,,Ceratodon,,"purpureus",subsp.,"stenocarpus","(Bruch & Schimp.) Dixon",Accepted,,L,TRO,35157226,,"New Zealand Inst. Bull.","3(2): 50","50","1914"
tro-35157302,B,Ditrichaceae,,Ceratodon,,"purpureus",var.,"wallyanus","(Giacom.) Podp.",Accepted,,L,TRO,35157302,,"Consp. Musc. Eur.","100","100","1954"
tro-35157304,B,Ditrichaceae,,Ceratodon,,"semilunaris",,"","Müll. Hal.",Accepted,,M,TRO,35157304,,"Linnaea","42: 481","481","1879"
tro-35157306,B,Ditrichaceae,,Ceratodon,,"stenocarpus",,"","Bruch & Schimp.",Accepted,,M,TRO,35157306,,"Bryol. Eur.","2: 146 (fasc. 29/30. Mon. 4)","647","1849"
tro-35157307,B,Ditrichaceae,,Ceratodon,,"stenocarpus",var.,"corsicus","(Bruch & Schimp.) Podp.",Accepted,,L,TRO,35157307,,"Consp. Musc. Eur.","100","100","1954"
tro-35157313,B,Ditrichaceae,,Ceratodon,,"viridatus",,"","(Müll. Hal.) Broth.",Accepted,,M,TRO,35157313,,"Nat. Pflanzenfam.","I(3): 459","459","1902"
tro-35157316,B,Ditrichaceae,,Ceratodon,,"xanthocarpus",,"","(Schimp. ex Müll. Hal.) A. Jaeger",Accepted,,M,TRO,35157316,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1870–71: 462 (Gen. Sp. Musc. 1: 310)","462 ","1872"
tro-35157431,B,Ditrichaceae,,Cheilothela,,"chilensis",,"","(Mont.) Broth.",Accepted,,M,TRO,35157431,,"Nat. Pflanzenfam.","I(3): 301","301","1901"
tro-35157432,B,Ditrichaceae,,Cheilothela,,"chloropus",,"","(Brid.) Broth.",Accepted,,M,TRO,35157432,,"Nat. Pflanzenfam.","I(3): 301","301","1901"
tro-35140477,B,Ditrichaceae,,Cheilothela,,"jaegeri",,"","Bizot",Accepted,,M,TRO,35140477,,"Rev. Bryol. Lichénol.","42: 847","847","1976"
tro-35157468,B,Ditrichaceae,,Chrysoblastella,,"chilensis",,"","(Mont.) Reimers",Accepted,,M,TRO,35157468,,"Hedwigia","66: 51","51","1926"
tro-35157469,B,Ditrichaceae,,Chrysoblastella,,"dubia",,"","(Dusén) Reimers",Accepted,,M,TRO,35157469,,"Hedwigia","66: 51","51","1926"
tro-35157470,B,Ditrichaceae,,Chrysoblastella,,"novae-seelandiae",,"","(Broth.) Reimers",Accepted,,M,TRO,35157470,,"Hedwigia","66: 51","51","1926"
tro-35157671,B,Ditrichaceae,,Cladastomum,,"robustum",,"","Broth.",Accepted,,M,TRO,35157671,,"Ergebn. Bot. Exped. Südbras., Musci","256","256","1924"
tro-35157673,B,Ditrichaceae,,Cladastomum,,"ulei",,"","Müll. Hal.",Accepted,,M,TRO,35157673,,"Bull. Herb. Boissier","6: 21","21","1898"
tro-35215559,B,Ditrichaceae,,Cleistocarpidium,,"japonicum",,"","(Deguchi, Matsui & Z. Iwats.) K. L. Yip",Accepted,,M,TRO,35215559,,"J. Hattori Bot. Lab.","96: 216","216","2004"
tro-35200816,B,Ditrichaceae,,Cleistocarpidium,,"palustre",,"","(Bruch & Schimp.) Ochyra & Bednarek-Ochyra",Accepted,,M,TRO,35200816,,"Fragm. Florist. Geobot.","41: 1035","1035","1996"
tro-35186412,B,Ditrichaceae,,Crumuscus,,"vitalis",,"","W.R. Buck & Snider",Accepted,,M,TRO,35186412,,"Contr. Univ. Michigan Herb.","18: 39. f. 1–10","39","1992"
tro-35183564,B,Ditrichaceae,,Cygniella,,"sharpii",,"","H.A. Crum",Accepted,,M,TRO,35183564,,"Bryologist","89: 23. f. 1–7","23","1986"
tro-35159223,B,Ditrichaceae,,Cynodon,,"flexicaulis",,"","(Schwägr.) Steud.",Accepted,,M,TRO,35159223,,"Nomencl. Bot.","2: 141","141","1824"
tro-35159224,B,Ditrichaceae,,Cynodon,,"inclinatus",,"","(Hedw.) Brid.",Accepted,,M,TRO,35159224,,"Muscol. Recent. Suppl.","4: 99","99","1819"
tro-35159374,B,Ditrichaceae,,Cynontodium,,"affine",,"","(Müll. Hal.) Mitt.",Accepted,,M,TRO,35159374,,"J. Linn. Soc., Bot.","12: 42","42","1869"
tro-35159380,B,Ditrichaceae,,Cynontodium,,"conicum",,"","(Mont.) Mitt.",Accepted,,M,TRO,35159380,,"J. Linn. Soc., Bot.","12: 44","44","1869"
tro-35159382,B,Ditrichaceae,,Cynontodium,,"elongatum",,"","(Hook. f. & Wilson) Mitt.",Accepted,,M,TRO,35159382,,"J. Linn. Soc., Bot.","12: 43","43","1869"
tro-35159384,B,Ditrichaceae,,Cynontodium,,"gracile",,"","(Mitt.) Mitt.",Accepted,,M,TRO,35159384,,"J. Linn. Soc., Bot.","12: 43","43","1869"
tro-35159385,B,Ditrichaceae,,Cynontodium,,"hookeri",,"","(Müll. Hal.) Mitt.",Accepted,,M,TRO,35159385,,"J. Linn. Soc., Bot.","12: 42","42","1869"
tro-35159386,B,Ditrichaceae,,Cynontodium,,"hyalinum",,"","(Mitt.) Mitt.",Accepted,,M,TRO,35159386,,"J. Linn. Soc., Bot.","12: 43","43","1869"
tro-35162069,B,Ditrichaceae,,Cynontodium,,"pallidum",,"","(Hedw.) Mitt.",Accepted,,M,TRO,35162069,,"J. Linn. Soc., Bot.","12: 42","42","1869"
tro-35159388,B,Ditrichaceae,,Cynontodium,,"rufescens",,"","(Hampe) Mitt.",Accepted,,M,TRO,35159388,,"J. Linn. Soc., Bot.","12: 44","44","1869"
tro-35159389,B,Ditrichaceae,,Cynontodium,,"strictum",,"","(Sw. ex F. Weber & D. Mohr) Mitt.",Accepted,,M,TRO,35159389,,"J. Linn. Soc., Bot.","12: 42","42","1869"
tro-35120646,B,Ditrichaceae,,Diaphanophyllum,,"boryanum",,"","(Müll. Hal.) Lindb.",Accepted,,M,TRO,35120646,,"Öfvers. Förh. Kongl. Svenska Vetensk.-Akad.","19: 605","605","1863"
tro-35120647,B,Ditrichaceae,,Diaphanophyllum,,"flexicaule",,"","(Schwägr.) Lindb.",Accepted,,M,TRO,35120647,,"Öfvers. Förh. Kongl. Svenska Vetensk.-Akad.","19: 605","605","1863"
tro-35120648,B,Ditrichaceae,,Diaphanophyllum,,"glaucescens",,"","(Hedw.) Lindb.",Accepted,,M,TRO,35120648,,"Öfvers. Förh. Kongl. Svenska Vetensk.-Akad.","19: 605","605","1863"
tro-35120649,B,Ditrichaceae,,Diaphanophyllum,,"homomallum",,"","(Hedw.) Lindb.",Accepted,,M,TRO,35120649,,"Öfvers. Förh. Kongl. Svenska Vetensk.-Akad.","19: 605","605","1863"
tro-35120650,B,Ditrichaceae,,Diaphanophyllum,,"longifolium",,"","(Brid.) Lindb.",Accepted,,M,TRO,35120650,,"Öfvers. Förh. Kongl. Svenska Vetensk.-Akad.","19: 605","605","1863"
tro-35120651,B,Ditrichaceae,,Diaphanophyllum,,"pallidum",,"","(Hedw.) Lindb.",Accepted,,M,TRO,35120651,,"Öfvers. Förh. Kongl. Svenska Vetensk.-Akad.","19: 605","605","1863"
tro-35120652,B,Ditrichaceae,,Diaphanophyllum,,"setosum",,"","(Hook. f. & Wilson) Lindb.",Accepted,,M,TRO,35120652,,"Öfvers. Förh. Kongl. Svenska Vetensk.-Akad.","19: 605","605","1863"
tro-35120655,B,Ditrichaceae,,Diaphanophyllum,,"tortile",,"","(Schrad.) Lindb.",Accepted,,M,TRO,35120655,,"Öfvers. Förh. Kongl. Svenska Vetensk.-Akad.","19: 605","605","1863"
tro-35120656,B,Ditrichaceae,,Diaphanophyllum,,"vaginans",,"","(Sull.) Lindb.",Accepted,,M,TRO,35120656,,"Öfvers. Förh. Kongl. Svenska Vetensk.-Akad.","19: 605","605","1863"
tro-35132417,B,Ditrichaceae,,Distichium,,"asperrimum",,"","Müll. Hal.",Accepted,,M,TRO,35132417,,"Nuovo Giorn. Bot. Ital., n.s.,","3: 90","90","1896"
