ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2784978,A,Elaeagnaceae,,Elaeagnus,,"angustata",,"","(Rehder) C.Y.Chang",Accepted,,M,WCSP (in review),912958,323645-1,"Bull. Bot. Lab. N. E. Forest. Inst., Harbin","6: 121","","1980"
kew-2784980,A,Elaeagnaceae,,Elaeagnus,,"angustifolia",,"","L.",Accepted,,M,WCSP (in review),912960,323646-1,"Sp. Pl.","121","","1753"
kew-2784986,A,Elaeagnaceae,,Elaeagnus,,"annamensis",,"","S.Moore",Accepted,,M,WCSP (in review),912966,323648-1,"J. Nat. Hist. Soc. Siam","4: 155","","1921"
kew-2784987,A,Elaeagnaceae,,Elaeagnus,,"arakiana",,"","Koidz.",Unresolved,,L,WCSP (in review),912967,323649-1,"Acta Phytotax. Geobot.","3: 161","","1934"
kew-2785000,A,Elaeagnaceae,,Elaeagnus,,"argyi",,"","H.Lév.",Accepted,,M,WCSP (in review),912980,323655-1,"Repert. Spec. Nov. Regni Veg.","12: 101","","1913"
kew-2785002,A,Elaeagnaceae,,Elaeagnus,,"asakawana",,"","Sa.Kurata",Unresolved,,L,WCSP (in review),912982,,"Ill. Forest Trees Japan","3: 104","","1971"
kew-2785003,A,Elaeagnaceae,,Elaeagnus,,"attenuata",,"","Nakai",Unresolved,,L,WCSP (in review),912983,323658-1,"Bot. Mag. (Tokyo)","30: 76","","1916"
kew-2785004,A,Elaeagnaceae,,Elaeagnus,,"bambusetorum",,"","Hand.-Mazz.",Accepted,,M,WCSP (in review),912984,323659-1,"Symb. Sin.","7: 591","","1933"
kew-2785005,A,Elaeagnaceae,,Elaeagnus,,"bockii",,"","Diels",Accepted,,M,WCSP (in review),912985,323660-1,"Bot. Jahrb. Syst.","29: 482","","1900"
kew-2785007,A,Elaeagnaceae,,Elaeagnus,,"bonii",,"","Lecomte",Accepted,,M,WCSP (in review),912987,323661-1,"Notul. Syst. (Paris)","3: 125","","1915"
kew-2785010,A,Elaeagnaceae,,Elaeagnus,,"calcarea",,"","Z.R.Xu",Accepted,,M,WCSP (in review),912990,929210-1,"Guihaia","5: 348","","1985"
kew-2785013,A,Elaeagnaceae,,Elaeagnus,,"caudata",,"","Schltdl. ex Momiy.",Accepted,,M,WCSP (in review),912993,,"in Fl. E. Himal.","2nd. Rep.: 85","","1971"
kew-2785016,A,Elaeagnaceae,,Elaeagnus,,"cinnamomifolia",,"","W.K.Hu & H.F.Chow",Accepted,,M,WCSP (in review),912996,323669-1,"Bull. Bot. Lab. N. E. Forest. Inst., Harbin","6: 114","","1980"
kew-2785017,A,Elaeagnaceae,,Elaeagnus,,"commutata",,"","Bernh. ex Rydb.",Accepted,,M,WCSP (in review),912997,315523-2,"Fl. Rocky Mts.","582","","1917"
kew-2785018,A,Elaeagnaceae,,Elaeagnus,,"conferta",,"","Roxb.",Accepted,,M,WCSP (in review),912998,,"Fl. Ind.","1: 460","","1820"
kew-2785034,A,Elaeagnaceae,,Elaeagnus,,"courtoisii",,"","Belval",Accepted,,M,WCSP (in review),913014,323675-1,"Bull. Soc. Bot. France","80: 97","","1933"
kew-2785037,A,Elaeagnaceae,,Elaeagnus,,"crocea",,"","Nakai",Unresolved,,L,WCSP (in review),913017,323677-1,"Ic. Pl. Koisik.","2: 67","","1914"
kew-2785042,A,Elaeagnaceae,,Elaeagnus,,"cyanea",,"","Aiton ex Steud.",Unresolved,,L,WCSP (in review),913022,323681-1,"Nomencl. Bot.","1: 544","","1821"
kew-2785045,A,Elaeagnaceae,,Elaeagnus,,"davidii",,"","Franch.",Accepted,,M,WCSP (in review),913025,,"Nouv. Arch. Mus. Hist. Nat.","II, 10: 77","","1888"
kew-2785046,A,Elaeagnaceae,,Elaeagnus,,"delavayi",,"","Lecomte",Accepted,,M,WCSP (in review),913026,323685-1,"Notul. Syst. (Paris)","3: 156","","1915"
kew-2785048,A,Elaeagnaceae,,Elaeagnus,,"difficilis",,"","Servett.",Accepted,,M,WCSP (in review),913028,,"Bull. Herb. Boissier","II, 8: 386","","1908"
kew-2785052,A,Elaeagnaceae,,Elaeagnus,,"emarginata",,"","Colla",Unresolved,,L,WCSP (in review),913032,323691-1,"Herb. Pedem.","5: 92","","1836"
kew-2785053,A,Elaeagnaceae,,Elaeagnus,,"epitricha",,"","Momiy. ex H.Ohba",Accepted,,M,WCSP (in review),913033,1014293-1,"in Fl. Japan","2c: 157","","1999"
kew-2785057,A,Elaeagnaceae,,Elaeagnus,,"fasciculata",,"","Griff.",Accepted,,M,WCSP (in review),913037,323695-1,"Not. Pl. Asiat.","4: 374","","1854"
kew-2785058,A,Elaeagnaceae,,Elaeagnus,,"fasciculata",,"","(Wall. ex Steud.) A.Nelson",Unresolved,Illegitimate,L,WCSP (in review),913038,323696-1,"Amer. J. Bot.","22: 682","","1935"
kew-2785063,A,Elaeagnaceae,,Elaeagnus,,"formosana",,"","Nakai",Accepted,,M,WCSP (in review),913043,323699-1,"Bot. Mag. (Tokyo)","30: 74","","1916"
kew-2785064,A,Elaeagnaceae,,Elaeagnus,,"formosensis",,"","Hatus.",Accepted,,M,WCSP (in review),913044,323700-1,"J. Jap. Bot.","27: 211","","1952"
kew-2785065,A,Elaeagnaceae,,Elaeagnus,,"fragrans",,"","Nakai",Unresolved,,L,WCSP (in review),913045,323701-1,"Bot. Mag. (Tokyo)","27: 33","","1913"
kew-2785066,A,Elaeagnaceae,,Elaeagnus,,"fruticosa",,"","(Lour.) A.Chev.",Unresolved,,L,WCSP (in review),913046,323702-1,"Cat. Pl. Jard. Bot. Saigon","66","","1919"
kew-2785067,A,Elaeagnaceae,,Elaeagnus,,"fusca",,"","Pépin ex Lem.",Unresolved,,L,WCSP (in review),913047,323703-1,"Hort. Universel","3: 304","","1842"
kew-2785069,A,Elaeagnaceae,,Elaeagnus,,"geniculata",,"","D.Fang",Accepted,,M,WCSP (in review),913049,1014396-1,"Acta Phytotax. Sin.","38: 291","","2000"
kew-2785071,A,Elaeagnaceae,,Elaeagnus,,"glabra",,"","Thunb.",Accepted,,M,WCSP (in review),913051,927282-1,"Syst. Veg. ed. 14","164","","1784"
kew-2785078,A,Elaeagnaceae,,Elaeagnus,,"gonyanthes",,"","Benth.",Accepted,,M,WCSP (in review),913058,323709-1,"Hooker's J. Bot. Kew Gard. Misc.","5: 197","","1853"
kew-2785081,A,Elaeagnaceae,,Elaeagnus,,"griffithii",,"","Servett.",Accepted,,M,WCSP (in review),913061,,"Bull. Herb. Boissier","II, 8: 385","","1908"
kew-2785084,A,Elaeagnaceae,,Elaeagnus,,"grijsii",,"","Hance",Accepted,,M,WCSP (in review),913064,323713-1,"Ann. Sci. Nat., Bot.","IV, 15: 227","","1861"
kew-2785085,A,Elaeagnaceae,,Elaeagnus,,"guizhouensis",,"","C.Y.Chang",Accepted,,M,WCSP (in review),913065,323714-1,"Bull. Bot. Lab. N. E. Forest. Inst., Harbin","6: 117","","1980"
kew-2785087,A,Elaeagnaceae,,Elaeagnus,,"henryi",,"","Warb. ex Diels",Accepted,,M,WCSP (in review),913067,323716-1,"Bot. Jahrb. Syst.","29: 483","","1900"
kew-2785088,A,Elaeagnaceae,,Elaeagnus,,"heterophylla",,"","D.Fang & D.R.Liang",Accepted,,M,WCSP (in review),913068,1014397-1,"Acta Phytotax. Sin.","38: 292","","2000"
kew-2785089,A,Elaeagnaceae,,Elaeagnus,,"higoensis",,"","Nakai",Unresolved,,L,WCSP (in review),913069,323717-1,"J. Jap. Bot.","15: 738","","1939"
tro-50309727,A,Elaeagnaceae,,Elaeagnus,,"hortensis",subsp.,"moorscroftii","(Wall. ex Schltr.) Servettaz",Unresolved,,L,TRO,50309727,,"","","",""
kew-2785100,A,Elaeagnaceae,,Elaeagnus,,"hunanensis",,"","C.J.Qi & Q.Z.Lin",Accepted,,M,WCSP (in review),913080,20010612-1,"J. Centr. S. Forest. Univ.","20(2): 89","","2002"
kew-2785105,A,Elaeagnaceae,,Elaeagnus,,"indica",,"","Servett.",Accepted,,M,WCSP (in review),913085,,"Bull. Herb. Boissier","II, 8: 393","","1908"
kew-2785107,A,Elaeagnaceae,,Elaeagnus,,"infundibularis",,"","Momiy.",Accepted,,M,WCSP (in review),913087,323724-1,"J. Jap. Bot.","48: 262","","1973"
kew-2785110,A,Elaeagnaceae,,Elaeagnus,,"jiangxiensis",,"","C.Y.Chang",Accepted,,M,WCSP (in review),913090,323727-1,"Bull. Bot. Lab. N. E. Forest. Inst., Harbin","6: 118","","1980"
kew-2785111,A,Elaeagnaceae,,Elaeagnus,,"jingdonensis",,"","C.Y.Chang",Accepted,,M,WCSP (in review),913091,323728-1,"Bull. Bot. Lab. N. E. Forest. Inst., Harbin","6: 115","","1980"
kew-2785113,A,Elaeagnaceae,,Elaeagnus,,"kanaii",,"","Momiy.",Accepted,,M,WCSP (in review),913093,323730-1,"J. Jap. Bot.","48: 264","","1973"
kew-2785115,A,Elaeagnaceae,,Elaeagnus,,"kiusiana",,"","Nakai",Unresolved,,L,WCSP (in review),913095,323731-1,"J. Arnold Arbor.","5: 83","","1924"
kew-2785122,A,Elaeagnaceae,,Elaeagnus,,"laetevirens",,"","Lindb.",Unresolved,,L,WCSP (in review),913102,323734-1,"Acta Soc. Sci. Fenn.","10: 125","","1871"
kew-2785123,A,Elaeagnaceae,,Elaeagnus,,"lanceolata",,"","Warb.",Accepted,,M,WCSP (in review),913103,323735-1,"Bot. Jahrb. Syst.","29: 483","","1900"
kew-2785129,A,Elaeagnaceae,,Elaeagnus,,"lanpingensis",,"","C.Y.Chang",Accepted,,M,WCSP (in review),913109,323736-1,"Bull. Bot. Lab. N. E. Forest. Inst., Harbin","6: 109","","1980"
kew-2785130,A,Elaeagnaceae,,Elaeagnus,,"laosensis",,"","Lecomte",Accepted,,M,WCSP (in review),913110,323737-1,"Notul. Syst. (Paris)","3: 125","","1915"
kew-2785131,A,Elaeagnaceae,,Elaeagnus,,"latifolia",,"","L.",Accepted,,M,WCSP (in review),913111,323739-1,"Sp. Pl.","121","","1753"
kew-2785132,A,Elaeagnaceae,,Elaeagnus,,"latifolia",,"","Lour.",Unresolved,Illegitimate,L,WCSP (in review),913112,323738-1,"Fl. Cochinch.","89","","1790"
kew-2785134,A,Elaeagnaceae,,Elaeagnus,,"lipoensis",,"","Z.R.Xu",Accepted,,M,WCSP (in review),913114,932340-1,"Acta Sci. Nat. Univ. Sunyatseni","1987(2): 46","","1987"
kew-2785137,A,Elaeagnaceae,,Elaeagnus,,"liuzhouensis",,"","C.Y.Chang",Accepted,,M,WCSP (in review),913117,323742-1,"Bull. Bot. Lab. N. E. Forest. Inst., Harbin","6: 110","","1980"
kew-2785139,A,Elaeagnaceae,,Elaeagnus,,"longiloba",,"","C.Y.Chang",Accepted,,M,WCSP (in review),913119,323744-1,"Bull. Bot. Lab. N. E. Forest. Inst., Harbin","6: 113","","1980"
kew-2785142,A,Elaeagnaceae,,Elaeagnus,,"loureiroi",,"","Champ.",Accepted,,M,WCSP (in review),913122,323746-1,"Hooker's J. Bot. Kew Gard. Misc.","5: 196","","1853"
kew-2785143,A,Elaeagnaceae,,Elaeagnus,,"luoxiangensis",,"","C.Y.Chang",Accepted,,M,WCSP (in review),913123,323747-1,"Bull. Bot. Lab. N. E. Forest. Inst., Harbin","6: 108","","1980"
kew-2785144,A,Elaeagnaceae,,Elaeagnus,,"luxiensis",,"","C.Y.Chang",Accepted,,M,WCSP (in review),913124,323748-1,"Bull. Bot. Lab. N. E. Forest. Inst., Harbin","6: 105","","1980"
kew-2785145,A,Elaeagnaceae,,Elaeagnus,,"macrantha",,"","Rehder",Accepted,,M,WCSP (in review),913125,323749-1,"Pl. Wilson.","2: 416","","1915"
kew-2785146,A,Elaeagnaceae,,Elaeagnus,,"macrophylla",,"","Thunb.",Accepted,,M,WCSP (in review),913126,323752-1,"Nova Acta Regiae Soc. Sci. Upsal.","4: 38","","1783"
kew-2785148,A,Elaeagnaceae,,Elaeagnus,,"magna",,"","(Servett.) Rehder",Accepted,,M,WCSP (in review),913128,323753-1,"Pl. Wilson.","2: 411","","1915"
kew-2785149,A,Elaeagnaceae,,Elaeagnus,×,"maritima",,"","Koidz.",Accepted,,M,WCSP (in review),913129,323754-1,"Bot. Mag. (Tokyo)","31: 133","","1917"
kew-2785150,A,Elaeagnaceae,,Elaeagnus,,"matsunoana",,"","Makino",Accepted,,M,WCSP (in review),913130,323755-1,"Bot. Mag. (Tokyo)","27: 73","","1913"
kew-2785151,A,Elaeagnaceae,,Elaeagnus,,"maximowiczii",,"","Servett.",Accepted,,M,WCSP (in review),913131,,"Bull. Herb. Boissier","II, 8: 387","","1908"
kew-2785152,A,Elaeagnaceae,,Elaeagnus,,"mayeharai",,"","Nakai",Unresolved,,L,WCSP (in review),913132,323757-1,"J. Jap. Bot.","15: 738","","1939"
kew-2785153,A,Elaeagnaceae,,Elaeagnus,,"micrantha",,"","C.Y.Chang",Accepted,,M,WCSP (in review),913133,323758-1,"Bull. Bot. Lab. N. E. Forest. Inst., Harbin","6: 116","","1980"
kew-2785154,A,Elaeagnaceae,,Elaeagnus,,"mollis",,"","Diels",Accepted,,M,WCSP (in review),913134,323759-1,"Bot. Jahrb. Syst.","36(82): 78","","1905"
kew-2785155,A,Elaeagnaceae,,Elaeagnus,,"montana",,"","Makino",Accepted,,M,WCSP (in review),913135,323760-1,"Bot. Mag. (Tokyo)","27: 74","","1913"
kew-2785156,A,Elaeagnaceae,,Elaeagnus,,"montana",var.,"ovata","(Maxim.) Araki",Accepted,,L,WCSP (in review),913136,,"","","",""
kew-2785158,A,Elaeagnaceae,,Elaeagnus,,"morrisonensis",,"","Hayata",Accepted,,M,WCSP (in review),913138,323762-1,"J. Coll. Sci. Imp. Univ. Tokyo","30(1): 259","","1911"
kew-2785159,A,Elaeagnaceae,,Elaeagnus,,"multiflora",,"","Thunb.",Accepted,,M,WCSP (in review),913139,927280-1,"Syst. Veg. ed. 14","163","","1784"
kew-2785167,A,Elaeagnaceae,,Elaeagnus,,"murakamiana",,"","Makino",Accepted,,M,WCSP (in review),913147,323764-1,"J. Jap. Bot.","5: 24","","1928"
kew-2785168,A,Elaeagnaceae,,Elaeagnus,,"nagasakiana",,"","Nakai",Unresolved,,L,WCSP (in review),913148,323765-1,"Bot. Mag. (Tokyo)","33: 206","","1919"
kew-2785169,A,Elaeagnaceae,,Elaeagnus,,"nanchuanensis",,"","C.Y.Chang",Accepted,,M,WCSP (in review),913149,897667-1,"in Fl. Sichuanica","1: 464","","1981"
kew-2785174,A,Elaeagnaceae,,Elaeagnus,,"numajiriana",,"","Makino",Unresolved,,L,WCSP (in review),913154,323771-1,"J. Jap. Bot.","3: 20","","1926"
kew-2785175,A,Elaeagnaceae,,Elaeagnus,,"obovata",,"","H.L.Li",Accepted,,M,WCSP (in review),913155,323772-1,"Lloydia","15: 157","","1952"
kew-2785176,A,Elaeagnaceae,,Elaeagnus,,"obovatifolia",,"","D.Fang",Accepted,,M,WCSP (in review),913156,1014395-1,"Acta Phytotax. Sin.","38: 289","","2000"
kew-2785177,A,Elaeagnaceae,,Elaeagnus,,"obtusa",,"","C.Y.Chang",Accepted,,M,WCSP (in review),913157,1019429-1,"J. Sichuan Univ., Nat. Sci. Ed.","1984(4): 92","","1984"
