ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2641395,A,Escalloniaceae,,Anopterus,,"glandulosus",,"","Labill.",Accepted,,M,WCSP (in review),773499,,"Nov. Holl. Pl.","1: 86","","1805"
kew-2641396,A,Escalloniaceae,,Anopterus,,"macleayanus",,"","F.Muell.",Accepted,,M,WCSP (in review),773500,,"Quart. J. Trans. Pharm. Soc. Victoria","2(5): 43","","1859"
kew-2714560,A,Escalloniaceae,,Chalepoa,,"magellanica",,"","Hook.f.",Unresolved,,L,WCSP (in review),845097,684300-1,"Hooker's Icon. Pl.","11: t. 1082","","1871"
kew-2792394,A,Escalloniaceae,,Eremosyne,,"pectinata",,"","Endl.",Accepted,,M,WCSP (in review),920211,790973-1,"Enum. Pl. Hügel","53","","1837"
kew-2801745,A,Escalloniaceae,,Escallonia,,"alpina",,"","Poepp. ex DC.",Accepted,,M,WCSP (in review),929494,,"Prodr.","4: 665","","1830"
kew-2801746,A,Escalloniaceae,,Escallonia,,"alpina",var.,"carmelitana","(Meyen) Acevedo & Kausel",Accepted,,L,WCSP (in review),929495,97079-2,"Darwiniana","10: 247","","1953"
kew-2801748,A,Escalloniaceae,,Escallonia,,"alpina",var.,"glabrata","(Phil.) Sleumer",Accepted,,L,WCSP (in review),929497,97081-2,"Verh. Kon. Ned. Akad. Wetensch., Afd. Natuurk., Sect. 2","58(2): 50","","1968"
kew-2801750,A,Escalloniaceae,,Escallonia,,"angustifolia",,"","C.Presl",Accepted,,M,WCSP (in review),929499,790980-1,"Reliq. Haenk.","2: 47","","1832"
kew-2801754,A,Escalloniaceae,,Escallonia,,"arguta",,"","C.Presl",Unresolved,,L,WCSP (in review),929503,790982-1,"Reliq. Haenk.","2: 48","","1832"
kew-2801760,A,Escalloniaceae,,Escallonia,,"bifida",,"","Link & Otto",Accepted,,M,WCSP (in review),929509,,"Icon. Pl. Rar.","4: 45","","1828"
kew-2801761,A,Escalloniaceae,,Escallonia,×,"bracteata",,"","Phil.",Accepted,,M,WCSP (in review),929510,97086-2,"Anales Univ. Chile","85: 500","","1894"
kew-2801764,A,Escalloniaceae,,Escallonia,,"callcottiae",,"","Hook. & Arn.",Accepted,,M,WCSP (in review),929513,790993-1,"Bot. Misc.","3: 342","","1833"
kew-2801772,A,Escalloniaceae,,Escallonia,,"chlorophylla",,"","Cham. & Schltdl.",Accepted,,M,WCSP (in review),929521,791000-1,"Linnaea","1: 542","","1826"
kew-2801774,A,Escalloniaceae,,Escallonia,,"ciliata",,"","(Poir.) Schult.",Unresolved,,L,WCSP (in review),929523,791002-1,"Syst. Veg.","5: 329","","1819"
kew-2801775,A,Escalloniaceae,,Escallonia,,"claudii",,"","Killip",Unresolved,,L,WCSP (in review),929524,97094-2,"J. Wash. Acad. Sci.","16: 567","","1926"
kew-2801781,A,Escalloniaceae,,Escallonia,,"cordobensis",,"","(Kuntze) Hosseus",Accepted,,M,WCSP (in review),929530,97098-2,"Bol. Acad. Ci. (Córdoba)","26: 120","","1921"
kew-2801786,A,Escalloniaceae,,Escallonia,×,"demissa",,"","Eastw.",Accepted,,M,WCSP (in review),929535,791013-1,"Leafl. W. Bot.","1: 68","","1933"
kew-2801788,A,Escalloniaceae,,Escallonia,,"discolor",,"","Vent.",Accepted,,M,WCSP (in review),929537,791015-1,"Choix Pl.","t. 54","","1808"
kew-2801792,A,Escalloniaceae,,Escallonia,×,"exoniensis",,"","H.J.Veitch",Unresolved,,L,WCSP (in review),929541,,"J. Hort. Cottage Gard.","III, 23: 18","","1891"
kew-2801794,A,Escalloniaceae,,Escallonia,,"farinacea",,"","A.St.-Hil.",Accepted,,M,WCSP (in review),929543,791021-1,"Arch. Bot. (Paris)","2: 225","","1833"
kew-2801801,A,Escalloniaceae,,Escallonia,,"florida",,"","Poepp. ex DC.",Accepted,,M,WCSP (in review),929550,,"Prodr.","4: 665","","1830"
kew-2801804,A,Escalloniaceae,,Escallonia,×,"franciscana",,"","Eastw.",Unresolved,,L,WCSP (in review),929553,288198-2,"Proc. Calif. Acad. Sci.","IV, 18: 386","","1929"
kew-2801805,A,Escalloniaceae,,Escallonia,,"gayana",,"","Acevedo & Kausel",Accepted,,M,WCSP (in review),929554,97108-2,"Darwiniana","10: 185","","1953"
kew-2801813,A,Escalloniaceae,,Escallonia,,"herrerae",,"","Mattf.",Accepted,,M,WCSP (in review),929562,97111-2,"Notizbl. Bot. Gart. Berlin-Dahlem","10: 748","","1929"
kew-2801816,A,Escalloniaceae,,Escallonia,,"hispida",,"","(Vell.) Sleumer",Accepted,,M,WCSP (in review),929565,337085-1,"Verh. Kon. Ned. Akad. Wetensch., Afd. Natuurk., Sect. 2","58(2): 85","","1968"
kew-2801818,A,Escalloniaceae,,Escallonia,,"hypoglauca",,"","Herzog",Accepted,,M,WCSP (in review),929567,97113-2,"Meded. Rijks-Herb.","27: 88","","1915"
kew-2801820,A,Escalloniaceae,,Escallonia,,"illinita",,"","C.Presl",Accepted,,M,WCSP (in review),929569,791044-1,"Reliq. Haenk.","2: 49","","1832"
kew-2801821,A,Escalloniaceae,,Escallonia,,"illinita",var.,"andina","(Phil.) Reiche",Unresolved,,L,WCSP (in review),929570,97116-2,"Anales Univ. Chile","103: 806","","1899"
kew-2801826,A,Escalloniaceae,,Escallonia,,"illinita",var.,"pubicalyx","Briq.",Accepted,,L,WCSP (in review),929575,,"Annuaire Conserv. Jard. Bot. Genève","20: 417","","1919"
kew-2801828,A,Escalloniaceae,,Escallonia,×,"iveyi",,"","E.Thurst.",Unresolved,,L,WCSP (in review),929577,,"Brit. For. Trees Cornwall","115","","1930"
kew-2801830,A,Escalloniaceae,,Escallonia,,"laevis",,"","(Vell.) Sleumer",Accepted,,M,WCSP (in review),929579,337086-1,"Verh. Kon. Ned. Akad. Wetensch., Afd. Natuurk., Sect. 2","58(2): 82","","1968"
kew-2801832,A,Escalloniaceae,,Escallonia,,"ledifolia",,"","Sleumer",Accepted,,M,WCSP (in review),929581,337087-1,"Verh. Kon. Ned. Akad. Wetensch., Afd. Natuurk., Sect. 2","58(2): 88","","1968"
kew-2801833,A,Escalloniaceae,,Escallonia,×,"lepidota",,"","Killip",Accepted,,M,WCSP (in review),929582,97123-2,"J. Wash. Acad. Sci.","19: 191","","1929"
kew-2801834,A,Escalloniaceae,,Escallonia,,"leucantha",,"","Remy",Accepted,,M,WCSP (in review),929583,,"Fl. Chil.","3: 53","","1848"
kew-2801839,A,Escalloniaceae,,Escallonia,,"macrantha",,"","Wedd.",Unresolved,Illegitimate,L,WCSP (in review),929588,791054-1,"Chlor. Andina","2: 312","","1861"
kew-2801843,A,Escalloniaceae,,Escallonia,,"megapotamica",,"","Spreng.",Accepted,,M,WCSP (in review),929592,791056-1,"Syst. Veg.","4(2): 94","","1827"
kew-2801846,A,Escalloniaceae,,Escallonia,,"micrantha",,"","Mattf.",Accepted,,M,WCSP (in review),929595,97132-2,"Notizbl. Bot. Gart. Berlin-Dahlem","10: 747","","1929"
kew-2801847,A,Escalloniaceae,,Escallonia,,"microcarpa",,"","Gillies ex Hook. & Arn.",Unresolved,Invalid,L,WCSP (in review),929596,791059-1,"Bot. Misc.","3: 342","","1833"
kew-2801848,A,Escalloniaceae,,Escallonia,,"millegrana",,"","Griseb.",Accepted,,M,WCSP (in review),929597,791060-1,"Abh. Königl. Ges. Wiss. Göttingen","24: 141","","1879"
kew-2801851,A,Escalloniaceae,,Escallonia,×,"mollis",,"","Phil.",Accepted,,M,WCSP (in review),929600,791063-1,"Linnaea","28: 692","","1856"
kew-2801855,A,Escalloniaceae,,Escallonia,,"myrtilloides",,"","L.f.",Accepted,,M,WCSP (in review),929604,791067-1,"Suppl. Pl.","156","","1782"
kew-2801856,A,Escalloniaceae,,Escallonia,,"myrtilloides",var.,"patens","(Ruiz & Pav.) Sleumer",Accepted,,L,WCSP (in review),929605,97135-2,"Verh. Kon. Ned. Akad. Wetensch., Afd. Natuurk., Sect. 2","58(2): 39","","1968"
kew-2801857,A,Escalloniaceae,,Escallonia,,"myrtoidea",,"","Bertero ex DC.",Accepted,,M,WCSP (in review),929606,,"Prodr.","4: 665","","1830"
kew-2801858,A,Escalloniaceae,,Escallonia,,"obtusissima",,"","A.St.-Hil.",Accepted,,M,WCSP (in review),929607,791069-1,"Fl. Bras. Merid.","3: 91","","1833"
kew-2801860,A,Escalloniaceae,,Escallonia,,"paniculata",,"","(Ruiz & Pav.) Schult.",Accepted,,M,WCSP (in review),929609,791071-1,"Syst. Veg.","5: 328","","1819"
kew-2801863,A,Escalloniaceae,,Escallonia,,"paniculata",var.,"floribunda","(Kunth) J.F.Macbr.",Accepted,,L,WCSP (in review),929612,97138-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","13: 1029","","1938"
kew-2801866,A,Escalloniaceae,,Escallonia,,"pendula",,"","(Ruiz & Pav.) Pers.",Accepted,,M,WCSP (in review),929615,791075-1,"Syn. Pl.","1: 235","","1805"
kew-2801869,A,Escalloniaceae,,Escallonia,,"petrophila",,"","Rambo & Sleumer",Accepted,,M,WCSP (in review),929618,97143-2,"Willdenowia","1: 342","","1956"
kew-2801872,A,Escalloniaceae,,Escallonia,,"piurensis",,"","Mattf.",Accepted,,M,WCSP (in review),929621,97146-2,"Notizbl. Bot. Gart. Berlin-Dahlem","10: 749","","1929"
kew-2801875,A,Escalloniaceae,,Escallonia,,"polifolia",,"","Hook.",Accepted,,M,WCSP (in review),929624,791082-1,"Hooker's Icon. Pl.","2: t. 114","","1837"
kew-2801876,A,Escalloniaceae,,Escallonia,×,"promaucana",,"","Phil.",Accepted,,M,WCSP (in review),929625,97149-2,"Anales Univ. Chile","85: 500","","1894"
kew-2801879,A,Escalloniaceae,,Escallonia,,"pulverulenta",,"","(Ruiz & Pav.) Pers.",Accepted,,M,WCSP (in review),929628,791086-1,"Syn. Pl.","1: 235","","1805"
kew-2801885,A,Escalloniaceae,,Escallonia,×,"rebecae",,"","Kausel",Accepted,,M,WCSP (in review),929634,97155-2,"Darwiniana","10: 196","","1953"
kew-2801886,A,Escalloniaceae,,Escallonia,,"reflexa",,"","Gillies ex Hook. & Arn.",Unresolved,Invalid,L,WCSP (in review),929635,791091-1,"Bot. Misc.","3: 342","","1833"
kew-2801888,A,Escalloniaceae,,Escallonia,,"resinosa",,"","(Ruiz & Pav.) Pers.",Accepted,,M,WCSP (in review),929637,791093-1,"Syn. Pl.","1: 235","","1805"
kew-2801891,A,Escalloniaceae,,Escallonia,,"reticulata",,"","Sleumer",Accepted,,M,WCSP (in review),929640,97158-2,"Willdenowia","1: 343","","1956"
kew-2801892,A,Escalloniaceae,,Escallonia,,"revoluta",,"","(Ruiz & Pav.) Pers.",Accepted,,M,WCSP (in review),929641,791095-1,"Syn. Pl.","1: 235","","1805"
kew-2801895,A,Escalloniaceae,,Escallonia,×,"rigida",,"","Phil.",Accepted,,M,WCSP (in review),929644,97161-2,"Anales Univ. Chile","85: 503","","1894"
kew-2801896,A,Escalloniaceae,,Escallonia,×,"rockii",,"","Eastw.",Unresolved,,L,WCSP (in review),929645,288197-2,"Proc. Calif. Acad. Sci.","IV, 18: 386","","1929"
kew-2801897,A,Escalloniaceae,,Escallonia,,"rosea",,"","Griseb.",Accepted,,M,WCSP (in review),929646,791100-1,"Abh. Königl. Ges. Wiss. Göttingen","6: 121","","1854"
kew-2801900,A,Escalloniaceae,,Escallonia,,"rubra",,"","(Ruiz & Pav.) Pers.",Accepted,,M,WCSP (in review),929649,,"Syn. Pl.","2: 235","","1806"
kew-2801904,A,Escalloniaceae,,Escallonia,,"rubra",var.,"dumetorum","(Phil.) Acevedo & Kausel",Accepted,,L,WCSP (in review),929653,97167-2,"Darwiniana","10: 232","","1953"
kew-2801906,A,Escalloniaceae,,Escallonia,,"rubra",var.,"glutinosa","(Phil.) Reiche",Accepted,,L,WCSP (in review),929655,,"Fl. Chile","3: 22","","1899"
kew-2801907,A,Escalloniaceae,,Escallonia,,"rubra",var.,"macrantha","(Hook. & Arn.) Reiche",Accepted,,L,WCSP (in review),929656,,"Fl. Chile","3: 22","","1899"
kew-2801917,A,Escalloniaceae,,Escallonia,,"salicifolia",,"","Mattf.",Accepted,,M,WCSP (in review),929666,97178-2,"Notizbl. Bot. Gart. Berlin-Dahlem","10: 750","","1929"
kew-2801919,A,Escalloniaceae,,Escallonia,,"schreiteri",,"","Sleumer",Accepted,,M,WCSP (in review),929668,97179-2,"Willdenowia","1: 343","","1956"
kew-2801924,A,Escalloniaceae,,Escallonia,,"serrata",,"","Sm.",Accepted,,M,WCSP (in review),929673,791110-1,"Pl. Icon. Ined.","2: t. 31","","1790"
kew-2801933,A,Escalloniaceae,,Escallonia,×,"stricta",,"","Remy",Accepted,,M,WCSP (in review),929682,,"Fl. Chil.","3: 53","","1848"
kew-2801937,A,Escalloniaceae,,Escallonia,,"tucumanensis",,"","Hosseus",Accepted,,M,WCSP (in review),929686,791121-1,"Bol. Acad. Ci. (Córdoba)","26: 120","","1921"
kew-2801940,A,Escalloniaceae,,Escallonia,,"virgata",,"","(Ruiz & Pav.) Pers.",Accepted,,M,WCSP (in review),929689,791123-1,"Syn. Pl.","1: 234","","1805"
kew-2813714,A,Escalloniaceae,,Forgesia,,"racemosa",,"","J.F.Gmel.",Accepted,,M,WCSP (in review),941221,791174-1,"Syst. Nat.","353","","1791"
tro-22103212,A,Escalloniaceae,,Platyspermation,,"crassifolium",,"","Guillaumin",Unresolved,,L,TRO,22103212,,"","","",""
kew-2410513,A,Escalloniaceae,,Polyosma,,"adangensis",,"","Craib",Unresolved,,L,WCSP (in review),548902,792377-1,"Bull. Misc. Inform. Kew","1929: 110","","1929"
kew-2410512,A,Escalloniaceae,,Polyosma,,"alangiacea",,"","F.Muell.",Unresolved,,L,WCSP (in review),548901,792378-1,"Fragm.","8: 8","","1872"
kew-2410511,A,Escalloniaceae,,Polyosma,,"amygdaloides",,"","Reeder",Unresolved,,L,WCSP (in review),548900,792379-1,"J. Arnold Arbor.","27: 283","","1946"
kew-2410510,A,Escalloniaceae,,Polyosma,,"annamensis",,"","Gagnep.",Unresolved,,L,WCSP (in review),548899,792380-1,"Bull. Soc. Bot. France","98: 121","","1951"
kew-2410509,A,Escalloniaceae,,Polyosma,,"apoensis",,"","Elmer",Unresolved,,L,WCSP (in review),548898,792381-1,"Leafl. Philipp. Bot.","5: 1633","","1913"
kew-2410508,A,Escalloniaceae,,Polyosma,,"arguta",,"","Craib",Unresolved,,L,WCSP (in review),548897,792382-1,"Bull. Misc. Inform. Kew","1929: 110","","1929"
kew-2410507,A,Escalloniaceae,,Polyosma,,"aulacocarpa",,"","Gagnep.",Unresolved,,L,WCSP (in review),548896,792383-1,"Bull. Soc. Bot. France","98: 121","","1951"
kew-2410506,A,Escalloniaceae,,Polyosma,,"blaoensis",,"","O.Lecompte",Unresolved,,L,WCSP (in review),548895,792384-1,"in Fl. Camb., Laos & Vietn.","4: 47","","1965"
kew-2410607,A,Escalloniaceae,,Polyosma,,"borneensis",,"","Schltr.",Unresolved,,L,WCSP (in review),548995,792385-1,"Bot. Jahrb. Syst.","52: 134","","1914"
kew-2410664,A,Escalloniaceae,,Polyosma,,"brachyandra",,"","Domin",Unresolved,,L,WCSP (in review),549052,792386-1,"Biblioth. Bot.","89: 152","","1925"
kew-2536318,A,Escalloniaceae,,Polyosma,,"brachyandrum",,"","Domin",Unresolved,,L,WCSP (in review),672228,,"Biblioth. Bot.","89: 706","","1926"
kew-2410558,A,Escalloniaceae,,Polyosma,,"brachyantha",,"","Merr.",Unresolved,,L,WCSP (in review),548946,792387-1,"Philipp. J. Sci., C","11: 273","","1916"
kew-2410648,A,Escalloniaceae,,Polyosma,,"brachystachys",,"","Schltr.",Unresolved,,L,WCSP (in review),549036,792388-1,"Bot. Jahrb. Syst.","39: 117","","1906"
kew-2410647,A,Escalloniaceae,,Polyosma,,"bracteolata",,"","Craib",Unresolved,,L,WCSP (in review),549035,792389-1,"Bull. Misc. Inform. Kew","1929: 111","","1929"
