ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-50333065,A,Gentianaceae,,Adenema,,"hyssopifolia",,"","G. Don",Unresolved,,L,TRO,50333065,,"","","",""
kew-2621806,A,Gentianaceae,,Adenolisianthus,,"arboreus",,"","(Spruce ex Progel) Gilg",Accepted,,M,WCSP (in review),754166,4365-2,"Nat. Pflanzenfam.","4(2): 98","","1895"
kew-2621807,A,Gentianaceae,,Adenolisianthus,,"virgatus",,"","(Progel) Gilg",Unresolved,,L,WCSP (in review),754167,4366-2,"Nat. Pflanzenfam.","4(2): 98","","1895"
kew-2621842,A,Gentianaceae,,Adenopogon,,"stellaroides",,"","Welw.",Unresolved,,L,WCSP (in review),754202,366382-1,"Syn. Madeir. Drog. Med.","27","","1862"
kew-2625927,A,Gentianaceae,,Agathotes,,"alata",,"","D.Don ex G.Don",Unresolved,,L,WCSP (in review),758271,366383-1,"Gen. Hist.","4: 177","","1837"
kew-2628445,A,Gentianaceae,,Aliopsis,,"pygmaea",,"","(Regel & Schmalh.) Omer & Qaiser",Accepted,,M,WCSP (in review),760758,963350-1,"Willdenowia","21: 190","","1991"
kew-2629849,A,Gentianaceae,,Aloitis,,"anceps",,"","Raf.",Unresolved,,L,WCSP (in review),762015,366386-1,"Fl. Tellur.","2: 22","","1837"
kew-2629852,A,Gentianaceae,,Aloitis,,"divaricata",,"","Greene",Unresolved,,L,WCSP (in review),762018,9480-2,"Leafl. Bot. Observ. Crit.","1: 94","","1904"
kew-2629854,A,Gentianaceae,,Aloitis,,"foliosa",,"","Greene",Unresolved,,L,WCSP (in review),762020,9481-2,"Leafl. Bot. Observ. Crit.","1: 94","","1904"
kew-2629857,A,Gentianaceae,,Aloitis,,"mesochora",,"","Greene",Unresolved,,L,WCSP (in review),762023,9482-2,"Leafl. Bot. Observ. Crit.","1: 94","","1904"
kew-2629864,A,Gentianaceae,,Aloitis,,"smithii",,"","Omer",Unresolved,,L,WCSP (in review),762030,986888-1,"in Fl. Pakistan","197: 121","","1995"
kew-2629865,A,Gentianaceae,,Aloitis,,"stoliczkae",,"","(C.B.Clarke) Omer, Qaiser & Ali",Unresolved,,L,WCSP (in review),762031,946018-1,"Pakistan J. Bot.","20: 159","","1988"
kew-2633171,A,Gentianaceae,,Amarella,,"amarelloides",,"","Greene",Unresolved,,L,WCSP (in review),765324,10731-2,"Leafl. Bot. Observ. Crit.","1: 53","","1904"
kew-2633175,A,Gentianaceae,,Amarella,,"brevicaulis",,"","Raf.",Unresolved,,L,WCSP (in review),765328,366399-1,"Fl. Tellur.","3: 21","","1837"
kew-2633182,A,Gentianaceae,,Amarella,,"gurliae",,"","Lunell",Unresolved,,L,WCSP (in review),765335,10740-2,"Amer. Midl. Naturalist","2: 142","","1911"
kew-2633186,A,Gentianaceae,,Amarella,,"macounii",,"","Greene",Unresolved,,L,WCSP (in review),765339,10744-2,"Leafl. Bot. Observ. Crit.","1: 54","","1904"
tro-50231297,A,Gentianaceae,,Amarella,,"plebeia",var.,"holmii","(Wettst.) Rydb.",Unresolved,,L,TRO,50231297,10750-2,"Bull. Torrey Bot. Club","33(3): 148","148","1906"
kew-2633197,A,Gentianaceae,,Amarella,,"rugosa",,"","Raf.",Unresolved,,L,WCSP (in review),765350,366421-1,"Fl. Tellur.","3: 21","","1837"
kew-2633201,A,Gentianaceae,,Amarella,,"theiantha",,"","Lunell",Unresolved,,L,WCSP (in review),765354,10757-2,"Amer. Midl. Naturalist","2: 143","","1911"
kew-2633205,A,Gentianaceae,,Amarella,,"ventorum",,"","Rydb.",Unresolved,,L,WCSP (in review),765358,10761-2,"Bull. Torrey Bot. Club","40: 463","","1913"
kew-2635956,A,Gentianaceae,,Anacolus,,"gardneri",,"","Griseb.",Unresolved,,L,WCSP (in review),768092,366431-1,"Prodr.","9: 70","","1845"
kew-2635985,A,Gentianaceae,,Anagallidium,,"dichotoma",,"","Griseb.",Unresolved,,L,WCSP (in review),768121,,"Gen. Sp. Gent.","213","","1838"
kew-2635986,A,Gentianaceae,,Anagallidium,,"dimorphum",,"","(Batalin) Ma ex T.N.Ho & W.L.Shih",Unresolved,,L,WCSP (in review),768122,366433-1,"Acta Phytotax. Sin.","14(2): 65","","1976"
kew-2635987,A,Gentianaceae,,Anagallidium,,"rubrostriatum",,"","Y.Z.Zhao, Zong Y.Zhu & L.Q.Zhao",Unresolved,,L,WCSP (in review),768123,60433589-2,"Acta Phytotax. Sin.","42: 83","","2004"
kew-2635988,A,Gentianaceae,,Anagallidium,,"tetrapetalum",,"","Griseb.",Unresolved,,L,WCSP (in review),768124,366434-1,"Gen. Sp. Gent.","312","","1838"
kew-2641612,A,Gentianaceae,,Anthocleista,,"amplexicaulis",,"","Baker",Accepted,,M,WCSP (in review),773716,545599-1,"J. Linn. Soc., Bot.","22: 506","","1887"
kew-2641616,A,Gentianaceae,,Anthocleista,,"brieyi",,"","De Wild.",Unresolved,,L,WCSP (in review),773720,,"Miss. de Briey Mayumbe","210","","1920"
kew-2641618,A,Gentianaceae,,Anthocleista,,"djalonensis",,"","A.Chev.",Accepted,,M,WCSP (in review),773722,545605-1,"Bull. Soc. Bot. France","55(8): 47","","1908"
tro-50332930,A,Gentianaceae,,Anthocleista,,"gabonensis",,"","Gentil",Unresolved,,L,TRO,50332930,545608-1,"Pl. Cult. Serres Jard. Bot. Brux.","18 (1907), nomen","18","1907"
kew-2641623,A,Gentianaceae,,Anthocleista,,"grandiflora",,"","Gilg",Accepted,,M,WCSP (in review),773727,545611-1,"Bot. Jahrb. Syst.","17: 582","","1893"
kew-2641625,A,Gentianaceae,,Anthocleista,,"inermis",,"","Engl.",Accepted,,M,WCSP (in review),773729,,"Bot. Jahrb. Syst.","8: 63","","1887"
kew-2641634,A,Gentianaceae,,Anthocleista,,"laxiflora",,"","Baker",Accepted,,M,WCSP (in review),773738,545622-1,"Bull. Misc. Inform. Kew","1895: 99","","1895"
kew-2641635,A,Gentianaceae,,Anthocleista,,"liebrechtsiana",,"","De Wild. & T.Durand",Accepted,,M,WCSP (in review),773739,545623-1,"Bull. Soc. Roy. Bot. Belgique","Compt. Rend. 38: 96","","1899"
kew-2641636,A,Gentianaceae,,Anthocleista,,"longifolia",,"","(Lam.) Boiteau",Accepted,,M,WCSP (in review),773740,545624-1,"Adansonia","n.s., 13: 250","","1973"
kew-2641640,A,Gentianaceae,,Anthocleista,,"madagascariensis",,"","Baker",Accepted,,M,WCSP (in review),773744,545628-1,"J. Bot.","20: 173","","1882"
kew-2641643,A,Gentianaceae,,Anthocleista,,"microphylla",,"","Wernham",Accepted,,M,WCSP (in review),773747,545632-1,"Cat. Pl. Oban","67","","1913"
tro-50332939,A,Gentianaceae,,Anthocleista,,"nigrescens",,"","Afzel. ex Gilg",Unresolved,,L,TRO,50332939,,"","","",""
kew-2641645,A,Gentianaceae,,Anthocleista,,"nobilis",,"","G.Don",Accepted,,M,WCSP (in review),773749,545634-1,"Gen. Hist.","4: 68","","1837"
kew-2641646,A,Gentianaceae,,Anthocleista,,"obanensis",,"","Wernham",Accepted,,M,WCSP (in review),773750,545635-1,"Cat. Pl. Oban","67","","1913"
kew-2641647,A,Gentianaceae,,Anthocleista,,"orientalis",,"","Gilg",Unresolved,,L,WCSP (in review),773751,545636-1,"Pflanzenw. Ost-Afrikas","C: 312","","1895"
kew-2902783,A,Gentianaceae,,Anthocleista,,"potalioides",,"","J.J.de Wilde",Unresolved,,L,WCSP (in review),1025240,77111440-1,"Blumea","56: 3","","2011"
kew-2641650,A,Gentianaceae,,Anthocleista,,"procera",,"","Lepr. ex Bureau",Accepted,,M,WCSP (in review),773754,545640-1,"Fam. Logan.","77","","1856"
kew-2641654,A,Gentianaceae,,Anthocleista,,"scandens",,"","Hook.f.",Accepted,,M,WCSP (in review),773758,545644-1,"J. Proc. Linn. Soc., Bot.","6: 16","","1862"
kew-2641656,A,Gentianaceae,,Anthocleista,,"schweinfurthii",,"","Gilg",Accepted,,M,WCSP (in review),773760,545645-1,"Bot. Jahrb. Syst.","17: 579","","1893"
kew-2641662,A,Gentianaceae,,Anthocleista,,"vogelii",,"","Planch.",Accepted,,M,WCSP (in review),773766,545651-1,"Hooker's Icon. Pl.","8: t. 793","","1848"
kew-2651121,A,Gentianaceae,,Aripuana,,"cullmaniorum",,"","Struwe, Maas & V.A.Albert",Accepted,,M,WCSP (in review),783177,999726-1,"Harvard Pap. Bot.","2: 236","","1997"
kew-2670423,A,Gentianaceae,,Bartonia,,"paniculata",,"","(Michx.) Muhl.",Accepted,,M,WCSP (in review),802294,1119316-2,"Cat. Pl. Amer. Sept.","16","","1813"
kew-2670426,A,Gentianaceae,,Bartonia,,"paniculata",subsp.,"iodandra","(Rob.) Gillett",Accepted,,L,WCSP (in review),802297,,"Rhodora","61: 54","","1959"
kew-2895542,A,Gentianaceae,,Bartonia,,"paniculata",subsp.,"texana","(Correll) K.G.Mathews, Dunne, E.York & Struwe",Accepted,,L,WCSP (in review),1018542,77099311-1,"Syst. Bot.","34: 168","","2009"
tro-50088019,A,Gentianaceae,,Bartonia,,"superba",,"","W.P.C. Barton",Unresolved,,L,TRO,50088019,,"Fl. N. Amer.","3: pl. 81","pl. 81","1823"
kew-2670437,A,Gentianaceae,,Bartonia,,"verna",,"","(Michx.) Raf. ex Barton",Accepted,,M,WCSP (in review),802308,,"Fl. Virgin.","51","","1812"
kew-2670438,A,Gentianaceae,,Bartonia,,"virginica",,"","(L.) Britton, Sterns & Poggenb.",Accepted,,M,WCSP (in review),802309,29697-2,"Prelim. Cat.","36","","1888"
kew-2672890,A,Gentianaceae,,Belmontia,,"chevalieri",,"","Abbayes & Schnell",Unresolved,,L,WCSP (in review),804749,366470-1,"Bull. Soc. Bot. France","96: 204","","1950"
kew-2672898,A,Gentianaceae,,Belmontia,,"gracilis",,"","Welw.",Unresolved,,L,WCSP (in review),804757,366478-1,"Trans. Linn. Soc. London","27: 47","","1869"
kew-2672901,A,Gentianaceae,,Belmontia,,"intermedia",,"","Knobl.",Unresolved,,L,WCSP (in review),804760,366481-1,"Bot. Centralbl.","60: 326","","1894"
kew-2672903,A,Gentianaceae,,Belmontia,,"mechowiana",,"","Schinz",Unresolved,,L,WCSP (in review),804762,366483-1,"Vierteljahrsschr. Naturf. Ges. Zürich","36: 333","","1891"
kew-2672904,A,Gentianaceae,,Belmontia,,"micrantha",,"","(E.Mey.) Gilg",Unresolved,,L,WCSP (in review),804763,366484-1,"Bot. Jahrb. Syst.","26: 102","","1898"
kew-2672905,A,Gentianaceae,,Belmontia,,"natalensis",,"","Schinz",Unresolved,,L,WCSP (in review),804764,366485-1,"Bull. Herb. Boissier","2: 220","","1894"
kew-2672906,A,Gentianaceae,,Belmontia,,"ohlendorffii",,"","Griseb.",Unresolved,,L,WCSP (in review),804765,366486-1,"Prodr.","9: 54","","1845"
kew-2672911,A,Gentianaceae,,Belmontia,,"rotundifolia",,"","Peter",Unresolved,,L,WCSP (in review),804770,366491-1,"Abh. Königl. Ges. Wiss. Göttingen, Math.-Phys. Kl.","n. f., 13(2): 89","","1928"
kew-2672912,A,Gentianaceae,,Belmontia,,"spathulata",,"","E.Mey.",Unresolved,,L,WCSP (in review),804771,366492-1,"Comm. Pl. Afr. Austr.","183","","1838"
tro-13801292,A,Gentianaceae,,Belmontia,,"teucszii",,"","Schinz",Accepted,,M,TRO,13801292,366494-1,"Vierteljahrsschr. Naturf. Ges. Zürich","36: 335–336","335","1891"
kew-374563,A,Gentianaceae,,Bertuchia,,"speciosa",,"","Dennst. ex Kostel.",Unresolved,,L,WCSP,374563,60447079-2,"Allg. Med.-Pharm. Fl.","5: 2002","","1836"
kew-2676718,A,Gentianaceae,,Bisgoeppertia,,"gracilis",,"","(Wright ex Griseb.) Kuntze",Accepted,,M,WCSP (in review),808505,366498-1,"Revis. Gen. Pl.","2: 426","","1891"
kew-2606447,A,Gentianaceae,,Bisgoeppertia,,"robustior",,"","Greuter & R.Rankin",Accepted,,M,WCSP (in review),739501,77091724-1,"Willdenowia","38: 183","","2008"
kew-2676720,A,Gentianaceae,,Bisgoeppertia,,"scandens",,"","(Spreng.) Urb.",Accepted,,M,WCSP (in review),808507,366500-1,"Symb. Antill.","7: 537","","1913"
kew-2676913,A,Gentianaceae,,Blackstonia,,"acuminata",,"","(Koch & Ziz) Domin",Accepted,,M,WCSP (in review),808697,366502-1,"Bull. Int. Acad. Tchéque Sci., Cl. Sci. Math. Nat. Méd.","34: 25","","1933"
kew-2676914,A,Gentianaceae,,Blackstonia,,"acuminata",subsp.,"aestiva","(K.Malý) Zeltner",Accepted,,L,WCSP (in review),808698,,"Bull. Soc. Neuchâteloise Sci. Nat.","93: 35","","1970"
kew-2676916,A,Gentianaceae,,Blackstonia,,"glandiflora",,"","Pau",Unresolved,,L,WCSP (in review),808700,366504-1,"Mem. Real Soc. Esp. Hist. Nat.","12: 361","","1924"
kew-2676917,A,Gentianaceae,,Blackstonia,,"grandiflora",,"","(Viv.) Maire",Accepted,,M,WCSP (in review),808701,366505-1,"Mém. Soc. Sci. Nat. Maroc","17: 41","","1927"
kew-2676918,A,Gentianaceae,,Blackstonia,,"imperfoliata",,"","(L.f.) Samp.",Accepted,,M,WCSP (in review),808702,366506-1,"Herb. Portug.","105","","1913"
kew-2676920,A,Gentianaceae,,Blackstonia,,"perfoliata",,"","(L.) Huds.",Accepted,,M,WCSP (in review),808704,366508-1,"Fl. Angl.","146","","1762"
kew-2676923,A,Gentianaceae,,Blackstonia,,"perfoliata",subsp.,"intermedia","(Ten.) Zeltner",Accepted,,L,WCSP (in review),808707,,"Bull. Soc. Neuchâteloise Sci. Nat.","93: 45","","1978"
kew-2690848,A,Gentianaceae,,Calathiana,,"orbicularis",,"","(Schur) Holub",Unresolved,,L,WCSP (in review),822489,366519-1,"Folia Geobot. Phytotax.","8: 169","","1973"
tro-13800136,A,Gentianaceae,,Calolisianthus,,"kermesinus",,"","Gilg",Unresolved,,L,TRO,13800136,,"","","",""
kew-2693027,A,Gentianaceae,,Calolisianthus,,"macranthus",,"","Gilg",Unresolved,,L,WCSP (in review),824562,42699-2,"Bot. Jahrb. Syst.","22: 346","","1896"
kew-2693030,A,Gentianaceae,,Calolisianthus,,"pendulus",,"","(Mart.) Gilg",Unresolved,,L,WCSP (in review),824565,42702-2,"Nat. Pflanzenfam.","4(2): 100","","1895"
kew-2693031,A,Gentianaceae,,Calolisianthus,,"pulcherrimus",,"","(Mart.) Gilg",Unresolved,,L,WCSP (in review),824566,42703-2,"Nat. Pflanzenfam.","4(2): 100","","1895"
kew-2696505,A,Gentianaceae,,Canscora,,"alata",,"","(Roth) Wall.",Accepted,,M,WCSP (in review),827955,366544-1,"Numer. List","4363","","1831"
kew-2696506,A,Gentianaceae,,Canscora,,"andrographioides",,"","Griff. ex C.B.Clarke",Accepted,,M,WCSP (in review),827956,326957-2,"J. Linn. Soc., Bot.","14: 431","","1875"
kew-2899531,A,Gentianaceae,,Canscora,,"bidoupensis",,"","Hul",Accepted,,M,WCSP (in review),1022244,77104064-1,"Edinburgh J. Bot.","67: 158","","2010"
kew-2696508,A,Gentianaceae,,Canscora,,"concanensis",,"","C.B.Clarke",Accepted,,M,WCSP (in review),827958,366547-1,"Fl. Brit. India","4: 104","","1883"
kew-2903342,A,Gentianaceae,,Canscora,,"devendrae",,"","R.Kr.Singh & Diwakar",Unresolved,,L,WCSP (in review),1025799,77113745-1,"Indian J. Forest.","34: 249","","2011"
kew-2696511,A,Gentianaceae,,Canscora,,"diffusa",,"","(Vahl) R.Br. ex Roem. & Schult.",Accepted,,M,WCSP (in review),827961,366552-1,"Syst. Veg.","3: 301","","1818"
kew-2696519,A,Gentianaceae,,Canscora,,"heteroclita",,"","(L.) Gilg",Accepted,,L,WCSP (in review),827969,366558-1,"Nat. Pflanzenfam.","4(2): 76","","1895"
kew-2696528,A,Gentianaceae,,Canscora,,"macrocalyx",,"","Miq.",Accepted,,M,WCSP (in review),827978,366567-1,"Fl. Ned. Ind.","2: 558","","1857"
kew-2696534,A,Gentianaceae,,Canscora,,"perfoliata",,"","Lam.",Accepted,,M,WCSP (in review),827984,366573-1,"Encycl.","1: 601","","1785"
kew-2696538,A,Gentianaceae,,Canscora,,"roxburghii",,"","Arn. ex Miq.",Accepted,,M,WCSP (in review),827988,366578-1,"Anal. Bot. Ind.","3: 11","","1852"
