ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35207852,B,Geocalycaceae,,Amphilophocolea,,"sciaphila",,"","R.M. Schust.",Accepted,,M,TRO,35207852,,"Nova Hedwigia","72: 98","98","2001"
tro-35191587,B,Geocalycaceae,,Anomylia,,"cuneifolia",,"","(Hook.) R.M. Schust.",Accepted,,M,TRO,35191587,,"Amer. Midl. Naturalist","62: 51","51","1959"
tro-35207556,B,Geocalycaceae,,Arctoscyphus,,"fuegiensis",,"","(C. Massal.) Hässel de Menéndez",Accepted,,M,TRO,35207556,,"Cryptog. Bryol. Lichénol.","17: 164","164","1996"
tro-35186988,B,Geocalycaceae,,Arctoscyphus,,"ronsmithii",,"","Hässel de Menéndez",Accepted,,M,TRO,35186988,,"Lindbergia","16: 133. f. 1–14, 25","133","1990"
tro-35201128,B,Geocalycaceae,,Campanocolea,,"fragmentissima",,"","(R.M. Schust.) R.M. Schust.",Accepted,,M,TRO,35201128,,"J. Hattori Bot. Lab.","82: 253","253","1997"
tro-35212195,B,Geocalycaceae,,Clasmatocolea,,"alpina",,"","(Rodway) Grolle",Accepted,,M,TRO,35212195,,"J. Jap. Bot.","41: 226","226","1966"
tro-35206835,B,Geocalycaceae,,Clasmatocolea,,"amplectens",,"","(Mitt.) J.J. Engel",Accepted,,M,TRO,35206835,,"J. Hattori Bot. Lab.","68: 303","303","1990"
tro-35208300,B,Geocalycaceae,,Clasmatocolea,,"cookiana",,"","(C. Massal.) J.J. Engel",Accepted,,M,TRO,35208300,,"J. Hattori Bot. Lab.","36: 156","156","1972"
tro-35185327,B,Geocalycaceae,,Clasmatocolea,,"exigua",,"","Stephani",Accepted,,M,TRO,35185327,,"Bull. Herb. Boissier, sér. 2,","6: 391 [Sp. Hep. 3: 48]","391 [Sp","1906"
tro-35201799,B,Geocalycaceae,,Clasmatocolea,,"fasciculata",,"","(Nees) Grolle",Accepted,,M,TRO,35201799,,"Rev. Bryol. Lichénol.","29: 72","72","1960"
tro-35190956,B,Geocalycaceae,,Clasmatocolea,,"fragillima",,"","Spruce",Accepted,,M,TRO,35190956,,"Trans. & Proc. Bot. Soc. Edinburgh","15: 440","440","1885"
tro-35201268,B,Geocalycaceae,,Clasmatocolea,,"fulvella",,"","(Hook. f. & Taylor) Grolle",Accepted,,M,TRO,35201268,,"Rev. Bryol. Lichénol.","29: 72","72","1960"
tro-35208303,B,Geocalycaceae,,Clasmatocolea,,"gayana",,"","(Mont.) Grolle",Accepted,,M,TRO,35208303,,"Rev. Bryol. Lichénol.","29: 72","72","1960"
tro-35190958,B,Geocalycaceae,,Clasmatocolea,,"heterostipa",,"","Spruce",Accepted,,M,TRO,35190958,,"Trans. & Proc. Bot. Soc. Edinburgh","15: 441","441","1885"
tro-35204176,B,Geocalycaceae,,Clasmatocolea,,"humilis",,"","(Hook. f. & Taylor) Grolle",Accepted,,M,TRO,35204176,,"Rev. Bryol. Lichénol.","29: 72","72","1960"
tro-35211520,B,Geocalycaceae,,Clasmatocolea,,"humilis",var.,"suspecta","(C. Massal.) J.J. Engel",Accepted,,L,TRO,35211520,,"Phytologia","41: 309","309","1979"
tro-35207186,B,Geocalycaceae,,Clasmatocolea,,"inflexispina",,"","(Hook. f. & Taylor) J.J. Engel",Accepted,,M,TRO,35207186,,"Bryologist","94: 436","436","1991"
tro-35208656,B,Geocalycaceae,,Clasmatocolea,,"innovata",,"","Herzog",Unresolved,,L,TRO,35208656,,"J. Hattori Bot. Lab.","14: 39. f. 7","39","1955"
tro-35200702,B,Geocalycaceae,,Clasmatocolea,,"minutiretis",,"","J.J. Engel & Grolle",Accepted,,M,TRO,35200702,,"Phytologia","41: 309","309","1979"
tro-35211527,B,Geocalycaceae,,Clasmatocolea,,"moniliformis",,"","J.J. Engel",Accepted,,M,TRO,35211527,,"Phytologia","41: 310","310","1979"
tro-35208305,B,Geocalycaceae,,Clasmatocolea,,"navistipula",,"","(Stephani) Grolle",Accepted,,M,TRO,35208305,,"Feddes Repert.","82: 88","88","1971"
tro-35212143,B,Geocalycaceae,,Clasmatocolea,,"notophylla",,"","(Hook. f. & Taylor) Grolle",Accepted,,M,TRO,35212143,,"J. Jap. Bot.","41: 228","228","1966"
