ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2614997,A,Gesneriaceae,,Acanthonema,,"diandrum",,"","(Engl.) B.L.Burtt",Accepted,,M,WCSP (in review),747402,,"Bull. Mus. Natl. Hist. Nat., B, Adansonia","3: 416","","1981 publ. 1982"
kew-2614998,A,Gesneriaceae,,Acanthonema,,"strigosum",,"","Hook.f.",Accepted,,M,WCSP (in review),747403,377553-1,"Bot. Mag.","88: t. 5339","","1862"
kew-2617261,A,Gesneriaceae,×,Achicodonia,,"eucodonioides",,"","(Van Houtte) Wiehler",Unresolved,,L,WCSP (in review),749644,377554-1,"Selbyana","1: 406","","1976"
tro-50259716,A,Gesneriaceae,,Achimenantha,,"naegelioides",,"","(Van Houtte) H.E. Moore",Accepted,,M,TRO,50259716,377555-1,"Baileya","19: 36","36","1973"
kew-2617267,A,Gesneriaceae,,Achimenes,,"admirabilis",,"","Wiehler",Accepted,,M,WCSP (in review),749650,301990-2,"Phytologia","73: 220","","1992"
kew-2617273,A,Gesneriaceae,,Achimenes,,"antirrhina",,"","(DC.) C.V.Morton",Accepted,,M,WCSP (in review),749656,2342-2,"Bull. Misc. Inform. Kew","1936: 11","","1936"
kew-2617277,A,Gesneriaceae,,Achimenes,,"bella",,"","C.V.Morton",Unresolved,,L,WCSP (in review),749660,2343-2,"Bull. Misc. Inform. Kew","1936: 11","","1936"
tro-50087232,A,Gesneriaceae,,Achimenes,×,"belmontiensis",,"","hort. ex Henderson",Unresolved,,L,TRO,50087232,,"Ill. Bouquet","1: t. 14","t. 14","1857"
kew-2617278,A,Gesneriaceae,,Achimenes,,"brevifolia",,"","C.V.Morton",Accepted,,M,WCSP (in review),749661,2344-2,"Bull. Misc. Inform. Kew","1938: 292","","1938"
kew-2617281,A,Gesneriaceae,,Achimenes,,"candida",,"","Lindl.",Accepted,,M,WCSP (in review),749664,377570-1,"J. Hort. Soc. London","3: 317","","1848"
tro-50259738,A,Gesneriaceae,,Achimenes,,"carminata",,"","hort.",Unresolved,,L,TRO,50259738,,"Florist Fruitist Gard. Misc.","1856: t. 119","t. 119","1856"
kew-2617283,A,Gesneriaceae,,Achimenes,,"cettoana",,"","H.E.Moore",Accepted,,M,WCSP (in review),749666,377572-1,"Baileya","8: 144","","1961"
tro-50259731,A,Gesneriaceae,,Achimenes,×,"dentoniensis",,"","hort. ex Hend.",Unresolved,,L,TRO,50259731,,"Ill. Bouquet","1: t. 14","t. 14","1857-1859"
kew-2617295,A,Gesneriaceae,,Achimenes,,"dulcis",,"","C.V.Morton",Accepted,,M,WCSP (in review),749678,2350-2,"Bull. Misc. Inform. Kew","1938: 293","","1938"
kew-2617296,A,Gesneriaceae,,Achimenes,,"eeckhautei",,"","Hend.",Unresolved,,L,WCSP (in review),749679,,"Ill. Bouquet","1: t. 14","","1857"
tro-50259733,A,Gesneriaceae,,Achimenes,×,"eeckhautei",,"","hort. ex Hend.",Unresolved,,L,TRO,50259733,,"Ill. Bouquet","1: t. 14","t. 14","1857-1859"
tro-50146487,A,Gesneriaceae,,Achimenes,,"elota",,"","Denham",Accepted,,M,TRO,50146487,,"","","",""
kew-2617298,A,Gesneriaceae,,Achimenes,,"erecta",,"","(Lam.) H.P.Fuchs",Accepted,,M,WCSP (in review),749681,2352-2,"Acta Bot. Neerl.","12: 15","","1963"
kew-2617301,A,Gesneriaceae,,Achimenes,,"fimbriata",,"","Rose ex C.V.Morton",Accepted,,M,WCSP (in review),749684,2354-2,"Bull. Misc. Inform. Kew","1936: 12","","1936"
kew-2617303,A,Gesneriaceae,,Achimenes,,"flava",,"","C.V.Morton",Accepted,,M,WCSP (in review),749686,2356-2,"Bull. Misc. Inform. Kew","1936: 13","","1936"
kew-2617306,A,Gesneriaceae,,Achimenes,×,"georgeana",,"","E.Morren",Unresolved,,L,WCSP (in review),749689,,"Belgique Hort.","10: 66","","1860"
kew-2606058,A,Gesneriaceae,,Achimenes,×,"gigantea",,"","(Planch.) Linden",Unresolved,,L,WCSP (in review),739116,77093653-1,"Cat. Pl. Exot.","10: 23","","1855"
kew-2617309,A,Gesneriaceae,,Achimenes,,"glabrata",,"","(Zucc.) Fitzg.",Accepted,,M,WCSP (in review),749692,,"Nat. Pflanzenfam.","4(36): 174","","1894"
