ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35102561,B,Grimmiaceae,,Aligrimmia,,"peruviana",,"","R.S. Williams",Accepted,,M,TRO,35102561,,"Bull. New York Bot. Gard.","3(9): 124","124","1903"
tro-35108376,B,Grimmiaceae,,Anodon,,"ventricosus",,"","Rabenh.",Unresolved,,L,TRO,35108376,,"Deutschl. Krypt.-Fl.","2(3): 154","154","1848"
tro-35214880,B,Grimmiaceae,,Bucklandiella,,"affinis",,"","(Schleich. ex F. Weber & D. Mohr) Bednarek-Ochyra & Ochyra",Accepted,,M,TRO,35214880,,"Biodivers. Poland","3: 144","144","2003"
tro-35214881,B,Grimmiaceae,,Bucklandiella,,"afoninae",,"","(Frisvoll) Bednarek-Ochyra & Ochyra",Accepted,,M,TRO,35214881,,"Biodivers. Poland","3: 144","144","2003"
tro-35214882,B,Grimmiaceae,,Bucklandiella,,"albipilifera",,"","(C. Gao & T. Cao) Bednarek-Ochyra & Ochyra",Accepted,,M,TRO,35214882,,"Biodivers. Poland","3: 144","144","2003"
tro-100366171,B,Grimmiaceae,,Bucklandiella,,"allanfifei",,"","Bednarek-Ochyra & Ochyra",Accepted,,M,TRO,100366171,,"J. Bryol.","32(4): 247","247","2010"
tro-35214884,B,Grimmiaceae,,Bucklandiella,,"angustifolia",,"","(Broth.) Bednarek-Ochyra & Ochyra",Accepted,,M,TRO,35214884,,"Biodivers. Poland","3: 144","144","2003"
tro-100367781,B,Grimmiaceae,,Bucklandiella,,"angustissima",,"","Bednarek-Ochyra & Ochyra",Accepted,,M,TRO,100367781,,"Cryptog. Bryol.","32(1): 14","14","2011"
tro-100376301,B,Grimmiaceae,,Bucklandiella,,"araucana",,"","Larraín",Accepted,,M,TRO,100376301,,"Bryologist","114(4): 737","737","2011"
tro-35214885,B,Grimmiaceae,,Bucklandiella,,"brevipes",,"","(Kindb.) Bednarek-Ochyra & Ochyra",Accepted,,M,TRO,35214885,,"Biodivers. Poland","3: 144","144","2003"
tro-35214886,B,Grimmiaceae,,Bucklandiella,,"compactula",,"","(Müll. Hal.) Bednarek-Ochyra & Ochyra",Accepted,,M,TRO,35214886,,"Biodivers. Poland","3: 144","144","2003"
