ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2621124,A,Hydrangeaceae,,Adamia,,"chinensis",,"","Gardner & Champ.",Unresolved,,L,WCSP (in review),753486,790203-1,"Hooker's J. Bot. Kew Gard. Misc.","1: 311","","1849"
kew-2621126,A,Hydrangeaceae,,Adamia,,"sumatrana",,"","Gand.",Unresolved,,L,WCSP (in review),753488,790205-1,"Bull. Soc. Bot. France","59: 709","","1913"
kew-2621127,A,Hydrangeaceae,,Adamia,,"sylvatica",,"","Meisn.",Unresolved,,L,WCSP (in review),753489,790206-1,"Repert. Bot. Syst.","2: 377","","1843"
kew-2683738,A,Hydrangeaceae,,Broussaisia,,"arguta",,"","Gaudich.",Accepted,,M,WCSP (in review),815423,790440-1,"Voy. Uranie","479","","1830"
kew-2606549,A,Hydrangeaceae,,Cardiandra,×,"agricola",,"","J.M.H.Shaw",Unresolved,,L,WCSP (in review),739600,77088364-1,"Plantsman","n.s., 7: 43","","2008"
kew-2700701,A,Hydrangeaceae,,Cardiandra,,"alternifolia",,"","(Siebold) Siebold & Zucc.",Accepted,,L,WCSP (in review),832123,790451-1,"Fl. Jap.","121","","1840"
kew-2700714,A,Hydrangeaceae,,Cardiandra,,"amamiohsimensis",,"","Koidz.",Accepted,,M,WCSP (in review),832136,790453-1,"Pl. Nov. Amami-Ohsim.","10","","1928"
kew-2700716,A,Hydrangeaceae,,Cardiandra,,"formosana",,"","Hayata",Accepted,,M,WCSP (in review),832138,790454-1,"Bot. Mag. (Tokyo)","20: 54","","1906"
kew-2700718,A,Hydrangeaceae,,Cardiandra,,"moellendorffii",,"","(Hance) Migo",Accepted,,M,WCSP (in review),832140,790456-1,"J. Jap. Bot.","18: 419","","1942"
kew-2700719,A,Hydrangeaceae,,Cardiandra,,"moellendorffii",var.,"laxiflora","(H.L.Li) C.F.Wei",Accepted,,L,WCSP (in review),832141,988512-1,"Acta Bot. Austro Sin.","10: 8","","1995"
kew-2701230,A,Hydrangeaceae,,Carpenteria,,"californica",,"","Torr.",Accepted,,M,WCSP (in review),832644,,"Smithsonian Contr. Bot.","6: 12","","1854"
kew-2737834,A,Hydrangeaceae,,Cornidia,,"radiata",,"","Oerst.",Unresolved,,L,WCSP (in review),868111,790726-1,"Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn","1856: 42","","1856"
kew-2748982,A,Hydrangeaceae,,Cyanitis,,"chinensis",,"","Hook.f. & Thomson",Unresolved,,L,WCSP (in review),878939,790747-1,"J. Proc. Linn. Soc., Bot.","2: 76","","1858"
kew-2748984,A,Hydrangeaceae,,Cyanitis,,"versicolor",,"","Hook.f. & Thomson",Unresolved,,L,WCSP (in review),878941,790749-1,"J. Proc. Linn. Soc., Bot.","2: 76","","1858"
kew-2758765,A,Hydrangeaceae,,Decumaria,,"barbara",,"","L.",Accepted,,M,WCSP (in review),888414,790767-1,"Sp. Pl. ed. 2","1663","","1763"
kew-2758771,A,Hydrangeaceae,,Decumaria,,"sinensis",,"","Oliv.",Accepted,,M,WCSP (in review),888420,790773-1,"Hooker's Icon. Pl.","18: t. 1741","","1888"
kew-2758999,A,Hydrangeaceae,,Deinanthe,,"bifida",,"","Maxim.",Accepted,,M,WCSP (in review),888633,790784-1,"Mém. Acad. Imp. Sci. Saint Pétersbourg, Sér. 7","10(16): 3","","1867"
kew-2759001,A,Hydrangeaceae,,Deinanthe,,"caerulea",,"","Stapf",Accepted,,M,WCSP (in review),888635,790785-1,"Bot. Mag.","137: t. 8373","","1911"
kew-2763161,A,Hydrangeaceae,,Deutzia,,"albida",,"","Batalin",Accepted,,M,WCSP (in review),892763,790790-1,"Trudy Imp. S.-Peterburgsk. Bot. Sada","13: 97","","1893"
kew-2763164,A,Hydrangeaceae,,Deutzia,,"aspera",,"","Rehder",Accepted,,M,WCSP (in review),892766,790793-1,"Pl. Wilson.","1: 149","","1912"
kew-2763166,A,Hydrangeaceae,,Deutzia,,"baroniana",,"","Diels",Accepted,,M,WCSP (in review),892768,790794-1,"Bot. Jahrb. Syst.","29: 372","","1900"
kew-2763168,A,Hydrangeaceae,,Deutzia,,"bhutanensis",,"","Zaik.",Accepted,,M,WCSP (in review),892770,431549-1,"Novosti Sist. Vyssh. Rast.","10: 166","","1973"
kew-2763170,A,Hydrangeaceae,,Deutzia,,"bomiensis",,"","S.M.Hwang",Accepted,,M,WCSP (in review),892772,971272-1,"Acta Bot. Austro Sin.","8: 3","","1992"
kew-2763172,A,Hydrangeaceae,,Deutzia,,"breviloba",,"","S.M.Hwang",Accepted,,M,WCSP (in review),892774,971277-1,"Acta Bot. Austro Sin.","8: 11","","1992"
kew-2763174,A,Hydrangeaceae,,Deutzia,,"bungoensis",,"","Hatus.",Accepted,,M,WCSP (in review),892776,790799-1,"J. Jap. Bot.","29: 234","","1954"
kew-2763175,A,Hydrangeaceae,,Deutzia,,"californica",,"","Carrière",Unresolved,,L,WCSP (in review),892777,790801-1,"Rev. Hort.","38: 339","","1866"
kew-2763176,A,Hydrangeaceae,,Deutzia,,"calycosa",,"","Rehder",Accepted,,M,WCSP (in review),892778,790804-1,"Pl. Wilson.","1: 149","","1912"
kew-2763178,A,Hydrangeaceae,,Deutzia,,"calycosa",var.,"macropetala","Rehder",Accepted,,L,WCSP (in review),892780,,"J. Arnold Arbor.","1: 208","","1920"
kew-2763179,A,Hydrangeaceae,,Deutzia,,"calycosa",var.,"xerophyta","(Hand.-Mazz.) S.M.Hwang",Accepted,,L,WCSP (in review),892781,971294-1,"Acta Bot. Austro Sin.","8: 26","","1992"
kew-2763180,A,Hydrangeaceae,,Deutzia,×,"candelabrum",,"","Rehder",Unresolved,,L,WCSP (in review),892782,790805-1,"Man. Cult. Trees","283","","1927"
kew-2763181,A,Hydrangeaceae,,Deutzia,×,"candida",,"","Rehder",Unresolved,,L,WCSP (in review),892783,790806-1,"Möller's Deutsche Gärtn.-Zeitung","22: 376","","1907"
kew-2763184,A,Hydrangeaceae,,Deutzia,×,"carnea",,"","Rehder",Unresolved,,L,WCSP (in review),892786,790810-1,"Man. Cult. Trees","283","","1927"
kew-2763185,A,Hydrangeaceae,,Deutzia,,"chanetii",,"","H.Lév.",Unresolved,,L,WCSP (in review),892787,790811-1,"Repert. Spec. Nov. Regni Veg.","9: 451","","1911"
kew-2763187,A,Hydrangeaceae,,Deutzia,,"cinerascens",,"","Rehder",Accepted,,M,WCSP (in review),892789,790813-1,"Pl. Wilson.","1: 146","","1912"
kew-2763188,A,Hydrangeaceae,,Deutzia,,"compacta",,"","Craib",Accepted,,M,WCSP (in review),892790,790814-1,"Bull. Misc. Inform. Kew","1913: 264","","1913"
kew-2763194,A,Hydrangeaceae,,Deutzia,,"coriacea",,"","Rehder",Accepted,,M,WCSP (in review),892796,790817-1,"Pl. Wilson.","1: 9","","1911"
kew-2763196,A,Hydrangeaceae,,Deutzia,,"corymbosa",,"","R.Br. ex G.Don",Accepted,,M,WCSP (in review),892798,790821-1,"Gen. Hist.","2: 808","","1832"
kew-2763200,A,Hydrangeaceae,,Deutzia,,"corymbosa",var.,"staurothrix","(Airy Shaw) Zaik.",Accepted,,L,WCSP (in review),892802,,"Deitsii-Dekorativnye Kustarniki","26","","1966"
