ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35217912,B,Hylocomiaceae,,Hylocomiadelphus,,"triquetrus",,"","(Hedw.) Ochyra & Stebel",Accepted,,M,TRO,35217912,,"Bryoph. Pol. Carpathians","p. 306","","2008"
tro-35164409,B,Hylocomiaceae,,Hylocomiastrum,,"himalayanum",,"","(Mitt.) Broth.",Accepted,,M,TRO,35164409,,"Nat. Pflanzenfam. (ed. 2)","11: 487","487","1925"
tro-35164410,B,Hylocomiaceae,,Hylocomiastrum,,"pyrenaicum",,"","(Spruce) M. Fleisch.",Accepted,,M,TRO,35164410,,"Nat. Pflanzenfam. (ed. 2)","11: 487","487","1925"
tro-35164413,B,Hylocomiaceae,,Hylocomiastrum,,"umbratum",,"","(Ehrh. ex Hedw.) M. Fleisch.",Accepted,,M,TRO,35164413,,"Nat. Pflanzenfam. (ed. 2)","11: 487","487","1925"
tro-35164432,B,Hylocomiaceae,,Hylocomium,,"alaskanum",,"","(Lesq. & James) Austin",Accepted,,M,TRO,35164432,,"Bull. Torrey Bot. Club","7: 7","7","1880"
tro-35164436,B,Hylocomiaceae,,Hylocomium,,"brevirostre",,"","(Brid.) Schimp.",Accepted,,M,TRO,35164436,,"Bryol. Eur.","5: 178 (fasc. 49–51. Monogr. 10)","178","1852"
tro-35162636,B,Hylocomiaceae,,Hylocomium,,"brevirostre",var.,"cavifolium","(Sande Lac.) Nog.",Accepted,,L,TRO,35162636,,"J. Jap. Bot.","36: 117","117","1961"
tro-35164442,B,Hylocomiaceae,,Hylocomium,,"clarescens",,"","(Mitt.) Broth.",Accepted,,M,TRO,35164442,,"Index Bryol. (ed. 2)","2: 351","351","1904"
tro-35182657,B,Hylocomiaceae,,Hylocomium,,"dentatum",,"","(Thér.) Steere",Accepted,,M,TRO,35182657,,"Monogr. Syst. Bot. Missouri Bot. Gard.","11: 164","164","1985"
tro-35164444,B,Hylocomiaceae,,Hylocomium,,"ehrenbergianum",,"","(Müll. Hal.) Besch.",Accepted,,M,TRO,35164444,,"Mém. Soc. Sci. Nat. Cherbourg","16: 255","255","1872"
tro-35164447,B,Hylocomiaceae,,Hylocomium,,"flagellare",,"","(Schimp.) Kindb.",Accepted,,M,TRO,35164447,,"Bih. Kongl. Svenska Vetensk.-Akad. Handl.","7(9): 43","43","1883"
tro-35164452,B,Hylocomiaceae,,Hylocomium,,"himalayanum",,"","(Mitt.) A. Jaeger",Accepted,,M,TRO,35164452,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1877–78: 348 (Gen. Sp. Musc. 2: 621)","348 ","1880"
tro-35164454,B,Hylocomiaceae,,Hylocomium,,"indicum",,"","Dixon",Accepted,,M,TRO,35164454,,"Notes Roy. Bot. Gard. Edinburgh","19: 299. f. 13","299","1938"
tro-35169499,B,Hylocomiaceae,,Hylocomium,,"interruptum",,"","(Brid.) Margad.",Accepted,,M,TRO,35169499,,"Lindbergia","1: 128","128","1972"
tro-35164456,B,Hylocomiaceae,,Hylocomium,,"japonicum",,"","Schimp.",Accepted,,M,TRO,35164456,,"Ann. Sci. Nat., Bot., sér. 7,","17: 390","390","1893"
tro-35162640,B,Hylocomiaceae,,Hylocomium,,"laevigatum",,"","(Lindb.) Iisiba",Accepted,,M,TRO,35162640,,"Classif. Mosses Japan","151","151","1932"
tro-35164457,B,Hylocomiaceae,,Hylocomium,,"lagurus",,"","(Hook.) Kindb.",Accepted,,M,TRO,35164457,,"Rev. Bryol.","12: 31","31","1885"
tro-35164458,B,Hylocomiaceae,,Hylocomium,,"loreum",,"","(Hedw.) Schimp.",Accepted,,M,TRO,35164458,,"Bryol. Eur.","5: 175. 490 (fasc. 49–51. Mon. 7. 4)","175","1852"
