ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-100372670,P,Hymenophyllaceae,,Abrodictyum,,"angustimarginatum",,"","(Bonap.) J.P. Roux",Accepted,,M,TRO,100372670,77100564-1,"Strelitzia","23: 37","37","2009"
ifn-29920,P,Hymenophyllaceae,,Abrodictyum,,"asae-grayi",,"","Ebihara & K.Iwats.",Unresolved,,L,IPNI,77076739-1,77076739-1,"Blumea","51(2): 243","","2006"
tro-26611152,P,Hymenophyllaceae,,Abrodictyum,,"boninense",,"","Tagawa & K. Iwats.",Accepted,,M,TRO,26611152,17367420-1,"Acta Phytotax. Geobot.","17: 165","165","1958"
ifn-29922,P,Hymenophyllaceae,,Abrodictyum,,"brassii",,"","Ebihara & K.Iwats.",Unresolved,,L,IPNI,77076681-1,77076681-1,"Blumea","51(2): 243","","2006"
ifn-29923,P,Hymenophyllaceae,,Abrodictyum,,"caudatum",,"","Ebihara & K.Iwats.",Unresolved,,L,IPNI,77076682-1,77076682-1,"Blumea","51(2): 243","","2006"
tro-50305705,P,Hymenophyllaceae,,Abrodictyum,,"cellulosum",,"","(Klotzsch) Ebihara & Dubuisson",Accepted,,M,TRO,50305705,,"","","",""
ifn-29925,P,Hymenophyllaceae,,Abrodictyum,,"clathratum",,"","Ebihara & K.Iwats.",Unresolved,,L,IPNI,77076683-1,77076683-1,"Blumea","51(2): 243","","2006"
tro-100372671,P,Hymenophyllaceae,,Abrodictyum,,"cupressoides",,"","(Desv.) Ebihara & Duboisson",Accepted,,M,TRO,100372671,,"Blumea","51(2): 244","244","2006"
ifn-29928,P,Hymenophyllaceae,,Abrodictyum,,"dentatum",,"","Ebihara & K.Iwats.",Unresolved,,L,IPNI,77076691-1,77076691-1,"Blumea","51(2): 244","","2006"
ifn-29929,P,Hymenophyllaceae,,Abrodictyum,,"elongatum",,"","Ebihara & K.Iwats.",Unresolved,,L,IPNI,77076692-1,77076692-1,"Blumea","51(2): 244","","2006"
ifn-29930,P,Hymenophyllaceae,,Abrodictyum,,"flavofuscum",,"","Ebihara & K.Iwats.",Unresolved,,L,IPNI,77076684-1,77076684-1,"Blumea","51(2): 243","","2006"
ifn-29931,P,Hymenophyllaceae,,Abrodictyum,,"guineense",,"","J.P.Roux",Unresolved,,L,IPNI,77100565-1,77100565-1,"Strelitzia","23: 37","","2009"
ifn-29932,P,Hymenophyllaceae,,Abrodictyum,,"idoneum",,"","Ebihara & K.Iwats.",Unresolved,,L,IPNI,77076685-1,77076685-1,"Blumea","51(2): 243","","2006"
ifn-29933,P,Hymenophyllaceae,,Abrodictyum,,"kalimantanense",,"","Ebihara & K.Iwats.",Unresolved,,L,IPNI,77076693-1,77076693-1,"Blumea","51(2): 244","","2006"
ifn-29934,P,Hymenophyllaceae,,Abrodictyum,,"laetum",,"","Ebihara & K.Iwats.",Unresolved,,L,IPNI,77076694-1,77076694-1,"Blumea","51(2): 244","","2006"
tro-100372674,P,Hymenophyllaceae,,Abrodictyum,,"meifolium",,"","(Bory) Ebihara & K. Iwats.",Accepted,,M,TRO,100372674,60447932-2,"Blumea","51(2): 244","244","2006"
tro-100374807,P,Hymenophyllaceae,,Abrodictyum,,"obscurum",,"","(Blume) Ebihara & K. Iwats.",Accepted,,M,TRO,100374807,77076695-1,"Blumea","51(2): 244","244","2006"
ifn-29938,P,Hymenophyllaceae,,Abrodictyum,,"pluma",,"","Ebihara & K.Iwats.",Unresolved,,L,IPNI,77076686-1,77076686-1,"Blumea","51(2): 243","","2006"
tro-50305706,P,Hymenophyllaceae,,Abrodictyum,,"rigidum",,"","(Sw.) Ebihara & Dubuisson",Accepted,,M,TRO,50305706,60447926-2,"Blumea","51(2): 243","243","2006"
ifn-29940,P,Hymenophyllaceae,,Abrodictyum,,"schlechteri",,"","Ebihara & K.Iwats.",Unresolved,,L,IPNI,77076687-1,77076687-1,"Blumea","51(2): 243","","2006"
ifn-29941,P,Hymenophyllaceae,,Abrodictyum,,"setaceum",,"","Ebihara & K.Iwats.",Unresolved,,L,IPNI,77076697-1,77076697-1,"Blumea","51(2): 244","","2006"
tro-50310148,P,Hymenophyllaceae,,Abrodictyum,,"sprucei",,"","(Baker) Ebihara & Dubuisson",Accepted,,M,TRO,50310148,77076698-1,"Blumea","51(2): 244","244","2006"
ifn-29943,P,Hymenophyllaceae,,Abrodictyum,,"strictum",,"","Ebihara & K.Iwats.",Unresolved,,L,IPNI,77076688-1,77076688-1,"Blumea","51(2): 243","","2006"
tro-100372679,P,Hymenophyllaceae,,Abrodictyum,,"stylosum",,"","(Poir.) J.P. Roux",Accepted,,M,TRO,100372679,77100566-1,"Strelitzia","23: 38","38",""
tro-100372772,P,Hymenophyllaceae,,Abrodictyum,,"tamarisciforme",,"","(Jacq.) Ebihara & Dubuisson",Accepted,,M,TRO,100372772,77076699-1,"Blumea","51(2): 244","244","2006"
ifn-29947,P,Hymenophyllaceae,,Achomanes,,"membranaceum",,"","Greene",Unresolved,,L,IPNI,2404-2,2404-2,"Pittonia","4: 104","","1900"
tro-100361717,P,Hymenophyllaceae,,Amphipterum,,"fuscum",,"","(Blume) Copel.",Accepted,,M,TRO,100361717,,"","","",""
ifn-29950,P,Hymenophyllaceae,,Amphipterum,,"geluense",,"","Copel.",Unresolved,,L,IPNI,17368890-1,17368890-1,"Philipp. J. Sci.","67: 47","","1938"
ifn-29951,P,Hymenophyllaceae,,Amphipterum,,"humatoides",,"","Copel.",Unresolved,,L,IPNI,17368900-1,17368900-1,"Philipp. J. Sci.","73: 465","","1941"
ifn-29952,P,Hymenophyllaceae,,Amphipterum,,"laminatum",,"","Copel.",Unresolved,,L,IPNI,17368910-1,17368910-1,"Philipp. J. Sci.","67: 47","","1938"
ifn-29953,P,Hymenophyllaceae,,Amphipterum,,"ledermannii",,"","Copel.",Unresolved,,L,IPNI,17368920-1,17368920-1,"Philipp. J. Sci.","67: 47","","1938"
ifn-29955,P,Hymenophyllaceae,,Apteropteris,,"applanata",,"","A.M.Gray & R.G.Williams",Unresolved,,L,IPNI,17551250-1,17551250-1,"Muelleria","4(2): 169","","1979"
ifn-29956,P,Hymenophyllaceae,,Apteropteris,,"malingii",,"","Copel.",Unresolved,,L,IPNI,17369970-1,17369970-1,"Philipp. J. Sci.","67: 35, t. 1","","1938"
tro-50172244,P,Hymenophyllaceae,,Bergera,,"integrifolia",,"","G. Don",Unresolved,,L,TRO,50172244,771520-1,"Gen. Hist.","1: 586","586","1831"
kew-2674842,P,Hymenophyllaceae,,Bergera,,"intermedia",,"","Zoll. & Moritzi",Unresolved,,L,WCSP (in review),806672,771521-1,"Syst. Verz. Java","24","","1846"
ifn-29961,P,Hymenophyllaceae,,Buesia,,"jamesonii",,"","Copel.",Unresolved,,L,IPNI,37839-2,37839-2,"Philipp. J. Sci.","67: 48","","1938"
tro-26606223,P,Hymenophyllaceae,,Buesia,,"mirifica",,"","(C.V. Morton) Copel.",Accepted,,M,TRO,26606223,37841-2,"Philipp. J. Sci.","67(1): 48","48","1938"
ifn-29964,P,Hymenophyllaceae,,Buesia,,"sodiroi",,"","Copel.",Unresolved,,L,IPNI,37842-2,37842-2,"Philipp. J. Sci.","67: 48","","1939"
tro-26624205,P,Hymenophyllaceae,,Callistopteris,,"baldwinii",,"","Copel.",Unresolved,,L,TRO,26624205,,"","","",""
ifn-29968,P,Hymenophyllaceae,,Callistopteris,,"baueriana",,"","Copel.",Unresolved,,L,IPNI,17375190-1,17375190-1,"Philipp. J. Sci.","67: 65","","1938"
