ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35160954,B,Hypnaceae,,Acosta,,"conostega",,"","Müll. Hal.",Unresolved,,L,TRO,35160954,,"Bull. Torrey Bot. Club","31: 321","321","1904"
tro-35102207,B,Hypnaceae,,Acosta,,"swartzii",,"","(Schwägr.) Müll. Hal.",Accepted,,M,TRO,35102207,,"Linnaea","21: 191","191","1848"
tro-35169689,B,Hypnaceae,,Allorgea,,"berthelotiana",,"","(Mont.) Ando",Accepted,,M,TRO,35169689,,"Rev. Bryol. Lichénol.","39: 531","531","1973"
tro-35100009,B,Hypnaceae,,Andoa,,"berthelotiana",,"","(Mont.) Ochyra",Accepted,,M,TRO,35100009,,"J. Bryol.","12: 31","31","1982"
tro-35218111,B,Hypnaceae,,Austrohondaella,,"limata",,"","(Hook. f. & Wilson) Z. Iwats., H.P. Ramsay & Fife",Accepted,,M,TRO,35218111,,"Telopea","12: 362","362","2009"
tro-35115360,B,Hypnaceae,,Breidleria,,"africana",,"","P. de la Varde",Accepted,,M,TRO,35115360,,"Bull. Soc. Bot. France","87: 362. f. 2: 18","362","1940"
tro-35115361,B,Hypnaceae,,Breidleria,,"amabilis",,"","(Mitt.) Herzog",Accepted,,M,TRO,35115361,,"Biblioth. Bot.","87: 151","151","1916"
tro-35115362,B,Hypnaceae,,Breidleria,,"arcuata",,"","(Molendo) Loeske",Accepted,,M,TRO,35115362,,"Stud. Morph. Syst. Laubm.","172","172","1910"
tro-35115363,B,Hypnaceae,,Breidleria,,"arcuata",var.,"demissa","(Schimp.) Riehm.",Accepted,,L,TRO,35115363,,"Sitzungsber. Abh. Naturwiss. Ges. Isis Dresden","1926: 81","81","1927"
tro-35115365,B,Hypnaceae,,Breidleria,,"arcuata",var.,"elata","(Schimp.) Riehm.",Accepted,,L,TRO,35115365,,"Sitzungsber. Abh. Naturwiss. Ges. Isis Dresden","1926: 80","80","1927"
tro-35115367,B,Hypnaceae,,Breidleria,,"curvifolia",,"","(Hedw.) M. Fleisch.",Accepted,,M,TRO,35115367,,"Nova Guinea","12(2): 122","122","1914"
tro-35186492,B,Hypnaceae,,Breidleria,,"erectiuscula",,"","(Sull. & Lesq.) Hedenäs",Accepted,,M,TRO,35186492,,"Lindbergia","16: 167","167","1990"
tro-35115368,B,Hypnaceae,,Breidleria,,"homaliacea",,"","(Besch.) Broth.",Accepted,,M,TRO,35115368,,"Nat. Pflanzenfam. (ed. 2)","11: 455","455","1925"
tro-35183184,B,Hypnaceae,,Breidleria,,"lindbergii",,"","(Mitt.) W. Schultze-Motel",Accepted,,M,TRO,35183184,,"Nova Hedwigia","5: 88","88","1963"
tro-35115370,B,Hypnaceae,,Breidleria,,"ochracea",,"","(Turner ex Wilson) Loeske",Accepted,,M,TRO,35115370,,"Stud. Morph. Syst. Laubm.","172","172","1910"
tro-35161422,B,Hypnaceae,,Breidleria,,"platyclada",,"","(Cardot) Iisiba",Accepted,,M,TRO,35161422,,"Classif. Mosses Japan","68","68","1932"
tro-35115374,B,Hypnaceae,,Breidleria,,"plumaeformis",,"","(Wilson) M. Fleisch.",Accepted,,M,TRO,35115374,,"Nova Guinea","12(2): 122","122","1914"
tro-35183756,B,Hypnaceae,,Bryocrumia,,"vivicolor",,"","(Broth. & Dixon) W.R. Buck",Accepted,,M,TRO,35183756,,"Mem. New York Bot. Gard.","45: 522","522","1987"
tro-35115798,B,Hypnaceae,,Bryosedgwickia,,"aurea",,"","(Schwägr.) M. Fleisch.",Accepted,,M,TRO,35115798,,"Hedwigia","63: 211","211","1922"
tro-35115799,B,Hypnaceae,,Bryosedgwickia,,"aureoides",,"","(Broth. & Paris) Broth.",Accepted,,M,TRO,35115799,,"Nat. Pflanzenfam. (ed. 2)","11: 446","446","1925"
tro-35184176,B,Hypnaceae,,Bryosedgwickia,,"barlassinae",,"","Tosco & Piovano",Accepted,,M,TRO,35184176,,"Allionia","4: 175. f. 44–46","175","1956"
tro-35115800,B,Hypnaceae,,Bryosedgwickia,,"densa",,"","(Hook.) Bizot & P. de la Varde",Accepted,,M,TRO,35115800,,"Rev. Bryol. Lichénol.","20: 246","246","1951"
tro-35100372,B,Hypnaceae,,Bryosedgwickia,,"fragilifolia",,"","(Dixon) W.R. Buck",Accepted,,M,TRO,35100372,,"Brittonia","31: 393","393","1979"
tro-35115803,B,Hypnaceae,,Bryosedgwickia,,"kirtikarii",,"","Cardot & Dixon",Accepted,,M,TRO,35115803,,"J. Bot.","50: 154. pl. 517: f. 3","154","1912"
tro-35115805,B,Hypnaceae,,Bryosedgwickia,,"pringlei",,"","(Cardot) Bizot & P. de la Varde",Accepted,,M,TRO,35115805,,"Rev. Bryol. Lichénol.","21: 10. 1","10","1952"
tro-35207873,B,Hypnaceae,,Buckiella,,"draytonii",,"","(Sull.) Ireland",Accepted,,M,TRO,35207873,,"Novon","11: 61","61","2001"
tro-35207872,B,Hypnaceae,,Buckiella,,"undulata",,"","(Hedw.) Ireland",Accepted,,M,TRO,35207872,,"Novon","11: 55","55","2001"
tro-35169104,B,Hypnaceae,,Callicladium,,"haldanianum",,"","(Grev.) H.A. Crum",Accepted,,M,TRO,35169104,,"Bryologist","74: 167","167","1971"
tro-35161775,B,Hypnaceae,,Calliergonella,,"binervulum",,"","Broth. ex Iisiba",Accepted,,M,TRO,35161775,,"Cat. Mosses Japan","212","212","1929"
tro-35153523,B,Hypnaceae,,Calliergonella,,"complanata",,"","Cardot & Broth.",Accepted,,M,TRO,35153523,,"Kongl. Svenska Vetensk. Acad. Handl., n.s.","63(10): 67","67","1923"
tro-35169174,B,Hypnaceae,,Calliergonella,,"conardii",,"","E. Lawton",Accepted,,M,TRO,35169174,,"Moss Fl. Pacific Northwest","272. pl. 148: f. 6–10","f","1971"
tro-35153509,B,Hypnaceae,,Calliergonella,,"cuspidata",,"","(Hedw.) Loeske",Accepted,,M,TRO,35153509,,"Hedwigia","50: 248","248","1911"
tro-35153510,B,Hypnaceae,,Calliergonella,,"cuspidata",var.,"angustissima","(Mönk.) Podp.",Accepted,,L,TRO,35153510,,"Consp. Musc. Eur.","499","499","1954"
tro-35153515,B,Hypnaceae,,Calliergonella,,"cuspidata",var.,"major","(Podp.) Podp.",Accepted,,L,TRO,35153515,,"Consp. Musc. Eur.","499","499","1954"
tro-35153516,B,Hypnaceae,,Calliergonella,,"cuspidata",var.,"mollis","(H. Klinggr.) Riehm.",Accepted,,L,TRO,35153516,,"Sitzungs-Ber. Naturwiss. Ges. Isis Dresden","1926: 84","84","1927"
tro-35153518,B,Hypnaceae,,Calliergonella,,"cuspidata",var.,"pungens","(Schimp.) Latzel",Accepted,,L,TRO,35153518,,"Beih. Bot. Centralbl., Abt. 2","48(2): 503","503","1931"
