ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35115269,B,Hypnodendraceae,,Braithwaitea,,"sulcata",,"","(Hook.) A. Jaeger & Sauerb.",Accepted,,M,TRO,35115269,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1877–78: 299 (Gen. Sp. Musc. 2: ?)","299 ","1880"
tro-35217674,B,Hypnodendraceae,,Dendro-hypnum,,"auricomum",,"","(Broth. & Geh.) N. E. Bell, A.E. Newton & D. Quandt",Accepted,,M,TRO,35217674,,"Bryologist","110: 555","555","2007"
tro-35100889,B,Hypnodendraceae,,Dendro-hypnum,,"beccarii",,"","Hampe",Accepted,,M,TRO,35100889,,"Nuovo Giorn. Bot. Ital.","4: 289","289","1872"
tro-35217676,B,Hypnodendraceae,,Dendro-hypnum,,"brevipes",,"","(Broth.) N. E. Bell, A.E. Newton & D. Quandt",Accepted,,M,TRO,35217676,,"Bryologist","110: 556","556","2007"
tro-35217677,B,Hypnodendraceae,,Dendro-hypnum,,"flagelliferum",,"","(Broth. & Watts) N. E. Bell, A.E. Newton & D. Quandt",Accepted,,M,TRO,35217677,,"Bryologist","110: 556","556","2007"
tro-35217678,B,Hypnodendraceae,,Dendro-hypnum,,"fuscomucronatum",,"","(Müll. Hal.) N. E. Bell, A.E. Newton & D. Quandt",Accepted,,M,TRO,35217678,,"Bryologist","110: 556","556","2007"
tro-35217679,B,Hypnodendraceae,,Dendro-hypnum,,"milnei",,"","(Mitt.) N. E. Bell, A.E. Newton & D. Quandt",Accepted,,M,TRO,35217679,,"Bryologist","110: 556","556","2007"
tro-35217680,B,Hypnodendraceae,,Dendro-hypnum,,"opacum",,"","(M. Fleisch.) N. E. Bell, A.E. Newton & D. Quandt",Accepted,,M,TRO,35217680,,"Bryologist","110: 556","556","2007"
tro-35217681,B,Hypnodendraceae,,Dendro-hypnum,,"reinwardtii",,"","(Schwägr.) N. E. Bell, A.E. Newton & D. Quandt",Accepted,,M,TRO,35217681,,"Bryologist","110: 556","556","2007"
tro-35217682,B,Hypnodendraceae,,Dendro-hypnum,,"subspininervium",,"","(Müll. Hal.) N. E. Bell, A.E. Newton & D. Quandt",Accepted,,M,TRO,35217682,,"Bryologist","110: 556","556","2007"
tro-35165157,B,Hypnodendraceae,,Hypnodendron,,"arborescens",,"","(Mitt.) Lindb.",Accepted,,M,TRO,35165157,,"Bryol. Jav.","2: 133. 232","133","1865"
tro-35165160,B,Hypnodendraceae,,Hypnodendron,,"arcuatum",,"","(Hedw.) Lindb. ex Mitt.",Accepted,,M,TRO,35165160,,"Trans. & Proc. Roy. Soc. Victoria","19: 90","90","1882"
tro-35165161,B,Hypnodendraceae,,Hypnodendron,,"auricomum",,"","Broth. & Geh.",Accepted,,M,TRO,35165161,,"Oefvers. Förh. Finska Vetensk.-Soc.","40: 190","190","1898"
tro-35169259,B,Hypnodendraceae,,Hypnodendron,,"auricomum",subsp.,"opacum","(M. Fleisch.) A. Touw",Accepted,,L,TRO,35169259,,"Blumea","19: 259","259","1971"
tro-35165162,B,Hypnodendraceae,,Hypnodendron,,"beccarii",,"","(Hampe) A. Jaeger",Accepted,,M,TRO,35165162,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1877–78: 358 (Gen. Sp. Musc. 2: 622)","358 ","1880"
tro-35165164,B,Hypnodendraceae,,Hypnodendron,,"brevipes",,"","Broth.",Accepted,,M,TRO,35165164,,"Oefvers. Förh. Finska Vetensk.-Soc.","40: 189","189","1898"
tro-35169260,B,Hypnodendraceae,,Hypnodendron,,"camptotheca",,"","(Duby ex Besch. ex Paris) A. Touw",Accepted,,M,TRO,35169260,,"Blumea","19: 307","307","1971"
tro-35165168,B,Hypnodendraceae,,Hypnodendron,,"colensoi",,"","(Hook. & Wilson) Mitt.",Accepted,,M,TRO,35165168,,"Trans. Roy. Soc. Victoria","19: 90","90","1882"
tro-35169261,B,Hypnodendraceae,,Hypnodendron,,"comatulum",,"","(Geh. ex Broth. & Watts) A. Touw",Accepted,,M,TRO,35169261,,"Blumea","19: 307","307","1971"
tro-35169262,B,Hypnodendraceae,,Hypnodendron,,"comatum",,"","(Müll. Hal.) A. Touw",Accepted,,M,TRO,35169262,,"Blumea","19: 313","313","1971"
tro-35165169,B,Hypnodendraceae,,Hypnodendron,,"comosum",,"","(Labill.) Mitt.",Accepted,,M,TRO,35165169,,"Trans. & Proc. Roy. Soc. Victoria","19: 90","90","1882"
tro-35169263,B,Hypnodendraceae,,Hypnodendron,,"comosum",var.,"sieberi","(Müll. Hal.) A. Touw",Accepted,,L,TRO,35169263,,"Blumea","19: 319","319","1971"
tro-35169264,B,Hypnodendraceae,,Hypnodendron,,"dendroides",,"","(Brid.) A. Touw",Accepted,,M,TRO,35169264,,"Blumea","19: 320","320","1971"
tro-35165172,B,Hypnodendraceae,,Hypnodendron,,"divaricatum",,"","(Reinw. & Hornsch.) Mitt.",Accepted,,M,TRO,35165172,,"Fl. Vit.","401","401","1873"
tro-35165173,B,Hypnodendraceae,,Hypnodendron,,"diversifolium",,"","Broth. & Geh.",Accepted,,M,TRO,35165173,,"Oefvers. Förh. Finska Vetensk.-Soc.","40: 191","191","1898"
tro-35165174,B,Hypnodendraceae,,Hypnodendron,,"flagelliferum",,"","Broth. & Watts",Accepted,,M,TRO,35165174,,"J. & Proc. Roy. Soc. New South Wales","49: 156","156","1915"
tro-35165177,B,Hypnodendraceae,,Hypnodendron,,"fuscomucronatum",,"","(Müll. Hal.) A. Jaeger & Sauerb.",Accepted,,M,TRO,35165177,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1877–78: 360 (Gen. Sp. Musc. 2: 1380)","360 ","1880"
tro-35169265,B,Hypnodendraceae,,Hypnodendron,,"fuscomucronatum",subsp.,"chalmersii","(Mitt.) A. Touw",Accepted,,L,TRO,35169265,,"Blumea","19: 337","337","1971"
tro-35165179,B,Hypnodendraceae,,Hypnodendron,,"graeffeanum",,"","(Müll. Hal.) A. Jaeger",Accepted,,M,TRO,35165179,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1877–78: 358 (Gen. Sp. Musc. 2: 622)","358 ","1880"
tro-35165181,B,Hypnodendraceae,,Hypnodendron,,"heterophyllum",,"","(Colenso) A. Gepp",Accepted,,M,TRO,35165181,,"Index Bryol. Suppl.","192","192","1900"
tro-35165183,B,Hypnodendraceae,,Hypnodendron,,"junghuhnii",,"","(Müll. Hal.) A. Jaeger & Sauerb.",Accepted,,M,TRO,35165183,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1877–78: 358 (Gen. Sp. Musc. 2: ?)","358 ","1861"
tro-35165184,B,Hypnodendraceae,,Hypnodendron,,"kerrii",,"","(Mitt.) Paris",Accepted,,M,TRO,35165184,,"Index Bryol.","604","604","1896"
tro-35165185,B,Hypnodendraceae,,Hypnodendron,,"krausei",,"","(Müll. Hal.) A. Jaeger",Accepted,,M,TRO,35165185,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1877–78: 360 (Gen. Sp. Musc. 2: 624)","360 ","1880"
tro-35165192,B,Hypnodendraceae,,Hypnodendron,,"marginatum",,"","(Hook. f. & Wilson) Lindb. ex A. Jaeger & Sauerb.",Accepted,,M,TRO,35165192,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1877–78: 360 (Gen. Sp. Musc. 2: ?)","360 ","1861"
tro-35165193,B,Hypnodendraceae,,Hypnodendron,,"menziesii",,"","(Hook.) Paris",Accepted,,M,TRO,35165193,,"Index Bryol.","604","604","1895"
tro-35169266,B,Hypnodendraceae,,Hypnodendron,,"menziesii",subsp.,"splendidum","(Besch.) A. Touw",Accepted,,L,TRO,35169266,,"Blumea","19: 265","265","1971"
tro-35165194,B,Hypnodendraceae,,Hypnodendron,,"microstictum",,"","Mitt. ex A. Jaeger & Sauerb.",Accepted,,M,TRO,35165194,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1877–78: 360 (Gen. Sp. Musc. 2: ?)","360 ","1880"
tro-35165196,B,Hypnodendraceae,,Hypnodendron,,"milnei",,"","Mitt.",Accepted,,M,TRO,35165196,,"Fl. Vit.","401","401","1873"
tro-35169267,B,Hypnodendraceae,,Hypnodendron,,"milnei",subsp.,"korthalsii","(Bosch & Sande Lac. ex Paris) A. Touw",Accepted,,L,TRO,35169267,,"Blumea","19: 302","302","1971"
tro-35169268,B,Hypnodendraceae,,Hypnodendron,,"milnei",subsp.,"parvum","(Müll. Hal.) A. Touw",Accepted,,L,TRO,35169268,,"Blumea","19: 301","301","1971"
tro-35165198,B,Hypnodendraceae,,Hypnodendron,,"naumannii",,"","(Müll. Hal.) Kindb.",Accepted,,M,TRO,35165198,,"Enum. Bryin. Exot., suppl. 2,","99","99","1891"
