ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2628596,A,Ixonanthaceae,,Allantospermum,,"borneense",,"","Forman",Accepted,,M,WCSP (in review),760909,442125-1,"Kew Bull.","19: 517","","1965"
kew-2628598,A,Ixonanthaceae,,Allantospermum,,"multicaule",,"","(Capuron) Noot.",Accepted,,M,WCSP (in review),760911,442126-1,"Adansonia","n.s., 7: 163","","1967"
kew-2752998,A,Ixonanthaceae,,Cyrillopsis,,"micrantha",,"","(Steyerm.) P.E.Berry & N.Ramírez",Accepted,,M,WCSP (in review),882749,984376-1,"Novon","5: 227","","1995"
kew-2752999,A,Ixonanthaceae,,Cyrillopsis,,"paraensis",,"","Kuhlm.",Accepted,,M,WCSP (in review),882750,75419-2,"Arch. Jard. Bot. Rio de Janeiro","4: 357","","1925"
kew-2867880,A,Ixonanthaceae,,Ixonanthes,,"beccarii",,"","Hallier f.",Unresolved,,L,WCSP (in review),994539,544267-1,"Beih. Bot. Centralbl.","39(2): 10","","1921"
tro-50064881,A,Ixonanthaceae,,Ixonanthes,,"chinensis",,"","(Hook. & Arn.) Champ.",Accepted,,L,TRO,50064881,544268-1,"Proc. Linn. Soc. Lond.","2: 100","100","1850"
kew-2867882,A,Ixonanthaceae,,Ixonanthes,,"cochinchinensis",,"","Pierre",Unresolved,,L,WCSP (in review),994541,544269-1,"Fl. Forest. Cochinch.","t. 284A","","1893"
kew-2867883,A,Ixonanthaceae,,Ixonanthes,,"crassifolia",,"","Hallier f.",Unresolved,,L,WCSP (in review),994542,544270-1,"Beih. Bot. Centralbl.","39(2): 10","","1921"
kew-2867884,A,Ixonanthaceae,,Ixonanthes,,"cuneata",,"","Miq.",Unresolved,,L,WCSP (in review),994543,544271-1,"Fl. Ned. Ind., Eerste Bijv.","484","","1861"
kew-2867885,A,Ixonanthaceae,,Ixonanthes,,"dodecandra",,"","Griff.",Unresolved,,L,WCSP (in review),994544,544272-1,"Bot. Coll. Cantor","12","","1845"
kew-2867886,A,Ixonanthaceae,,Ixonanthes,,"grandiflora",,"","Hochr.",Unresolved,,L,WCSP (in review),994545,544273-1,"Pl. Bogor. Exs.","39","","1904"
kew-2867887,A,Ixonanthaceae,,Ixonanthes,,"grandifolia",,"","Ridl.",Unresolved,,L,WCSP (in review),994546,544274-1,"Bull. Misc. Inform. Kew","1930: 74","","1930"
kew-2867888,A,Ixonanthaceae,,Ixonanthes,,"hancei",,"","Pierre ex Laness.",Unresolved,,L,WCSP (in review),994547,544275-1,"Pl. Util. Col. Franç.","306","","1886"
kew-2867889,A,Ixonanthaceae,,Ixonanthes,,"icosandra",,"","Jack",Unresolved,,L,WCSP (in review),994548,544276-1,"Malayan Misc.","2(7): 53","","1822"
kew-2867890,A,Ixonanthaceae,,Ixonanthes,,"khasiana",,"","Hook.f.",Unresolved,,L,WCSP (in review),994549,544277-1,"Fl. Brit. India","1: 416","","1874"
kew-2867891,A,Ixonanthaceae,,Ixonanthes,,"longipedunculata",,"","Merr.",Unresolved,,L,WCSP (in review),994550,544278-1,"Philipp. J. Sci.","17: 264","","1920 publ. 1921"
kew-2867892,A,Ixonanthaceae,,Ixonanthes,,"lucida",,"","Blume",Unresolved,,L,WCSP (in review),994551,544279-1,"Mus. Bot.","1: 396","","1852"
kew-2867893,A,Ixonanthaceae,,Ixonanthes,,"multiflora",,"","Stapf ex Ridl.",Unresolved,,L,WCSP (in review),994552,544280-1,"Bull. Misc. Inform. Kew","1930: 75","","1930"
kew-2867894,A,Ixonanthaceae,,Ixonanthes,,"obovata",,"","Hook.f.",Unresolved,,L,WCSP (in review),994553,544281-1,"Fl. Brit. India","1: 417","","1874"
kew-2867896,A,Ixonanthaceae,,Ixonanthes,,"parvifolia",,"","Merr.",Unresolved,,L,WCSP (in review),994555,544283-1,"Univ. Calif. Publ. Bot.","13: 135","","1926"
kew-2867897,A,Ixonanthaceae,,Ixonanthes,,"petiolaris",,"","Blume",Unresolved,,L,WCSP (in review),994556,544284-1,"Mus. Bot.","1: 396","","1852"
tro-50073381,A,Ixonanthaceae,,Ixonanthes,,"philippinense",,"","Elmer",Unresolved,,L,TRO,50073381,,"Leafl. Philipp. Bot.","10: 3758","3758","1939"
kew-2867898,A,Ixonanthaceae,,Ixonanthes,,"philippinensis",,"","Elmer",Unresolved,Invalid,L,WCSP (in review),994557,544285-1,"Leafl. Philipp. Bot.","10: 3758","","1939"
tro-50171534,A,Ixonanthaceae,,Ixonanthes,,"reticulata",,"","Jack",Accepted,,M,TRO,50171534,544286-1,"Malayan Misc.","2(7): 51","51","1822"
kew-2387566,A,Ixonanthaceae,,Ochthocosmus,,"attenuatus",,"","Steyerm. & Luteyn",Accepted,,M,WCSP (in review),526229,171464-2,"Brittonia","32: 142","","1980"
tro-50061017,A,Ixonanthaceae,,Ochthocosmus,,"barrae",,"","Hallier f.",Accepted,,M,TRO,50061017,171465-2,"Beih. Bot. Centralbl.","34(2): 17","17","1921"
kew-2387539,A,Ixonanthaceae,,Ochthocosmus,,"berryi",,"","Steyerm.",Accepted,,M,WCSP (in review),526203,281454-2,"Ann. Missouri Bot. Gard.","71: 313","","1984"
kew-2387552,A,Ixonanthaceae,,Ochthocosmus,,"chippii",,"","Sprague & Hutch.",Unresolved,,L,WCSP (in review),526216,544824-1,"Trees Shrubs Gold Coast","11","","1913"
kew-2387549,A,Ixonanthaceae,,Ochthocosmus,,"cuanzensis",,"","Exell & Mendonça",Accepted,,M,WCSP (in review),526213,544827-1,"Bol. Soc. Brot.","II, 25: 106","","1951"
kew-2387548,A,Ixonanthaceae,,Ochthocosmus,,"dewewrei",,"","(Engl.) Hallier f.",Accepted,,M,WCSP (in review),526212,544828-1,"Beih. Bot. Centralbl.","39(2): 19","","1921"
kew-2387547,A,Ixonanthaceae,,Ochthocosmus,,"floribundus",,"","Gleason",Accepted,,M,WCSP (in review),526211,171466-2,"Brittonia","3: 166","","1939"
kew-2387546,A,Ixonanthaceae,,Ochthocosmus,,"gillettiae",,"","Hutch.",Unresolved,,L,WCSP (in review),526210,544830-1,"Bull. Misc. Inform. Kew","1931: 249","","1931"
kew-2387545,A,Ixonanthaceae,,Ochthocosmus,,"glaber",,"","R.Wilczek",Unresolved,,L,WCSP (in review),526209,544831-1,"Bull. Jard. Bot. État","25: 308","","1955"
