ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2767330,A,Lacistemataceae,,Didymandra,,"dentata",,"","Spreng.",Unresolved,,L,WCSP (in review),896929,462042-1,"Syst. Veg.","1: 94","","1824"
kew-2767331,A,Lacistemataceae,,Didymandra,,"purpurea",,"","Willd.",Unresolved,,L,WCSP (in review),896930,462043-1,"Sp. Pl.","4: 971","","1806"
kew-2348725,A,Lacistemataceae,,Lacistema,,"aggregatum",,"","(P.J.Bergius) Rusby",Accepted,,M,WCSP (in review),488259,134457-2,"Bull. New York Bot. Gard.","4: 447","","1907"
kew-2348727,A,Lacistemataceae,,Lacistema,,"alterum",,"","Spreng.",Unresolved,,L,WCSP (in review),488261,462046-1,"Neue Entdeck. Pflanzenk.","3: 20","","1822"
kew-2348738,A,Lacistemataceae,,Lacistema,,"berteroanum",,"","Schult.",Unresolved,,L,WCSP (in review),488272,462048-1,"Mant.","1: 66","","1822"
kew-2348730,A,Lacistemataceae,,Lacistema,,"blanchetii",,"","A.DC.",Unresolved,,L,WCSP (in review),488264,462049-1,"Prodr.","16(2): 592","","1868"
kew-2348734,A,Lacistemataceae,,Lacistema,,"ellipticum",,"","Schnizl.",Unresolved,,L,WCSP (in review),488268,462053-1,"Fl. Bras.","4(1): 285","","1857"
tro-17400005,A,Lacistemataceae,,Lacistema,,"grandifolium",,"","Schnizl.",Accepted,,M,TRO,17400005,134462-2,"Fl. Bras.","4(1): 284, pl. 81, f. 1","284","1857"
kew-2348707,A,Lacistemataceae,,Lacistema,,"hasslerianum",,"","Chodat",Accepted,,M,WCSP (in review),488241,134464-2,"Bull. Herb. Boissier","II, 3: 294","","1903"
kew-2348708,A,Lacistemataceae,,Lacistema,,"intermedium",,"","Schnizl.",Unresolved,,L,WCSP (in review),488242,134465-2,"Fl. Bras.","4(1): 281","","1857"
kew-2348709,A,Lacistemataceae,,Lacistema,,"krukovii",,"","Sleumer",Accepted,,M,WCSP (in review),488243,134466-2,"Fl. Neotrop. Monogr.","22: 184","","1980"
kew-2348710,A,Lacistemataceae,,Lacistema,,"leptostachyum",,"","Chodat & Chirtoiu",Unresolved,,L,WCSP (in review),488244,134467-2,"Bull. Soc. Bot. Genève","II, 10: 343","","1918 publ. 1919"
tro-50150759,A,Lacistemataceae,,Lacistema,,"lucidum",,"","Schnizl.",Accepted,,M,TRO,50150759,462062-1,"Fl. Bras.","4(1): 282, pl. 79, 81, f. 5","282","1857"
tro-17400023,A,Lacistemataceae,,Lacistema,,"macbridei",,"","Baehni",Accepted,,M,TRO,17400023,462063-1,"Candollea","8: 42","42","1940"
tro-17400008,A,Lacistemataceae,,Lacistema,,"macrophylla",,"","Klotzsch",Unresolved,,L,TRO,17400008,,"","","",""
tro-17400024,A,Lacistemataceae,,Lacistema,,"nena",,"","J.F. Macbr.",Accepted,,M,TRO,17400024,134470-2,"Candollea","5: 392","392","1934"
tro-17400010,A,Lacistemataceae,,Lacistema,,"polystachyum",,"","Schnizl.",Accepted,,M,TRO,17400010,462073-1,"Fl. Bras.","4(1): 284, pl. 78, f. 1","284","1857"
tro-17400011,A,Lacistemataceae,,Lacistema,,"pubescens",,"","Mart.",Accepted,,M,TRO,17400011,462074-1,"Nov. Gen. Sp. Pl.","1: 155, pl. 94","155","1824"
tro-50150758,A,Lacistemataceae,,Lacistema,,"robustum",,"","Schnizl.",Accepted,,M,TRO,50150758,462077-1,"Fl. Bras.","4(1): 281, pl. 77","281","1857"
kew-2348761,A,Lacistemataceae,,Lacistema,,"rostratum",,"","Schnizl. ex A.DC.",Unresolved,,L,WCSP (in review),488295,462079-1,"Prodr.","16(2): 593","","1868"
tro-17400014,A,Lacistemataceae,,Lacistema,,"sericiflora",,"","A. DC.",Unresolved,,L,TRO,17400014,,"","","",""
kew-2348755,A,Lacistemataceae,,Lacistema,,"trichoneurum",,"","S.F.Blake ex Knuth",Unresolved,,L,WCSP (in review),488289,462082-1,"Repert. Spec. Nov. Regni Veg. Beih.","43: 292","","1927"
kew-2348747,A,Lacistemataceae,,Lozania,,"glabrata",,"","A.H.Gentry",Unresolved,,L,WCSP (in review),488281,279877-2,"Ann. Missouri Bot. Gard.","75: 1431","","1988 publ. 1989"
tro-17400016,A,Lacistemataceae,,Lozania,,"klugii",,"","(Mansf.) Mansf.",Accepted,,M,TRO,17400016,144134-2,"Notizbl. Bot. Gart. Berlin-Dahlem","11: 596","596","1932"
kew-2348741,A,Lacistemataceae,,Lozania,,"mutisiana",,"","Schult.",Accepted,,M,WCSP (in review),488275,144136-2,"Mant.","2(Add. 1): 75","","1824"
kew-2348744,A,Lacistemataceae,,Lozania,,"pittieri",,"","(S.F.Blake) L.B.Sm.",Accepted,,M,WCSP (in review),488278,144138-2,"Phytologia","1: 138","","1935"
