ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2627091,A,Lardizabalaceae,,Akebia,,"cavaleriei",,"","H.Lév.",Unresolved,,L,WCSP (in review),759412,462092-1,"Fl. Kouy-Tchéou","47","","1914"
kew-2627093,A,Lardizabalaceae,,Akebia,,"chingshuiensis",,"","T.Shimizu",Accepted,,M,WCSP (in review),759414,462093-1,"Quart. J. Taiwan Mus.","14: 201","","1961"
kew-2627099,A,Lardizabalaceae,,Akebia,,"longiracemosa",,"","Matsum.",Accepted,,M,WCSP (in review),759420,106374-1,"Bot. Mag. (Tokyo)","13: 18","","1899"
kew-2627101,A,Lardizabalaceae,,Akebia,×,"pentaphylla",,"","(Makino) Makino",Accepted,,M,WCSP (in review),759422,,"Bot. Mag. (Tokyo)","16: 30","","1902"
tro-50064690,A,Lardizabalaceae,,Akebia,,"pentaphylla",,"","Makino",Unresolved,,L,TRO,50064690,,"","","",""
kew-2627104,A,Lardizabalaceae,,Akebia,,"quinata",,"","(Houtt.) Decne.",Accepted,,M,WCSP (in review),759425,,"Arch. Mus. Hist. Nat.","1: 195","","1839"
kew-2627108,A,Lardizabalaceae,,Akebia,,"trifoliata",,"","(Thunb.) Koidz.",Accepted,,M,WCSP (in review),759429,462097-1,"Bot. Mag. (Tokyo)","39: 310","","1925"
kew-2627109,A,Lardizabalaceae,,Akebia,,"trifoliata",subsp.,"australis","(Diels) T.Shimizu",Accepted,,L,WCSP (in review),759430,,"Quart. J. Taiwan Mus.","14: 201","","1961"
kew-2646858,A,Lardizabalaceae,,Archakebia,,"apetala",,"","(Q.Xia, J.Z.Sun & Z.X.Peng) C.Y.Wu, T.C.Chen & H.N.Qin",Accepted,,M,WCSP (in review),778923,,"Acta Phytotax. Sin.","33: 240","","1995"
kew-2679653,A,Lardizabalaceae,,Boquila,,"trifoliolata",,"","(DC.) Decne.",Accepted,,M,WCSP (in review),811378,,"Ann. Sci. Nat., Bot.","II, 12: 103","","1839"
kew-2758557,A,Lardizabalaceae,,Decaisnea,,"insignis",,"","(Griff.) Hook.f. & Thomson",Accepted,,M,WCSP (in review),888207,107240-1,"Proc. Linn. Soc. London","2: 350","","1854"
kew-2852353,A,Lardizabalaceae,,Holboellia,,"angustifolia",subsp.,"linearifolia","T.Chen & H.N.Qin",Accepted,,L,WCSP (in review),979517,999320-1,"Cathaya","8-9: 112","","1997"
kew-2852354,A,Lardizabalaceae,,Holboellia,,"angustifolia",subsp.,"obtusa","(Gagnep.) H.N.Qin",Accepted,,L,WCSP (in review),979518,999322-1,"Cathaya","8-9: 116","","1997"
