ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35186633,B,Lejeuneaceae,,Acanthocoleus,,"aberrans",,"","(Lindenb. & Gottsche) Kruijt",Accepted,,M,TRO,35186633,,"Bryophyt. Biblioth.","36: 62","62","1988"
tro-35207115,B,Lejeuneaceae,,Acanthocoleus,,"aberrans",var.,"laevis","Gradst.",Accepted,,L,TRO,35207115,,"Fl. Neotrop.","62: 193","193","1994"
tro-35207477,B,Lejeuneaceae,,Acanthocoleus,,"chrysophyllus",,"","(Lehm.) Kruijt",Accepted,,M,TRO,35207477,,"Bryophyt. Biblioth.","36: 72","72","1988"
tro-35207478,B,Lejeuneaceae,,Acanthocoleus,,"gilvus",,"","(Gottsche) Kruijt",Accepted,,M,TRO,35207478,,"Bryophyt. Biblioth.","36: 79","79","1988"
tro-35207482,B,Lejeuneaceae,,Acanthocoleus,,"javanicus",,"","(Stephani) Kruijt",Accepted,,M,TRO,35207482,,"Bryophyt. Biblioth.","36: 85","85","1988"
tro-35186632,B,Lejeuneaceae,,Acanthocoleus,,"juddii",,"","Kruijt",Accepted,,M,TRO,35186632,,"Bryophyt. Biblioth.","36: 93. pl. 12","93","1988"
tro-35207479,B,Lejeuneaceae,,Acanthocoleus,,"madagascariensis",,"","(Stephani) Kruijt",Accepted,,M,TRO,35207479,,"Bryophyt. Biblioth.","36: 98","98","1988"
tro-35186631,B,Lejeuneaceae,,Acanthocoleus,,"trigonus",,"","(Nees & Mont.) Gradst.",Accepted,,M,TRO,35186631,,"Contr. Univ. Michigan Herb.","18: 101","101","1992"
tro-35207480,B,Lejeuneaceae,,Acanthocoleus,,"yoshinaganus",,"","(S. Hatt.) Kruijt",Accepted,,M,TRO,35207480,,"Bryophyt. Biblioth.","36: 105","105","1988"
tro-35214339,B,Lejeuneaceae,,Acantholejeunea,,"dentistipula",,"","(Stephani) R.M. Schust.",Accepted,,M,TRO,35214339,,"J. Elisha Mitchell Sci. Soc.","83: 210","210","1967"
tro-35214340,B,Lejeuneaceae,,Acantholejeunea,,"spinistipula",,"","(Herzog) R.M. Schust.",Accepted,,M,TRO,35214340,,"J. Elisha Mitchell Sci. Soc.","83: 210","210","1967"
tro-35201330,B,Lejeuneaceae,,Acrolejeunea,,"allisonii",,"","Gradst.",Accepted,,M,TRO,35201330,,"Bryophyt. Biblioth.","4: 103. pl. 12","103","1975"
tro-35201332,B,Lejeuneaceae,,Acrolejeunea,,"arcuata",,"","(Nees) Grolle & Gradst.",Accepted,,M,TRO,35201332,,"J. Hattori Bot. Lab.","38: 332","332","1974"
tro-35190479,B,Lejeuneaceae,,Acrolejeunea,,"atroviridis",,"","(Spruce) Spruce ex Stephani",Accepted,,M,TRO,35190479,,"Sp. Hepat.","5: 33","33","1912"
