ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35154120,B,Lembophyllaceae,,Camptochaete,,"aciphylla",,"","Dixon & Sainsbury",Accepted,,M,TRO,35154120,,"Trans. & Proc. Roy. Soc. New Zealand","75: 183","183","1945"
tro-35154121,B,Lembophyllaceae,,Camptochaete,,"angustata",,"","(Mitt.) Reichardt",Accepted,,M,TRO,35154121,,"Reise Novara","1(3): 191","191","1870"
tro-35154122,B,Lembophyllaceae,,Camptochaete,,"arbuscula",,"","(Sm.) Reichardt",Accepted,,M,TRO,35154122,,"Reise Novara","1(3): 191","191","1870"
tro-35200996,B,Lembophyllaceae,,Camptochaete,,"curvata",,"","Tangney",Accepted,,M,TRO,35200996,,"J. Hattori Bot. Lab.","81: 107. f. 31","107","1997"
tro-35154128,B,Lembophyllaceae,,Camptochaete,,"deflexa",,"","(Wilson) A. Jaeger",Accepted,,M,TRO,35154128,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1875–76: 309 (Gen. Sp. Musc. 2: 213)","309 ","1877"
tro-35154131,B,Lembophyllaceae,,Camptochaete,,"excavata",,"","(Taylor) A. Jaeger",Accepted,,M,TRO,35154131,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1875–76: 310 (Gen. Sp. Musc. 2: 214)","310 ","1877"
tro-35161805,B,Lembophyllaceae,,Camptochaete,,"fallax",,"","(Renauld & Cardot) Renauld",Accepted,,M,TRO,35161805,,"Hist. Phys. Madagascar, Mousses: Atlas","Pl. 73","","1899"
tro-35154134,B,Lembophyllaceae,,Camptochaete,,"fruticosa",,"","Paris",Accepted,,M,TRO,35154134,,"Index Bryol. Suppl.","86","86","1900"
tro-35154135,B,Lembophyllaceae,,Camptochaete,,"gracilis",,"","(Hook. f. & Wilson) Paris",Accepted,,M,TRO,35154135,,"Index Bryol.","234","234","1894"
tro-35154136,B,Lembophyllaceae,,Camptochaete,,"leichardtii",,"","(Hampe) Broth.",Accepted,,M,TRO,35154136,,"Nat. Pflanzenfam.","I(3): 865","865","1907"
tro-100359202,B,Lembophyllaceae,,Camptochaete,,"novae-zeelandiae",,"","(E.B. Bartram & Dixon) P. Câmara",Accepted,,M,TRO,100359202,,"Novon","20(2): 139","139","2010"
tro-35141294,B,Lembophyllaceae,,Camptochaete,,"orbiculata",,"","(Thér.) H. Rob.",Accepted,,M,TRO,35141294,,"Phytologia","20: 329","329","1970"
tro-35154139,B,Lembophyllaceae,,Camptochaete,,"porotrichoides",,"","(Besch.) Broth.",Accepted,,M,TRO,35154139,,"Nat. Pflanzenfam.","I(3): 865","865","1907"
tro-35154141,B,Lembophyllaceae,,Camptochaete,,"pulvinata",,"","(Hook. f. & Wilson) A. Jaeger",Accepted,,M,TRO,35154141,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1875–76: 309 (Gen. Sp. Musc. 2: 213)","309 ","1877"
tro-35154142,B,Lembophyllaceae,,Camptochaete,,"ramulosa",,"","(Mitt.) A. Jaeger",Accepted,,M,TRO,35154142,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1875–76: 309 (Gen. Sp. Musc. 2: 213)","309 ","1877"
tro-35161808,B,Lembophyllaceae,,Camptochaete,,"schlosseri",,"","(Sendtn.) Broth. ex Paris",Accepted,,M,TRO,35161808,,"Coll. Nom. Broth.","5","5","1909"
tro-35154146,B,Lembophyllaceae,,Camptochaete,,"subporotrichoides",,"","(Broth. & Geh.) Broth.",Accepted,,M,TRO,35154146,,"Nat. Pflanzenfam.","I(3): 865","865","1907"
tro-35154149,B,Lembophyllaceae,,Camptochaete,,"vaga",,"","(Hornsch. ex Müll. Hal.) Broth.",Accepted,,M,TRO,35154149,,"Nat. Pflanzenfam.","I(3): 865","865","1907"
tro-35215599,B,Lembophyllaceae,,Dixonia,,"orientalis",,"","(Mitt.) H. Akiy. & Tsubota",Accepted,,M,TRO,35215599,,"Bryol. Res.","","","2004"
tro-35132900,B,Lembophyllaceae,,Dolichomitra,,"cymbifolia",,"","(Lindb.) Broth.",Accepted,,M,TRO,35132900,,"Nat. Pflanzenfam.","I(3): 868. 636","868","1907"
tro-35132901,B,Lembophyllaceae,,Dolichomitra,,"cymbifolia",var.,"subintegerrima","S. Okamura",Accepted,,L,TRO,35132901,,"J. Coll. Sci. Imp. Univ. Tokyo","38(4): 47","47","1916"
tro-35132904,B,Lembophyllaceae,,Dolichomitriopsis,,"crenulata",,"","S. Okamura",Accepted,,M,TRO,35132904,,"Bot. Mag. (Tokyo)","25: 66. 3","66","1911"
tro-35132905,B,Lembophyllaceae,,Dolichomitriopsis,,"diversiformis",,"","(Mitt.) Nog.",Accepted,,M,TRO,35132905,,"J. Jap. Bot.","22: 83","83","1948"
tro-35132907,B,Lembophyllaceae,,Dolichomitriopsis,,"obtusifolia",,"","(Dixon) Nog.",Accepted,,M,TRO,35132907,,"J. Hattori Bot. Lab.","4: 42","42","1950"
tro-35132908,B,Lembophyllaceae,,Dolichomitriopsis,,"sasaokae",,"","(Dixon & Thér.) Nog.",Accepted,,M,TRO,35132908,,"J. Hattori Bot. Lab.","4: 44","44","1950"
tro-35185537,B,Lembophyllaceae,,Fallaciella,,"gracilis",,"","(Hook. f. & Wilson) H.A. Crum",Accepted,,M,TRO,35185537,,"J. Hattori Bot. Lab.","69: 320","320","1991"
tro-35213896,B,Lembophyllaceae,,Fallaciella,,"robusta",,"","Tangney & Fife",Accepted,,M,TRO,35213896,,"J. Bryol.","25: 124. f. 2","124","2003"
tro-35185536,B,Lembophyllaceae,,Fifea,,"aciphylla",,"","(Dixon & Sainsbury) H.A. Crum",Accepted,,M,TRO,35185536,,"J. Hattori Bot. Lab.","69: 319","319","1991"
tro-35137896,B,Lembophyllaceae,,Isotheciadelphus,,"obtusifolius",,"","Dixon",Accepted,,M,TRO,35137896,,"J. Bot.","74: 4","4","1936"
tro-35137897,B,Lembophyllaceae,,Isotheciadelphus,,"sasaokae",,"","Dixon & Thér.",Accepted,,M,TRO,35137897,,"J. Bot.","74: 4. 4","4","1936"
tro-35138382,B,Lembophyllaceae,,Lembophyllum,,"divulsum",,"","(Hook. f. & Wilson) Lindb.",Accepted,,M,TRO,35138382,,"Index Bryol.","718","718","1897"
tro-35138383,B,Lembophyllaceae,,Lembophyllum,,"divulsum",var.,"clandestinum","(Hook. f. & Wilson) Wijk & Margad.",Accepted,,L,TRO,35138383,,"Taxon","10: 24","24","1961"
tro-35201024,B,Lembophyllaceae,,Lembophyllum,,"orbiculatum",,"","(Thér.) Tangney",Accepted,,M,TRO,35201024,,"J. Hattori Bot. Lab.","81: 147","147","1997"
tro-35184278,B,Lembophyllaceae,,Neobarbella,,"amoena",,"","(M. Fleisch. ex Broth.) J.X. Luo",Accepted,,M,TRO,35184278,,"Acta Bot. Yunnan.","11: 161","161","1989"
tro-35172265,B,Lembophyllaceae,,Neobarbella,,"comes",,"","(Griff.) Nog.",Accepted,,M,TRO,35172265,,"J. Hattori Bot. Lab.","3: 73","73","1948"
tro-35186417,B,Lembophyllaceae,,Neobarbella,,"comes",var.,"pilifera","(Broth. & M. Yasuda) B.C. Tan, S. He & Isov.",Accepted,,L,TRO,35186417,,"Cryptog. Bot.","2: 316","316","1992"
tro-35172266,B,Lembophyllaceae,,Neobarbella,,"pilifera",,"","(Broth. & M. Yasuda) Nog.",Accepted,,M,TRO,35172266,,"J. Hattori Bot. Lab.","3: 73. 28","73","1948"
tro-35129844,B,Lembophyllaceae,,Plasteurhynchium,,"canariense",,"","(A. Jaeger) M. Fleisch.",Accepted,,M,TRO,35129844,,"Nat. Pflanzenfam. (ed. 2)","11: 212","212","1925"
tro-35129845,B,Lembophyllaceae,,Plasteurhynchium,,"duriaeanum",,"","(Mont. ex Mitt.) P. Allorge",Accepted,,M,TRO,35129845,,"Bryoth. Iber.","4: 20","20","1935"
tro-35129846,B,Lembophyllaceae,,Plasteurhynchium,,"meridionale",,"","(Schimp.) M. Fleisch.",Accepted,,M,TRO,35129846,,"Nat. Pflanzenfam. (ed. 2)","11: 212","212","1925"
tro-35129848,B,Lembophyllaceae,,Plasteurhynchium,,"striatulum",var.,"cavernarum","(Molendo) Latzel",Unresolved,,L,TRO,35129848,,"Beih. Bot. Centralbl., Abt. 2","48(2): 498","498","1931"
tro-35217157,B,Lembophyllaceae,,Plasteurhynchium,,"striatulum",f.,"cavernarum","(Pfeff.) Podp.",Unresolved,,L,TRO,35217157,,"Consp. Musc. Eur.","500","500","1954"
tro-35217159,B,Lembophyllaceae,,Plasteurhynchium,,"striatulum",f.,"rubustium","(Podp.) Podp.",Unresolved,,L,TRO,35217159,,"Consp. Musc. Eur.","500","500","1954"
tro-35217162,B,Lembophyllaceae,,Plasteurhynchium,,"striatulum",f.,"stenodictyon","(Latzel) Podp.",Unresolved,,L,TRO,35217162,,"Consp. Musc. Eur.","500","500","1954"
tro-35142053,B,Lembophyllaceae,,Porotrichodendron,,"bertrandii",,"","(Renauld & Cardot) Broth.",Accepted,,M,TRO,35142053,,"Nat. Pflanzenfam. (ed. 2)","11: 206","206","1925"
tro-35142054,B,Lembophyllaceae,,Porotrichodendron,,"biforme",,"","(Hampe) Broth.",Accepted,,M,TRO,35142054,,"Nat. Pflanzenfam. (ed. 2)","11: 206","206","1925"
tro-35142057,B,Lembophyllaceae,,Porotrichodendron,,"flavidulum",,"","(Müll. Hal.) Broth.",Accepted,,M,TRO,35142057,,"Nat. Pflanzenfam. (ed. 2)","11: 206","206","1925"
tro-35142058,B,Lembophyllaceae,,Porotrichodendron,,"glaziovii",,"","(Paris) Wijk & Margad.",Accepted,,M,TRO,35142058,,"Taxon","10: 26","26","1961"
tro-35142059,B,Lembophyllaceae,,Porotrichodendron,,"gracile",,"","Herzog",Accepted,,M,TRO,35142059,,"Biblioth. Bot.","87: 121. 50","121","1916"
tro-35201321,B,Lembophyllaceae,,Porotrichodendron,,"lindigii",,"","(Hampe) W.R. Buck",Accepted,,M,TRO,35201321,,"Mem. New York Bot. Gard.","82: 108","108","1998"
tro-35167962,B,Lembophyllaceae,,Porotrichodendron,,"longipes",,"","(R.S. Williams) W.R. Buck",Accepted,,M,TRO,35167962,,"Brittonia","33: 559","559","1981"
tro-100367179,B,Lembophyllaceae,,Porotrichodendron,,"madagassum",,"","(Kiaer ex Besch.) S. Olsson, Enroth & D. Quandt",Accepted,,M,TRO,100367179,,"Taxon","60(1): 47","47","2011"
tro-35142060,B,Lembophyllaceae,,Porotrichodendron,,"mahahaicum",,"","(Müll. Hal.) M. Fleisch.",Accepted,,M,TRO,35142060,,"Musci Buitenzorg","3: 937","937","1908"
tro-35142061,B,Lembophyllaceae,,Porotrichodendron,,"nitidum",,"","(Hampe) Broth.",Accepted,,M,TRO,35142061,,"Nat. Pflanzenfam. (ed. 2)","11: 206","206","1925"
tro-35142062,B,Lembophyllaceae,,Porotrichodendron,,"porteri",,"","(Thér.) Broth.",Accepted,,M,TRO,35142062,,"Nat. Pflanzenfam. (ed. 2)","11: 206","206","1925"
tro-35142063,B,Lembophyllaceae,,Porotrichodendron,,"robustum",,"","Broth.",Accepted,,M,TRO,35142063,,"Biblioth. Bot.","87: 122. 51","122","1916"
tro-35142064,B,Lembophyllaceae,,Porotrichodendron,,"substolonaceum",,"","(Besch.) Broth.",Accepted,,M,TRO,35142064,,"Nat. Pflanzenfam. (ed. 2)","11: 206","206","1925"
tro-35142065,B,Lembophyllaceae,,Porotrichodendron,,"superbum",,"","(Taylor) Broth.",Accepted,,M,TRO,35142065,,"Biblioth. Bot.","87: 120. 49","120","1916"
tro-35142067,B,Lembophyllaceae,,Porotrichopsis,,"flacca",,"","Herzog",Accepted,,M,TRO,35142067,,"Biblioth. Bot.","87: 122. 52","122","1916"
tro-35217385,B,Lembophyllaceae,,Pseudisothecium,,"myosuroides",f.,"densum","(Renauld & Hérib.) Podp.",Unresolved,,L,TRO,35217385,,"Consp. Musc. Eur.","502","502","1954"
tro-35217387,B,Lembophyllaceae,,Pseudisothecium,,"myosuroides",f.,"integrifolium","(Papp) Podp.",Unresolved,,L,TRO,35217387,,"Consp. Musc. Eur.","502","502","1954"
tro-35217389,B,Lembophyllaceae,,Pseudisothecium,,"myosuroides",f.,"robustius","(Latzel) Podp.",Unresolved,,L,TRO,35217389,,"Consp. Musc. Eur.","502","502","1954"
tro-35142935,B,Lembophyllaceae,,Pseudisothecium,,"myosuroides",var.,"tenuinerve","(Kindb.) Podp.",Unresolved,,L,TRO,35142935,,"Consp. Musc. Eur.","503","503","1954"
tro-35142936,B,Lembophyllaceae,,Pseudisothecium,,"stoloniferum",,"","(Brid.) Grout",Accepted,,M,TRO,35142936,,"Moss Fl. N. Amer.","3: 12","12","1928"
tro-35189313,B,Lembophyllaceae,,Pseudopilotrichum,,"pandurifolium",,"","(Müll. Hal.) W.R. Buck & B. H. Allen",Accepted,,M,TRO,35189313,,"J. Hattori Bot. Lab.","75: 70","70","1994"
