ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35211750,B,Lepidolaenaceae,,Gackstroemia,,"alpina",,"","R.M. Schust.",Accepted,,M,TRO,35211750,,"J. Hattori Bot. Lab.","36: 349","349","1972"
tro-35189610,B,Lepidolaenaceae,,Gackstroemia,,"hariotiana",,"","(Besch. & C. Massal.) Grolle",Accepted,,M,TRO,35189610,,"J. Hattori Bot. Lab.","30: 12","12","1967"
tro-35212765,B,Lepidolaenaceae,,Gackstroemia,,"ljungneri",,"","(Herzog) Grolle",Accepted,,M,TRO,35212765,,"J. Hattori Bot. Lab.","30: 17","17","1967"
tro-35189613,B,Lepidolaenaceae,,Gackstroemia,,"magellanica",,"","(Lam.) Trevis.",Accepted,,M,TRO,35189613,,"Mem. Reale Ist. Lombardo Sci., Ser. 3, Cl. Sci. Mat.","4: 397","397","1877"
tro-35208244,B,Lepidolaenaceae,,Gackstroemia,,"patagonica",,"","(Stephani) Grolle",Accepted,,M,TRO,35208244,,"J. Hattori Bot. Lab.","30: 14","14","1967"
tro-35212764,B,Lepidolaenaceae,,Gackstroemia,,"schwabei",,"","(Herzog) Grolle",Accepted,,M,TRO,35212764,,"J. Hattori Bot. Lab.","30: 16","16","1967"
tro-35212767,B,Lepidolaenaceae,,Gackstroemia,,"weindorferi",,"","(Herzog) Grolle",Accepted,,M,TRO,35212767,,"J. Hattori Bot. Lab.","30: 20","20","1967"
tro-35202431,B,Lepidolaenaceae,,Lepidogyna,,"hodgsoniae",,"","(Grolle) R.M. Schust.",Accepted,,M,TRO,35202431,,"Phytologia","45: 419","419","1980"
tro-35202408,B,Lepidolaenaceae,,Lepidogyna,,"menziesii",,"","(Hook.) R.M. Schust.",Accepted,,M,TRO,35202408,,"Phytologia","45: 419","419","1980"
tro-35205219,B,Lepidolaenaceae,,Lepidolaena,,"berggrenii",,"","E.A. Hodgs.",Unresolved,,L,TRO,35205219,,"Trans. & Proc. Roy. Soc. New Zealand","87: 205","205","1959"
tro-35205220,B,Lepidolaenaceae,,Lepidolaena,,"brachyclada",,"","(Taylor ex Lehm.) Trevis.",Accepted,,M,TRO,35205220,,"Mem. Reale Ist. Lombardo Sci., Ser. 3, Cl. Sci. Mat.","4: 393","393","1877"
tro-35205240,B,Lepidolaenaceae,,Lepidolaena,,"clavigera",,"","(Hook.) Dumort. ex Trevis.",Accepted,,M,TRO,35205240,,"Mem. Reale Ist. Lombardo Sci., Ser. 3, Cl. Sci. Mat.","4: 393","393","1877"
tro-35205243,B,Lepidolaenaceae,,Lepidolaena,,"clavigera",var.,"taylorii","(Gottsche) Mitt. ex W. Martin & E.A. Hodgs.",Accepted,,L,TRO,35205243,,"Trans. & Proc. Roy. Soc. New Zealand","78: 495","495","1950"
tro-35201829,B,Lepidolaenaceae,,Lepidolaena,,"fissistipula",,"","(Stephani) Grolle",Accepted,,M,TRO,35201829,,"Haussknechtia","3: 65","65","1987"
tro-35205244,B,Lepidolaenaceae,,Lepidolaena,,"halleana",,"","Stephani",Unresolved,,L,TRO,35205244,,"Sp. Hepat.","6: 370","370","1923"
tro-35205246,B,Lepidolaenaceae,,Lepidolaena,,"hallei",,"","Stephani",Unresolved,,L,TRO,35205246,,"Kongl. Svenska Vetensk. Acad. Handl., n.s.","46(9): 74","74","1911"
tro-35189615,B,Lepidolaenaceae,,Lepidolaena,,"magellanica",,"","(Lam.) A. Evans",Accepted,,M,TRO,35189615,,"Contr. U.S. Natl. Herb.","1: 140","140","1892"
