ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35102610,B,Leucodontaceae,,Alsia,,"abietina",,"","(Hook.) Sull.",Accepted,,M,TRO,35102610,,"Icon. Musc.","115. 72b","115","1864"
tro-35102611,B,Leucodontaceae,,Alsia,,"californica",,"","(Hook. & Arn.) Sull.",Accepted,,M,TRO,35102611,,"Proc. Amer. Acad. Arts","3: 185","185","1855"
tro-35102618,B,Leucodontaceae,,Alsia,,"macounii",,"","Kindb.",Unresolved,,L,TRO,35102618,,"Bull. Torrey Bot. Club","17: 275","275","1890"
tro-35160981,B,Leucodontaceae,,Alsia,,"smithii",,"","(Hedw.) Lindb.",Accepted,,M,TRO,35160981,,"Brit. Moss Fl.","3: 206. pl. 122: A","206","1905"
tro-35178526,B,Leucodontaceae,,Antitrichia,,"californica",,"","Sull.",Accepted,,M,TRO,35178526,,"Trans. Amer. Philos. Soc.","13: 11","11","1865"
tro-35178528,B,Leucodontaceae,,Antitrichia,,"curtipendula",,"","(Timm ex Hedw.) Brid.",Accepted,,M,TRO,35178528,,"Muscol. Recent. Suppl.","4: 136","136","1819"
tro-35136125,B,Leucodontaceae,,Antitrichia,,"curtipendula",subsp.,"gigantea","(Sull. & Lesq.) Perss.",Accepted,,L,TRO,35136125,,"Lindbergia","9: 16","16","1983"
tro-35178543,B,Leucodontaceae,,Antitrichia,,"kilimandscharica",,"","Broth.",Accepted,,M,TRO,35178543,,"Bot. Jahrb. Syst.","24: 254","254","1897"
tro-35178546,B,Leucodontaceae,,Antitrichia,,"pseudocalifornia",,"","Kindb.",Accepted,,M,TRO,35178546,,"Eur. N. Amer. Bryin.","1: 9","9","1897"
tro-35179151,B,Leucodontaceae,,Astrodontium,,"canariense",,"","(Brid.) Schwägr.",Accepted,,M,TRO,35179151,,"Sp. Musc. Frond., Suppl. 2","2: 128. pl. 134","128","1824"
tro-35179153,B,Leucodontaceae,,Astrodontium,,"cryptotheca",,"","(Hampe) Schimp.",Accepted,,M,TRO,35179153,,"Mém. Soc. Sci. Nat. Cherbourg","16: 217","217","1872"
tro-35179154,B,Leucodontaceae,,Astrodontium,,"curvirostre",,"","(Hampe) Schimp.",Accepted,,M,TRO,35179154,,"Mém. Soc. Sci. Nat. Cherbourg","16: 218","218","1872"
tro-35179157,B,Leucodontaceae,,Astrodontium,,"secundum",,"","(Harv.) Besch.",Accepted,,M,TRO,35179157,,"Ann. Sci. Nat., Bot., sér. 7,","15: 73","73","1892"
tro-35113744,B,Leucodontaceae,,Bestia,,"breweriana",,"","(Lesq.) Grout",Accepted,,M,TRO,35113744,,"Moss Fl. N. Amer.","3: 10","10","1928"
tro-35113747,B,Leucodontaceae,,Bestia,,"cristata",,"","(Hampe) L.F. Koch",Accepted,,M,TRO,35113747,,"Leafl. W. Bot.","6: 25","25","1950"
tro-35113750,B,Leucodontaceae,,Bestia,,"holzingeri",,"","(Renauld & Cardot) Broth.",Accepted,,M,TRO,35113750,,"Nat. Pflanzenfam.","I(3): 858","858","1906"
tro-35113751,B,Leucodontaceae,,Bestia,,"longipes",,"","(Sull. & Lesq.) Broth.",Accepted,,M,TRO,35113751,,"Nat. Pflanzenfam.","I(3): 859","859","1906"
tro-35113752,B,Leucodontaceae,,Bestia,,"obtusatula",,"","(Kindb.) Broth.",Accepted,,M,TRO,35113752,,"Nat. Pflanzenfam.","I(3): 858","858","1906"
tro-35113753,B,Leucodontaceae,,Bestia,,"occidentalis",,"","(Kindb.) Grout",Accepted,,M,TRO,35113753,,"Moss Fl. N. Amer.","3: 264","264","1934"
tro-35161312,B,Leucodontaceae,,Bestia,,"vancouveriensis",,"","(Kindb.) Wijk & Margad.",Accepted,,M,TRO,35161312,,"Taxon","10: 24","24","1961"
tro-35100869,B,Leucodontaceae,,Dendroalsia,,"abietina",,"","(Hook.) E. Britton",Accepted,,M,TRO,35100869,,"Nat. Pflanzenfam.","I(3): 1214","1214","1909"
tro-35100871,B,Leucodontaceae,,Dendroalsia,,"circinnata",,"","(Sull.) E. Britton",Accepted,,M,TRO,35100871,,"Nat. Pflanzenfam.","I(3): 1214","1214","1909"
tro-35132965,B,Leucodontaceae,,Dozya,,"breviseta",,"","Dixon",Accepted,,M,TRO,35132965,,"Trav. Bryol.","1[13]: 12","12","1942"
tro-35132966,B,Leucodontaceae,,Dozya,,"chloroclados",,"","Paris",Unresolved,,L,TRO,35132966,,"Bull. Herb. Boissier, sér. 2,","2: 925","925","1902"
tro-35132967,B,Leucodontaceae,,Dozya,,"japonica",,"","Sande Lac.",Accepted,,M,TRO,35132967,,"Ann. Mus. Bot. Lugduno-Batavi","2: 296","296","1866"
tro-35133614,B,Leucodontaceae,,Dusenia,,"fruticella",,"","(Mitt.) Müll. Hal.",Accepted,,M,TRO,35133614,,"Hedwigia","59: 214","214","1917"
tro-35133615,B,Leucodontaceae,,Dusenia,,"incrassata",,"","Broth.",Accepted,,M,TRO,35133615,,"Bot. Jahrb. Syst.","20: 195","195","1894"
tro-35133628,B,Leucodontaceae,,Dusenia,,"ulei",,"","Müll. Hal.",Accepted,,M,TRO,35133628,,"Hedwigia","36: 107","107","1897"
tro-35140596,B,Leucodontaceae,,Eoleucodon,,"pacificus",,"","(Schimp. ex Besch.) H.A. Mill. & H. Whittier",Accepted,,M,TRO,35140596,,"Phytologia","40: 254","254","1978"
tro-35208483,B,Leucodontaceae,,Felipponea,,"assimilis",,"","(Müll. Hal.) O'Shea",Accepted,,M,TRO,35208483,,"Trop. Bryol.","20: 47","47","2001"
tro-35184097,B,Leucodontaceae,,Felipponea,,"esquirolii",,"","(Thér.) H. Akiy.",Accepted,,M,TRO,35184097,,"J. Jap. Bot.","63: 265","265","1988"
tro-35180257,B,Leucodontaceae,,Felipponea,,"hollermayeri",,"","Thér.",Accepted,,M,TRO,35180257,,"Revista Chilena Hist. Nat.","39: 20. 3 f. 10–19","20","1935"
tro-35180258,B,Leucodontaceae,,Felipponea,,"montevidensis",,"","(Müll. Hal.) Broth.",Accepted,,M,TRO,35180258,,"Nat. Pflanzenfam. (ed. 2)","11: 93","93","1925"
tro-35160128,B,Leucodontaceae,,Forsstroemia,,"borgenii",,"","(Renauld & Cardot) Paris",Accepted,,M,TRO,35160128,,"Index Bryol. (ed. 2)","2: 242","242","1904"
tro-35186359,B,Leucodontaceae,,Forsstroemia,,"canariensis",,"","(Renauld & Cardot) Enroth",Accepted,,M,TRO,35186359,,"J. Hattori Bot. Lab.","71: 79","79","1992"
tro-35160130,B,Leucodontaceae,,Forsstroemia,,"coronata",,"","(Mont.) Paris",Accepted,,M,TRO,35160130,,"Index Bryol.","498","498","1896"
tro-35160132,B,Leucodontaceae,,Forsstroemia,,"cryphaeoides",,"","Cardot",Accepted,,M,TRO,35160132,,"Bull. Soc. Bot. Genève","1: 132","132","1909"
tro-35160134,B,Leucodontaceae,,Forsstroemia,,"cuspidata",,"","(Müll. Hal.) Broth.",Accepted,,L,TRO,35160134,,"Bih. Kongl. Svenska Vetensk.-Akad. Handl.","26 Afd. 3(7): 39","39","1900"
tro-35160138,B,Leucodontaceae,,Forsstroemia,,"flagellacea",,"","(Müll. Hal.) Paris",Accepted,,M,TRO,35160138,,"Index Bryol.","498,","498,","1896"
tro-35160139,B,Leucodontaceae,,Forsstroemia,,"floridana",,"","(Lindb.) Kindb.",Accepted,,M,TRO,35160139,,"Eur. N. Amer. Bryin.","1: 7","7","1897"
tro-35160141,B,Leucodontaceae,,Forsstroemia,,"geniculata",,"","(Mitt.) Paris",Accepted,,M,TRO,35160141,,"Index Bryol.","499","499","1896"
tro-100367150,B,Leucodontaceae,,Forsstroemia,,"goughiana",,"","(Mitt.) S. Olsson, Enroth & D. Quandt",Accepted,,M,TRO,100367150,,"Taxon","60(1): 45","45","2011"
tro-35160142,B,Leucodontaceae,,Forsstroemia,,"immersa",,"","(Sull. & Lesq.) Kindb.",Accepted,,M,TRO,35160142,,"Eur. N. Amer. Bryin.","1: 7","7","1897"
tro-35160144,B,Leucodontaceae,,Forsstroemia,,"incrassata",,"","(Broth.) Paris",Accepted,,M,TRO,35160144,,"Index Bryol.","499","499","1896"
tro-35160145,B,Leucodontaceae,,Forsstroemia,,"indica",,"","(Mont.) Paris",Accepted,,M,TRO,35160145,,"Index Bryol.","499","499","1896"
tro-35160146,B,Leucodontaceae,,Forsstroemia,,"japonica",,"","(Besch.) Paris",Accepted,,M,TRO,35160146,,"Index Bryol.","499","499","1896"
tro-35168839,B,Leucodontaceae,,Forsstroemia,,"lasioides",,"","(Müll. Hal.) Nog.",Accepted,,M,TRO,35168839,,"Misc. Bryol. Lichenol.","5: 28","28","1969"
tro-35160150,B,Leucodontaceae,,Forsstroemia,,"mexicana",,"","Cardot",Accepted,,M,TRO,35160150,,"Rev. Bryol.","37: 6","6","1910"
tro-35160152,B,Leucodontaceae,,Forsstroemia,,"neckeroides",,"","Broth.",Accepted,,M,TRO,35160152,,"Rev. Bryol., n.s.","2: 7","7","1929"
tro-35167979,B,Leucodontaceae,,Forsstroemia,,"noguchii",,"","L. R. Stark",Accepted,,M,TRO,35167979,,"Misc. Bryol. Lichenol.","9: 182. f. 1","182","1983"
tro-35160154,B,Leucodontaceae,,Forsstroemia,,"occulta",,"","(Besch.) Paris",Accepted,,M,TRO,35160154,,"Index Bryol.","498","498","1896"
tro-35160157,B,Leucodontaceae,,Forsstroemia,,"producta",,"","(Hornsch.) Paris",Accepted,,M,TRO,35160157,,"Index Bryol.","499","499","1896"
tro-35160160,B,Leucodontaceae,,Forsstroemia,,"ravenelii",,"","(Austin) Kindb.",Accepted,,M,TRO,35160160,,"Eur. N. Amer. Bryin.","1: 7","7","1897"
tro-100372675,B,Leucodontaceae,,Forsstroemia,,"remotifolia",,"","(Lindb. ex Broth.) Hedenäs & Zare",Accepted,,M,TRO,100372675,,"Nova Hedwigia Beih.","138: 62","62","2010"
tro-35183529,B,Leucodontaceae,,Forsstroemia,,"stricta",,"","Lazarenko",Accepted,,M,TRO,35183529,,"Bot. Žurn. (Kiev)","2(1): 84","84","1941"
tro-35160169,B,Leucodontaceae,,Forsstroemia,,"subcoronata",,"","(Besch.) Paris",Accepted,,M,TRO,35160169,,"Index Bryol.","499","499","1896"
tro-35160170,B,Leucodontaceae,,Forsstroemia,,"subcoronata",var.,"patens","(Besch.) Paris",Accepted,,L,TRO,35160170,,"Index Bryol.","499","499","1896"
tro-35160171,B,Leucodontaceae,,Forsstroemia,,"subproducta",,"","(Müll. Hal.) Broth.",Accepted,,M,TRO,35160171,,"Nat. Pflanzenfam.","I(3): 759","759","1905"
tro-35167866,B,Leucodontaceae,,Forsstroemia,,"thomsonii",,"","(Mitt.) W.R. Buck",Accepted,,M,TRO,35167866,,"Bryologist","83: 457","457","1980"
