ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2634725,A,Linderniaceae,,Amphiolanthus,,"arenaroides",,"","Griseb.",Accepted,,M,WCSP (in review),766863,798875-1,"Cat. Pl. Cub.","187","","1866"
kew-2634726,A,Linderniaceae,,Amphiolanthus,,"bryoides",,"","Griseb.",Accepted,,M,WCSP (in review),766864,798876-1,"Cat. Pl. Cub.","186","","1866"
kew-2634727,A,Linderniaceae,,Amphiolanthus,,"longipes",,"","Urb.",Accepted,,M,WCSP (in review),766865,11599-2,"Ark. Bot.","23A(11): 42","","1931"
kew-2653393,A,Linderniaceae,,Artanema,,"bantamense",,"","Backer",Accepted,,M,WCSP (in review),785444,799412-1,"Bull. Jard. Bot. Buitenzorg","II, 12: 37","","1913"
kew-2653395,A,Linderniaceae,,Artanema,,"evrardii",,"","(Bonati) T.Yamaz.",Accepted,,M,WCSP (in review),785446,799414-1,"J. Jap. Bot.","28: 36","","1953"
kew-2653396,A,Linderniaceae,,Artanema,,"fimbriatum",,"","(Hook. ex Graham) D.Don",Accepted,,M,WCSP (in review),785447,,"Brit. Fl. Gard.","3: t. 234","","1829"
kew-2653397,A,Linderniaceae,,Artanema,,"finetianum",,"","(Bonati) T.Yamaz.",Accepted,,M,WCSP (in review),785448,799416-1,"J. Jap. Bot.","28: 34","","1953"
kew-2653399,A,Linderniaceae,,Artanema,,"longifolium",,"","(L.) Vatke",Accepted,,M,WCSP (in review),785450,799419-1,"Linnaea","43: 307","","1882"
kew-2668382,A,Linderniaceae,,Bampsia,,"lawalreana",,"","Lisowski & Mielcarek",Accepted,,M,WCSP (in review),800333,901557-1,"Bull. Jard. Bot. Natl. Belg.","53: 378","","1983"
kew-2668383,A,Linderniaceae,,Bampsia,,"symoensiana",,"","Lisowski & Mielcarek",Accepted,,M,WCSP (in review),800334,901558-1,"Bull. Jard. Bot. Natl. Belg.","53: 380","","1983"
