ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2636319,A,Loganiaceae,,Anasser,,"moluccana",,"","Lam.",Unresolved,,L,WCSP (in review),768454,545596-1,"Tabl. Encycl.","2: 40","","1794"
kew-2636320,A,Loganiaceae,,Anasser,,"rumphii",,"","Span.",Unresolved,,L,WCSP (in review),768455,545597-1,"Linnaea","15: 325","","1841"
kew-2643053,A,Loganiaceae,,Antonia,,"griffithii",,"","Wight",Unresolved,,L,WCSP (in review),775150,545654-1,"Ill. Ind. Bot.","2: t. 156b","","1848"
kew-2643055,A,Loganiaceae,,Antonia,,"ovata",,"","Pohl",Accepted,,M,WCSP (in review),775152,545655-1,"Pl. Bras. Icon. Descr.","2: 13","","1831"
kew-2679564,A,Loganiaceae,,Bonyunia,,"antoniifolia",,"","Progel",Accepted,,M,WCSP (in review),811289,545660-1,"Fl. Bras.","6(1): 288","","1868"
kew-2679565,A,Loganiaceae,,Bonyunia,,"aquatica",,"","Ducke",Accepted,,M,WCSP (in review),811290,34787-2,"Arq. Inst. Biol. Veg.","1: 211","","1935"
kew-2899401,A,Loganiaceae,,Bonyunia,,"excelsa",,"","J.R.Grant",Accepted,,M,WCSP (in review),1022128,77104860-1,"Ann. Missouri Bot. Gard.","96: 551","","2009"
kew-2899403,A,Loganiaceae,,Bonyunia,,"magnifica",,"","J.R.Grant",Accepted,,M,WCSP (in review),1022129,77104861-1,"Ann. Missouri Bot. Gard.","96: 553","","2009"
kew-2679567,A,Loganiaceae,,Bonyunia,,"minor",,"","N.E.Br.",Accepted,,M,WCSP (in review),811292,,"Trans. Linn. Soc. London, Bot.","6: 49","","1896"
kew-2899404,A,Loganiaceae,,Bonyunia,,"nobilis",,"","J.R.Grant",Accepted,,M,WCSP (in review),1022130,77104862-1,"Ann. Missouri Bot. Gard.","96: 557","","2009"
kew-2899405,A,Loganiaceae,,Bonyunia,,"pulchra",,"","Ricketson, J.R.Grant & Liesner",Accepted,,M,WCSP (in review),1022131,77104863-1,"Ann. Missouri Bot. Gard.","96: 557","","2009"
kew-2899400,A,Loganiaceae,,Bonyunia,,"spectabilis",,"","J.R.Grant",Accepted,,M,WCSP (in review),1022127,77104864-1,"Ann. Missouri Bot. Gard.","96: 558","","2009"
kew-2679568,A,Loganiaceae,,Bonyunia,,"superba",,"","R.H.Schomb. ex Progel",Accepted,,M,WCSP (in review),811293,545664-1,"Fl. Bras.","6(1): 267","","1868"
kew-2899399,A,Loganiaceae,,Bonyunia,,"venusta",,"","J.R.Grant",Accepted,,M,WCSP (in review),1022126,77104865-1,"Ann. Missouri Bot. Gard.","96: 561","","2009"
kew-2690187,A,Loganiaceae,,Caina,,"erratica",,"","Pancher ex Baill.",Unresolved,,L,WCSP (in review),821841,545994-1,"Bull. Mens. Soc. Linn. Paris","1: 264","","1880"
kew-2695728,A,Loganiaceae,,Canala,,"heliotropioides",,"","Pohl",Unresolved,,L,WCSP (in review),827186,545995-1,"Pl. Bras. Icon. Descr.","2: 63","","1830"
kew-2695730,A,Loganiaceae,,Canala,,"rubiifolia",,"","Pohl",Unresolved,,L,WCSP (in review),827188,545997-1,"Pl. Bras. Icon. Descr.","2: 65","","1830"
kew-2740714,A,Loganiaceae,,Couthovia,,"astyla",,"","Gilg & Benedict",Unresolved,,L,WCSP (in review),870982,,"Bot. Jahrb. Syst.","54: 183","","1916"
