ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2621392,A,Lythraceae,,Adenaria,,"floribunda",,"","Kunth",Accepted,,M,WCSP (in review),753754,552625-1,"Nov. Gen. Sp.","6: 188","","1823"
tro-50329499,A,Lythraceae,,Ammannia,,"aegpytiaca",,"","Willd.",Unresolved,,L,TRO,50329499,,"","","",""
kew-2633639,A,Lythraceae,,Ammannia,,"aegyptiaca",,"","Willd.",Accepted,,M,WCSP (in review),765780,552648-1,"Hort. Berol.","t. 6","","1809"
kew-2633642,A,Lythraceae,,Ammannia,,"alternifolia",,"","H.Perrier",Accepted,,M,WCSP (in review),765783,552651-1,"Notul. Syst. (Paris)","14: 308","","1953"
kew-2633643,A,Lythraceae,,Ammannia,,"anagalloides",,"","Sond.",Unresolved,,L,WCSP (in review),765784,552652-1,"Linnaea","23: 40","","1850"
kew-2633653,A,Lythraceae,,Ammannia,,"auriculata",,"","Willd.",Accepted,,M,WCSP (in review),765794,552658-1,"Hort. Berol.","1: 7","","1806"
kew-2633666,A,Lythraceae,,Ammannia,,"baccifera",,"","L.",Accepted,,L,WCSP (in review),765807,552663-1,"Sp. Pl.","120","","1753"
kew-2633681,A,Lythraceae,,Ammannia,,"borysthenica",,"","DC.",Unresolved,,L,WCSP (in review),765822,552665-1,"Prodr.","3: 78","","1828"
kew-2633687,A,Lythraceae,,Ammannia,,"coccinea",,"","Rottb.",Accepted,,M,WCSP (in review),765828,552672-1,"Pl. Hort. Univ. Rar. Prog.","7","","1773"
kew-2633690,A,Lythraceae,,Ammannia,,"coccinea",subsp.,"pubiflora","Koehne",Accepted,,L,WCSP (in review),765831,,"Bot. Jahrb. Syst.","1: 250","","1881"
kew-2633697,A,Lythraceae,,Ammannia,,"cryptantha",,"","Baker",Unresolved,,L,WCSP (in review),765838,552677-1,"J. Linn. Soc., Bot.","21: 345","","1884"
