ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2618171,A,Malpighiaceae,,Acmanthera,,"cowanii",,"","W.R.Anderson",Accepted,,M,WCSP (in review),750551,3262-2,"Contr. Univ. Michigan Herb.","11: 45","","1975"
kew-2618172,A,Malpighiaceae,,Acmanthera,,"duckei",,"","W.R.Anderson",Accepted,,M,WCSP (in review),750552,3263-2,"Contr. Univ. Michigan Herb.","11: 44","","1975"
kew-2618173,A,Malpighiaceae,,Acmanthera,,"fernandesii",,"","W.R.Anderson",Accepted,,M,WCSP (in review),750553,271526-2,"Contr. Univ. Michigan Herb.","17: 39","","1990"
kew-2618174,A,Malpighiaceae,,Acmanthera,,"latifolia",,"","(Juss.) Griseb.",Accepted,,M,WCSP (in review),750554,555308-1,"Fl. Bras.","12(1): 29","","1858"
kew-2618175,A,Malpighiaceae,,Acmanthera,,"longifolia",,"","Nied.",Accepted,,M,WCSP (in review),750555,3264-2,"Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg","5: 32","","1914"
kew-2618176,A,Malpighiaceae,,Acmanthera,,"minima",,"","W.R.Anderson",Accepted,,M,WCSP (in review),750556,3265-2,"Syst. Bot.","5: 438","","1981"
kew-2618177,A,Malpighiaceae,,Acmanthera,,"parviflora",,"","W.R.Anderson",Accepted,,M,WCSP (in review),750557,3266-2,"Contr. Univ. Michigan Herb.","11: 47","","1975"
tro-100361911,A,Malpighiaceae,,Acosmus,,"prurines",,"","Desv. ex Desf.",Unresolved,,L,TRO,100361911,,"J. Bot. (Desvaux)","3(5): 231–233","231","1815"
kew-2619959,A,Malpighiaceae,,Acridocarpus,,"adenophorus",,"","A.Juss.",Accepted,,M,WCSP (in review),752333,555315-1,"Ann. Sci. Nat., Bot.","II, 13: 271","","1840"
kew-2619961,A,Malpighiaceae,,Acridocarpus,,"alopecurus",,"","Sprague",Accepted,,M,WCSP (in review),752335,555317-1,"Bull. Misc. Inform. Kew","1909: 185","","1909"
kew-2619963,A,Malpighiaceae,,Acridocarpus,,"alternifolius",,"","(Schumach. & Thonn.) Nied.",Accepted,,M,WCSP (in review),752337,555318-1,"Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg","6: 53","","1915"
kew-2619965,A,Malpighiaceae,,Acridocarpus,,"argyrophyllus",,"","A.Juss.",Unresolved,,L,WCSP (in review),752339,555323-1,"Ann. Sci. Nat., Bot.","II, 13: 272","","1840"
kew-2619966,A,Malpighiaceae,,Acridocarpus,,"austrocaledonicus",,"","Baill.",Accepted,,M,WCSP (in review),752340,555324-1,"Adansonia","11: 248","","1876"
kew-2619967,A,Malpighiaceae,,Acridocarpus,,"ballyi",,"","Launert",Accepted,,M,WCSP (in review),752341,896326-1,"Bol. Soc. Brot.","II, 53: 164","","1980"
kew-2619969,A,Malpighiaceae,,Acridocarpus,,"camerunensis",,"","Nied.",Accepted,,M,WCSP (in review),752343,555326-1,"Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg","6: 52","","1915"
