ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2609546,A,Malvaceae,,Abelmoschus,,"aculeatus",,"","Walp.",Unresolved,,L,WCSP (in review),742429,557980-1,"Repert. Bot. Syst.","1: 308","","1842"
kew-2609550,A,Malvaceae,,Abelmoschus,,"angulosus",,"","Wall. ex Wight & Arn.",Accepted,,M,WCSP (in review),742433,557984-1,"Prodr. Fl. Ind. Orient.","53","","1834"
kew-2609565,A,Malvaceae,,Abelmoschus,,"collinsianus",,"","Alph.Wood",Unresolved,,L,WCSP (in review),742448,557997-1,"Class-book Bot.","ed. 2b: 271","","1861"
kew-2609567,A,Malvaceae,,Abelmoschus,,"crinitus",,"","Wall.",Accepted,,M,WCSP (in review),742450,557999-1,"Pl. Asiat. Rar.","1: 39","","1830"
kew-2609572,A,Malvaceae,,Abelmoschus,,"decandrus",,"","Medik.",Unresolved,,L,WCSP (in review),742455,558004-1,"Malvenfam.","46","","1787"
kew-2609574,A,Malvaceae,,Abelmoschus,,"esculentus",,"","(L.) Moench",Accepted,,M,WCSP (in review),742457,558006-1,"Methodus","617","","1794"
tro-19600125,A,Malvaceae,,Abelmoschus,,"ficulens",,"","L.",Unresolved,,L,TRO,19600125,,"","","",""
kew-2609577,A,Malvaceae,,Abelmoschus,,"ficulneus",,"","(L.) Wight & Arn.",Accepted,,L,WCSP (in review),742460,20008221-1,"Cat. Ind. Pl.","14","","1833"
tro-50332405,A,Malvaceae,,Abelmoschus,,"grewioides",,"","Baker f.",Unresolved,,L,TRO,50332405,,"","","",""
kew-2609583,A,Malvaceae,,Abelmoschus,,"hostilis",,"","(Wall. ex Mast.) M.S.Khan & M.S.Hussain",Accepted,,L,WCSP (in review),742466,60432215-2,"Bangladesh J. Pl. Taxon.","8: 115","","2001"
kew-2609587,A,Malvaceae,,Abelmoschus,,"maculatus",,"","Bartl.",Unresolved,,L,WCSP (in review),742470,558018-1,"Linnaea","12: 81","","1838"
kew-2609588,A,Malvaceae,,Abelmoschus,,"magnificus",,"","Wall.",Accepted,,M,WCSP (in review),742471,558019-1,"Numer. List","87, 1919","","1829"
kew-2609589,A,Malvaceae,,Abelmoschus,,"manihot",,"","(L.) Medik.",Accepted,,M,WCSP (in review),742472,558020-1,"Malvenfam.","46","","1787"
kew-2609593,A,Malvaceae,,Abelmoschus,,"manihot",var.,"pungens","(Roxb.) Hochr.",Accepted,,L,WCSP (in review),742476,,"Annuaire Conserv. Jard. Bot. Genève","4: 155","","1900"
kew-2609595,A,Malvaceae,,Abelmoschus,,"manihot",subsp.,"tetraphyllus","(Roxb. ex Hornem.) Borss.Waalk.",Accepted,,L,WCSP (in review),742478,,"Blumea","14: 97","","1966"
kew-2609599,A,Malvaceae,,Abelmoschus,,"moschatus",,"","Medik.",Accepted,,M,WCSP (in review),742482,558023-1,"Malvenfam.","46","","1787"
kew-2609601,A,Malvaceae,,Abelmoschus,,"moschatus",subsp.,"biakensis","(Hochr.) Borss.Waalk.",Accepted,,L,WCSP (in review),742484,,"Blumea","14: 93","","1966"
kew-2609605,A,Malvaceae,,Abelmoschus,,"moschatus",subsp.,"tuberosus","(Span.) Borss.Waalk.",Accepted,,L,WCSP (in review),742488,,"Blumea","14: 93","","1966"
kew-2609606,A,Malvaceae,,Abelmoschus,,"muliensis",,"","K.M.Feng",Accepted,,M,WCSP (in review),742489,899045-1,"Acta Bot. Yunnan.","4: 28","","1982"
kew-2609607,A,Malvaceae,,Abelmoschus,,"multiformis",,"","Wall.",Unresolved,,L,WCSP (in review),742490,558024-1,"Numer. List","87","","1829"
kew-2609612,A,Malvaceae,,Abelmoschus,,"pentaphyllus",,"","Voigt",Unresolved,,L,WCSP (in review),742495,558029-1,"Hort. Suburb. Calcutt.","119","","1845"
kew-2609613,A,Malvaceae,,Abelmoschus,,"periphractus",,"","Lem.",Unresolved,,L,WCSP (in review),742496,558030-1,"Hortus Van Houtteanus","1(2): 21, 43","","1846"
kew-2609614,A,Malvaceae,,Abelmoschus,,"persicifolius",,"","Walp.",Unresolved,,L,WCSP (in review),742497,558031-1,"Repert. Bot. Syst.","1: 308","","1842"
kew-2609626,A,Malvaceae,,Abelmoschus,,"sagittifolius",,"","(Kurz) Merr.",Accepted,,M,WCSP (in review),742509,558042-1,"Lingnaam Agric. Rev.","2: 40","","1924"
kew-2609632,A,Malvaceae,,Abelmoschus,,"theiodes",,"","Voigt",Unresolved,,L,WCSP (in review),742515,558048-1,"Hort. Suburb. Calcutt.","120","","1845"
kew-2609636,A,Malvaceae,,Abelmoschus,,"tulipiflorus",,"","(Hook.f.) Walp.",Unresolved,,L,WCSP (in review),742519,558051-1,"Repert. Bot. Syst.","5: 92","","1845"
kew-2610167,A,Malvaceae,,Abroma,,"augusta",,"","(L.) L.f.",Accepted,,M,WCSP (in review),742575,822006-1,"Suppl. Pl.","341","","1782"
kew-2610431,A,Malvaceae,,Abutilon,,"abutiloides",,"","(Jacq.) Garcke ex Hochr.",Accepted,,M,WCSP (in review),742839,1055043-2,"Annuaire Conserv. Jard. Bot. Genève","6: 22","","1902"
kew-2610434,A,Malvaceae,,Abutilon,,"affine",,"","(Spreng.) G.Don",Accepted,,M,WCSP (in review),742842,1130542-2,"Gen. Hist.","1: 503","","1831"
