ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2654534,A,Marcgraviaceae,,Ascium,,"anomalum",,"","Spreng.",Unresolved,,L,WCSP (in review),786583,828469-1,"Syst. Veg.","4(2): 207","","1827"
kew-2654537,A,Marcgraviaceae,,Ascium,,"goyazense",,"","Steud.",Unresolved,,L,WCSP (in review),786586,,"Nomencl. Bot.","ed. 2, 1: 145","","1840"
kew-2654541,A,Marcgraviaceae,,Ascium,,"paraense",,"","Steud.",Unresolved,,L,WCSP (in review),786590,,"Nomencl. Bot.","ed. 2, 1: 145","","1840"
kew-2505988,A,Marcgraviaceae,,Marcgravia,,"acuminata",,"","Miq.",Unresolved,,L,WCSP (in review),642459,829037-1,"Ann. Sci. Nat., Bot.","III, 1: 37","","1844"
kew-2505984,A,Marcgraviaceae,,Marcgravia,,"angustifolia",,"","Pav. ex Wittm.",Unresolved,,L,WCSP (in review),642455,829039-1,"Fl. Bras.","12(1): 224","","1878"
kew-2505985,A,Marcgraviaceae,,Marcgravia,,"angustifolia",,"","Ruiz & Pav.",Unresolved,,L,WCSP (in review),642456,152972-2,"Anales Inst. Bot. Cavanilles","16: 392","","1958"
tro-19800079,A,Marcgraviaceae,,Marcgravia,,"atropunctata",,"","de Roon",Accepted,,M,TRO,19800079,152973-2,"Acta Bot. Neerl.","18(1): 197–200, pl. 2","197","1969"
kew-2505983,A,Marcgraviaceae,,Marcgravia,,"brachysepala",,"","Urb.",Unresolved,,L,WCSP (in review),642454,152974-2,"Symb. Antill.","6: 17","","1909"
kew-2505991,A,Marcgraviaceae,,Marcgravia,,"brittoniana",,"","Alain",Unresolved,,L,WCSP (in review),642462,306217-2,"Moscosoa","8: 46","","1994"
kew-2506056,A,Marcgraviaceae,,Marcgravia,,"brownei",,"","(Triana & Planch.) Krug & Urb.",Accepted,,M,WCSP (in review),642527,152975-2,"Symb. Antill.","1: 367","","1899"
kew-2505689,A,Marcgraviaceae,,Marcgravia,,"caudata",,"","Triana & Planch.",Accepted,,M,WCSP (in review),642160,829042-1,"Ann. Sci. Nat., Bot.","IV, 17: 362","","1862"
tro-50223747,A,Marcgraviaceae,,Marcgravia,,"comosa",,"","C. Presl",Accepted,,M,TRO,50223747,,"","","",""
kew-2505686,A,Marcgraviaceae,,Marcgravia,,"cordachidia",,"","Ruiz & Pav.",Unresolved,,L,WCSP (in review),642157,152978-2,"Anales Inst. Bot. Cavanilles","16: 394","","1958"
kew-2505685,A,Marcgraviaceae,,Marcgravia,,"coriacea",,"","Vahl",Accepted,,M,WCSP (in review),642156,829045-1,"Eclog. Amer.","2: 39","","1798"
kew-2505684,A,Marcgraviaceae,,Marcgravia,,"corumbensis",,"","Taub.",Unresolved,,L,WCSP (in review),642155,,"Bot. Jahrb. Syst.","21: 444","","1896"
tro-19800004,A,Marcgraviaceae,,Marcgravia,,"crassicostata",,"","Gilg",Accepted,,M,TRO,19800004,,"","","",""
tro-19800181,A,Marcgraviaceae,,Marcgravia,,"crassiflora",,"","Sleumer",Accepted,,M,TRO,19800181,152981-2,"Notizbl. Bot. Gart. Berlin-Dahlem","15: 376","376","1941"
tro-19800005,A,Marcgraviaceae,,Marcgravia,,"crenata",,"","Poepp. ex Wittm.",Accepted,,M,TRO,19800005,,"Fl. Bras.","12(1): 223–224, t. 41, f. 3","223","1878"
kew-2505677,A,Marcgraviaceae,,Marcgravia,,"cyrtogastra",,"","Delponte",Unresolved,,L,WCSP (in review),642148,,"Atti Soc. Ital. Sci. Nat.","12: 183","","1869"
kew-2505676,A,Marcgraviaceae,,Marcgravia,,"cyrtonota",,"","Delponte",Unresolved,,L,WCSP (in review),642147,,"Atti Soc. Ital. Sci. Nat.","12: 183","","1869"
tro-19800008,A,Marcgraviaceae,,Marcgravia,,"dasyantha",,"","Gilg",Accepted,,M,TRO,19800008,152984-2,"Bot. Jahrb. Syst.","25(Beibl. 60): 25","25","1898"
kew-2505674,A,Marcgraviaceae,,Marcgravia,,"domingensis",,"","Urb.",Unresolved,,L,WCSP (in review),642145,152985-2,"Symb. Antill.","7: 522","","1913"
tro-50227636,A,Marcgraviaceae,,Marcgravia,,"dressleri",,"","Gir.-Cañas",Accepted,,M,TRO,50227636,20009086-1,"Revista Acad. Colomb. Ci. Exact.","26(100): 368–369, f. 1","368","2002"
kew-2505647,A,Marcgraviaceae,,Marcgravia,,"eichleriana",,"","Wittm.",Accepted,,M,WCSP (in review),642118,829055-1,"Fl. Bras.","12(1): 230","","1878"
kew-2505614,A,Marcgraviaceae,,Marcgravia,,"elegans",,"","Krug & Urb.",Unresolved,,L,WCSP (in review),642085,152987-2,"Symb. Antill.","1: 365","","1899"
kew-2505658,A,Marcgraviaceae,,Marcgravia,,"evenia",,"","Krug & Urb.",Unresolved,,L,WCSP (in review),642129,152988-2,"Bot. Jahrb. Syst.","21: 518","","1896"
tro-100369003,A,Marcgraviaceae,,Marcgravia,,"evenia",subsp.,"calcicola","(Britton) S. Dressler",Unresolved,,L,TRO,100369003,1019212-1,"Fl. Rep. Cuba, Ser. A. Pl. Vasc.","5(4): 7","7","2000"
tro-19800112,A,Marcgraviaceae,,Marcgravia,,"flagellaris",,"","(Poepp. ex Wittm.) Poepp. ex Gilg & Werderm.",Accepted,,M,TRO,19800112,,"Nat. Pflanzenfam. (ed. 2)","21: 105","105","1925"
kew-2505622,A,Marcgraviaceae,,Marcgravia,,"fosbergiana",,"","Ewan",Unresolved,,L,WCSP (in review),642093,152990-2,"Nat. Hist. Misc.","88: 2","","1951"
tro-19800122,A,Marcgraviaceae,,Marcgravia,,"gentlei",,"","Lundell",Accepted,,M,TRO,19800122,152991-2,"Contr. Univ. Michigan Herb.","6: 46","46","1941"
tro-50301853,A,Marcgraviaceae,,Marcgravia,,"glandulosomarginata",,"","Hammel",Accepted,,M,TRO,50301853,77079487-1,"Lankesteriana","6(2): 73–75, f. 1A–F, 4A","73","2006"
tro-50220284,A,Marcgraviaceae,,Marcgravia,,"goudotiana",,"","(Triana & Planch.) de Roon",Accepted,,M,TRO,50220284,152992-2,"Acta Bot. Neerl.","15(3): 588","588","1967"
tro-19800182,A,Marcgraviaceae,,Marcgravia,,"grandifolia",,"","Sleumer",Accepted,,M,TRO,19800182,152993-2,"Repert. Spec. Nov. Regni Veg.","45: 11","11","1938"
tro-19800123,A,Marcgraviaceae,,Marcgravia,,"guatemalensis",,"","Standl.",Accepted,,M,TRO,19800123,152994-2,"Contr. U.S. Natl. Herb.","20(6): 220","220","1919"
kew-2505605,A,Marcgraviaceae,,Marcgravia,,"hartii",,"","Krug & Urb.",Accepted,,M,WCSP (in review),642076,152995-2,"Symb. Antill.","1: 366","","1899"
kew-2505615,A,Marcgraviaceae,,Marcgravia,,"helverseniana",,"","S.Dressler & Tschapka",Unresolved,,L,WCSP (in review),642086,20005773-1,"Bot. Mag.","19: 111","","2002"
tro-50256115,A,Marcgraviaceae,,Marcgravia,,"lineolata",,"","Krug & Urb.",Accepted,,M,TRO,50256115,152997-2,"Bot. Jahrb. Syst.","21: 517","517","1896"
tro-19800107,A,Marcgraviaceae,,Marcgravia,,"longifolia",,"","J.F. Macbr.",Accepted,,M,TRO,19800107,152998-2,"Candollea","5: 386","386","1934"
kew-2505611,A,Marcgraviaceae,,Marcgravia,,"macrocalyptra",,"","Delponte",Unresolved,,L,WCSP (in review),642082,,"Atti Soc. Ital. Sci. Nat.","12: 183","","1869"
tro-19800010,A,Marcgraviaceae,,Marcgravia,,"macrophylla",,"","(Wittm.) Gilg",Accepted,,M,TRO,19800010,153000-2,"Bot. Jahrb. Syst.","25(Beibl. 60): 27","27","1898"
tro-19800011,A,Marcgraviaceae,,Marcgravia,,"macroscypha",,"","Gilg & Wedermann",Accepted,,M,TRO,19800011,,"","","",""
tro-50296292,A,Marcgraviaceae,,Marcgravia,,"magnibracteata",,"","Lanj. & Heerdt",Accepted,,M,TRO,50296292,153002-2,"Recueil Trav. Bot. Néerl.","37: 284, f. 1","284","1940"
kew-2506035,A,Marcgraviaceae,,Marcgravia,,"maguirei",,"","de Roon",Accepted,,M,WCSP (in review),642506,153003-2,"Acta Bot. Neerl.","19: 799","","1970"
kew-2506057,A,Marcgraviaceae,,Marcgravia,,"mexicana",,"","Gilg",Accepted,,M,WCSP (in review),642528,153005-2,"Bot. Jahrb. Syst.","25(60): 26","","1898"
kew-2506044,A,Marcgraviaceae,,Marcgravia,,"micrantha",,"","Pav. ex Wittm.",Unresolved,,L,WCSP (in review),642515,829067-1,"Fl. Bras.","12(1): 249","","1878"
kew-2506043,A,Marcgraviaceae,,Marcgravia,,"monogyna",,"","Pav. ex Delponte",Unresolved,,L,WCSP (in review),642514,,"Nuovo Giorn. Bot. Ital.","1: 282","","1869"
tro-19800013,A,Marcgraviaceae,,Marcgravia,,"myriostigma",,"","Triana & Planch.",Accepted,,M,TRO,19800013,829069-1,"Ann. Sci. Nat., Bot., sér. 4,","17: 369–370","369","1862"
kew-2506041,A,Marcgraviaceae,,Marcgravia,,"nepenthoides",,"","Seem.",Accepted,,M,WCSP (in review),642512,829070-1,"J. Bot.","8: 245","","1870"
tro-19800083,A,Marcgraviaceae,,Marcgravia,,"nervosa",,"","Triana & Planch.",Accepted,,M,TRO,19800083,829071-1,"Ann. Sci. Nat., Bot., sér. 4,","17: 363–364","363","1862"
tro-19800014,A,Marcgraviaceae,,Marcgravia,,"neurophylla",,"","Gilg",Accepted,,M,TRO,19800014,,"","","",""
kew-2506038,A,Marcgraviaceae,,Marcgravia,,"nubicola",,"","de Roon",Accepted,,M,WCSP (in review),642509,153007-2,"Acta Bot. Neerl.","19: 800","","1970"
tro-19800016,A,Marcgraviaceae,,Marcgravia,,"oblongifolia",,"","Ruiz ex Wittm.",Accepted,,M,TRO,19800016,829073-1,"Fl. Bras.","12(1): 223","223","1878"
kew-2506071,A,Marcgraviaceae,,Marcgravia,,"octandra",,"","Pav. ex Wittm.",Unresolved,,L,WCSP (in review),642542,829076-1,"Fl. Bras.","12(1): 241","","1878"
kew-2506070,A,Marcgraviaceae,,Marcgravia,,"oligandra",,"","C.Wright ex Griseb.",Unresolved,,L,WCSP (in review),642541,321277-2,"Cat. Pl. Cub.","39","","1866"
tro-50076694,A,Marcgraviaceae,,Marcgravia,,"panamensis",,"","S. Dressler",Accepted,,M,TRO,50076694,302369-2,"Novon","6(3): 256, f. 1","256","1996"
kew-2506066,A,Marcgraviaceae,,Marcgravia,,"patellulifera",,"","de Roon",Accepted,,M,WCSP (in review),642537,153012-2,"Acta Bot. Neerl.","19: 802","","1970"
tro-19800193,A,Marcgraviaceae,,Marcgravia,,"pauciflorum",,"","deRoon & Bedell",Unresolved,,L,TRO,19800193,,"","","",""
kew-2506065,A,Marcgraviaceae,,Marcgravia,,"pedunculosa",,"","Triana & Planch.",Accepted,,M,WCSP (in review),642536,829080-1,"Ann. Sci. Nat., Bot.","IV, 17: 371","","1862"
tro-50243189,A,Marcgraviaceae,,Marcgravia,,"picta",,"","Willd.",Accepted,,M,TRO,50243189,829084-1,"Ges. Naturf. Freunde Berlin Mag. Neuesten Entdeck. Gesammten Naturk.","2: 172","172","1808"
tro-19800084,A,Marcgraviaceae,,Marcgravia,,"pittieri",,"","Gilg",Accepted,,M,TRO,19800084,153016-2,"Bot. Jahrb. Syst.","42(1): 124–125","124","1908"
tro-19800183,A,Marcgraviaceae,,Marcgravia,,"polyadenia",,"","Sleumer",Accepted,,M,TRO,19800183,153017-2,"Repert. Spec. Nov. Regni Veg.","45: 10","10","1938"
tro-19800105,A,Marcgraviaceae,,Marcgravia,,"polyantha",,"","Delpino",Accepted,,M,TRO,19800105,,"Atti Soc. Ital. Sci. Nat.","12: 182, 210","182","1869"
kew-2506036,A,Marcgraviaceae,,Marcgravia,,"punctifolia",,"","S.Dressler",Accepted,,M,WCSP (in review),642507,1002690-1,"Novon","8: 137","","1998"
kew-2506012,A,Marcgraviaceae,,Marcgravia,,"purpurea",,"","I.W.Bailey",Accepted,,M,WCSP (in review),642483,153019-2,"Amer. J. Bot.","9: 378","","1922"
