ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35184844,B,Marchantiaceae,,Bucegia,,"romanica",,"","Radian",Accepted,,M,TRO,35184844,,"Bull. Herb. Inst. Bot. Bucarest","3: 4 (:4)","4 ","1903"
tro-35185098,B,Marchantiaceae,,Dumortiera,,"hirsuta",,"","(Sw.) Nees",Accepted,,M,TRO,35185098,,"Fl. Bras. Enum. Pl.","1: 307","307","1833"
tro-35204895,B,Marchantiaceae,,Dumortiera,,"hirsuta",subsp.,"nepalensis","(Taylor) R.M. Schust.",Accepted,,L,TRO,35204895,,"Hepat. Anthocerotae N. Amer.","6: 386","386","1992"
tro-35216487,B,Marchantiaceae,,Dumortiera,,"trichocephala",,"","Nees",Unresolved,,L,TRO,35216487,,"Naturgesch. Eur. Leberm.","4: 499","499","1838"
tro-35215097,B,Marchantiaceae,,Hygrophila,,"dilatata",,"","Hook. & Taylor",Unresolved,,L,TRO,35215097,,"London J. Bot.","3: 576","576","1844"
tro-35215096,B,Marchantiaceae,,Hygrophila,,"irrigua",,"","(Wilson ex Hook.) Taylor",Accepted,,M,TRO,35215096,,"Trans. Linn. Soc. London","17: 390","390","1837"
tro-35208815,B,Marchantiaceae,,Marchantia,,"acaulis",,"","Stephani",Unresolved,,L,TRO,35208815,,"Bull. Herb. Boissier","7: 533","533","1899"
tro-35185592,B,Marchantiaceae,,Marchantia,,"alpestris",,"","(Nees) Burgeff",Accepted,,M,TRO,35185592,,"Genet. Stud. Marchantia","33","33","1943"
tro-35208847,B,Marchantiaceae,,Marchantia,,"amboinensis",,"","Mont. & Nees",Unresolved,,L,TRO,35208847,,"Ann. Sci. Nat., Bot., sér. 2,","9: 43","43","1838"
tro-35209193,B,Marchantiaceae,,Marchantia,,"androgyna",,"","L.",Accepted,,M,TRO,35209193,,"Sp. Pl.","1138","1138","1753"
tro-35208816,B,Marchantiaceae,,Marchantia,,"antiquia",,"","Stephani ex Bonner",Unresolved,,L,TRO,35208816,,"Candollea","14: 103","103","1953"
tro-35204891,B,Marchantiaceae,,Marchantia,,"aquatica",,"","(Nees) Burgeff",Accepted,,M,TRO,35204891,,"Genet. Stud. Marchantia","33","33","1943"
tro-35216957,B,Marchantiaceae,,Marchantia,,"balboi",,"","Gola",Accepted,,M,TRO,35216957,,"Mem. Reale Accad. Sci. Torino, ser. 2,","65: 2","2","1914"
tro-35202683,B,Marchantiaceae,,Marchantia,,"berteroana",,"","Lehm. & Lindenb.",Accepted,,M,TRO,35202683,,"Nov. Stirp. Pug.","6: 21","21","1834"
tro-35206132,B,Marchantiaceae,,Marchantia,,"brasiliensis",,"","Lehm. & Lindenb.",Unresolved,,L,TRO,35206132,,"Nov. Stirp. Pug.","4: 32","32","1832"
tro-35206501,B,Marchantiaceae,,Marchantia,,"breviloba",,"","A. Evans",Accepted,,M,TRO,35206501,,"Trans. Connecticut Acad. Arts","21: 265.","265","1917"
tro-35207224,B,Marchantiaceae,,Marchantia,,"carrii",,"","Bischl.",Accepted,,M,TRO,35207224,,"Bryophyt. Biblioth.","38: 256. f. 1: 5, 16: 1–3, 78–79","256","1989"
