ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-100355518,P,Marsileaceae,,Calamistrum,,"globuliferum",,"","(L.) Kuntze",Accepted,,M,TRO,100355518,,"","","",""
ifn-35236,P,Marsileaceae,,Calamistrum,,"mandonii",,"","Kuntze",Unresolved,,L,IPNI,40676-2,40676-2,"Revis. Gen. Pl.","2: 822","","1891 [5 Nov 1891]"
ifn-35237,P,Marsileaceae,,Calamistrum,,"minutum",,"","Kuntze",Unresolved,,L,IPNI,17062173-1,17062173-1,"Revis. Gen. Pl.","2: 822","","1891 [5 Nov 1891]"
ifn-35239,P,Marsileaceae,,Calamistrum,,"novehollandiae",,"","Kuntze",Unresolved,,L,IPNI,17062174-1,17062174-1,"Revis. Gen. Pl.","2: 822","","1891 [5 Nov 1891]"
ifn-35240,P,Marsileaceae,,Calamistrum,,"novezelandiae",,"","Kuntze",Unresolved,,L,IPNI,17062175-1,17062175-1,"Revis. Gen. Pl.","2: 822","","1891 [5 Nov 1891]"
tro-100354131,P,Marsileaceae,,Lemma,,"minuta",,"","(L.) Desr.",Accepted,,M,TRO,100354131,,"Encycl.","3: 721","721","1792"
tro-100354129,P,Marsileaceae,,Lemma,,"quadrifolia",,"","(L.) Desr.",Accepted,,M,TRO,100354129,,"Encycl.","3: 720","720","1792"
ifn-35251,P,Marsileaceae,,Marsilea,,"aegyptiaca",,"","Wall.",Unresolved,,L,IPNI,17144640-1,17144640-1,"Numer. List [Wallich]","n. 7096","","1832 (1829)"
tro-26604286,P,Marsileaceae,,Marsilea,,"aegyptica",,"","Willd.",Accepted,,M,TRO,26604286,17144630-1,"Sp. Pl.","5: 540","540","1810"
ifn-35252,P,Marsileaceae,,Marsilea,,"aethiopica",,"","Launert",Unresolved,,L,IPNI,17510540-1,17510540-1,"Garcia de Orta, Ser. Bot.","6(1-2): 128 (1984)","","1984"
ifn-35253,P,Marsileaceae,,Marsilea,,"ancyclopoda",,"","A.Br.",Unresolved,,L,IPNI,153658-2,153658-2,"","","",""
tro-26608019,P,Marsileaceae,,Marsilea,,"ancylopoda",,"","A. Braun",Accepted,,M,TRO,26608019,17144650-1,"Monatsber. Konigl. Preuss. Akad. Wiss. Berlin","1863: 434","434","1864"
tro-50338103,P,Marsileaceae,,Marsilea,,"angustifolia",,"","R. Br.",Unresolved,,L,TRO,50338103,17144660-1,"Prodr.","167","167","1810"
tro-26604287,P,Marsileaceae,,Marsilea,,"apposita",,"","Launert",Accepted,,M,TRO,26604287,,"","","",""
