ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35202159,B,Mastigophoraceae,,Dendromastigophora,,"flagellifera",,"","(Hook.) R.M. Schust.",Accepted,,M,TRO,35202159,,"Mem. New York Bot. Gard.","45: 738","738","1987"
tro-35215125,B,Mastigophoraceae,,Mastigophora,,"aequifolia",,"","Stephani",Unresolved,,L,TRO,35215125,,"Sp. Hepat.","4: 36","36","1909"
tro-35206959,B,Mastigophoraceae,,Mastigophora,,"appendiculata",,"","Stephani",Unresolved,,L,TRO,35206959,,"Sp. Hepat.","6: 368","368","1922"
tro-35215127,B,Mastigophoraceae,,Mastigophora,,"cupressina",,"","(Sw.) Trevis.",Accepted,,M,TRO,35215127,,"Mem. Reale Ist. Lombardo Sci., Ser. 3, Cl. Sci. Mat.","4: 416","416","1877"
tro-35203729,B,Mastigophoraceae,,Mastigophora,,"diclados",,"","(Brid. ex F. Weber) Nees",Accepted,,M,TRO,35203729,,"Naturgesch. Eur. Leberm.","3: 18","18","1838"
tro-35215129,B,Mastigophoraceae,,Mastigophora,,"exappendiculata",,"","Stephani",Unresolved,,L,TRO,35215129,,"Sp. Hepat.","6: 366","366","1922"
tro-35206960,B,Mastigophoraceae,,Mastigophora,,"guineensis",,"","Stephani",Unresolved,,L,TRO,35206960,,"Sp. Hepat.","6: 369","369","1923"
tro-35206961,B,Mastigophoraceae,,Mastigophora,,"pyramidana",,"","Stephani",Unresolved,,L,TRO,35206961,,"Sp. Hepat.","6: 369","369","1923"
tro-35201932,B,Mastigophoraceae,,Mastigophora,,"sepikiana",,"","Piippo",Accepted,,M,TRO,35201932,,"Ann. Bot. Fenn.","23: 2. f. 1","2","1986"
tro-35209280,B,Mastigophoraceae,,Mastigophora,,"spinosa",,"","Horik.",Accepted,,M,TRO,35209280,,"Sci. Rep. Tôhoku Imp. Univ., Ser. 4, Biol.","5: 634. f. 5–6","634","1930"
tro-35206962,B,Mastigophoraceae,,Mastigophora,,"valida",,"","Stephani",Unresolved,,L,TRO,35206962,,"Sp. Hepat.","6: 369","369","1923"
