ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35179162,B,Mniaceae,,Astrophyllum,,"blyttii",,"","(Bruch & Schimp.) Lindb.",Accepted,,M,TRO,35179162,,"Musci Scand.","14","14","1879"
tro-35179163,B,Mniaceae,,Astrophyllum,,"ciliare",,"","(Müll. Hal.) Lindb.",Accepted,,M,TRO,35179163,,"Musci Scand.","14","14","1879"
tro-35179164,B,Mniaceae,,Astrophyllum,,"cinclidioides",,"","(Huebener) Lindb.",Accepted,,M,TRO,35179164,,"Musci Scand.","13","13","1879"
tro-35179165,B,Mniaceae,,Astrophyllum,,"confertidens",,"","Lindb. & Arnell",Accepted,,M,TRO,35179165,,"Kongl. Svenska Vetensk. Acad. Handl., n.s.","23(10): 17","17","1890"
tro-35179167,B,Mniaceae,,Astrophyllum,,"cuspidatum",,"","Lindb.",Unresolved,,L,TRO,35179167,,"Musci Scand.","13","13","1879"
tro-35179171,B,Mniaceae,,Astrophyllum,,"cuspidatum",var.,"integrifolium","(Lindb.) Broth. & Saelan",Unresolved,,L,TRO,35179171,,"Acta Soc. Fauna Fl. Fenn.","6(4): 49","49","1890"
tro-35179174,B,Mniaceae,,Astrophyllum,,"drummondii",,"","(Bruch & Schimp.) Lindb.",Accepted,,M,TRO,35179174,,"Musci Scand.","14","14","1879"
tro-35179176,B,Mniaceae,,Astrophyllum,,"hornum",,"","(Hedw.) Lindb.",Accepted,,M,TRO,35179176,,"Musci Scand.","14","14","1879"
tro-35179177,B,Mniaceae,,Astrophyllum,,"hymenophylloides",,"","(Huebener) Lindb.",Accepted,,M,TRO,35179177,,"Musci Scand.","14","14","1879"
tro-35179180,B,Mniaceae,,Astrophyllum,,"insigne",,"","(Mitt.) Lindb.",Accepted,,M,TRO,35179180,,"Musci Scand.","14","14","1879"
tro-35179182,B,Mniaceae,,Astrophyllum,,"lycopodioides",,"","(Schwägr.) Lindb.",Accepted,,M,TRO,35179182,,"Musci Scand.","14","14","1879"
tro-35179184,B,Mniaceae,,Astrophyllum,,"marginatum",,"","(Dicks. ex With.) Lindb.",Accepted,,M,TRO,35179184,,"Musci Scand.","14","14","1879"
tro-35179185,B,Mniaceae,,Astrophyllum,,"medium",,"","(Bruch & Schimp.) Lindb.",Accepted,,M,TRO,35179185,,"Musci Scand.","14","14","1879"
tro-35179188,B,Mniaceae,,Astrophyllum,,"orthorrhynchum",,"","(Hartm.) Lindb.",Accepted,,M,TRO,35179188,,"Musci Scand.","14","14","1879"
tro-35179191,B,Mniaceae,,Astrophyllum,,"pseudopunctatum",,"","(Bruch & Schimp.) Lindb.",Accepted,,M,TRO,35179191,,"Musci Scand.","13","13","1879"
tro-35179192,B,Mniaceae,,Astrophyllum,,"punctatum",,"","(Hedw.) Lindb.",Accepted,,M,TRO,35179192,,"Musci Scand.","13","13","1879"
tro-35179195,B,Mniaceae,,Astrophyllum,,"riparium",,"","(Mitt.) Lindb.",Accepted,,M,TRO,35179195,,"Musci Scand.","14","14","1879"
tro-35179196,B,Mniaceae,,Astrophyllum,,"rostratum",,"","(Schrad.) Lindb.",Accepted,,M,TRO,35179196,,"Musci Scand.","13","13","1879"
tro-35179197,B,Mniaceae,,Astrophyllum,,"rugicum",,"","(Laurer) Kindb.",Accepted,,M,TRO,35179197,,"Bih. Kongl. Svenska Vetensk.-Akad. Handl.","7(9): 61","61","1883"
tro-35179198,B,Mniaceae,,Astrophyllum,,"seligeri",,"","(Jur.) Lindb.",Accepted,,M,TRO,35179198,,"Musci Scand.","14","14","1879"
tro-35179200,B,Mniaceae,,Astrophyllum,,"spinosum",,"","(Voit) Lindb.",Accepted,,M,TRO,35179200,,"Musci Scand.","14","14","1879"
tro-35179203,B,Mniaceae,,Astrophyllum,,"stellare",,"","(Reichard ex Hedw.) Lindb.",Accepted,,M,TRO,35179203,,"Musci Scand.","14","14","1879"
tro-35179205,B,Mniaceae,,Astrophyllum,,"undulatum",,"","(Hedw.) Lindb.",Accepted,,M,TRO,35179205,,"Musci Scand.","13","13","1879"
tro-35157558,B,Mniaceae,,Cinclidium,,"arcticum",,"","(Bruch & Schimp.) Schimp.",Accepted,,M,TRO,35157558,,"Kongl. Vetensk. Acad. Handl.","1846: 143","143","1848"
tro-35157562,B,Mniaceae,,Cinclidium,,"latifolium",,"","Lindb.",Accepted,,M,TRO,35157562,,"Bot. Not.","1877: 43","43","1877"
tro-35157563,B,Mniaceae,,Cinclidium,,"macounii",,"","Kindb.",Accepted,,M,TRO,35157563,,"Rev. Bryol.","23: 21","21","1896"
tro-35157564,B,Mniaceae,,Cinclidium,,"minutifolium",,"","Broth.",Accepted,,M,TRO,35157564,,"Rev. Bryol., n.s.","2: 5","5","1929"
tro-35157565,B,Mniaceae,,Cinclidium,,"polare",,"","(Kindb.) Bryhn",Accepted,,M,TRO,35157565,,"Rep. Second Norweg. Arctic Exped. Fram 1898--1902","2(11): 118","118","1907"
