ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35135610,B,Myuriaceae,,Eumyurium,,"sinicum",,"","(Mitt.) Nog.",Accepted,,M,TRO,35135610,,"J. Hattori Bot. Lab.","2: 64","64","1947"
tro-35171212,B,Myuriaceae,,Myuriopsis,,"sinica",,"","(Mitt.) Nog.",Accepted,,M,TRO,35171212,,"J. Hattori Bot. Lab.","4: 48","48","1950"
tro-35171213,B,Myuriaceae,,Myuriopsis,,"sinica",var.,"flagellifera","(Sakurai) Nog.",Accepted,,L,TRO,35171213,,"J. Hattori Bot. Lab.","4: 48","48","1950"
tro-35186529,B,Myuriaceae,,Myurium,,"acuminatum",,"","(Dixon & P. de la Varde) S. He & Snider",Accepted,,M,TRO,35186529,,"Bryobrothera","1: 285","285","1992"
tro-35204084,B,Myuriaceae,,Myurium,,"alaris",,"","(Dixon) B.H. Allen",Accepted,,M,TRO,35204084,,"Bryobrothera","5: 47","47","1999"
tro-35168811,B,Myuriaceae,,Myurium,,"assimile",,"","(Broth.) Seki",Accepted,,M,TRO,35168811,,"J. Sci. Hiroshima Univ., Ser. B, Div. 2, Bot.","12: 73","73","1968"
tro-35167931,B,Myuriaceae,,Myurium,,"borii",,"","(Dixon) Magill",Accepted,,M,TRO,35167931,,"J. Hattori Bot. Lab.","48: 68","68","1980"
tro-35168809,B,Myuriaceae,,Myurium,,"chrysophyllum",,"","(Cardot) Seki",Accepted,,M,TRO,35168809,,"J. Sci. Hiroshima Univ., Ser. B, Div. 2, Bot.","12: 72","72","1968"
tro-35140937,B,Myuriaceae,,Myurium,,"doii",,"","(Sakurai) Z. Iwats.",Accepted,,M,TRO,35140937,,"J. Hattori Bot. Lab.","44: 203","203","1978"
tro-35171220,B,Myuriaceae,,Myurium,,"foxworthyi",,"","(Broth.) Broth.",Accepted,,M,TRO,35171220,,"Nat. Pflanzenfam.","I(3): 1224","1224","1909"
tro-35171221,B,Myuriaceae,,Myurium,,"fragile",,"","(Cardot) Broth.",Accepted,,M,TRO,35171221,,"Nat. Pflanzenfam.","I(3): 1224","1224","1909"
tro-35171224,B,Myuriaceae,,Myurium,,"hochstetteri",,"","(Schimp.) Kindb.",Accepted,,M,TRO,35171224,,"Ottawa Naturalist","14: 82","82","1900"
tro-35171225,B,Myuriaceae,,Myurium,,"involutaceum",,"","(Mitt.) Broth.",Accepted,,M,TRO,35171225,,"Nat. Pflanzenfam. (ed. 2)","11: 124","124","1925"
tro-35168810,B,Myuriaceae,,Myurium,,"katoi",,"","(Broth.) Seki",Accepted,,M,TRO,35168810,,"J. Sci. Hiroshima Univ., Ser. B, Div. 2, Bot.","12: 72","72","1968"
tro-35171227,B,Myuriaceae,,Myurium,,"perplexum",,"","(Renauld & Cardot) Broth.",Accepted,,M,TRO,35171227,,"Nat. Pflanzenfam. (ed. 2)","11: 124","124","1925"
tro-35171228,B,Myuriaceae,,Myurium,,"praenitens",,"","Dixon",Accepted,,M,TRO,35171228,,"Ann. Bryol.","12: 54","54","1939"
tro-35140938,B,Myuriaceae,,Myurium,,"pseudorufescens",,"","(Hampe) Maschke",Accepted,,M,TRO,35140938,,"Bryophyt. Biblioth.","6: 136","136","1976"
tro-35171229,B,Myuriaceae,,Myurium,,"purpuratum",,"","(Mitt.) Dixon & Thér.",Accepted,,M,TRO,35171229,,"Rev. Bryol.","48: 27","27","1921"
tro-35171230,B,Myuriaceae,,Myurium,,"quinquefarium",,"","Thér.",Accepted,,M,TRO,35171230,,"Rev. Bryol.","48: 27","27","1921"
