ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2833520,A,Neuradaceae,,Grielum,,"abrotanifolium",,"","Hartmann",Unresolved,,L,WCSP (in review),960877,77066138-1,"Primae Lin. Inst. Bot.","80","","1767"
kew-2833521,A,Neuradaceae,,Grielum,,"cuneifolium",,"","Schinz",Accepted,,M,WCSP (in review),960878,725426-1,"Bull. Herb. Boissier","II, 2: 944","","1902"
kew-2833523,A,Neuradaceae,,Grielum,,"grandiflorum",,"","(L.) Druce",Accepted,,M,WCSP (in review),960880,725428-1,"Rep. Bot. Exch. Club Soc. Brit. Isles","3: 418","","1913 publ. 1914"
kew-2833524,A,Neuradaceae,,Grielum,,"humifusum",,"","Thunb.",Accepted,,M,WCSP (in review),960881,725429-1,"Prodr. Pl. Cap.","112","","1800"
kew-2833529,A,Neuradaceae,,Grielum,,"sinuatum",,"","Licht. ex Burch.",Accepted,,M,WCSP (in review),960886,725434-1,"Trav. S. Africa","1: 286","","1822"
kew-2384150,A,Neuradaceae,,Neurada,,"al-eisawii",,"","Barsotti, Borzatti & Garbari",Unresolved,,L,WCSP (in review),522844,1015329-1,"Bot. Chron.","13: 113","","2000"
kew-2384148,A,Neuradaceae,,Neurada,,"procumbens",,"","L.",Accepted,,M,WCSP (in review),522842,726834-1,"Sp. Pl.","441","","1753"
tro-27802187,A,Neuradaceae,,Neuradopsis,,"austroafricana",,"","Bremek. & Oberm.",Accepted,,M,TRO,27802187,,"","","",""
tro-27800699,A,Neuradaceae,,Neuradopsis,,"bechuanensis",,"","Bremek. & Oberm.",Accepted,,M,TRO,27800699,,"","","",""
kew-2384144,A,Neuradaceae,,Neuradopsis,,"grieloidea",,"","Bremek. & Oberm.",Unresolved,,L,WCSP (in review),522838,726837-1,"Ann. Transvaal Mus.","16: 415","","1935"
