ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2621782,A,Onagraceae,,Adenola,,"grandiflora",,"","(Michx.) Raf.",Unresolved,,L,WCSP (in review),754142,,"Autik. Bot.","36","","1840"
kew-2621783,A,Onagraceae,,Adenola,,"longipes",,"","Raf.",Unresolved,,L,WCSP (in review),754143,611232-1,"Autik. Bot.","37","","1840"
kew-2641193,A,Onagraceae,,Anogra,,"albicaulis",,"","(Pursh) Britton",Unresolved,,L,WCSP (in review),773297,14404-2,"Mem. Torrey Bot. Club","5: 234","","1894"
kew-2641196,A,Onagraceae,,Anogra,,"buffumi",,"","A.Nelson",Unresolved,,L,WCSP (in review),773300,14407-2,"Bull. Torrey Bot. Club","27: 267","","1900"
kew-2641197,A,Onagraceae,,Anogra,,"californica",,"","Small",Unresolved,,L,WCSP (in review),773301,14408-2,"Bull. Torrey Bot. Club","23: 176","","1896"
kew-2641198,A,Onagraceae,,Anogra,,"cinerea",,"","Rydb.",Unresolved,,L,WCSP (in review),773302,14409-2,"Bull. Torrey Bot. Club","31: 570","","1904"
kew-2641199,A,Onagraceae,,Anogra,,"confusa",,"","Rickett",Unresolved,,L,WCSP (in review),773303,611240-1,"Bull. Misc. Inform. Kew","1934: 57","","1934"
kew-2641200,A,Onagraceae,,Anogra,,"coronopifolia",,"","(Torr. & A.Gray) Britton",Unresolved,,L,WCSP (in review),773304,14410-2,"Mem. Torrey Bot. Club","5: 234","","1894"
kew-2641202,A,Onagraceae,,Anogra,,"deltoidea",,"","Small",Unresolved,,L,WCSP (in review),773306,14412-2,"Bull. Torrey Bot. Club","23: 174","","1896"
kew-2641203,A,Onagraceae,,Anogra,,"douglasiana",,"","Spach",Unresolved,,L,WCSP (in review),773307,611244-1,"Nouv. Ann. Mus. Hist. Nat.","4: 340","","1835"
kew-2641205,A,Onagraceae,,Anogra,,"gypsophylla",,"","A.Heller",Unresolved,,L,WCSP (in review),773309,611246-1,"Cat. N. Amer. Pl.","ed. 2: 8","","1900"
kew-2641206,A,Onagraceae,,Anogra,,"latifolia",,"","Rydb.",Unresolved,,L,WCSP (in review),773310,14415-2,"Bull. Torrey Bot. Club","31: 570","","1904"
kew-2641207,A,Onagraceae,,Anogra,,"leptophylla",,"","Rydb.",Unresolved,,L,WCSP (in review),773311,14416-2,"Bull. Torrey Bot. Club","40: 65","","1913"
kew-2641211,A,Onagraceae,,Anogra,,"nuttalliana",,"","Spach",Unresolved,,L,WCSP (in review),773315,611253-1,"Nouv. Ann. Mus. Hist. Nat.","4: 340","","1835"
kew-2641212,A,Onagraceae,,Anogra,,"nuttallii",,"","A.Nelson",Unresolved,,L,WCSP (in review),773316,14420-2,"Bot. Gaz.","34: 368","","1902"
kew-2641213,A,Onagraceae,,Anogra,,"pallida",,"","(Lindl.) Britton",Unresolved,,L,WCSP (in review),773317,14421-2,"Mem. Torrey Bot. Club","5: 234","","1894"
kew-2641218,A,Onagraceae,,Anogra,,"perplexa",,"","Rydb.",Unresolved,,L,WCSP (in review),773322,14425-2,"Fl. Rocky Mts.","596","","1917"
kew-2641219,A,Onagraceae,,Anogra,,"pinnatifida",,"","Spach",Unresolved,,L,WCSP (in review),773323,611257-1,"Nouv. Ann. Mus. Hist. Nat.","4: 341","","1835"
kew-2641220,A,Onagraceae,,Anogra,,"rhizomata",,"","A.Nelson",Unresolved,,L,WCSP (in review),773324,14426-2,"Bull. Torrey Bot. Club","26: 240","","1899"
kew-2641221,A,Onagraceae,,Anogra,,"runcinata",,"","(Engelm.) Wooton & Standl.",Unresolved,,L,WCSP (in review),773325,14427-2,"Contr. U. S. Natl. Herb.","16: 151","","1913"
kew-2641223,A,Onagraceae,,Anogra,,"trichocalyx",,"","Small",Unresolved,,L,WCSP (in review),773327,14428-2,"Bull. Torrey Bot. Club","23: 174","","1896"
kew-2641224,A,Onagraceae,,Anogra,,"violacea",,"","A.Nelson",Unresolved,,L,WCSP (in review),773328,14429-2,"Bull. Torrey Bot. Club","31: 242","","1904"
kew-2641225,A,Onagraceae,,Anogra,,"vreelandii",,"","Rydb.",Unresolved,,L,WCSP (in review),773329,14430-2,"Bull. Torrey Bot. Club","31: 570","","1904"
kew-2641226,A,Onagraceae,,Anogra,,"xylocarpa",,"","Small",Unresolved,,L,WCSP (in review),773330,14431-2,"Bull. Torrey Bot. Club","23: 174","","1896"
kew-2672224,A,Onagraceae,,Baumannia,,"douglasiana",,"","Spach",Unresolved,,L,WCSP (in review),804091,611266-1,"Hist. Nat. Vég.","4: 352","","1835"
kew-2672225,A,Onagraceae,,Baumannia,,"nuttalliana",,"","Spach",Unresolved,,L,WCSP (in review),804092,611267-1,"Hist. Nat. Vég.","4: 352","","1835"
kew-2672226,A,Onagraceae,,Baumannia,,"pinnatifida",,"","Spach",Unresolved,,L,WCSP (in review),804093,611268-1,"Hist. Nat. Vég.","4: 353","","1835"
kew-2677219,A,Onagraceae,,Blennoderma,,"drummondii",,"","Spach",Unresolved,,L,WCSP (in review),808952,33750-2,"Nouv. Ann. Mus. Hist. Nat.","4: 407","","1835"
kew-2678855,A,Onagraceae,,Boisduvalia,,"cleistogama",,"","Curran",Accepted,,M,WCSP (in review),810581,308112-2,"Bull. Calif. Acad. Sci.","1(1): 12","","1884"
kew-2678857,A,Onagraceae,,Boisduvalia,,"densiflora",,"","(Lindl.) Bartl.",Accepted,,M,WCSP (in review),810583,941511-1,"Index Seminum (GOET)","1837: 2","","1837"
tro-23200611,A,Onagraceae,,Boisduvalia,,"densiflora",,"","(Lindl.) S. Watson",Unresolved,,L,TRO,23200611,611275-1,"Bot. California","1: 233","233","1876"
kew-2678867,A,Onagraceae,,Boisduvalia,,"glabella",,"","(Nutt.) Walp.",Accepted,,M,WCSP (in review),810593,611278-1,"Repert. Bot. Syst.","2: 89","","1843"
kew-2678871,A,Onagraceae,,Boisduvalia,,"macrantha",,"","A.Heller",Accepted,,M,WCSP (in review),810597,34263-2,"Muhlenbergia","2: 101","","1905"
kew-2678878,A,Onagraceae,,Boisduvalia,,"stricta",,"","(A.Gray) Greene",Accepted,,L,WCSP (in review),810604,34270-2,"Fl. Francisc.","225","","1891"
kew-2678879,A,Onagraceae,,Boisduvalia,,"subulata",,"","(Ruiz & Pav.) Raim.",Accepted,,M,WCSP (in review),810605,34271-2,"Nat. Pflanzenfam.","3(7): 212","","1893"
tro-50143984,A,Onagraceae,,Brebissonia,,"boeckii",,"","(Ehrenb.) O'Meara",Accepted,,M,TRO,50143984,,"Proc. Roy. Irish Acad.","2: 338","338","1875"
kew-2683168,A,Onagraceae,,Brebissonia,,"thymifolia",,"","Steud.",Unresolved,,L,WCSP (in review),814859,611295-1,"Nomencl. Bot.","ed. 2, 1: 225","","1840"
kew-2694111,A,Onagraceae,,Calylophus,,"australis",,"","Towner & Raven",Unresolved,,L,WCSP (in review),825582,43100-2,"Madroño","20: 243","","1970"
kew-2694112,A,Onagraceae,,Calylophus,,"berlandieri",,"","Spach",Accepted,,M,WCSP (in review),825583,43101-2,"Ann. Sci. Nat., Bot.","II, 4: 272","","1835"
kew-2694115,A,Onagraceae,,Calylophus,,"drummondiana",,"","Spach",Unresolved,,L,WCSP (in review),825586,611301-1,"Ann. Sci. Nat., Bot.","II, 4: 272","","1835"
tro-23201554,A,Onagraceae,,Calylophus,,"drummondianus",,"","Spach",Accepted,,M,TRO,23201554,,"Ann. Sci. Nat., Bot., sér. 2,","4(5): 272–273","272","1835"
tro-50004811,A,Onagraceae,,Calylophus,,"fendleri",,"","Towner & P.H. Raven",Unresolved,,L,TRO,50004811,,"","","",""
kew-2694117,A,Onagraceae,,Calylophus,,"hartwegii",,"","(Benth.) P.H.Raven",Accepted,,M,WCSP (in review),825588,43105-2,"Brittonia","16: 286","","1964"
kew-2694120,A,Onagraceae,,Calylophus,,"hartwegii",subsp.,"filifolia","(Eastw.) Towner & Raven",Accepted,,L,WCSP (in review),825591,43107-2,"Madroño","20: 243","","1970"
tro-23201552,A,Onagraceae,,Calylophus,,"hartwegii",subsp.,"lavandulifolius","(Torr. & A. Gray) Towner & P.H. Raven",Accepted,,L,TRO,23201552,43109-2,"Madroño","20(5): 243","243","1970"
kew-2694124,A,Onagraceae,,Calylophus,,"hartwegii",subsp.,"maccartii","(Shinners) Towner & Raven",Accepted,,L,WCSP (in review),825595,43111-2,"Madroño","20: 243","","1970"
kew-2694126,A,Onagraceae,,Calylophus,,"hartwegii",subsp.,"pubescens","(A.Gray) Towner & Raven",Accepted,,L,WCSP (in review),825597,43113-2,"Madroño","20: 243","","1970"
kew-2694129,A,Onagraceae,,Calylophus,,"lavandulifolia",,"","(Torr. & A.Gray) P.H.Raven",Accepted,,M,WCSP (in review),825600,43117-2,"Brittonia","16: 286","","1964"
kew-2694130,A,Onagraceae,,Calylophus,,"nuttallii",,"","Spach",Unresolved,Invalid,L,WCSP (in review),825601,611303-1,"Hist. Nat. Vég.","4: 30","","1835"
kew-2694131,A,Onagraceae,,Calylophus,,"serrulata",,"","(Nutt.) P.H.Raven",Accepted,,M,WCSP (in review),825602,43118-2,"Brittonia","16: 286","","1964"
tro-50229569,A,Onagraceae,,Calylophus,,"serrulatus",var.,"spinulosus","(Torr. & A. Gray) Nutt. ex Shinners",Unresolved,,L,TRO,50229569,43120-2,"Sida","1(6): 339","339","1964"
kew-2694134,A,Onagraceae,,Calylophus,,"toumeyi",,"","(Small) Towner",Accepted,,M,WCSP (in review),825605,43122-2,"Ann. Missouri Bot. Gard.","64: 92","","1977"
kew-2694135,A,Onagraceae,,Calylophus,,"tubicula",,"","(A.Gray) P.H.Raven",Accepted,,M,WCSP (in review),825606,43121-2,"Brittonia","16: 286","","1964"
kew-2694136,A,Onagraceae,,Calylophus,,"tubicula",subsp.,"strigulosus","Towner",Accepted,,L,WCSP (in review),825607,43123-2,"Ann. Missouri Bot. Gard.","64: 98","","1977"
kew-2694987,A,Onagraceae,,Camissonia,,"andina",,"","(Nutt.) P.H.Raven",Accepted,,M,WCSP (in review),826453,43815-2,"Brittonia","16: 285","","1964"
kew-2694991,A,Onagraceae,,Camissonia,,"bairdii",,"","S.L.Welsh",Accepted,,M,WCSP (in review),826457,306215-2,"Rhodora","95: 408","","1993"
kew-2694992,A,Onagraceae,,Camissonia,,"benitensis",,"","P.H.Raven",Accepted,,M,WCSP (in review),826458,43818-2,"Contr. U. S. Natl. Herb.","37: 332","","1969"
tro-50004823,A,Onagraceae,,Camissonia,,"bilgardii",,"","P.H. Raven",Unresolved,,L,TRO,50004823,,"","","",""
kew-2606517,A,Onagraceae,,Camissonia,,"bolanderi",,"","N.D.Atwood & S.L.Welsh",Accepted,,M,WCSP (in review),739568,77092607-1,"Rhodora","109: 399","","2007"
kew-2695007,A,Onagraceae,,Camissonia,,"breviflora",,"","(Torr. & A.Gray) P.H.Raven",Accepted,,M,WCSP (in review),826473,43828-2,"Brittonia","16: 283","","1964"
kew-2695012,A,Onagraceae,,Camissonia,,"campestris",,"","(Greene) P.H.Raven",Accepted,,M,WCSP (in review),826478,43833-2,"Brittonia","16: 284","","1964"
kew-2695038,A,Onagraceae,,Camissonia,,"contorta",,"","(Douglas) Kearney",Accepted,,M,WCSP (in review),826504,55509-2,"Trans. New York Acad. Sci.","14: 37","","1894"
tro-50133208,A,Onagraceae,,Camissonia,,"contorta",,"","P.H. Raven",Unresolved,,L,TRO,50133208,,"","","",""
kew-2695041,A,Onagraceae,,Camissonia,,"dentata",,"","(Cav.) Reiche",Accepted,,M,WCSP (in review),826507,,"Fl. Chile","2: 264","","1898"
kew-2695043,A,Onagraceae,,Camissonia,,"dentata",subsp.,"littoralis","P.H.Raven & D.M.Moore",Accepted,,L,WCSP (in review),826509,43855-2,"Contr. U. S. Natl. Herb.","37: 343","","1969"
kew-2606518,A,Onagraceae,,Camissonia,,"dominguez-escalantorum",,"","N.D.Atwood, L.C.Higgins & S.L.Welsh",Accepted,,M,WCSP (in review),739569,77092606-1,"Rhodora","109: 396","","2007"
kew-2695047,A,Onagraceae,,Camissonia,,"gouldii",,"","P.H.Raven",Unresolved,,L,WCSP (in review),826513,43858-2,"Contr. U. S. Natl. Herb.","37: 368","","1969"
kew-2695048,A,Onagraceae,,Camissonia,,"graciliflora",,"","(Hook. & Arn.) P.H.Raven",Accepted,,M,WCSP (in review),826514,43859-2,"Brittonia","16: 283","","1964"
tro-50004818,A,Onagraceae,,Camissonia,,"heteranthera",,"","P.H. Raven",Unresolved,,L,TRO,50004818,,"","","",""
kew-2695055,A,Onagraceae,,Camissonia,,"hilgardii",,"","(Greene) P.H.Raven",Accepted,,M,WCSP (in review),826521,43865-2,"Brittonia","16: 285","","1964"
kew-2695058,A,Onagraceae,,Camissonia,,"integrifolia",,"","P.H.Raven",Accepted,,M,WCSP (in review),826524,43868-2,"Contr. U. S. Natl. Herb.","37: 344","","1969"
kew-2695060,A,Onagraceae,,Camissonia,,"kernensis",,"","(Munz) P.H.Raven",Accepted,,M,WCSP (in review),826526,43870-2,"Brittonia","16: 284","","1964"
kew-2695061,A,Onagraceae,,Camissonia,,"kernensis",subsp.,"gilmanii","(Munz) P.H.Raven",Accepted,,L,WCSP (in review),826527,43871-2,"Contr. U. S. Natl. Herb.","37: 310","","1969"
