ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2621929,A,Orobanchaceae,,Adenostegia,,"ciliosa",,"","Rydb.",Unresolved,,L,WCSP (in review),754289,4401-2,"Bull. Torrey Bot. Club","34: 35","","1907"
kew-2623431,A,Orobanchaceae,,Aeginetia,,"indica",,"","L.",Accepted,,M,WCSP (in review),755787,661840-1,"Sp. Pl.","632","","1753"
kew-2623437,A,Orobanchaceae,,Aeginetia,,"mirabilis",,"","(Blume) Bakh.",Accepted,,M,WCSP (in review),755793,,"Trop. Natuur","10: 156","","1921"
kew-2623438,A,Orobanchaceae,,Aeginetia,,"mpomii",,"","Letouzey",Unresolved,,L,WCSP (in review),755794,661845-1,"Adansonia","n.s., 7: 29","","1967"
kew-2623439,A,Orobanchaceae,,Aeginetia,,"pedunculata",,"","Wall.",Accepted,,M,WCSP (in review),755795,661846-1,"Pl. Asiat. Rar.","3: 13","","1831"
kew-2623444,A,Orobanchaceae,,Aeginetia,,"sekimotoana",,"","Makino",Unresolved,,L,WCSP (in review),755800,661851-1,"J. Jap. Bot.","6: 27","","1929"
kew-2623445,A,Orobanchaceae,,Aeginetia,,"selebica",,"","Bakh.",Accepted,,M,WCSP (in review),755801,661852-1,"Bull. Jard. Bot. Buitenzorg","III, 13: 89","","1933"
kew-2623446,A,Orobanchaceae,,Aeginetia,,"sessilis",,"","Shivam. & Rajanna",Accepted,,M,WCSP (in review),755802,981632-1,"Rheedea","4: 133","","1994"
kew-2623448,A,Orobanchaceae,,Aeginetia,,"sinensis",,"","Beck",Accepted,,M,WCSP (in review),755804,,"Pflanzenr.","IV, 261: 19","","1930"
kew-2625018,A,Orobanchaceae,,Agalinis,,"acuta",,"","Pennell",Accepted,,M,WCSP (in review),757362,6146-2,"Bull. Torrey Bot. Club","43: 338","","1915"
kew-2625020,A,Orobanchaceae,,Agalinis,,"angustifolia",,"","(Mart.) D'Arcy",Accepted,,M,WCSP (in review),757364,6148-2,"Ann. Missouri Bot. Gard.","65: 770","","1978 publ. 1979"
kew-2625021,A,Orobanchaceae,,Agalinis,,"aphylla",,"","(Nutt.) Raf.",Accepted,,M,WCSP (in review),757365,798542-1,"New Fl.","2: 65","","1837"
kew-2625022,A,Orobanchaceae,,Agalinis,,"aspera",,"","(Douglas ex Benth.) Britton",Accepted,,M,WCSP (in review),757366,6149-2,"Ill. Fl. N. U.S.","2(3): 209","","1913"
kew-2625023,A,Orobanchaceae,,Agalinis,,"auriculata",,"","(Michx.) S.F.Blake",Accepted,,M,WCSP (in review),757367,6150-2,"Rhodora","20: 71","","1918"
kew-2625024,A,Orobanchaceae,,Agalinis,,"bandeirensis",,"","Barringer",Accepted,,M,WCSP (in review),757368,271792-2,"Brittonia","39: 353","","1987"
kew-2625025,A,Orobanchaceae,,Agalinis,,"bangii",,"","(Kuntze) Barringer",Accepted,,M,WCSP (in review),757369,944561-1,"Brittonia","39: 353","","1987"
kew-2625027,A,Orobanchaceae,,Agalinis,,"brachyphylla",,"","(Cham. & Schltdl.) D'Arcy",Accepted,,M,WCSP (in review),757371,6152-2,"Ann. Missouri Bot. Gard.","65: 770","","1978 publ. 1979"
tro-29204908,A,Orobanchaceae,,Agalinis,,"brevifolia",,"","(Rusby) S. Beck",Accepted,,L,TRO,29204908,,"","","",""
tro-29204486,A,Orobanchaceae,,Agalinis,,"caddoensis",,"","Pennell",Accepted,,M,TRO,29204486,6153-2,"Proc. Acad. Nat. Sci. Philadelphia","73(3C): 519–520","519","1921"
kew-2625029,A,Orobanchaceae,,Agalinis,,"calycina",,"","Pennell",Accepted,,M,WCSP (in review),757373,6154-2,"Proc. Acad. Nat. Sci. Philadelphia","81: 141","","1929"
kew-2625030,A,Orobanchaceae,,Agalinis,,"chaparensis",,"","Barringer",Accepted,,M,WCSP (in review),757374,271793-2,"Brittonia","37: 352","","1985"
kew-2625031,A,Orobanchaceae,,Agalinis,,"communis",,"","(Cham. & Schltdl.) D'Arcy",Accepted,,M,WCSP (in review),757375,6155-2,"Ann. Missouri Bot. Gard.","65: 770","","1978 publ. 1979"
kew-2625034,A,Orobanchaceae,,Agalinis,,"delicatula",,"","Pennell",Unresolved,,L,WCSP (in review),757378,6157-2,"Bull. Torrey Bot. Club","40: 425","","1913"
kew-2625035,A,Orobanchaceae,,Agalinis,,"densiflora",,"","(Benth.) S.F.Blake",Accepted,,M,WCSP (in review),757379,6158-2,"Rhodora","20: 71","","1918"
kew-2625036,A,Orobanchaceae,,Agalinis,,"digitalis",,"","(Benth.) Barringer",Accepted,,M,WCSP (in review),757380,944562-1,"Brittonia","39: 355","","1987"
kew-2625037,A,Orobanchaceae,,Agalinis,,"divaricata",,"","(Chapm.) Pennell",Accepted,,M,WCSP (in review),757381,6159-2,"Bull. Torrey Bot. Club","40: 437","","1913"
kew-2625038,A,Orobanchaceae,,Agalinis,,"domingensis",,"","(Spreng.) D'Arcy",Accepted,,M,WCSP (in review),757382,6160-2,"Ann. Missouri Bot. Gard.","65: 770","","1978 publ. 1979"
kew-2625039,A,Orobanchaceae,,Agalinis,,"edwardsiana",,"","Pennell",Accepted,,M,WCSP (in review),757383,6161-2,"Proc. Acad. Nat. Sci. Philadelphia","73: 522","","1922"
kew-2625041,A,Orobanchaceae,,Agalinis,,"erecta",,"","Pennell ex Small",Unresolved,,L,WCSP (in review),757385,798555-1,"Fl. Florida Keys","133","","1913"
kew-2625042,A,Orobanchaceae,,Agalinis,,"fasciculata",,"","(Scott-Elliot) Raf.",Accepted,,M,WCSP (in review),757386,798556-1,"New Fl.","2: 63","","1837"
kew-2625045,A,Orobanchaceae,,Agalinis,,"fiebrigii",,"","(Diels) D'Arcy",Accepted,,M,WCSP (in review),757389,6166-2,"Ann. Missouri Bot. Gard.","65: 770","","1978 publ. 1979"
kew-2625046,A,Orobanchaceae,,Agalinis,,"filicaulis",,"","(Benth.) Pennell",Accepted,,M,WCSP (in review),757390,6167-2,"Bull. Torrey Bot. Club","40: 438","","1913"
kew-2625047,A,Orobanchaceae,,Agalinis,,"filifolia",,"","(Nutt.) Raf.",Accepted,,M,WCSP (in review),757391,798558-1,"New Fl.","2: 65","","1837"
kew-2902948,A,Orobanchaceae,,Agalinis,,"flexicaulis",,"","Hays",Unresolved,,L,WCSP (in review),1025405,77113762-1,"J. Bot. Res. Inst. Texas","4: 1","","2010"
kew-2625050,A,Orobanchaceae,,Agalinis,,"gattingeri",,"","(Small) Small ex Britton & A.Br.",Accepted,,M,WCSP (in review),757394,,"Ill. Fl. N. U.S.","2(3): 213","","1913"
kew-2625051,A,Orobanchaceae,,Agalinis,,"genistifolia",,"","(Cham. & Schltdl.) D'Arcy",Accepted,,M,WCSP (in review),757395,6171-2,"Ann. Missouri Bot. Gard.","65: 770","","1978 publ. 1979"
kew-2899301,A,Orobanchaceae,,Agalinis,,"glandulosa",,"","(G.M.Barroso) V.C.Souza",Accepted,,M,WCSP (in review),1022035,77103520-1,"Pesquisas, Bot.","60: 226","","2009"
kew-2625056,A,Orobanchaceae,,Agalinis,,"greenei",,"","Lunell",Unresolved,,L,WCSP (in review),757400,6176-2,"Amer. Midl. Naturalist","5: 7","","1917"
kew-2625057,A,Orobanchaceae,,Agalinis,,"gypsophila",,"","B.L.Turner",Accepted,,M,WCSP (in review),757401,271796-2,"Phytologia","59: 319","","1986"
tro-29201626,A,Orobanchaceae,,Agalinis,,"harperi",,"","Pennell",Accepted,,M,TRO,29201626,6177-2,"Fl. Miami","167, 200","167","1913"
kew-2625059,A,Orobanchaceae,,Agalinis,,"heterophylla",,"","(Nutt.) Small ex Britton",Accepted,,M,WCSP (in review),757403,,"Ill. Fl. N. U.S.","3: 209","","1913"
kew-2625062,A,Orobanchaceae,,Agalinis,,"homalantha",,"","Pennell",Accepted,,M,WCSP (in review),757406,6181-2,"Proc. Acad. Nat. Sci. Philadelphia","73: 525","","1922"
kew-2625063,A,Orobanchaceae,,Agalinis,,"humilis",,"","(Diels) D'Arcy",Accepted,,M,WCSP (in review),757407,6182-2,"Ann. Missouri Bot. Gard.","65: 770","","1978 publ. 1979"
kew-2625064,A,Orobanchaceae,,Agalinis,,"itambensis",,"","V.C.Souza & S.I.Elias",Accepted,,M,WCSP (in review),757408,322143-2,"Novon","11: 484","","2001"
kew-2625066,A,Orobanchaceae,,Agalinis,,"kingsii",,"","Proctor",Accepted,,M,WCSP (in review),757410,798530-1,"Sloanea","1: 3","","1977"
kew-2625068,A,Orobanchaceae,,Agalinis,,"lanceolata",,"","(Ruiz & Pav.) D'Arcy",Accepted,,M,WCSP (in review),757412,6185-2,"Phytologia","45: 353","","1980"
kew-2625069,A,Orobanchaceae,,Agalinis,,"laxa",,"","Pennell",Accepted,,M,WCSP (in review),757413,6186-2,"Bull. Torrey Bot. Club","40: 431","","1913"
kew-2625070,A,Orobanchaceae,,Agalinis,,"linarioides",,"","(Cham. & Schltdl.) D'Arcy",Accepted,,M,WCSP (in review),757414,6187-2,"Ann. Missouri Bot. Gard.","65: 770","","1978 publ. 1979"
