ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35103357,B,Orthotrichaceae,,Amphidium,,"aloysii-sabaudiae",,"","G. Negri",Accepted,,M,TRO,35103357,,"Ann. Bot. (Rome)","7: 165","165","1908"
tro-35103358,B,Orthotrichaceae,,Amphidium,,"anoectangioides",,"","(Müll. Hal.) Broth.",Accepted,,M,TRO,35103358,,"Nat. Pflanzenfam.","I(3): 460","460","1902"
tro-35103359,B,Orthotrichaceae,,Amphidium,,"brevifolium",,"","Broth.",Accepted,,M,TRO,35103359,,"Bot. Jahrb. Syst.","49: 177","177","1913"
tro-35103360,B,Orthotrichaceae,,Amphidium,,"caespitosum",,"","(Mitt.) Broth.",Accepted,,M,TRO,35103360,,"Nat. Pflanzenfam.","I(3): 460","460","1902"
tro-35103361,B,Orthotrichaceae,,Amphidium,,"californicum",,"","(Hampe ex Müll. Hal.) Broth.",Accepted,,M,TRO,35103361,,"Nat. Pflanzenfam.","I(3): 460","460","1902"
tro-35103363,B,Orthotrichaceae,,Amphidium,,"clastophyllum",,"","Cardot",Accepted,,M,TRO,35103363,,"Bull. Herb. Boissier, sér. 2,","8: 336","336","1908"
tro-35103364,B,Orthotrichaceae,,Amphidium,,"compactum",,"","(Paris) Broth.",Accepted,,M,TRO,35103364,,"Nat. Pflanzenfam.","I(3): 460","460","1902"
tro-35103366,B,Orthotrichaceae,,Amphidium,,"curvipes",,"","(Müll. Hal.) Broth.",Accepted,,M,TRO,35103366,,"Nat. Pflanzenfam.","I(3): 460","460","1902"
tro-35216708,B,Orthotrichaceae,,Amphidium,,"gangulii",,"","M.C. Nair, K.P.Rajesh & Madhusoodanan, P. V.",Accepted,,M,TRO,35216708,,"Bryoph. Wayanad W. Ghats","139. f. 24: h–l [page 218]","","2005"
tro-35103370,B,Orthotrichaceae,,Amphidium,,"integrifolium",,"","(Müll. Hal. ex Beckett) Broth.",Accepted,,M,TRO,35103370,,"Nat. Pflanzenfam.","I(3): 460","460","1902"
tro-35103371,B,Orthotrichaceae,,Amphidium,,"lapponicum",,"","(Hedw.) Schimp.",Accepted,,M,TRO,35103371,,"Coroll. Bryol. Eur.","39","39","1856"
tro-35103373,B,Orthotrichaceae,,Amphidium,,"le-testui",,"","Thér. & P. de la Varde",Accepted,,M,TRO,35103373,,"Rev. Bryol., n.s.","4: 67. 4 f. 2","67","1931"
tro-35103374,B,Orthotrichaceae,,Amphidium,,"mougeotii",,"","(Bruch & Schimp.) Schimp.",Accepted,,M,TRO,35103374,,"Coroll. Bryol. Eur.","40","40","1856"
tro-35103377,B,Orthotrichaceae,,Amphidium,,"mougeotii",var.,"serratulum","(Roll) Podp.",Accepted,,L,TRO,35103377,,"Consp. Musc. Eur.","110","110","1954"
tro-35103379,B,Orthotrichaceae,,Amphidium,,"papillosum",,"","E.B. Bartram",Accepted,,M,TRO,35103379,,"Philipp. J. Sci.","68: 48. f. 51","48","1939"
tro-35103381,B,Orthotrichaceae,,Amphidium,,"remotidens",,"","(Müll. Hal.) Broth.",Accepted,,M,TRO,35103381,,"Nat. Pflanzenfam.","I(3): 460","460","1902"
tro-35100285,B,Orthotrichaceae,,Amphidium,,"tortuosum",,"","(Hornsch.) Cufod.",Accepted,,M,TRO,35100285,,"Oesterr. Bot. Z.","98: 221","221","1951"
tro-100366763,B,Orthotrichaceae,,Amphoridium,,"baldense",,"","A. Massal.",Unresolved,,L,TRO,100366763,,"Flora","35: 595","595","1852"
tro-35103388,B,Orthotrichaceae,,Amphoridium,,"californicum",,"","(Hampe ex Müll. Hal.) A. Jaeger",Accepted,,M,TRO,35103388,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1872–73: 107 (Gen. Sp. Musc. 1: 385)","107 ","1874"
tro-35103392,B,Orthotrichaceae,,Amphoridium,,"curvipes",,"","(Müll. Hal.) A. Jaeger",Accepted,,M,TRO,35103392,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1872–73: 108 (Gen. Sp. Musc. 1: 386)","108 ","1874"
tro-35103393,B,Orthotrichaceae,,Amphoridium,,"cyathicarpum",,"","(Mont.) A. Jaeger",Accepted,,M,TRO,35103393,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1872–73: 108 (Gen. Sp. Musc. 1: 386)","108 ","1874"
tro-35103394,B,Orthotrichaceae,,Amphoridium,,"gracile",,"","(Wilson) De Not.",Accepted,,M,TRO,35103394,,"Atti Reale Univ. Genova","1: 278","278","1869"
tro-35103396,B,Orthotrichaceae,,Amphoridium,,"kilimandjaricum",,"","(Müll. Hal.) Paris",Accepted,,M,TRO,35103396,,"Index Bryol. Suppl.","24","24","1900"
tro-35161049,B,Orthotrichaceae,,Amphoridium,,"kilimandscharicum",,"","(Müll. Hal.) Kindb.",Accepted,,M,TRO,35161049,,"Enum. Bryin. Exot., suppl. 2,","105","105","1891"
tro-35103397,B,Orthotrichaceae,,Amphoridium,,"lapponcium",,"","(Hedw.) Schimp.",Accepted,,M,TRO,35103397,,"Syn. Musc. Eur.","247","247","1860"
tro-35103399,B,Orthotrichaceae,,Amphoridium,,"mougeotii",,"","(Bruch & Schimp.) Schimp.",Accepted,,M,TRO,35103399,,"Syn. Musc. Eur.","248","248","1860"
tro-35103400,B,Orthotrichaceae,,Amphoridium,,"mougeotii",var.,"formosicum","(Cardot) P. Syd.",Accepted,,L,TRO,35103400,,"Bot. Jahresber. (Just)","33 (1): 55","55","1907"
tro-35103402,B,Orthotrichaceae,,Amphoridium,,"peckii",,"","Sull.",Accepted,,M,TRO,35103402,,"Annual Rep. State Bot.","22: 57","57","1869"
tro-35103408,B,Orthotrichaceae,,Amphoridium,,"sullivantii",,"","(Müll. Hal.) Lesq. & James",Accepted,,M,TRO,35103408,,"Man. Mosses N. America","159","159","1884"
tro-35103409,B,Orthotrichaceae,,Amphoridium,,"viridissimum",,"","(Dicks.) De Not.",Accepted,,M,TRO,35103409,,"Atti Reale Univ. Genova","1: 277","277","1869"
tro-35108377,B,Orthotrichaceae,,Anodontium,,"prorepens",,"","(Hedw.) Brid.",Accepted,,M,TRO,35108377,,"Muscol. Recent. Suppl.","1: 41","41","1806"
tro-35115264,B,Orthotrichaceae,,Brachytrichum,,"cupulatum",,"","(Hoffm. ex Brid.) Röhl.",Accepted,,M,TRO,35115264,,"Ann. Wetterauischen Ges. Gesammte Naturk.","3(2): 195","195","1814"
