ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2681888,A,Paulowniaceae,,Brandisia,,"annamitica",,"","Bonati",Accepted,,M,WCSP (in review),813586,799863-1,"Bull. Soc. Bot. France","71: 1092","","1924 publ. 1925"
kew-2681889,A,Paulowniaceae,,Brandisia,,"cauliflora",,"","P.C.Tsoong & L.T.Lu",Accepted,,M,WCSP (in review),813587,799864-1,"in Fl. Reipubl. Popul. Sin.","67(2): 394","","1979"
kew-2681890,A,Paulowniaceae,,Brandisia,,"chevalieri",,"","Bonati",Accepted,,M,WCSP (in review),813588,799865-1,"Bull. Soc. Bot. France","71: 1092","","1924 publ. 1925"
kew-2681891,A,Paulowniaceae,,Brandisia,,"discolor",,"","Hook.f. & Thomson",Accepted,,M,WCSP (in review),813589,799867-1,"J. Linn. Soc., Bot.","8: 11","","1865"
kew-2681893,A,Paulowniaceae,,Brandisia,,"glabrescens",,"","Rehder",Accepted,,M,WCSP (in review),813591,799868-1,"Pl. Wilson.","1: 574","","1913"
kew-2681895,A,Paulowniaceae,,Brandisia,,"hancei",,"","Hook.f.",Accepted,,M,WCSP (in review),813593,799869-1,"Fl. Brit. India","4: 257","","1884"
kew-2681896,A,Paulowniaceae,,Brandisia,,"kwangsiensis",,"","H.L.Li",Accepted,,M,WCSP (in review),813594,799870-1,"J. Arnold Arbor.","28: 133","","1947"
kew-2681898,A,Paulowniaceae,,Brandisia,,"praticola",,"","W.W.Sm.",Unresolved,,L,WCSP (in review),813596,799872-1,"Notes Roy. Bot. Gard. Edinburgh","10: 10","","1917"
kew-2681899,A,Paulowniaceae,,Brandisia,,"racemosa",,"","Hemsl.",Accepted,,M,WCSP (in review),813597,,"Hooker's Icon. Pl.","25: t. 2383","","1895"
kew-2681900,A,Paulowniaceae,,Brandisia,,"rosea",,"","W.W.Sm.",Accepted,,M,WCSP (in review),813598,799874-1,"Notes Roy. Bot. Gard. Edinburgh","10: 10","","1917"
kew-2681902,A,Paulowniaceae,,Brandisia,,"scandens",,"","Bonati",Accepted,,M,WCSP (in review),813600,799875-1,"Bull. Soc. Bot. France","71: 1091","","1924 publ. 1925"
kew-2681903,A,Paulowniaceae,,Brandisia,,"souliei",,"","Bonati",Unresolved,,L,WCSP (in review),813601,799876-1,"Bull. Soc. Bot. France","56: 467","","1909"
kew-2681904,A,Paulowniaceae,,Brandisia,,"swinglei",,"","Merr.",Accepted,,M,WCSP (in review),813602,799877-1,"Philipp. J. Sci., C","13: 157","","1918"
tro-29208468,A,Paulowniaceae,,Paulownia,,"catalpifolia",,"","T. Gong ex D.Y. Hong",Accepted,,M,TRO,29208468,999447-1,"Novon","7(4): 366","366","1997"
kew-2543521,A,Paulowniaceae,,Paulownia,,"coreana",,"","Uyeki",Unresolved,,L,WCSP (in review),679366,,"Bull. Agric. Forest. Coll. Suigen (Suwon)","1: 20","","1925"
tro-29202454,A,Paulowniaceae,,Paulownia,,"elongata",,"","S.Y. Hu",Accepted,,M,TRO,29202454,806710-1,"Quart. J. Taiwan Mus.","12(1–2): 41, pl. 3","41","1959"
tro-29208477,A,Paulowniaceae,,Paulownia,,"fargesii",,"","Franch.",Accepted,,M,TRO,29208477,,"Bull. Mus. Hist. Nat. (Paris)","2(6): 280","280","1896"
tro-29202455,A,Paulowniaceae,,Paulownia,,"fortunei",,"","(Seem.) Hemsl.",Accepted,,L,TRO,29202455,,"Gard. Chron., ser. 3","7: 448","448","1890"
kew-2543496,A,Paulowniaceae,,Paulownia,×,"henanensis",,"","C.Y.Zhang & Y.H.Zhao",Unresolved,,L,WCSP (in review),679341,987585-1,"Acta Phytotax. Sin.","33: 503","","1995"
kew-2543498,A,Paulowniaceae,,Paulownia,×,"intermedia",,"","T.B.Lee",Unresolved,,L,WCSP (in review),679343,902723-1,"Bull. Kwanak Arbor.","4: 69","","1983"
kew-2543499,A,Paulowniaceae,,Paulownia,,"kawakamii",,"","T.Itô",Accepted,,M,WCSP (in review),679344,806716-1,"Icon. Pl. Japon.","1(4): t. 15-16","","1912"
kew-2543510,A,Paulowniaceae,,Paulownia,,"longifolia",,"","Hand.-Mazz.",Unresolved,,L,WCSP (in review),679355,,"Symb. Sin.","7: 832","","1936"
tro-29200360,A,Paulowniaceae,,Paulownia,,"taiwaniana",,"","T.W. Hu & H.J. Chang",Accepted,,M,TRO,29200360,806725-1,"Taiwania","20(2): 166","166","1975"
kew-2542391,A,Paulowniaceae,,Paulownia,,"tomentosa",,"","Steud.",Accepted,,L,WCSP (in review),678251,806727-1,"Nomencl. Bot.","ed. 2, 2: 278","","1841"
tro-29208464,A,Paulowniaceae,,Paulownia,,"tomentosa",var.,"tsinlingensis","(Pai [Bai]) T. Gong",Accepted,,L,TRO,29208464,891404-1,"Acta Phytotax. Sin.","14(2): 43","43","1976"
