ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-4569,A,Phytolaccaceae,,Agdestis,,"clematidea",,"","Moc. & Sessé ex DC.",Accepted,,H,WCSP,4569,323287-2,"Syst. Nat.","1: 543","","1818"
kew-2627209,A,Phytolaccaceae,,Albertokuntzea,,"americana",,"","(L.) Kuntze",Unresolved,,L,WCSP (in review),759530,8003-2,"Revis. Gen. Pl.","2: 550","","1891"
kew-2627210,A,Phytolaccaceae,,Albertokuntzea,,"coriacea",,"","(Benth.) Kuntze",Unresolved,,L,WCSP (in review),759531,8004-2,"Revis. Gen. Pl.","2: 550","","1891"
kew-2627211,A,Phytolaccaceae,,Albertokuntzea,,"floribunda",,"","(Benth.) Kuntze",Unresolved,,L,WCSP (in review),759532,8005-2,"Revis. Gen. Pl.","2: 550","","1891"
kew-2627212,A,Phytolaccaceae,,Albertokuntzea,,"foliosa",,"","(Benth.) Kuntze",Unresolved,,L,WCSP (in review),759533,8006-2,"Revis. Gen. Pl.","2: 550","","1891"
kew-2627213,A,Phytolaccaceae,,Albertokuntzea,,"langsdorffii",,"","(Moq.) Kuntze",Unresolved,,L,WCSP (in review),759534,8007-2,"Revis. Gen. Pl.","2: 550","","1891"
kew-2627214,A,Phytolaccaceae,,Albertokuntzea,,"longifolia",,"","(Benth.) Kuntze",Unresolved,,L,WCSP (in review),759535,8008-2,"Revis. Gen. Pl.","2: 550","","1891"
kew-2627215,A,Phytolaccaceae,,Albertokuntzea,,"macrophylla",,"","(Benth.) Kuntze",Unresolved,,L,WCSP (in review),759536,8009-2,"Revis. Gen. Pl.","2: 550","","1891"
kew-2627216,A,Phytolaccaceae,,Albertokuntzea,,"parvifolia",,"","(Benth.) Kuntze",Unresolved,,L,WCSP (in review),759537,8010-2,"Revis. Gen. Pl.","2: 550","","1891"
kew-2627217,A,Phytolaccaceae,,Albertokuntzea,,"vauthieri",,"","(Moq.) Kuntze",Unresolved,,L,WCSP (in review),759538,8011-2,"Revis. Gen. Pl.","2: 550","","1891"
kew-2640259,A,Phytolaccaceae,,Anisomeria,,"chilensis",,"","(Miers) H.Walter",Accepted,,M,WCSP (in review),772364,14016-2,"Pflanzenr.","IV, 83: 33","","1909"
kew-2640260,A,Phytolaccaceae,,Anisomeria,,"coriacea",,"","D.Don",Accepted,,M,WCSP (in review),772365,676185-1,"Edinburgh New Philos. J.","13: 238","","1832"
