ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2620038,A,Piperaceae,,Acrocarpidium,,"cordifolium",,"","Miq.",Unresolved,,L,WCSP (in review),752412,677238-1,"Syst. Piperac.","56","","1843"
kew-2620040,A,Piperaceae,,Acrocarpidium,,"exile",,"","Miq.",Unresolved,,L,WCSP (in review),752414,677239-1,"Syst. Piperac.","56","","1843"
kew-2620041,A,Piperaceae,,Acrocarpidium,,"guayaquillense",,"","Miq.",Unresolved,,L,WCSP (in review),752415,677240-1,"London J. Bot.","4: 411","","1845"
kew-2620042,A,Piperaceae,,Acrocarpidium,,"guildingianum",,"","Miq.",Unresolved,,L,WCSP (in review),752416,677241-1,"London J. Bot.","4: 412","","1845"
kew-2620046,A,Piperaceae,,Acrocarpidium,,"mexicanum",,"","Miq.",Unresolved,,L,WCSP (in review),752420,677245-1,"Syst. Piperac.","58","","1843"
kew-2620050,A,Piperaceae,,Acrocarpidium,,"pulicare",,"","Miq.",Unresolved,,L,WCSP (in review),752424,677248-1,"Verslagen Meded. Kon. Ned. Inst. Wetensch.","1842: 199","","1843"
kew-2620051,A,Piperaceae,,Acrocarpidium,,"repens",,"","Miq.",Unresolved,,L,WCSP (in review),752425,677249-1,"Verslagen Meded. Kon. Ned. Inst. Wetensch.","1842: 199","","1843"
kew-2620053,A,Piperaceae,,Acrocarpidium,,"rotundifolium",,"","Miq.",Unresolved,,L,WCSP (in review),752427,677250-1,"Verslagen Meded. Kon. Ned. Inst. Wetensch.","1842: 199","","1843"
kew-2620054,A,Piperaceae,,Acrocarpidium,,"scandens",,"","Miq.",Unresolved,,L,WCSP (in review),752428,677251-1,"Syst. Piperac.","59","","1843"
kew-2632624,A,Piperaceae,,Amalago,,"antillana",,"","Raf.",Unresolved,,L,WCSP (in review),764779,677257-1,"Sylva Tellur.","84","","1838"
kew-2632625,A,Piperaceae,,Amalago,,"malamiri",,"","Raf.",Unresolved,,L,WCSP (in review),764780,677258-1,"Sylva Tellur.","84","","1838"
kew-2636884,A,Piperaceae,,Anderssoniopiper,,"panamense",,"","Trel.",Unresolved,,L,WCSP (in review),769010,12556-2,"Proc. Amer. Philos. Soc.","73: 329","","1934"
kew-2647460,A,Piperaceae,,Arctottonia,,"stipulacea",,"","(Opiz) Trel.",Unresolved,,L,WCSP (in review),779525,677268-1,"Proc. Amer. Philos. Soc.","75: 716","","1935"
