ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-26620462,P,Plagiogyriaceae,,Plagiogyria,,"adnata",,"","(Blume) Bedd.",Accepted,,M,TRO,26620462,17177220-1,"Ferns Brit. India",", pl. 51","","1865"
ifn-36850,P,Plagiogyriaceae,,Plagiogyria,,"articulata",,"","Ching in C.Chr.",Unresolved,,L,IPNI,17346350-1,17346350-1,"Index Filic., Suppl. Tertium pro Annis 1917-1933","140","","1934"
tro-26619058,P,Plagiogyriaceae,,Plagiogyria,,"assurgens",,"","Christ",Accepted,,M,TRO,26619058,17177240-1,"Boll. Soc. Bot. Ital.","1901: 293–294","293","1901"
tro-50150940,P,Plagiogyriaceae,,Plagiogyria,,"egenolfioides",,"","(Baker) Copel.",Accepted,,M,TRO,50150940,17346400-1,"J. Straits Branch Roy. Asiat. Soc.","63: 72","72","1912"
tro-50150941,P,Plagiogyriaceae,,Plagiogyria,,"egenolfioides",var.,"decrescens","(C. Chr.) X.C. Zhang & Noot.",Accepted,,L,TRO,50150941,17568270-1,"Blumea","42(2): 483","483","1997"
tro-50228468,P,Plagiogyriaceae,,Plagiogyria,,"egenolfioides",var.,"latipinna","(Copel.) X.C. Zhang & Noot.",Accepted,,L,TRO,50228468,,"Blumea","43(2): 430, pl. 5, map 2","430","1998"
tro-50228470,P,Plagiogyriaceae,,Plagiogyria,,"egenolfioides",var.,"sumatrana","(Rosenst.) X.C. Zhang & Noot.",Accepted,,L,TRO,50228470,,"Blumea","43(2): 430, pl. 6, map 2","430","1998"
tro-26600268,P,Plagiogyriaceae,,Plagiogyria,,"euphlebia",,"","(Kunze) Mett.",Accepted,,M,TRO,26600268,,"Abh. Senckenberg. Naturf. Ges. (Plagiogyria)","2: 274","274","1858"
tro-26620542,P,Plagiogyriaceae,,Plagiogyria,,"falcata",,"","Copel.",Accepted,,M,TRO,26620542,17256010-1,"Philipp. J. Sci.","2(2): 133, t. 1 B","133","1907"
tro-26610624,P,Plagiogyriaceae,,Plagiogyria,,"fialhoi",,"","Copel.",Accepted,,M,TRO,26610624,201147-2,"Univ. Calif. Publ. Bot.","19(9): 297","297","1941"
tro-50129665,P,Plagiogyriaceae,,Plagiogyria,,"glauca",,"","(Blume) Mett.",Accepted,,M,TRO,50129665,,"Abh. Senckenberg. Naturf. Ges. (Plagiogyria)","2: 273","273","1858"
tro-26600269,P,Plagiogyriaceae,,Plagiogyria,,"japonica",,"","Nakai",Accepted,,M,TRO,26600269,17346480-1,"Bot. Mag. (Tokyo)","42(496): 206","206","1928"
tro-26600270,P,Plagiogyriaceae,,Plagiogyria,,"matsumureana",,"","Makino",Accepted,,M,TRO,26600270,17177310-1,"Bot. Mag. (Tokyo)","8(84): 90","90","1894"
tro-26610626,P,Plagiogyriaceae,,Plagiogyria,,"maxonii",,"","Copel.",Unresolved,,L,TRO,26610626,,"Philipp. J. Sci.","38: 411, t. 11","411","1929"
ifn-36904,P,Plagiogyriaceae,,Plagiogyria,×,"neointermedia",,"","Nakaike",Unresolved,,L,IPNI,17448320-1,17448320-1,"Bull. Natl. Sci. Mus., Tokyo","14: 262. 1971.","","1971"
tro-50175968,P,Plagiogyriaceae,,Plagiogyria,,"papuana",,"","C. Chr.",Unresolved,,L,TRO,50175968,17411000-1,"Brittonia","2: 285","285","1937"
tro-26607333,P,Plagiogyriaceae,,Plagiogyria,,"pectinata",,"","(Liebm.) Lellinger",Accepted,,M,TRO,26607333,201151-2,"Amer. Fern J.","61: 115","115","1971"
tro-26620475,P,Plagiogyriaceae,,Plagiogyria,,"pycnophylla",,"","(Kunze) Mett.",Accepted,,M,TRO,26620475,,"Farngatt.","II: 272, pl. 4, f. 22","272","1858"
tro-26606527,P,Plagiogyriaceae,,Plagiogyria,,"semicordata",,"","(C. Presl) Christ",Accepted,,M,TRO,26606527,201152-2,"Farnkr. Erde","176","176","1897"
ifn-36920,P,Plagiogyriaceae,,Plagiogyria,×,"sessifolia",,"","Nakaike",Unresolved,,L,IPNI,17448360-1,17448360-1,"Bull. Natl. Sci. Mus., Tokyo","14: 262. 1971.","","1971"
tro-26611140,P,Plagiogyriaceae,,Plagiogyria,,"stenoptera",,"","(Hance) Diels",Accepted,,M,TRO,26611140,17177350-1,"Nat. Pflanzenfam.","1(4): 282","282","1899"
ifn-82140,P,Plagiogyriaceae,,Plagiogyria,,"urbani",,"","Copel.",Unresolved,,L,IPNI,17346630-1,17346630-1,"Philipp. J. Sci.","38: 413, t. 14","","1929"
ifn-36936,P,Plagiogyriaceae,,Plagiogyria,×,"wakabae",,"","Kurata ex Nakaike",Unresolved,,L,IPNI,17448370-1,17448370-1,"Bull. Natl. Sci. Mus., Tokyo","14: 262. 1971.","","1971"
