ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2615167,A,Plantaginaceae,,Acanthorrhinum,,"ramosissimum",,"","(Coss. & Durieu) Rothm.",Accepted,,M,WCSP (in review),747572,798404-1,"Feddes Repert. Spec. Nov. Regni Veg.","52: 31","","1943"
kew-2615168,A,Plantaginaceae,,Acanthorrhinum,,"rivas-martinezii",,"","(Sánchez Mata) Fern.Casas & Sánchez Mata",Accepted,,L,WCSP (in review),747573,945718-1,"Fontqueria","20: 63","","1988"
kew-2899371,A,Plantaginaceae,,Achetaria,,"azurea",,"","(Linden) V.C.Souza",Accepted,,M,WCSP (in review),1022099,77103514-1,"Pesquisas, Bot.","60: 90","","2009"
kew-2617252,A,Plantaginaceae,,Achetaria,,"bicolor",,"","Pennell",Accepted,,M,WCSP (in review),749635,2273-2,"Notul. Nat. Acad. Nat. Sci. Philadelphia","244: 2","","1952"
kew-2899370,A,Plantaginaceae,,Achetaria,,"caparaoensis",,"","(Brade) V.C.Souza",Accepted,,M,WCSP (in review),1022098,77103516-1,"Pesquisas, Bot.","60: 91","","2009"
kew-2899298,A,Plantaginaceae,,Achetaria,,"crenata",,"","(Ronse & Philcox) V.C.Souza",Accepted,,M,WCSP (in review),1022032,77103518-1,"Pesquisas, Bot.","60: 93","","2009"
kew-2617253,A,Plantaginaceae,,Achetaria,,"erecta",,"","(Spreng.) Wettst.",Accepted,,M,WCSP (in review),749636,2275-2,"Nat. Pflanzenfam.","3(3b): 74","","1891"
tro-29200449,A,Plantaginaceae,,Achetaria,,"erecta",,"","Wettstein",Unresolved,,L,TRO,29200449,,"","","",""
kew-2617255,A,Plantaginaceae,,Achetaria,,"guianensis",,"","Pennell",Accepted,,M,WCSP (in review),749638,2277-2,"Notul. Nat. Acad. Nat. Sci. Philadelphia","46: 5","","1940"
kew-2617256,A,Plantaginaceae,,Achetaria,,"latifolia",,"","V.C.Souza",Accepted,,M,WCSP (in review),749639,77065836-1,"Bot. J. Linn. Soc.","148: 73","","2005"
kew-2617257,A,Plantaginaceae,,Achetaria,,"ocymoides",,"","(Cham. & Schltdl.) Wettst.",Accepted,,M,WCSP (in review),749640,,"Nat. Pflanzenfam.","3(3b): 74","","1891"
kew-2899360,A,Plantaginaceae,,Achetaria,,"platychila",,"","(Radlk.) V.C.Souza",Accepted,,M,WCSP (in review),1022089,77103517-1,"Pesquisas, Bot.","60: 91","","2009"
kew-2617258,A,Plantaginaceae,,Achetaria,,"scutellarioides",,"","(Benth.) Wettst.",Accepted,,M,WCSP (in review),749641,,"Nat. Pflanzenfam.","3(3b): 74","","1891"
kew-2621872,A,Plantaginaceae,,Adenosma,,"annamense",,"","T.Yamaz.",Accepted,,M,WCSP (in review),754232,,"J. Jap. Bot.","55: 5","","1980"
kew-2621874,A,Plantaginaceae,,Adenosma,,"bilabiata",,"","(Roxb.) Merr.",Accepted,,M,WCSP (in review),754234,798417-1,"Enum. Philipp. Fl. Pl.","3: 434","","1923"
kew-2621876,A,Plantaginaceae,,Adenosma,,"bracteosum",,"","Bonati",Accepted,,M,WCSP (in review),754236,798418-1,"Notul. Syst. (Paris)","1: 332","","1911"
kew-2621877,A,Plantaginaceae,,Adenosma,,"buchneroides",,"","Bonati",Accepted,,M,WCSP (in review),754237,798420-1,"Bull. Soc. Bot. Genève","II, 5: 314","","1913 publ. 1914"
kew-2621878,A,Plantaginaceae,,Adenosma,,"caeruleum",,"","R.Br.",Accepted,,M,WCSP (in review),754238,90791-3,"Prodr. Fl. Nov. Holl.","43","","1810"
kew-2621879,A,Plantaginaceae,,Adenosma,,"camphoratum",,"","Hook.f.",Accepted,,M,WCSP (in review),754239,798422-1,"Fl. Brit. India","4: 264","","1884"
kew-2621882,A,Plantaginaceae,,Adenosma,,"cordifolium",,"","Bonati",Accepted,,M,WCSP (in review),754242,798426-1,"Notul. Syst. (Paris)","2: 331","","1911"
kew-2621884,A,Plantaginaceae,,Adenosma,,"debilis",,"","Bonati",Accepted,,M,WCSP (in review),754244,798428-1,"Bull. Soc. Bot. France","71: 1098","","1924 publ. 1925"
kew-2621886,A,Plantaginaceae,,Adenosma,,"elsholtzioides",,"","T.Yamaz.",Accepted,,M,WCSP (in review),754246,798429-1,"J. Jap. Bot.","55: 2","","1980"
kew-2621887,A,Plantaginaceae,,Adenosma,,"fragrans",,"","Spreng.",Unresolved,,L,WCSP (in review),754247,798430-1,"Syst. Veg.","2: 829","","1825"
kew-2621888,A,Plantaginaceae,,Adenosma,,"glutinosum",,"","(L.) Druce",Accepted,,M,WCSP (in review),754248,798431-1,"Rep. Bot. Exch. Club Soc. Brit. Isles","3: 413","","1913 publ. 1914"
kew-2621892,A,Plantaginaceae,,Adenosma,,"hirsutum",,"","(Miq.) Kurz",Accepted,,L,WCSP (in review),754252,798434-1,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.","45(2): 143","","1876"
kew-2621893,A,Plantaginaceae,,Adenosma,,"indianum",,"","(Lour.) Merr.",Accepted,,M,WCSP (in review),754253,798435-1,"Trans. Amer. Philos. Soc.","n.s., 24(2): 351","","1935"
kew-2621894,A,Plantaginaceae,,Adenosma,,"inopinatum",,"","Prain",Accepted,,M,WCSP (in review),754254,798436-1,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.","72: 16","","1903"
