ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2614523,A,Polygalaceae,,Acanthocladus,,"albicans",,"","A.W.Benn.",Accepted,,M,WCSP (in review),746928,690059-1,"Fl. Bras.","13(3): 46","","1874"
kew-2614524,A,Polygalaceae,,Acanthocladus,,"brasiliensis",,"","Klotzsch ex Hassk.",Accepted,,M,WCSP (in review),746929,1651-2,"Ann. Mus. Bot. Lugduno-Batavi","1: 184","","1864"
kew-2898882,A,Polygalaceae,,Acanthocladus,,"colombianus",,"","Aymard & J.F.B.Pastore",Accepted,,M,WCSP (in review),1021661,,"Caldasia","31: 14","","2009"
tro-100364345,A,Polygalaceae,,Acanthocladus,,"dukei",,"","(Barringer) J.F.B. Pastore & D. Cardoso",Accepted,,M,TRO,100364345,60455170-2,"Novon","20(3): 321","321","2010"
kew-2614525,A,Polygalaceae,,Acanthocladus,,"guayaquilensis",,"","B.Eriksen & B.Ståhl",Accepted,,M,WCSP (in review),746930,321931-2,"in Fl. Ecuador","65(102): 7","","2000"
kew-2614527,A,Polygalaceae,,Acanthocladus,,"moyanoi",,"","Speg.",Accepted,,M,WCSP (in review),746932,1652-2,"Revista Fac. Agron. Univ. Nac. La Plata","3: 595","","1897"
tro-100364346,A,Polygalaceae,,Acanthocladus,,"pulcherrimus",,"","(Kuhlm.) J.F.B. Pastore & D. Cardoso",Accepted,,M,TRO,100364346,60455172-2,"Novon","20(3): 321–322","321","2010"
tro-100364348,A,Polygalaceae,,Acanthocladus,,"santosii",,"","(Wurdack) J.F.B. Pastore & D. Cardoso",Accepted,,M,TRO,100364348,60455173-2,"Novon","20(3): 322, f. 2","322","2010"
kew-2614528,A,Polygalaceae,,Acanthocladus,,"scleroxylon",,"","(Ducke) B.Eriksen & B.Ståhl",Accepted,,M,WCSP (in review),746933,20001358-1,"in Fl. Ecuador","65(102): 6","","2000"
kew-2636812,A,Polygalaceae,,Ancylotropis,,"insignis",,"","(A.W.Benn.) B.Eriksen",Accepted,,M,WCSP (in review),768938,972045-1,"Pl. Syst. Evol.","186: 49","","1993"
