ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2615170,A,Polygonaceae,,Acanthoscyphus,,"parishii",,"","(Parry) Small",Accepted,,M,WCSP (in review),747575,1691-2,"Bull. Torrey Bot. Club","25: 53","","1898"
kew-2615171,A,Polygonaceae,,Acanthoscyphus,,"parishii",var.,"abramsii","(McGregor) Reveal",Unresolved,,L,WCSP (in review),747576,60436666-2,"Harvard Pap. Bot.","9: 144","","2004"
kew-2615172,A,Polygonaceae,,Acanthoscyphus,,"parishii",var.,"cienegensis","(Ertter) Reveal",Accepted,,L,WCSP (in review),747577,60436667-2,"Harvard Pap. Bot.","9: 144","","2004"
kew-2615173,A,Polygonaceae,,Acanthoscyphus,,"parishii",var.,"goodmaniana","(Ertter) Reveal",Accepted,,L,WCSP (in review),747578,60436668-2,"Harvard Pap. Bot.","9: 144","","2004"
kew-2616763,A,Polygonaceae,,Acetosa,,"cordata",,"","(Desf.) Á.Löve & Kapoor",Unresolved,,L,WCSP (in review),749148,692940-1,"Taxon","16: 520","","1967"
kew-2616772,A,Polygonaceae,,Acetosa,,"hastatula",,"","(Baldwin) Á.Löve",Unresolved,,L,WCSP (in review),749157,1981-2,"Rep. Univ. Inst. Appl. Sci., Reykjavik, Dept. Agric. Ser. B","3: 107","","1948"
kew-2616774,A,Polygonaceae,,Acetosa,,"hastiformis",,"","Á.Löve & Kapoor",Unresolved,,L,WCSP (in review),749159,692951-1,"Taxon","16: 521","","1967"
kew-2616781,A,Polygonaceae,,Acetosa,,"integrifolia",,"","Raf.",Unresolved,,L,WCSP (in review),749166,692958-1,"New Fl.","4: 52","","1838"
kew-2616784,A,Polygonaceae,,Acetosa,,"lativalvis",,"","(Meisn.) Á.Löve & Kapoor",Unresolved,,L,WCSP (in review),749169,692961-1,"Taxon","16: 520","","1967"
kew-2616794,A,Polygonaceae,,Acetosa,,"oblongifolia",,"","(Tolm.) Á.Löve & D.Löve",Unresolved,,L,WCSP (in review),749179,692972-1,"Bot. Not.","128: 506","","1975 publ. 1976"
kew-2616803,A,Polygonaceae,,Acetosa,,"paucifolia",,"","(Nutt. ex S.Watson) Á.Löve",Unresolved,,L,WCSP (in review),749188,1984-2,"Rep. Univ. Inst. Appl. Sci., Reykjavik, Dept. Agric. Ser. B","3: 107","","1948"
