ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2623413,A,Primulaceae,,Aegiceras,,"corniculatum",,"","(L.) Blanco",Accepted,,M,WCSP (in review),755769,92812-3,"Fl. Filip.","79","","1837"
kew-2623415,A,Primulaceae,,Aegiceras,,"floridum",,"","Roem. & Schult.",Accepted,,M,WCSP (in review),755771,586620-1,"Syst. Veg.","4: 512","","1819"
tro-50331001,A,Primulaceae,,Aegiceras,,"minor",,"","Gaertn.",Unresolved,,L,TRO,50331001,,"","","",""
kew-2628144,A,Primulaceae,,Aleuritia,,"aerinantha",,"","(Balf.f. & Purdie) Soják",Unresolved,,L,WCSP (in review),760461,699882-1,"?as. Nár. Mus., Odd. P?ír.","148: 203","","1979 publ. 1980"
kew-2628146,A,Primulaceae,,Aleuritia,,"algida",,"","(Adams) Soják",Unresolved,,L,WCSP (in review),760463,699884-1,"?as. Nár. Mus., Odd. P?ír.","148: 203","","1979 publ. 1980"
kew-2628147,A,Primulaceae,,Aleuritia,,"alpicola",,"","(Stapf) Soják",Unresolved,,L,WCSP (in review),760464,699885-1,"?as. Nár. Mus., Odd. P?ír.","148: 203","","1979 publ. 1980"
kew-2628148,A,Primulaceae,,Aleuritia,,"amethystina",,"","(Franch.) Soják",Unresolved,,L,WCSP (in review),760465,699886-1,"?as. Nár. Mus., Odd. P?ír.","148: 203","","1979 publ. 1980"
kew-2628149,A,Primulaceae,,Aleuritia,,"angustifolia",,"","(Torr.) Soják",Unresolved,,L,WCSP (in review),760466,699887-1,"?as. Nár. Mus., Odd. P?ír.","148: 203","","1979 publ. 1980"
kew-2628150,A,Primulaceae,,Aleuritia,,"anisodora",,"","(Balf.f. & Forrest) Soják",Unresolved,,L,WCSP (in review),760467,699888-1,"?as. Nár. Mus., Odd. P?ír.","148: 203","","1979 publ. 1980"
kew-2628151,A,Primulaceae,,Aleuritia,,"annulata",,"","(Balf.f. & Ward) Soják",Unresolved,,L,WCSP (in review),760468,699889-1,"?as. Nár. Mus., Odd. P?ír.","148: 203","","1979 publ. 1980"
kew-2628152,A,Primulaceae,,Aleuritia,,"apoclita",,"","(Balf.f. & Forrest) Soják",Unresolved,,L,WCSP (in review),760469,699890-1,"?as. Nár. Mus., Odd. P?ír.","148: 203","","1979 publ. 1980"
kew-2628153,A,Primulaceae,,Aleuritia,,"arctica",,"","(Koidz.) Soják",Unresolved,,L,WCSP (in review),760470,699891-1,"?as. Nár. Mus., Odd. P?ír.","148: 203","","1979 publ. 1980"
kew-2628154,A,Primulaceae,,Aleuritia,,"aurantiaca",,"","(W.W.Sm. & Forrest) Soják",Unresolved,,L,WCSP (in review),760471,699892-1,"?as. Nár. Mus., Odd. P?ír.","148: 203","","1979 publ. 1980"
kew-2628156,A,Primulaceae,,Aleuritia,,"baileyana",,"","(Kingdon-Ward) Soják",Unresolved,,L,WCSP (in review),760473,699894-1,"?as. Nár. Mus., Odd. P?ír.","148: 203","","1979 publ. 1980"
kew-2628157,A,Primulaceae,,Aleuritia,,"baldschuanica",,"","(B.Fedtsch.) Soják",Unresolved,,L,WCSP (in review),760474,699895-1,"?as. Nár. Mus., Odd. P?ír.","148: 203","","1979 publ. 1980"
kew-2628158,A,Primulaceae,,Aleuritia,,"barbatula",,"","(W.W.Sm.) Soják",Unresolved,,L,WCSP (in review),760475,699896-1,"?as. Nár. Mus., Odd. P?ír.","148: 203","","1979 publ. 1980"
kew-2628159,A,Primulaceae,,Aleuritia,,"barnardoana",,"","(W.W.Sm. & Ward) Soják",Unresolved,,L,WCSP (in review),760476,699897-1,"?as. Nár. Mus., Odd. P?ír.","148: 203","","1979 publ. 1980"
kew-2628161,A,Primulaceae,,Aleuritia,,"beesiana",,"","(Forrest) Soják",Unresolved,,L,WCSP (in review),760478,699899-1,"?as. Nár. Mus., Odd. P?ír.","148: 203","","1979 publ. 1980"
kew-2628162,A,Primulaceae,,Aleuritia,,"bella",,"","(Franch.) Soják",Unresolved,,L,WCSP (in review),760479,699900-1,"?as. Nár. Mus., Odd. P?ír.","148: 203","","1979 publ. 1980"
kew-2628163,A,Primulaceae,,Aleuritia,,"bellidifolia",,"","(King ex Hook.f.) Soják",Unresolved,,L,WCSP (in review),760480,699901-1,"?as. Nár. Mus., Odd. P?ír.","148: 203","","1979 publ. 1980"
kew-2628164,A,Primulaceae,,Aleuritia,,"borealis",,"","(Duby) Soják",Unresolved,,L,WCSP (in review),760481,699902-1,"?as. Nár. Mus., Odd. P?ír.","148: 203","","1979 publ. 1980"
kew-2628165,A,Primulaceae,,Aleuritia,,"brachystoma",,"","(W.W.Sm.) Soják",Unresolved,,L,WCSP (in review),760482,699903-1,"?as. Nár. Mus., Odd. P?ír.","148: 203","","1979 publ. 1980"
kew-2628166,A,Primulaceae,,Aleuritia,,"bulleyana",,"","(Forrest) Soják",Unresolved,,L,WCSP (in review),760483,699904-1,"?as. Nár. Mus., Odd. P?ír.","148: 203","","1979 publ. 1980"
kew-2628167,A,Primulaceae,,Aleuritia,,"burmanica",,"","(Balf.f. & Ward) Soják",Unresolved,,L,WCSP (in review),760484,699905-1,"?as. Nár. Mus., Odd. P?ír.","148: 203","","1979 publ. 1980"
kew-2628168,A,Primulaceae,,Aleuritia,,"capitata",,"","(Hook.) Soják",Unresolved,,L,WCSP (in review),760485,699906-1,"?as. Nár. Mus., Odd. P?ír.","148: 203","","1979 publ. 1980"
