ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2684011,A,Rafflesiaceae,,Brugmansia,,"lowii",,"","Becc.",Unresolved,,L,WCSP (in review),815693,316023-1,"Atti Soc. Ital. Sci. Nat.","11: 198","","1868"
kew-2684023,A,Rafflesiaceae,,Brugmansia,,"zippelii",,"","Blume",Unresolved,,L,WCSP (in review),815705,316024-1,"Bijdr. Natuurk. Wetensch.","2: 422","","1828"
kew-2814805,A,Rafflesiaceae,,Frostia,,"calliandrae",,"","(Gardner) H.Karst.",Unresolved,,L,WCSP (in review),942271,316036-1,"Nov. Actorum Acad. Caes. Leop.-Carol. Nat. Cur.","26: 921","","1858"
kew-2509062,A,Rafflesiaceae,,Mycetanthe,,"lowii",,"","Hochr.",Unresolved,,L,WCSP (in review),645443,707070-1,"Candollea","4: 188","","1930"
kew-2869157,A,Rafflesiaceae,,Rafflesia,,"arnoldii",,"","R.Br.",Accepted,,M,WCSP (in review),995777,316069-1,"Rafflesia","7, tt. XV-XXII","","1821"
kew-2869158,A,Rafflesiaceae,,Rafflesia,,"atjehensis",,"","Koord.",Unresolved,,L,WCSP (in review),995778,707084-1,"Bull. Jard. Bot. Buitenzorg","III, 1: 177","","1918"
kew-2897191,A,Rafflesiaceae,,Rafflesia,,"aurantia",,"","Barcelona, Co & Balete",Unresolved,,L,WCSP (in review),1020020,,"Gard. Bull. Singapore","61: 18","","2009"
kew-2522635,A,Rafflesiaceae,,Rafflesia,,"azlanii",,"","Latiff & M.Wong",Unresolved,,L,WCSP (in review),658690,,"Folia Malaysiana","4: 137","","2003"
kew-2524488,A,Rafflesiaceae,,Rafflesia,,"baletei",,"","Barcelona & Cajano",Accepted,,M,WCSP (in review),660541,,"Kew Bull.","61: 232","","2006"
kew-2605317,A,Rafflesiaceae,,Rafflesia,,"bengkuluensis",,"","Susatya, Arianto & Mat-Salleh",Unresolved,,L,WCSP (in review),738459,,"Folia Malaysiana","6: 147","","2005"
kew-2869159,A,Rafflesiaceae,,Rafflesia,,"borneensis",,"","Koord.",Accepted,,M,WCSP (in review),995779,707085-1,"Bot. Overz. Raffles.","47","","1918"
kew-2869160,A,Rafflesiaceae,,Rafflesia,,"cantleyi",,"","Solms",Accepted,,M,WCSP (in review),995780,707086-1,"Ann. Jard. Bot. Buitenzorg, Suppl.","3: 2","","1910"
kew-2869161,A,Rafflesiaceae,,Rafflesia,,"ciliata",,"","Koord.",Unresolved,,L,WCSP (in review),995781,707087-1,"Bot. Overz. Raffles.","64","","1918"
kew-2869163,A,Rafflesiaceae,,Rafflesia,,"gadutensis",,"","Meijer",Accepted,,M,WCSP (in review),995783,905073-1,"Blumea","30: 211","","1984"
kew-2869164,A,Rafflesiaceae,,Rafflesia,,"hasseltii",,"","Suringar",Accepted,,M,WCSP (in review),995784,,"Verslagen Meded. Afd. Natuurk. Kon. Akad. Wetensch.","II, 1879-1880(4): 5","","1879"
kew-2869165,A,Rafflesiaceae,,Rafflesia,,"horsfieldii",,"","R.Br.",Accepted,,M,WCSP (in review),995785,316072-1,"Rafflesia","25","","1821"
kew-2869166,A,Rafflesiaceae,,Rafflesia,,"keithii",,"","Meijer",Accepted,,M,WCSP (in review),995786,905074-1,"Blumea","30: 211","","1984"
kew-2869167,A,Rafflesiaceae,,Rafflesia,,"kerrii",,"","Meijer",Accepted,,M,WCSP (in review),995787,905075-1,"Blumea","30: 212","","1984"
kew-2903774,A,Rafflesiaceae,,Rafflesia,,"lawangensis",,"","Mat-Salleh, Mahyuni & Susatya",Unresolved,,L,WCSP (in review),1026232,,"Reinwardtia","13: 160","","2010"
kew-2608428,A,Rafflesiaceae,,Rafflesia,,"leonardii",,"","Barcelona & Pelser",Accepted,,M,WCSP (in review),741361,77091703-1,"Blumea","53: 224","","2008"
