ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-218523,A,Restionaceae,,Alexgeorgea,,"ganopoda",,"","L.A.S.Johnson & B.G.Briggs",Accepted,,H,WCSP,218523,958328-1,"Austral. Syst. Bot.","3: 752","","1990"
kew-218524,A,Restionaceae,,Alexgeorgea,,"nitens",,"","(Nees) L.A.S.Johnson & B.G.Briggs",Accepted,,H,WCSP,218524,943344-1,"Telopea","2: 781","","1986"
kew-218525,A,Restionaceae,,Alexgeorgea,,"subterranea",,"","Carlquist",Accepted,,H,WCSP,218525,715691-1,"Austral. J. Bot.","24: 283","","1976"
kew-220443,A,Restionaceae,,Anthochortus,,"capensis",,"","Esterh.",Accepted,,H,WCSP,220443,928940-1,"Bothalia","15: 484","","1985"
kew-220444,A,Restionaceae,,Anthochortus,,"crinalis",,"","(Mast.) H.P.Linder",Accepted,,H,WCSP,220444,942221-1,"Bothalia","15: 486","","1985"
kew-220445,A,Restionaceae,,Anthochortus,,"ecklonii",,"","Nees",Accepted,,H,WCSP,220445,715705-1,"Intr. Nat. Syst. Bot.","ed. 2: 451","","1836"
kew-220446,A,Restionaceae,,Anthochortus,,"graminifolius",,"","(Kunth) H.P.Linder",Accepted,,H,WCSP,220446,942222-1,"Bothalia","15: 486","","1985"
kew-220447,A,Restionaceae,,Anthochortus,,"insignis",,"","(Mast.) H.P.Linder",Accepted,,H,WCSP,220447,942223-1,"Bothalia","15: 487","","1985"
kew-220448,A,Restionaceae,,Anthochortus,,"laxiflorus",,"","(Nees) H.P.Linder",Accepted,,H,WCSP,220448,942224-1,"Bothalia","15: 487","","1985"
kew-220449,A,Restionaceae,,Anthochortus,,"singularis",,"","Esterh.",Accepted,,H,WCSP,220449,940333-1,"S. African J. Bot.","56: 454","","1990"
kew-220601,A,Restionaceae,,Apodasmia,,"brownii",,"","(Hook.f.) B.G.Briggs & L.A.S.Johnson",Accepted,,H,WCSP,220601,1001703-1,"Telopea","7: 371","","1998"
tro-50122193,A,Restionaceae,,Apodasmia,,"ceramophila",,"","B.G. Briggs & L.A.S. Johnson",Unresolved,,L,TRO,50122193,,"","","",""
kew-220602,A,Restionaceae,,Apodasmia,,"chilensis",,"","(Gay) B.G.Briggs & L.A.S.Johnson",Accepted,,H,WCSP,220602,1005467-1,"Telopea","8: 22","","1998"
kew-220603,A,Restionaceae,,Apodasmia,,"similis",,"","(Edgar) B.G.Briggs & L.A.S.Johnson",Accepted,,H,WCSP,220603,1005468-1,"Telopea","8: 22","","1998"
kew-220979,A,Restionaceae,,Askidiosperma,,"alboaristatum",,"","(Pillans) H.Linder",Accepted,,H,WCSP,220979,942181-1,"Bothalia","15: 431","","1985"
kew-220980,A,Restionaceae,,Askidiosperma,,"alticola",,"","(E.Esterhuysen) H.P.Linder",Accepted,,H,WCSP,220980,20002468-1,"Nordic J. Bot.","21: 198","","2001"
kew-220981,A,Restionaceae,,Askidiosperma,,"andreaeanum",,"","(Pillans) H.Linder",Accepted,,H,WCSP,220981,942182-1,"Bothalia","15: 431","","1985"
kew-220982,A,Restionaceae,,Askidiosperma,,"capitatum",,"","Steud.",Accepted,,H,WCSP,220982,715706-1,"Flora","33: 229","","1850"
