ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2641399,A,Rhizophoraceae,,Anopyxis,,"klaineana",,"","(Pierre) Pierre ex Engl.",Accepted,,L,WCSP (in review),773503,,"Nat. Pflanzenfam.","Nachtr. 2: 49","","1900"
kew-2641442,A,Rhizophoraceae,,Anstrutheria,,"africana",,"","Benth.",Unresolved,,L,WCSP (in review),773546,719510-1,"J. Proc. Linn. Soc., Bot.","3: 78","","1859"
kew-2669591,A,Rhizophoraceae,,Baraultia,,"madagascariensis",,"","Spreng.",Unresolved,,L,WCSP (in review),801468,719514-1,"Syst. Veg.","2: 313","","1825"
kew-2677490,A,Rhizophoraceae,,Blepharistemma,,"serratum",,"","(Dennst.) Suresh",Accepted,,L,WCSP (in review),809223,945128-1,"Interpr. Hort. Malab.","214","","1988"
kew-2684033,A,Rhizophoraceae,,Bruguiera,,"cylindrica",,"","(L.) Blume",Accepted,,M,WCSP (in review),815715,719525-1,"Enum. Pl. Javae","1: 91","","1827"
kew-2684037,A,Rhizophoraceae,,Bruguiera,,"exaristata",,"","Ding Hou",Accepted,,M,WCSP (in review),815719,719530-1,"Nova Guinea","n.s., 8: 166","","1957"
kew-2684038,A,Rhizophoraceae,,Bruguiera,,"gymnorhiza",,"","(L.) Lam.",Accepted,,M,WCSP (in review),815720,,"Encycl.","4: 696","","1798"
kew-2684040,A,Rhizophoraceae,,Bruguiera,,"hainesii",,"","C.G.Rogers",Accepted,,M,WCSP (in review),815722,719533-1,"Bull. Misc. Inform. Kew","1919: 225","","1919"
kew-2684044,A,Rhizophoraceae,,Bruguiera,,"nemorosa",,"","Blanco",Unresolved,,L,WCSP (in review),815726,719535-1,"Fl. Filip., ed. 2","275","","1845"
kew-2684045,A,Rhizophoraceae,,Bruguiera,,"obtusa",,"","Steud.",Unresolved,,L,WCSP (in review),815727,,"Nomencl. Bot.","ed. 2, 1: 231","","1840"
