ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
ifn-14840,P,Saccolomataceae,,Ithycaulon,,"acuminatum",,"","Copel.",Unresolved,,L,IPNI,17335960-1,17335960-1,"Univ. Calif. Publ. Bot.","12. 395. 1931.","","1931"
ifn-65897,P,Saccolomataceae,,Ithycaulon,,"brasiliense",,"","C.Chr.",Unresolved,,L,IPNI,17335970-1,17335970-1,"Index Filic., Suppl. Tertium pro Annis 1917-1933","116","","1934"
ifn-14842,P,Saccolomataceae,,Ithycaulon,,"caudatum",,"","Copel.",Unresolved,,L,IPNI,17335980-1,17335980-1,"Univ. Calif. Publ. Bot.","16. 80. 1929.","","1929"
ifn-14843,P,Saccolomataceae,,Ithycaulon,,"cicutarioides",,"","Alston",Unresolved,,L,IPNI,17399720-1,17399720-1,"Journ. of Bot.","77: 289. 1939.","","1939"
ifn-14845,P,Saccolomataceae,,Ithycaulon,,"firmum",,"","C.Chr.",Unresolved,,L,IPNI,17336000-1,17336000-1,"Index Filic., Suppl. Tertium pro Annis 1917-1933","116","","1934"
ifn-14846,P,Saccolomataceae,,Ithycaulon,,"guentheri",,"","C.Chr.",Unresolved,,L,IPNI,130742-2,130742-2,"Index Filic., Suppl. Tertium pro Annis 1917-1933","3: 116","","1934"
ifn-14847,P,Saccolomataceae,,Ithycaulon,,"henriettae",,"","C.Chr.",Unresolved,,L,IPNI,17336020-1,17336020-1,"Index Filic., Suppl. Tertium pro Annis 1917-1933","116","","1934"
ifn-14849,P,Saccolomataceae,,Ithycaulon,,"minus",,"","C.Chr.",Unresolved,,L,IPNI,17336040-1,17336040-1,"Index Filic., Suppl. Tertium pro Annis 1917-1933","116","","1934"
tro-100354234,P,Saccolomataceae,,Ithycaulon,,"moluccanum",,"","(Blume) Copel.",Accepted,,M,TRO,100354234,17336050-1,"Univ. Calif. Publ. Bot.","16: 80","80","1929"
ifn-14851,P,Saccolomataceae,,Ithycaulon,,"novae-guineae",,"","Alston",Unresolved,,L,IPNI,17399730-1,17399730-1,"Journ. of Bot.","77: 289. 1939.","","1939"
ifn-14852,P,Saccolomataceae,,Ithycaulon,,"tenuisectum",,"","C.Chr.",Unresolved,,L,IPNI,17399740-1,17399740-1,"Brittonia","2: 285. 1937.","","1937"
ifn-15898,P,Saccolomataceae,,Orthiopteris,,"acuminata",,"","Copel.",Unresolved,,L,IPNI,17409230-1,17409230-1,"Philipp. J. Sci.","78: 9","","1950"
ifn-15899,P,Saccolomataceae,,Orthiopteris,,"brasiliensis",,"","Sehnem",Unresolved,,L,IPNI,176713-2,176713-2,"Fl. Ilustr. Catarin.","PTER: 5","","1972"
ifn-15900,P,Saccolomataceae,,Orthiopteris,,"campylura",,"","Copel.",Unresolved,,L,IPNI,17409240-1,17409240-1,"Fern Fl. Philip.","1: 87. 1958.","","1958"
ifn-15901,P,Saccolomataceae,,Orthiopteris,,"caudata",,"","Copel.",Unresolved,,L,IPNI,17409250-1,17409250-1,"Philipp. J. Sci.","78: 9","","1950"
ifn-15902,P,Saccolomataceae,,Orthiopteris,,"cicutarioides",,"","Copel.",Unresolved,,L,IPNI,17409260-1,17409260-1,"Univ. Calif. Publ. Bot.","18: 217. 1942.","","1942"
tro-26621364,P,Saccolomataceae,,Orthiopteris,,"ferulacea",,"","(T. Moore) Copel.",Accepted,,M,TRO,26621364,,"","","",""
tro-26614585,P,Saccolomataceae,,Orthiopteris,,"firma",,"","Brownlie",Unresolved,,L,TRO,26614585,,"","","",""
