ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2615193,A,Santalaceae,,Acanthosyris,,"annonagustata",,"","C.U.Ulloa & M.Jørg.",Accepted,,M,WCSP (in review),747598,1001425-1,"Novon","8: 84","","1998"
kew-2615194,A,Santalaceae,,Acanthosyris,,"asipapote",,"","M.Nee",Accepted,,M,WCSP (in review),747599,994083-1,"Brittonia","48: 574","","1996 publ. 1997"
kew-2615196,A,Santalaceae,,Acanthosyris,,"falcata",,"","Griseb.",Accepted,,M,WCSP (in review),747601,779997-1,"Abh. Königl. Ges. Wiss. Göttingen","24: 151","","1879"
kew-2615197,A,Santalaceae,,Acanthosyris,,"glabrata",,"","(Stapf) Stauffer ex Govaerts",Accepted,,M,WCSP (in review),747602,,"World Checklist Seed Pl","3(2): 989","","1999"
kew-2615198,A,Santalaceae,,Acanthosyris,,"paulo-alvinii",,"","G.M.Barroso",Accepted,,M,WCSP (in review),747603,,"Anais Congr. Soc. Bot. Brasil","19: 180","","1968"
kew-2615200,A,Santalaceae,,Acanthosyris,,"spinescens",,"","Griseb.",Accepted,,M,WCSP (in review),747605,780001-1,"Abh. Königl. Ges. Wiss. Göttingen","24: 151","","1879"
kew-2634868,A,Santalaceae,,Amphorogyne,,"celastroides",,"","Stauffer & Hürl.",Accepted,,M,WCSP (in review),767006,,"Mitt. Bot. Mus. Univ. Zürich","211: 342","","1957"
kew-2634869,A,Santalaceae,,Amphorogyne,,"spicata",,"","Stauffer & Hürl.",Accepted,,M,WCSP (in review),767007,,"Mitt. Bot. Mus. Univ. Zürich","211: 338","","1957"
kew-2634870,A,Santalaceae,,Amphorogyne,,"staufferi",,"","Markgr. ex Stauffer",Accepted,,M,WCSP (in review),767008,,"Vierteljahrsschr. Naturf. Ges. Zürich","114: 70","","1969"
kew-2641551,A,Santalaceae,,Anthobolus,,"erythrocaulis",,"","F.Muell.",Accepted,,M,WCSP (in review),773655,780006-1,"Rep. (Annual) Brit. New Guinea","Spp. AA: 90","","1893-1894 publ. 1894"
kew-2641552,A,Santalaceae,,Anthobolus,,"exocarpoides",,"","F.Muell.",Unresolved,,L,WCSP (in review),773656,780007-1,"Fragm.","9: 3","","1875"
kew-2641553,A,Santalaceae,,Anthobolus,,"filifolius",,"","R.Br.",Accepted,,M,WCSP (in review),773657,780008-1,"Prodr. Fl. Nov. Holl.","357","","1810"
kew-2641554,A,Santalaceae,,Anthobolus,,"foveolatus",,"","F.Muell.",Accepted,,M,WCSP (in review),773658,780009-1,"Fragm.","1: 212","","1859"
kew-2641555,A,Santalaceae,,Anthobolus,,"leptomeroides",,"","F.Muell.",Accepted,,M,WCSP (in review),773659,780010-1,"Fragm.","1: 21","","1858"
kew-2642271,A,Santalaceae,,Antidaphne,,"amazonensis",,"","Rizzini",Accepted,,M,WCSP (in review),774375,15852-2,"Rodriguésia","18-19: 224","","1956"
kew-2642272,A,Santalaceae,,Antidaphne,,"andina",,"","Kuijt",Accepted,,M,WCSP (in review),774376,931275-1,"in Fl. Ecuador","24(32A): 7","","1986"
kew-2642273,A,Santalaceae,,Antidaphne,,"antidaphneoides",,"","(Rizzini) Kuijt",Accepted,,M,WCSP (in review),774377,945179-1,"Syst. Bot. Monogr.","18: 26","","1988"
kew-2642276,A,Santalaceae,,Antidaphne,,"glaziovii",,"","(Tiegh.) Kuijt",Accepted,,M,WCSP (in review),774380,945180-1,"Syst. Bot. Monogr.","18: 26","","1988"
kew-2642277,A,Santalaceae,,Antidaphne,,"hondurensis",,"","Kuijt",Accepted,,M,WCSP (in review),774381,1005389-1,"Novon","8: 402","","1998"
kew-2642281,A,Santalaceae,,Antidaphne,,"punctulata",,"","(Clos) Kuijt",Accepted,,M,WCSP (in review),774385,272391-2,"Syst. Bot. Monogr.","18: 28","","1988"
kew-2642282,A,Santalaceae,,Antidaphne,,"schottii",,"","(Eichler) Kuijt",Accepted,,M,WCSP (in review),774386,272392-2,"Syst. Bot. Monogr.","18: 33","","1988"
kew-2642283,A,Santalaceae,,Antidaphne,,"viscoidea",,"","Poepp. & Endl.",Accepted,,M,WCSP (in review),774387,272393-2,"Nov. Gen. Sp. Pl.","2: 70","","1838"
kew-2642285,A,Santalaceae,,Antidaphne,,"wrightii",,"","(Griseb.) Kuijt",Accepted,,M,WCSP (in review),774389,945183-1,"Syst. Bot. Monogr.","18: 40","","1988"
kew-2646770,A,Santalaceae,,Arceuthobium,,"abietinum",,"","(Engelm.) Abrams",Accepted,,M,WCSP (in review),778837,60452877-2,"Ill. Fl. Pacific States","rev. ed. 1: 530","","1940"
kew-2646771,A,Santalaceae,,Arceuthobium,,"abietis-religiosae",,"","Heil",Accepted,,M,WCSP (in review),778838,17574-2,"Centralbl. Bakteriol., 2. Anth.","II, 59: 28","","1923"
kew-2646772,A,Santalaceae,,Arceuthobium,,"americanum",,"","Nutt. ex A.Gray",Accepted,,M,WCSP (in review),778839,547902-1,"Boston J. Nat. Hist.","6: 214","","1850"
kew-2646773,A,Santalaceae,,Arceuthobium,,"apachecum",,"","Hawksw. & Wiens",Accepted,,M,WCSP (in review),778840,17577-2,"Brittonia","22: 266","","1970"
kew-2646776,A,Santalaceae,,Arceuthobium,,"azoricum",,"","Wiens & Hawksw.",Accepted,,M,WCSP (in review),778843,547905-1,"Kew Bull.","31: 73","","1976"
kew-2646777,A,Santalaceae,,Arceuthobium,,"bicarinatum",,"","Urb.",Accepted,,M,WCSP (in review),778844,17580-2,"Symb. Antill.","7: 204","","1912"
kew-2646778,A,Santalaceae,,Arceuthobium,,"blumeri",,"","A.Nelson",Accepted,,M,WCSP (in review),778845,17581-2,"Bot. Gaz.","56: 65","","1913"
kew-2646780,A,Santalaceae,,Arceuthobium,,"californicum",,"","Hawksw. & Wiens",Accepted,,M,WCSP (in review),778847,17582-2,"Brittonia","22: 268","","1970"
kew-2646781,A,Santalaceae,,Arceuthobium,,"campylopodum",,"","Engelm.",Accepted,,M,WCSP (in review),778848,17596-2,"Boston J. Nat. Hist.","6: 214","","1850"
kew-2646794,A,Santalaceae,,Arceuthobium,,"capense",,"","J.Presl",Unresolved,,L,WCSP (in review),778861,547911-1,"Prir. Rostlin","2: 28","","1825"
kew-2646795,A,Santalaceae,,Arceuthobium,,"chinense",,"","Lecomte",Accepted,,M,WCSP (in review),778862,547913-1,"Notul. Syst. (Paris)","3: 170","","1915"
tro-19102756,A,Santalaceae,,Arceuthobium,,"chinensis",,"","Lecomte",Accepted,,M,TRO,19102756,,"Notul. Syst. (Paris)","3: 170–171","170","1915"
kew-2646797,A,Santalaceae,,Arceuthobium,,"cubense",,"","Leiva & Bisse",Accepted,,M,WCSP (in review),778864,17597-2,"Revista Jard. Bot. Nac. Univ. Habana","4(1): 60","","1983"
tro-50175151,A,Santalaceae,,Arceuthobium,,"cubensis",,"","Leiva & Bisse",Unresolved,,L,TRO,50175151,,"Revista Jard. Bot. Nac. Univ. Habana","4(1): 60","60","1983"
kew-2646799,A,Santalaceae,,Arceuthobium,,"cyanocarpum",,"","(A.Nelson) Abrams",Accepted,,M,WCSP (in review),778866,17599-2,"Ill. Fl. Pacific States","2: 531","","1940"
tro-19101026,A,Santalaceae,,Arceuthobium,,"cyanocarpum",,"","J.M. Coult. & A. Nelson",Unresolved,,L,TRO,19101026,,"New Man. Bot. Centr. Rocky Mt.","146","146","1909"
kew-2646800,A,Santalaceae,,Arceuthobium,,"dacrydii",,"","Ridl.",Accepted,,M,WCSP (in review),778867,547917-1,"J. Fed. Malay States Mus.","6: 170","","1915"
kew-2646801,A,Santalaceae,,Arceuthobium,,"divaricatum",,"","Engelm.",Accepted,,M,WCSP (in review),778868,547918-1,"Rep. U.S. Geogr. Surv., Wheeler","6: 253","","1878"
kew-2646803,A,Santalaceae,,Arceuthobium,,"douglasii",,"","Engelm.",Accepted,,M,WCSP (in review),778870,547920-1,"Rep. U.S. Geogr. Surv., Wheeler","6: 253","","1878"
kew-2646810,A,Santalaceae,,Arceuthobium,,"gillii",,"","Hawksw. & Wiens",Accepted,,M,WCSP (in review),778877,17607-2,"Brittonia","16: 55","","1964"
kew-2646811,A,Santalaceae,,Arceuthobium,,"gillii",subsp.,"nigrum","Hawksw. & Wiens",Accepted,,L,WCSP (in review),778878,272473-2,"Brittonia","17: 223","","1965"
kew-2646813,A,Santalaceae,,Arceuthobium,,"globosum",,"","Hawksw. & Wiens",Accepted,,M,WCSP (in review),778880,17609-2,"Brittonia","17: 223","","1965"
kew-2888501,A,Santalaceae,,Arceuthobium,,"globosum",subsp.,"aureum","(Hawksw. & Wiens) Mathiasen",Accepted,,L,WCSP (in review),1012024,77099015-1,"Novon","18: 503","","2008"
kew-2888502,A,Santalaceae,,Arceuthobium,,"globosum",subsp.,"petersonii","(Hawksw. & Wiens) Mathiasen",Accepted,,L,WCSP (in review),1012025,77099016-1,"Novon","18: 503","","2008"
kew-2646815,A,Santalaceae,,Arceuthobium,,"gracile",,"","Engelm.",Unresolved,,L,WCSP (in review),778882,,"Pl. Fendler.","59","","1849"
kew-2646816,A,Santalaceae,,Arceuthobium,,"guatemalense",,"","Hawksw. & Wiens",Accepted,,M,WCSP (in review),778883,17611-2,"Brittonia","22: 267","","1970"
kew-2646818,A,Santalaceae,,Arceuthobium,,"hondurense",,"","Hawksw. & Wiens",Accepted,,M,WCSP (in review),778885,17612-2,"Brittonia","22: 267","","1970"
kew-2606224,A,Santalaceae,,Arceuthobium,,"hondurense",subsp.,"hawksworthii","(Wiens & C.G.Shaw bis) Mathiasen",Accepted,,L,WCSP (in review),739278,60446968-2,"Novon","17: 217","","2007"
kew-2646820,A,Santalaceae,,Arceuthobium,,"juniperi-procerae",,"","Chiov.",Accepted,,M,WCSP (in review),778887,547930-1,"Ann. Bot. (Rome)","9: 134","","1911"
kew-2646821,A,Santalaceae,,Arceuthobium,,"laricis",,"","(Piper) H.St.John",Accepted,,L,WCSP (in review),778888,17614-2,"Fl. S.-E. Washington","115","","1937"
kew-2646822,A,Santalaceae,,Arceuthobium,,"littorum",,"","Hawksw., Wiens & Nickrent",Accepted,,M,WCSP (in review),778889,300855-2,"Novon","2: 206","","1992"
kew-2646823,A,Santalaceae,,Arceuthobium,,"mancinellae",,"","C.Wright ex Griseb.",Unresolved,,L,WCSP (in review),778890,547933-1,"Cat. Pl. Cub.","121","","1866"
kew-2646825,A,Santalaceae,,Arceuthobium,,"minutissimum",,"","Hook.f.",Accepted,,M,WCSP (in review),778892,547935-1,"Fl. Brit. India","5: 227","","1886"
kew-2646827,A,Santalaceae,,Arceuthobium,,"monticola",,"","Hawksw., Wiens & Nickrent",Accepted,,M,WCSP (in review),778894,304255-2,"Novon","2: 205","","1992"
kew-2646830,A,Santalaceae,,Arceuthobium,,"occidentale",,"","Engelm. ex S.Watson",Accepted,,M,WCSP (in review),778897,547937-1,"Bot. California","2: 107","","1880"
kew-2646832,A,Santalaceae,,Arceuthobium,,"oxycedri",,"","(DC.) M.Bieb.",Accepted,,M,WCSP (in review),778899,,"Fl. Taur.-Caucas.","Suppl.: 629","","1819"
kew-2646834,A,Santalaceae,,Arceuthobium,,"pendens",,"","Hawksw. & Wiens",Accepted,,M,WCSP (in review),778901,17621-2,"Brittonia","32: 348","","1980"
kew-2646835,A,Santalaceae,,Arceuthobium,,"pini",,"","Hawksw. & Wiens",Accepted,,M,WCSP (in review),778902,547941-1,"Brittonia","22: 267","","1970"
kew-2646837,A,Santalaceae,,Arceuthobium,,"pusillum",,"","M.Peck",Accepted,,M,WCSP (in review),778904,547942-1,"Rep. (Annual) New York State Mus. Nat. Hist.","1875: 112","","1875"
kew-2646838,A,Santalaceae,,Arceuthobium,,"rubrum",,"","Hawksw. & Wiens",Accepted,,M,WCSP (in review),778905,17624-2,"Brittonia","17: 233","","1965"
kew-2646839,A,Santalaceae,,Arceuthobium,,"sichuanense",,"","(H.S.Kiu) Hawksw. & Wiens",Accepted,,M,WCSP (in review),778906,972367-1,"Novon","3: 156","","1993"
kew-2646840,A,Santalaceae,,Arceuthobium,,"siskiyouense",,"","Hawksw., Wiens & Nickrent",Accepted,,M,WCSP (in review),778907,306408-2,"Novon","2: 204","","1992"
kew-2646841,A,Santalaceae,,Arceuthobium,,"strictum",,"","Hawksw. & Wiens",Accepted,,M,WCSP (in review),778908,17625-2,"Brittonia","17: 234","","1965"
kew-2646843,A,Santalaceae,,Arceuthobium,,"tibetense",,"","H.X.Kiu & W.Ren",Accepted,,M,WCSP (in review),778910,957792-1,"J. Yunnan Forest. Coll.","1982(1): 42","","1982"
kew-2646844,A,Santalaceae,,Arceuthobium,,"tsugense",,"","(Rosend.) G.N.Jones",Accepted,,M,WCSP (in review),778911,17626-2,"Univ. Washington Publ. Biol.","5: 139","","1936"
kew-2646847,A,Santalaceae,,Arceuthobium,,"vaginatum",,"","(Humb. & Bonpl. ex Willd.) J.Presl",Accepted,,M,WCSP (in review),778914,547948-1,"Prir. Rostlin","2: 28","","1825"
kew-2646850,A,Santalaceae,,Arceuthobium,,"vaginatum",var.,"cryptopodum","(Engelm.) Cronquist",Accepted,,L,WCSP (in review),778917,1014700-1,"Intermountain Fl.","3A: 253","","1997"
kew-2646851,A,Santalaceae,,Arceuthobium,,"vaginatum",subsp.,"durangense","Hawksw. & Wiens",Accepted,,L,WCSP (in review),778918,272475-2,"Brittonia","17: 230","","1965"
kew-2646853,A,Santalaceae,,Arceuthobium,,"verticilliflora",,"","Engelm.",Accepted,,M,WCSP (in review),778920,547949-1,"Bot. California","2: 107","","1880"
kew-2646854,A,Santalaceae,,Arceuthobium,,"yecorense",,"","Hawksw. & Wiens",Accepted,,M,WCSP (in review),778921,272476-2,"Phytologia","66: 6","","1989"
kew-2656167,A,Santalaceae,,Aspidixia,,"articulata",,"","(Burm.f.) Tiegh.",Unresolved,,L,WCSP (in review),788211,547959-1,"Bull. Soc. Bot. France","43: 193","","1896"
kew-2656169,A,Santalaceae,,Aspidixia,,"bivalvis",,"","Tiegh.",Unresolved,,L,WCSP (in review),788213,547961-1,"Bull. Soc. Bot. France","43: 192","","1896"
kew-2656170,A,Santalaceae,,Aspidixia,,"capensis",,"","Tiegh.",Unresolved,,L,WCSP (in review),788214,547962-1,"Bull. Soc. Bot. France","43: 163","","1896"
kew-2656174,A,Santalaceae,,Aspidixia,,"liquidambaricola",,"","(Hayata) Nakai",Unresolved,,L,WCSP (in review),788218,547966-1,"J. Jap. Bot.","15: 746","","1939"
kew-2656175,A,Santalaceae,,Aspidixia,,"minima",,"","Tiegh.",Unresolved,,L,WCSP (in review),788219,547967-1,"Bull. Soc. Bot. France","43: 192","","1896"
kew-2656178,A,Santalaceae,,Aspidixia,,"robusta",,"","(Eckl. & Zeyh.) Tiegh.",Unresolved,,L,WCSP (in review),788222,547970-1,"Bull. Soc. Bot. France","43: 193","","1896"
kew-2656179,A,Santalaceae,,Aspidixia,,"semiplana",,"","Tiegh.",Unresolved,,L,WCSP (in review),788223,547971-1,"Bull. Soc. Bot. France","43: 193","","1896"
kew-2656180,A,Santalaceae,,Aspidixia,,"trachycarpa",,"","Tiegh.",Unresolved,,L,WCSP (in review),788224,547972-1,"Bull. Soc. Bot. France","43: 193","","1896"
kew-2666614,A,Santalaceae,,Austroamericium,,"aphyllum",,"","(Mart.) Hendrych",Unresolved,,L,WCSP (in review),798618,780034-1,"Bol. Soc. Argent. Bot.","10: 128","","1963"
kew-2666615,A,Santalaceae,,Austroamericium,,"brasiliense",,"","(A.DC.) Hendrych",Unresolved,,L,WCSP (in review),798619,27082-2,"Bol. Soc. Argent. Bot.","10: 128","","1963"
kew-2685254,A,Santalaceae,,Buckleya,,"angulosa",,"","S.B.Zhou & X.H.Guo",Accepted,,M,WCSP (in review),816927,77061574-1,"Guihaia","24: 332","","2004"
kew-2685255,A,Santalaceae,,Buckleya,,"distichophylla",,"","(Nutt.) Torr.",Accepted,,M,WCSP (in review),816928,780038-1,"Amer. J. Sci. Arts","45: 170","","1843"
kew-2685256,A,Santalaceae,,Buckleya,,"graebneriana",,"","Diels",Accepted,,M,WCSP (in review),816929,780039-1,"Bot. Jahrb. Syst.","29: 306","","1900"
kew-2685259,A,Santalaceae,,Buckleya,,"lanceolata",,"","(Siebold & Zucc.) Miq.",Accepted,,M,WCSP (in review),816932,780042-1,"Cat. Mus. Bot. Lugd.-Bat.","79","","1870"
kew-2713236,A,Santalaceae,,Cervantesia,,"bicolor",,"","Cav.",Accepted,,M,WCSP (in review),843784,,"Icon.","1: 49","","1791"
