ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2652061,A,Schoepfiaceae,,Arjona,,"ameghinoi",,"","Speg.",Unresolved,,L,WCSP (in review),784116,19667-2,"Anales Mus. Nac. Buenos Aires","7: 159","","1902"
kew-2652062,A,Schoepfiaceae,,Arjona,,"andina",,"","Phil.",Unresolved,,L,WCSP (in review),784117,,"Anales Univ. Chile","21: 405","","1862"
kew-2652063,A,Schoepfiaceae,,Arjona,,"appressa",,"","Phil.",Unresolved,,L,WCSP (in review),784118,780018-1,"Linnaea","33: 233","","1864"
kew-2652064,A,Schoepfiaceae,,Arjona,,"chubutensis",,"","Dusén",Unresolved,,L,WCSP (in review),784119,780019-1,"Rep. Princeton Univ. Exped. Patagonia, Botany","8(Suppl. Bot.): 106","","1914"
kew-2652065,A,Schoepfiaceae,,Arjona,,"glaberrima",,"","Pilg.",Unresolved,,L,WCSP (in review),784120,19669-2,"Bot. Jahrb. Syst.","37: 398","","1906"
kew-2652066,A,Schoepfiaceae,,Arjona,,"linearis",,"","Miers",Unresolved,,L,WCSP (in review),784121,780021-1,"J. Linn. Soc., Bot.","17: 133","","1880"
kew-2652067,A,Schoepfiaceae,,Arjona,,"longifolia",,"","Phil.",Accepted,,M,WCSP (in review),784122,780022-1,"Anales Univ. Chile","21: 405","","1862"
kew-2652068,A,Schoepfiaceae,,Arjona,,"megapotamica",,"","Malme",Accepted,,M,WCSP (in review),784123,19670-2,"Ark. Bot.","22A(7): 3","","1928"
kew-2652069,A,Schoepfiaceae,,Arjona,,"minima",,"","Hieron.",Unresolved,,L,WCSP (in review),784124,780024-1,"Bol. Acad. Nac. Ci.","4: 30","","1881"
kew-2652070,A,Schoepfiaceae,,Arjona,,"patagonica",,"","Hombr. & Jacquinot ex Decne.",Accepted,,M,WCSP (in review),784125,,"Voy. Pôle Sud","2: 22","","1853"
kew-2652071,A,Schoepfiaceae,,Arjona,,"patagonica",var.,"tandilensis","(Kuntze) Speg.",Unresolved,,L,WCSP (in review),784126,19671-2,"Contr. Fl. Tandil","46","","1901"
kew-2652072,A,Schoepfiaceae,,Arjona,,"pungens",,"","Phil.",Unresolved,,L,WCSP (in review),784127,780026-1,"Anales Univ. Chile","43: 537","","1873"
