ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35108378,B,Seligeriaceae,,Anodus,,"donnianus",,"","(Sm.) Bruch & Schimp.",Accepted,,M,TRO,35108378,,"Bryol. Eur.","2: 5 (fasc. 33–36 Mon. 3, 1)","5","1846"
tro-35113767,B,Seligeriaceae,,Blindia,,"acuta",,"","(Hedw.) Bruch & Schimp.",Accepted,,M,TRO,35113767,,"Bryol. Eur.","2: 19 (fasc. 33–36. Monogr. 3)","19","1846"
tro-35113768,B,Seligeriaceae,,Blindia,,"acuta",var.,"arenacea","Molendo",Accepted,,L,TRO,35113768,,"Ber. Naturhist. Vereins Augsburg","18: 141","141","1865"
tro-35161318,B,Seligeriaceae,,Blindia,,"acuta",var.,"rupestris","(Hedw.) Korcz.",Accepted,,L,TRO,35161318,,"Bot. Mater. Otd. Sporov. Rast., Bot. Inst. Komarova Akad Nauk SSSR","13: 289","289","1960"
tro-35161316,B,Seligeriaceae,,Blindia,,"acuta",subsp.,"trichodes","(Braithw.) J.J. Amann",Accepted,,L,TRO,35161316,,"Fl. Mouss. Suisse","2: 81","81","1918"
tro-35113780,B,Seligeriaceae,,Blindia,,"alpina",,"","(Mitt.) Müll. Hal.",Accepted,,M,TRO,35113780,,"Gen. Musc. Frond.","240","240","1900"
tro-35113781,B,Seligeriaceae,,Blindia,,"antarctica",,"","Müll. Hal.",Accepted,,M,TRO,35113781,,"Syn. Musc. Frond.","1: 344","344","1848"
tro-35113784,B,Seligeriaceae,,Blindia,,"arenacea",,"","(Molendo) Lorentz",Accepted,,M,TRO,35113784,,"Bryol. Notizb.","16","16","1865"
tro-35113788,B,Seligeriaceae,,Blindia,,"austrocrispula",,"","Müll. Hal.",Accepted,,M,TRO,35113788,,"Flora","68: 404","404","1885"
tro-35113790,B,Seligeriaceae,,Blindia,,"brachystegia",,"","Dixon",Accepted,,M,TRO,35113790,,"Bothalia","3: 599","599","1939"
tro-35113791,B,Seligeriaceae,,Blindia,,"brevipes",,"","Müll. Hal.",Accepted,,M,TRO,35113791,,"Int. Polarforsch., Deutsch. Exped.","2: 300","300","1890"
tro-35113792,B,Seligeriaceae,,Blindia,,"caespiticia",,"","(F. Weber & D. Mohr) Müll. Hal.",Accepted,,M,TRO,35113792,,"Deutschl. Moose","214","214","1853"
tro-35113794,B,Seligeriaceae,,Blindia,,"campylopodioides",,"","Dixon & Badhw.",Accepted,,M,TRO,35113794,,"Rec. Bot. Surv. India","12: 168","168","1938"
tro-35113795,B,Seligeriaceae,,Blindia,,"capillifolia",,"","Cardot",Accepted,,M,TRO,35113795,,"Bull. Herb. Boissier, sér. 2,","6: 5","5","1906"
tro-35113798,B,Seligeriaceae,,Blindia,,"churuccana",,"","Besch.",Unresolved,,L,TRO,35113798,,"Bull. Soc. Bot. France","32: LVIII","LVIII","1885"
tro-35113799,B,Seligeriaceae,,Blindia,,"cirrata",,"","(Hedw.) Müll. Hal.",Accepted,,M,TRO,35113799,,"Syn. Musc. Frond.","2: 585","585","1851"
tro-35113801,B,Seligeriaceae,,Blindia,,"compacta",,"","(Schwägr.) Müll. Hal.",Accepted,,M,TRO,35113801,,"Gen. Musc. Frond.","244","244","1900"
tro-35113803,B,Seligeriaceae,,Blindia,,"contecta",,"","(Hook. f. & Wilson) Müll. Hal.",Accepted,,M,TRO,35113803,,"Syn. Musc. Frond.","1: 344","344","1848"
tro-35113804,B,Seligeriaceae,,Blindia,,"crispula",,"","(Hedw.) Müll. Hal.",Accepted,,M,TRO,35113804,,"Syn. Musc. Frond.","2: 584","584","1851"
tro-35182526,B,Seligeriaceae,,Blindia,,"dalatensis",,"","Tixier",Accepted,,M,TRO,35182526,,"Ann. Hist.-Nat. Mus. Natl. Hung.","66: 87. f. 1","87","1974"
tro-35113808,B,Seligeriaceae,,Blindia,,"dryptodontoides",,"","Müll. Hal.",Accepted,,M,TRO,35113808,,"Bot. Jahrb. Syst.","5: 79","79","1883"
tro-35113810,B,Seligeriaceae,,Blindia,,"fastigiata",,"","Mitt.",Accepted,,M,TRO,35113810,,"Hooker's J. Bot. Kew Gard. Misc.","3: 355","355","1851"
tro-35113811,B,Seligeriaceae,,Blindia,,"ferruginea",,"","(Wilson) Broth.",Accepted,,M,TRO,35113811,,"Nat. Pflanzenfam.","I(3): 306","306","1901"
tro-35183866,B,Seligeriaceae,,Blindia,,"gradsteinii",,"","J.K. Bartlett & Vitt",Accepted,,M,TRO,35183866,,"New Zealand J. Bot.","24: 232. f. 120–124","232","1986"
tro-35113816,B,Seligeriaceae,,Blindia,,"grimmiacea",,"","Müll. Hal.",Accepted,,M,TRO,35113816,,"Int. Polarforsch., Deutsch. Exped.","2: 299","299","1890"
tro-35113817,B,Seligeriaceae,,Blindia,,"himalayana",,"","Dixon & Badhw.",Accepted,,M,TRO,35113817,,"Rec. Bot. Surv. India","12: 167","167","1938"
tro-35113819,B,Seligeriaceae,,Blindia,,"hyperborea",,"","(Gunnerus ex With.) Kindb.",Accepted,,M,TRO,35113819,,"Bih. Kongl. Svenska Vetensk.-Akad. Handl.","7(9): 95","95","1883"
tro-35113820,B,Seligeriaceae,,Blindia,,"immersa",,"","(E.B. Bartram & Dixon) Sainsbury",Accepted,,M,TRO,35113820,,"Rev. Bryol. Lichénol.","21: 215","215","1952"
tro-35113821,B,Seligeriaceae,,Blindia,,"indica",,"","(Wilson) Müll. Hal.",Accepted,,M,TRO,35113821,,"Gen. Musc. Frond.","246","246","1900"
tro-35113822,B,Seligeriaceae,,Blindia,,"inundata",,"","(Cardot) Cardot",Accepted,,M,TRO,35113822,,"Wiss. Erb. Schwed. Südpolar-Exp.","4(8): 84. 11","84","1908"
tro-35113823,B,Seligeriaceae,,Blindia,,"jamesonii",,"","Mont.",Accepted,,M,TRO,35113823,,"Syll. Gen. Sp. Crypt.","42","42","1856"
tro-35113824,B,Seligeriaceae,,Blindia,,"japonica",,"","Broth.",Accepted,,M,TRO,35113824,,"Oefvers. Förh. Finska Vetensk.-Soc.","62A(9): 4","4","1921"
tro-35183865,B,Seligeriaceae,,Blindia,,"lewinskyae",,"","J.K. Bartlett & Vitt",Accepted,,M,TRO,35183865,,"New Zealand J. Bot.","24: 227. f. 101–108","227","1986"
tro-35113830,B,Seligeriaceae,,Blindia,,"madeirensis",,"","Geh.",Accepted,,M,TRO,35113830,,"Biblioth. Bot.","73: 54. 13","54","1910"
tro-35113831,B,Seligeriaceae,,Blindia,,"magellanica",,"","Schimp.",Accepted,,M,TRO,35113831,,"Bot. Zeitung (Berlin)","20: 328","328","1862"
tro-35113832,B,Seligeriaceae,,Blindia,,"magellanica",var.,"inundata","(Cardot) Herzog",Accepted,,L,TRO,35113832,,"Beih. Bot. Centralbl., Abt. 2","60: 19","19","1939"
tro-35113833,B,Seligeriaceae,,Blindia,,"martinii",,"","Sainsbury",Accepted,,M,TRO,35113833,,"Rev. Bryol. Lichénol.","18: 111","111","1949"
tro-35169278,B,Seligeriaceae,,Blindia,,"maxwellii",,"","Vitt",Accepted,,M,TRO,35169278,,"Bryologist","74: 468. f. 3, 18–22","468","1971"
tro-35113844,B,Seligeriaceae,,Blindia,,"robusta",,"","Hampe",Accepted,,M,TRO,35113844,,"Linnaea","30: 627","627","1860"
tro-35113845,B,Seligeriaceae,,Blindia,,"roerichii",,"","R.S. Williams",Accepted,,M,TRO,35113845,,"Bryologist","34: 49. 3","49","1931"
tro-35113848,B,Seligeriaceae,,Blindia,,"seligerioides",,"","Lindb. ex Broth.",Accepted,,M,TRO,35113848,,"Acta Soc. Sci. Fenn.","19(12): 64","64","1892"
tro-35183864,B,Seligeriaceae,,Blindia,,"seppeltii",,"","J.K. Bartlett & Vitt",Accepted,,M,TRO,35183864,,"New Zealand J. Bot.","24: 225. f. 85–100","225","1986"
tro-35113850,B,Seligeriaceae,,Blindia,,"sonsoniae",,"","Müll. Hal.",Accepted,,M,TRO,35113850,,"Linnaea","38: 593","593","1874"
tro-35113852,B,Seligeriaceae,,Blindia,,"stricta",,"","(Hook. f. & Wilson) Müll. Hal.",Accepted,,M,TRO,35113852,,"Syn. Musc. Frond.","1: 343","343","1848"
tro-35113854,B,Seligeriaceae,,Blindia,,"subimmersa",,"","(Lindb.) I. Hagen",Accepted,,M,TRO,35113854,,"Kongel. Norske Vidensk. Selsk. Skr. (Trondheim)","1910(1): 84","84","1910"
tro-35113856,B,Seligeriaceae,,Blindia,,"subtortifolia",,"","Broth.",Accepted,,M,TRO,35113856,,"Deutsche Südpolar-Exped. 1901--1903","8: 85. pl. 7: 1","85","1906"
tro-35113859,B,Seligeriaceae,,Blindia,,"taylorii",,"","(Schwägr.) Hampe",Accepted,,M,TRO,35113859,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1877–78: 396 (Gen. Sp. Musc. 2: 660)","396 ","1880"
tro-35113863,B,Seligeriaceae,,Blindia,,"torrentium",,"","Cardot & Broth.",Accepted,,M,TRO,35113863,,"Kongl. Svenska Vetensk. Acad. Handl., n.s.","63(10): 8. 1 f. 7","8","1923"
tro-35113865,B,Seligeriaceae,,Blindia,,"tortelloides",,"","Müll. Hal.",Accepted,,M,TRO,35113865,,"Bot. Jahrb. Syst.","5: 78","78","1883"
tro-35113866,B,Seligeriaceae,,Blindia,,"tortifolia",,"","(Hook. f. & Wilson) Müll. Hal.",Accepted,,M,TRO,35113866,,"Syn. Musc. Frond.","1: 343","343","1848"
tro-35113870,B,Seligeriaceae,,Blindiopsis,,"immersa",,"","E.B. Bartram & Dixon",Accepted,,M,TRO,35113870,,"Bot. Not.","1937: 68. 3","68","1937"
tro-35184304,B,Seligeriaceae,,Brachydontium,,"curvisetum",,"","H.A. Crum",Accepted,,M,TRO,35184304,,"Contr. Univ. Michigan Herb.","16: 139. f. 13–20","139","1987"
tro-35113878,B,Seligeriaceae,,Brachydontium,,"flexisetum",,"","(Hampe) Paris",Accepted,,M,TRO,35113878,,"Index Bryol. (ed. 2)","1: 124","124","1904"
tro-35169677,B,Seligeriaceae,,Brachydontium,,"intermedium",,"","I.G. Stone",Accepted,,M,TRO,35169677,,"J. Bryol.","7: 343. f. 1–2","343","1973"
tro-35205015,B,Seligeriaceae,,Brachydontium,,"microcarpum",,"","(Hook. & Wilson) Ochyra",Accepted,,M,TRO,35205015,,"Fragm. Florist. Geobot.","44: 503","503","1999"
tro-35214780,B,Seligeriaceae,,Brachydontium,,"noguchii",,"","Z. Iwats., Tad. Suzuki & Kiguchi",Accepted,,M,TRO,35214780,,"J. Hattori Bot. Lab.","95: 199","199","2004"
tro-35186501,B,Seligeriaceae,,Brachydontium,,"notorogenes",,"","W.R. Buck & A. Schäfer-Verwimp",Accepted,,M,TRO,35186501,,"Bryologist","95: 340. f. 1–18","340","1992"
tro-35184326,B,Seligeriaceae,,Brachydontium,,"olsonii",,"","F.D. Bowers & B.H. Allen",Accepted,,M,TRO,35184326,,"Bryologist","93: 346. f. 1–9","346","1990"
tro-35183315,B,Seligeriaceae,,Brachydontium,,"olympicum",,"","(E. Britton) T.T. McIntosh & J.R. Spence",Accepted,,M,TRO,35183315,,"Bryologist","89: 200","200","1986"
tro-35201300,B,Seligeriaceae,,Brachydontium,,"polycarpum",,"","H. Akiy.",Accepted,,M,TRO,35201300,,"Acta Phytotax. Geobot.","48: 62. f. 1–3","62","1997"
tro-35216945,B,Seligeriaceae,,Brachydontium,,"pseudodonnianum",,"","(Tad. Suzuki & Z. Iwats.) Tad. Suzuki & Z. Iwats.",Accepted,,M,TRO,35216945,,"J. Hattori Bot. Lab.","100: 487","487","2006"
tro-35113879,B,Seligeriaceae,,Brachydontium,,"trichodes",,"","(F. Weber) Fürnr.",Accepted,,M,TRO,35113879,,"Flora","10(2) Beil.: 37","37","1827"
tro-35114187,B,Seligeriaceae,,Brachyodon,,"bruchioides",,"","Müll. Hal.",Accepted,,M,TRO,35114187,,"Bull. Herb. Boissier","6: 42","42","1898"
tro-35114188,B,Seligeriaceae,,Brachyodon,,"flexisetus",,"","Hampe",Accepted,,M,TRO,35114188,,"Linnaea","32: 132","132","1863"
tro-35114189,B,Seligeriaceae,,Brachyodus,,"trichodes",,"","(F. Weber) Nees & Hornsch.",Accepted,,M,TRO,35114189,,"Bryol. Germ.","2(2): 5","5","1831"
tro-35164569,B,Seligeriaceae,,Hymenolomopsis,,"tolucensis",,"","Thér.",Accepted,,M,TRO,35164569,,"Trav. Cryptog. Déd. L. Mangin","8. 1","8","1931"
tro-100374925,B,Seligeriaceae,,Notothamia,,"ferruginea",,"","(Wilson) Ochyra & Seppelt",Accepted,,M,TRO,100374925,,"Polish Bot. J.","56(1): 110","110","2011"
tro-35149935,B,Seligeriaceae,,Seligeria,,"acutifolia",,"","Lindb.",Accepted,,M,TRO,35149935,,"Handb. Skand. Fl. (ed. 9)","2: 75","75","1864"
