ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2618239,A,Solanaceae,,Acnistus,,"arborescens",,"","(L.) Schltdl.",Accepted,,M,WCSP (in review),750615,814189-1,"Linnaea","7: 67","","1832"
tro-29600346,A,Solanaceae,,Acnistus,,"bronmuelleri",,"","Dammer",Unresolved,,L,TRO,29600346,,"","","",""
kew-2618254,A,Solanaceae,,Acnistus,,"cestroides",,"","(Schltdl.) Miers",Unresolved,,L,WCSP (in review),750630,814198-1,"London J. Bot.","4: 341","","1845"
kew-2618257,A,Solanaceae,,Acnistus,,"cornifolius",,"","(Kunth) Hunz.",Unresolved,,L,WCSP (in review),750633,814201-1,"Bol. Acad. Nac. Ci.","41: 237","","1960"
kew-2618265,A,Solanaceae,,Acnistus,,"frutescens",,"","Bello",Unresolved,,L,WCSP (in review),750641,814208-1,"Anales Soc. Esp. Hist. Nat.","10: 299","","1881"
kew-2618266,A,Solanaceae,,Acnistus,,"galanderi",,"","Dammer",Unresolved,,L,WCSP (in review),750642,3313-2,"Repert. Spec. Nov. Regni Veg.","15: 389","","1919"
kew-2618268,A,Solanaceae,,Acnistus,,"gesnerioides",,"","(Kunth) Hunz.",Unresolved,,L,WCSP (in review),750644,3315-2,"Bol. Acad. Nac. Ci.","41: 237","","1960"
kew-2618269,A,Solanaceae,,Acnistus,,"glabratus",,"","(Sendtn.) Dammer",Unresolved,,L,WCSP (in review),750645,3316-2,"Repert. Spec. Nov. Regni Veg.","15: 388","","1919"
kew-2618272,A,Solanaceae,,Acnistus,,"hauthalii",,"","Dammer",Unresolved,,L,WCSP (in review),750648,3317-2,"Repert. Spec. Nov. Regni Veg.","15: 391","","1919"
kew-2618273,A,Solanaceae,,Acnistus,,"horridus",,"","(Kunth) Hunz.",Unresolved,,L,WCSP (in review),750649,3318-2,"Bol. Acad. Nac. Ci.","41: 237","","1960"
kew-2618274,A,Solanaceae,,Acnistus,,"insularis",,"","B.L.Rob.",Unresolved,,L,WCSP (in review),750650,3319-2,"Proc. Amer. Acad. Arts","38: 198","","1902"
kew-2618279,A,Solanaceae,,Acnistus,,"lycioides",,"","Dammer",Unresolved,,L,WCSP (in review),750655,3324-2,"Repert. Spec. Nov. Regni Veg.","15: 388","","1919"
kew-2618282,A,Solanaceae,,Acnistus,,"mollis",,"","Dammer",Unresolved,,L,WCSP (in review),750658,3326-2,"Repert. Spec. Nov. Regni Veg.","15: 388","","1919"
kew-2618283,A,Solanaceae,,Acnistus,,"multiflorus",,"","Dammer",Unresolved,,L,WCSP (in review),750659,3327-2,"Bot. Jahrb. Syst.","37: 636","","1906"
kew-2618284,A,Solanaceae,,Acnistus,,"oblongifolius",,"","Rusby",Unresolved,,L,WCSP (in review),750660,3328-2,"Mem. Torrey Bot. Club","4: 232","","1895"
kew-2618285,A,Solanaceae,,Acnistus,,"parviflorus",,"","Griseb.",Unresolved,,L,WCSP (in review),750661,814229-1,"Abh. Königl. Ges. Wiss. Göttingen","19: 219","","1874"
kew-2618290,A,Solanaceae,,Acnistus,,"quitoensis",,"","(Hook.) Hunz.",Unresolved,,L,WCSP (in review),750666,814233-1,"Bol. Acad. Nac. Ci.","41: 238","","1960"
tro-29600359,A,Solanaceae,,Acnistus,,"schatensis",,"","Hieron.",Unresolved,,L,TRO,29600359,,"","","",""
kew-2618292,A,Solanaceae,,Acnistus,,"schunckii",,"","Dammer",Unresolved,,L,WCSP (in review),750668,3333-2,"Repert. Spec. Nov. Regni Veg.","15: 392","","1919"
kew-2618293,A,Solanaceae,,Acnistus,,"sellowii",,"","Dammer",Unresolved,,L,WCSP (in review),750669,3334-2,"Repert. Spec. Nov. Regni Veg.","15: 388","","1919"
kew-2618298,A,Solanaceae,,Acnistus,,"ulei",,"","Dammer",Unresolved,,L,WCSP (in review),750674,3337-2,"Repert. Spec. Nov. Regni Veg.","15: 392","","1919"
kew-2618299,A,Solanaceae,,Acnistus,,"umbellatus",,"","(Ruiz & Pav.) Miers",Unresolved,,L,WCSP (in review),750675,814242-1,"London J. Bot.","4: 342","","1845"
kew-2628374,A,Solanaceae,,Alibrexia,,"revoluta",,"","(Ruiz & Pav.) Miers",Unresolved,,L,WCSP (in review),760691,265038-1,"London J. Bot.","4: 508","","1845"
kew-2628376,A,Solanaceae,,Alibrexia,,"tomentosa",,"","Miers",Unresolved,,L,WCSP (in review),760693,265040-1,"London J. Bot.","4: 508","","1845"
