ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-100363667,B,Sphagnaceae,,Ambuchanania,,"leucobryoides",,"","(T. Yamag., Seppelt & Z. Iwats.) Seppelt & H.A. Crum ex A.J. Shaw",Accepted,,M,TRO,100363667,,"Amer. J. Bot.","97(9): 1523","1523","2010"
tro-100363664,B,Sphagnaceae,,Flatbergium,,"sericeum",,"","(Müll. Hal.) A.J. Shaw",Accepted,,M,TRO,100363664,,"Amer. J. Bot.","97(9): 1523","1523","2010"
tro-35166209,B,Sphagnaceae,,Sphagnum,,"aciphyllum",,"","Müll. Hal.",Accepted,,M,TRO,35166209,,"Flora","70: 419","419","1887"
tro-35166210,B,Sphagnaceae,,Sphagnum,,"aciphyllum",var.,"brunnescens","(Warnst.) Warnst.",Accepted,,L,TRO,35166210,,"Pflanzenr.","51: 109 (Sphagnol. Univ. 109)","109 ","1911"
tro-35166217,B,Sphagnaceae,,Sphagnum,,"acutifolioides",,"","Warnst.",Accepted,,M,TRO,35166217,,"Hedwigia","29: 192. 4 f. 4; 7 f. 16","192","1890"
tro-35166274,B,Sphagnaceae,,Sphagnum,,"acutifolium",var.,"flagelliforme","(Roll) Roll",Unresolved,,L,TRO,35166274,,"Hedwigia","56: 56","56","1915"
tro-35166302,B,Sphagnaceae,,Sphagnum,,"acutifolium",var.,"laxifolium","(Warnst.) Cardot",Unresolved,,L,TRO,35166302,,"Bull. Soc. Roy. Bot. Belgique","25(1): 92, 117","92, 117","1886"
tro-35166311,B,Sphagnaceae,,Sphagnum,,"acutifolium",var.,"nanum","(Müll. Hal. & Warnst.) Paris",Unresolved,,L,TRO,35166311,,"Index Bryol.","1177","1177","1898"
tro-35166321,B,Sphagnaceae,,Sphagnum,,"acutifolium",var.,"polycladum","(Cardot & Roll) Cardot",Unresolved,,L,TRO,35166321,,"Bull. Soc. Roy. Bot. Belgique","25(1): 87, 116","87, 116","1886"
tro-35166368,B,Sphagnaceae,,Sphagnum,,"acutifolium",var.,"subnitens","(Russow & Warnst.) Hérib.",Unresolved,,L,TRO,35166368,,"Mém. Acad. Sci. Clermont-Ferrand","14: 446","446","1899"
tro-35166388,B,Sphagnaceae,,Sphagnum,,"acutiforme",var.,"arctum","(Braithw.) Warnst.",Unresolved,,L,TRO,35166388,,"Flora","67: 605","605","1884"
tro-35166404,B,Sphagnaceae,,Sphagnum,,"acutiforme",var.,"sanguineum","(Sendtn. ex Warnst.) Warnst.",Unresolved,,L,TRO,35166404,,"Flora","67: 605","605","1884"
tro-35186805,B,Sphagnaceae,,Sphagnum,,"acutirameum",,"","H.A. Crum",Accepted,,M,TRO,35186805,,"Bryologist","95: 423. f. 24–31","423","1992"
tro-35190259,B,Sphagnaceae,,Sphagnum,,"aequalipunctatum",,"","H.A. Crum",Accepted,,M,TRO,35190259,,"Bryologist","98: 589","589","1995"
tro-35166412,B,Sphagnaceae,,Sphagnum,,"aequiporosum",,"","Warnst.",Accepted,,M,TRO,35166412,,"Hedwigia","57: 75","75","1915"
tro-35166413,B,Sphagnaceae,,Sphagnum,,"affine",,"","Renauld & Cardot",Accepted,,M,TRO,35166413,,"Rev. Bryol.","12: 44","44","1885"
tro-35186740,B,Sphagnaceae,,Sphagnum,,"affine",var.,"flagellare","(Schlieph. ex Roll) L. Söderstr. & Hedenäs",Accepted,,L,TRO,35186740,,"Ann. Bot. Fenn.","29: 121","121","1992"
tro-35166415,B,Sphagnaceae,,Sphagnum,,"africanum",,"","Welw. & Duby",Accepted,,M,TRO,35166415,,"Mém. Soc. Phys. Genève","21: 216. 1 f. 1","216","1872"
tro-35214036,B,Sphagnaceae,,Sphagnum,,"alaskense",,"","R.E. Andrus & Janssens",Accepted,,M,TRO,35214036,,"Bryologist","106: 435. f. 1, 3","435","2003"
tro-35166420,B,Sphagnaceae,,Sphagnum,,"albescens",,"","Huebener & Genth",Unresolved,,L,TRO,35166420,,"Deutschl. Leberm.","3: 73","73","1837"
tro-35166424,B,Sphagnaceae,,Sphagnum,,"alegrense",,"","Warnst.",Accepted,,M,TRO,35166424,,"Hedwigia","47: 83. 2b","83","1907"
tro-35189691,B,Sphagnaceae,,Sphagnum,,"algentryi",,"","H.A. Crum",Accepted,,M,TRO,35189691,,"Bryologist","98: 265. f. 1a–g","265","1995"
tro-35211932,B,Sphagnaceae,,Sphagnum,,"amazonense",,"","H.A. Crum",Accepted,,M,TRO,35211932,,"Novon","12: 444. f. 24–28","444","2002"
tro-35186813,B,Sphagnaceae,,Sphagnum,,"amazonicum",,"","H.A. Crum & W.R. Buck",Accepted,,M,TRO,35186813,,"Brittonia","44: 449. f. 1, 3","449","1992"
tro-35166432,B,Sphagnaceae,,Sphagnum,,"amblyphyllum",var.,"brevifolium","(Lindb.) H. Schmidt",Unresolved,,L,TRO,35166432,,"Mitt. Bad. Landesvereins Naturk. Naturschutz Freiburg","2: 111","111","1927"
tro-35166434,B,Sphagnaceae,,Sphagnum,,"amblyphyllum",var.,"ligulatum","(Roll) H. Schmidt",Unresolved,,L,TRO,35166434,,"Mitt. Bad. Landesvereins Naturk. Naturschutz Freiburg","2: 111","111","1927"
tro-35203639,B,Sphagnaceae,,Sphagnum,,"amoenoides",,"","H.A. Crum",Accepted,,M,TRO,35203639,,"Contr. Univ. Michigan Herb.","147. f. 1","147","1997"
tro-35166440,B,Sphagnaceae,,Sphagnum,,"amoenum",,"","Warnst.",Accepted,,M,TRO,35166440,,"Bot. Jahrb. Syst.","27: 252","252","1899"
tro-35168059,B,Sphagnaceae,,Sphagnum,,"andersonianum",,"","R.E. Andrus",Accepted,,M,TRO,35168059,,"Bryologist","83: 60. f. 1–7","60","1980"
tro-35216845,B,Sphagnaceae,,Sphagnum,,"andrusii",,"","(H.A. Crum) Flatberg",Accepted,,M,TRO,35216845,,"Lindbergia","30: 103","103","2005"
tro-35166443,B,Sphagnaceae,,Sphagnum,,"angermanicum",,"","Melin",Accepted,,M,TRO,35166443,,"Svensk Bot. Tidskr.","13: 22. 1–3","22","1919"
tro-35166446,B,Sphagnaceae,,Sphagnum,,"angustifolium",,"","(Warnst.) C.E.O. Jensen",Accepted,,M,TRO,35166446,,"Bih. Kongl. Svenska Vetensk.-Akad. Handl.","21 Afd. 3(10): 40","40","1896"
tro-35166451,B,Sphagnaceae,,Sphagnum,,"angustifolium",var.,"warnstorfii","(C.E.O. Jensen) C.E.O. Jensen",Accepted,,L,TRO,35166451,,"Danmarks Mosser","1: 271","271","1915"
tro-35166455,B,Sphagnaceae,,Sphagnum,,"annulatum",,"","Warnst.",Accepted,,M,TRO,35166455,,"Bot. Centralbl.","76: 422","422","1898"
tro-35166459,B,Sphagnaceae,,Sphagnum,,"antarcticum",var.,"densissimum","(Warnst.) Rodway",Unresolved,,L,TRO,35166459,,"Pap. & Proc. Roy. Soc. Tasmania","1913: 254","254","1914"
tro-35168348,B,Sphagnaceae,,Sphagnum,,"antarense",,"","Wijk & Zanten",Accepted,,M,TRO,35168348,,"Nova Guinea, Bot.","10(16): 266. pl. 23: f. 1","266","1964"
tro-35190255,B,Sphagnaceae,,Sphagnum,,"antioquiense",,"","H.A. Crum",Accepted,,M,TRO,35190255,,"Bryologist","98: 583. f. 5","583","1995"
tro-35166468,B,Sphagnaceae,,Sphagnum,,"antiquasporites",,"","L.R. Wilson & R.M. Webster",Unresolved,,L,TRO,35166468,,"Amer. J. Bot.","33: 273. 2","273","1946"
tro-35166469,B,Sphagnaceae,,Sphagnum,,"aongstroemii",,"","C. Hartm.",Accepted,,M,TRO,35166469,,"Handb. Skand. Fl. (ed. 7)","399","399","1858"
tro-35166473,B,Sphagnaceae,,Sphagnum,,"aongstroemii",var.,"glaucovirens","(Russow) Warnst.",Accepted,,L,TRO,35166473,,"Pflanzenr.","51: 140 (Sphagnol. Univ. 140)","140 ","1911"
tro-35166477,B,Sphagnaceae,,Sphagnum,,"apiculatum",var.,"fuscescens","(C.E.O. Jensen) C.E.O. Jensen",Unresolved,,L,TRO,35166477,,"Danmarks Mosser","1: 270","270","1915"
tro-35166479,B,Sphagnaceae,,Sphagnum,,"apiculatum",var.,"pallescens","(C.E.O. Jensen) C.E.O. Jensen",Unresolved,,L,TRO,35166479,,"Danmarks Mosser","1: 270","270","1915"
tro-35166486,B,Sphagnaceae,,Sphagnum,,"aquatile",var.,"beckmannii","(Warnst.) Warnst.",Unresolved,,L,TRO,35166486,,"Pflanzenr.","51: 344 (Sphagnol. Univ. 344)","344 ","1911"
tro-35166497,B,Sphagnaceae,,Sphagnum,,"aquatile",var.,"turgidum","(Müll. Hal.) Warnst.",Unresolved,,L,TRO,35166497,,"Pflanzenr.","51: 343 (Sphagnol. Univ. 343)","343 ","1911"
tro-35182986,B,Sphagnaceae,,Sphagnum,,"arcticum",,"","Flatberg & Frisvoll",Accepted,,M,TRO,35182986,,"Bryologist","87: 143. f. 1–22","143","1984"
tro-35166503,B,Sphagnaceae,,Sphagnum,,"armoricum",,"","Warnst.",Unresolved,,L,TRO,35166503,,"Pflanzenr.","51: 394 (Sphagnol. Univ. 394)","394 ","1911"
tro-35217609,B,Sphagnaceae,,Sphagnum,,"atlanticum",,"","R.E. Andrus",Accepted,,M,TRO,35217609,,"Bryologist","110: 274","274","2007"
tro-35203640,B,Sphagnaceae,,Sphagnum,,"atroligneum",,"","H.A. Crum",Accepted,,M,TRO,35203640,,"Contr. Univ. Michigan Herb.","21: 147. f. 2","147","1997"
tro-35166510,B,Sphagnaceae,,Sphagnum,,"auriculatum",var.,"brachyladum","(Warnst.) Bott.",Unresolved,,L,TRO,35166510,,"Atti Reale Accad. Lincei, Mem. Cl. Sci. Fis., ser. 3,","13(1): 62","62","1919"
tro-35166513,B,Sphagnaceae,,Sphagnum,,"auriculatum",var.,"corniculatum","(Roll) Roll",Unresolved,,L,TRO,35166513,,"Hedwigia","46: 241","241","1907"
tro-35166529,B,Sphagnaceae,,Sphagnum,,"auriculatum",var.,"rigidum","(Schlieph. ex Roll) Roll",Unresolved,,L,TRO,35166529,,"Hedwigia","46: 241","241","1907"
tro-35166537,B,Sphagnaceae,,Sphagnum,,"austinii",,"","Sull.",Accepted,,M,TRO,35166537,,"Musci Appalach.","2 [Schedae 3]","2","1870"
tro-35166549,B,Sphagnaceae,,Sphagnum,,"australe",,"","Mitt.",Accepted,,M,TRO,35166549,,"Fl. Tasman.","2: 162","162","1859"
tro-35188534,B,Sphagnaceae,,Sphagnum,,"austro-americanum",,"","H.A. Crum",Accepted,,M,TRO,35188534,,"J. Hattori Bot. Lab.","74: 151. f. 4","151","1993"
tro-35186265,B,Sphagnaceae,,Sphagnum,,"azuayense",,"","H.A. Crum",Accepted,,M,TRO,35186265,,"J. Hattori Bot. Lab.","63: 94. f. 87–94","94","1987"
tro-35189533,B,Sphagnaceae,,Sphagnum,,"balslevii",,"","H.A. Crum",Accepted,,M,TRO,35189533,,"J. Hattori Bot. Lab.","77: 249. f. 12","249","1994"
tro-35166560,B,Sphagnaceae,,Sphagnum,,"balticum",,"","(Russow) C.E.O. Jensen",Accepted,,M,TRO,35166560,,"Festskr. Bot. Foren. Kjøbenhavn","100","100","1890"
tro-35183870,B,Sphagnaceae,,Sphagnum,,"barclayae",,"","H.A. Crum",Accepted,,M,TRO,35183870,,"J. Bryol.","15: 531. f. 1–8","531","1989"
tro-35166586,B,Sphagnaceae,,Sphagnum,,"bartlettianum",,"","Warnst.",Accepted,,M,TRO,35166586,,"Pflanzenr.","51: 105. 29 C (Sphagnol. Univ. 105. 29 C)","105","1911"
tro-35166589,B,Sphagnaceae,,Sphagnum,,"bavaricum",,"","Warnst.",Unresolved,,L,TRO,35166589,,"Hedwigia","47: 84","84","1907"
tro-35166593,B,Sphagnaceae,,Sphagnum,,"beccarii",,"","Hampe",Accepted,,M,TRO,35166593,,"Nuovo Giorn. Bot. Ital.","4: 278","278","1872"
tro-35216949,B,Sphagnaceae,,Sphagnum,,"beothuk",,"","R.E. Andrus",Accepted,,M,TRO,35216949,,"Sida","22: 966, f. 21–26","966","2006"
tro-35216948,B,Sphagnaceae,,Sphagnum,,"bergianum",,"","R.E. Andrus",Accepted,,M,TRO,35216948,,"Sida","22: 964, f. 14–20","964","2006"
tro-35217874,B,Sphagnaceae,,Sphagnum,,"beringiense",,"","A.J. Shaw, R.E. Andrus & B. Shaw",Accepted,,M,TRO,35217874,,"Syst. Bot.","33: 471","471","2008"
tro-35203641,B,Sphagnaceae,,Sphagnum,,"billbuckii",,"","H.A. Crum",Accepted,,M,TRO,35203641,,"Contr. Univ. Michigan Herb.","21: 150. f. 3","150","1997"
tro-35203643,B,Sphagnaceae,,Sphagnum,,"bocainense",,"","H.A. Crum",Accepted,,M,TRO,35203643,,"Contr. Univ. Michigan Herb.","21: 153. f. 5","153","1997"
tro-35166605,B,Sphagnaceae,,Sphagnum,,"boliviae",,"","Warnst.",Accepted,,M,TRO,35166605,,"Hedwigia","47: 96","96","1907"
tro-35186157,B,Sphagnaceae,,Sphagnum,,"boomii",,"","H.A. Crum",Accepted,,M,TRO,35186157,,"Mem. New York Bot. Gard.","64: 185. f. 1–5","185","1990"
