ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35178822,B,Splachnaceae,,Aplodon,,"wormskioldii",,"","(Hornem.) R. Br.",Accepted,,M,TRO,35178822,,"Chlor. Melvill.","41","41","1823"
tro-35100364,B,Splachnaceae,,Brachymitrion,,"cochabambae",,"","(Müll. Hal.) A.K. Kop.",Accepted,,M,TRO,35100364,,"Ann. Bot. Fenn.","14: 196","196","1977"
tro-35204411,B,Splachnaceae,,Brachymitrion,,"immersum",,"","Goffinet",Accepted,,M,TRO,35204411,,"Bryologist","102: 109. f. 1","109","1999"
tro-35114185,B,Splachnaceae,,Brachymitrion,,"jamesonii",,"","Taylor",Accepted,,M,TRO,35114185,,"London J. Bot.","5: 44","44","1846"
tro-35100365,B,Splachnaceae,,Brachymitrion,,"laciniatum",,"","(Spruce) A.K. Kop.",Accepted,,M,TRO,35100365,,"Ann. Bot. Fenn.","14: 196","196","1977"
tro-35114186,B,Splachnaceae,,Brachymitrion,,"mandonii",,"","(Müll. Hal.) Schimp. ex Müll. Hal.",Accepted,,M,TRO,35114186,,"Nuovo Giorn. Bot. Ital., n.s.,","4: 166","166","1897"
tro-35100366,B,Splachnaceae,,Brachymitrion,,"moritzianum",,"","(Müll. Hal.) A.K. Kop.",Accepted,,M,TRO,35100366,,"Ann. Bot. Fenn.","14: 195","195","1977"
tro-35100367,B,Splachnaceae,,Brachymitrion,,"pocsii",,"","(A.K. Kop.) A.K. Kop.",Accepted,,M,TRO,35100367,,"Ann. Bot. Fenn.","14: 196","196","1977"
tro-35115796,B,Splachnaceae,,Bryomnium,,"solitarium",,"","Cardot",Accepted,,M,TRO,35115796,,"Rev. Bryol.","36: 19","19","1909"
tro-35132359,B,Splachnaceae,,Dissodon,,"arenarius",,"","Müll. Hal.",Accepted,,M,TRO,35132359,,"Bull. Herb. Boissier","6: 24","24","1898"
tro-35132361,B,Splachnaceae,,Dissodon,,"borbonicus",,"","(Bory) Paris",Accepted,,M,TRO,35132361,,"Index Bryol.","384","384","1896"
tro-35132363,B,Splachnaceae,,Dissodon,,"callophyllus",,"","Müll. Hal.",Accepted,,M,TRO,35132363,,"Bot. Zeitung (Berlin)","9: 546","546","1851"
