ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2775285,A,Stylidiaceae,,Donatia,,"fascicularis",,"","J.R.Forst. & G.Forst.",Accepted,,M,WCSP (in review),903393,321752-1,"Char. Gen. Pl.","5","","1775"
kew-2775287,A,Stylidiaceae,,Donatia,,"novae-zelandiae",,"","Hook.f.",Accepted,,M,WCSP (in review),903395,790962-1,"Fl. Nov.-Zel.","1: 81","","1852"
kew-2813756,A,Stylidiaceae,,Forstera,,"bellidifolia",,"","Hook.",Accepted,,M,WCSP (in review),941263,825958-1,"Hooker's Icon. Pl.","9: t. 851","","1852"
kew-2813757,A,Stylidiaceae,,Forstera,,"bidwillii",,"","Hook.f.",Accepted,,M,WCSP (in review),941264,825959-1,"Fl. Nov.-Zel.","1: 155","","1852"
kew-2813758,A,Stylidiaceae,,Forstera,,"bidwillii",var.,"densifolia","Mildbr.",Accepted,,L,WCSP (in review),941265,,"Pflanzen","35: 25","","1908"
kew-2899504,A,Stylidiaceae,,Forstera,,"cristis",,"","Glenny & Courtney",Accepted,,M,WCSP (in review),1022219,,"New Zealand J. Bot.","47: 301","","2009"
kew-2813761,A,Stylidiaceae,,Forstera,,"mackayi",,"","Allan",Accepted,,M,WCSP (in review),941268,825962-1,"Trans. & Proc. Roy. Soc. New Zealand","65: 221","","1935"
kew-2813763,A,Stylidiaceae,,Forstera,,"muscifolia",,"","Willd.",Unresolved,,L,WCSP (in review),941270,825964-1,"Sp. Pl.","4: 148","","1805"
kew-2899505,A,Stylidiaceae,,Forstera,,"purpurata",,"","Glenny",Accepted,,M,WCSP (in review),1022220,,"New Zealand J. Bot.","47: 306","","2009"
kew-2813764,A,Stylidiaceae,,Forstera,,"sedifolia",,"","G.Forst.",Accepted,,M,WCSP (in review),941271,825966-1,"Nova Acta Regiae Soc. Sci. Upsal.","3: 184","","1780"
kew-2813766,A,Stylidiaceae,,Forstera,,"tenella",,"","Hook.f.",Accepted,,M,WCSP (in review),941273,825967-1,"Fl. Nov.-Zel.","1: 154","","1852"
kew-2813768,A,Stylidiaceae,,Forstera,,"uliginosa",,"","Hombr. & Jacquinot ex Decne.",Unresolved,,L,WCSP (in review),941275,,"Voy. Pôle Sud","t. 16","","1853"
kew-2495997,A,Stylidiaceae,,Levenhookia,,"chippendalei",,"","R.O.Erickson & J.H.Willis",Unresolved,,L,WCSP (in review),632541,825975-1,"Victoria Naturalist","83: 107","","1966"
kew-2495996,A,Stylidiaceae,,Levenhookia,,"creberrima",,"","F.Muell.",Unresolved,,L,WCSP (in review),632540,,"Fragm.","3: 121","","1863"
kew-2495995,A,Stylidiaceae,,Levenhookia,,"dubia",,"","Sond.",Unresolved,,L,WCSP (in review),632539,825977-1,"Pl. Preiss.","1: 392","","1845"
kew-2495984,A,Stylidiaceae,,Levenhookia,,"leptantha",,"","Benth.",Unresolved,,L,WCSP (in review),632528,825978-1,"Fl. Austral.","4: 35","","1868"
kew-2495993,A,Stylidiaceae,,Levenhookia,,"octomaculata",,"","F.L.Erickson & J.H.Willis",Unresolved,,L,WCSP (in review),632537,825979-1,"Victoria Naturalist","72: 130","","1955"
kew-2496002,A,Stylidiaceae,,Levenhookia,,"pauciflora",,"","Benth.",Unresolved,,L,WCSP (in review),632546,825980-1,"Enum. Pl. Hügel","74","","1837"
tro-30700142,A,Stylidiaceae,,Levenhookia,,"preissii",,"","(Sond.) F. Muell.",Accepted,,L,TRO,30700142,825981-1,"Fragm.","4(27): 94","94","1864"
kew-2495990,A,Stylidiaceae,,Levenhookia,,"pulcherrima",,"","Carlquist",Unresolved,,L,WCSP (in review),632534,825982-1,"Aliso","7: 62","","1969"
kew-2495989,A,Stylidiaceae,,Levenhookia,,"pusilla",,"","R.Br.",Unresolved,,L,WCSP (in review),632533,825983-1,"Prodr. Fl. Nov. Holl.","573","","1810"
kew-2495988,A,Stylidiaceae,,Levenhookia,,"sonderi",,"","F.Muell.",Unresolved,,L,WCSP (in review),632532,825984-1,"Fragm.","1: 18","","1858"
kew-2495987,A,Stylidiaceae,,Levenhookia,,"stipitata",,"","F.Muell.",Unresolved,,L,WCSP (in review),632531,825985-1,"Fragm.","4: 94","","1864"
kew-2495986,A,Stylidiaceae,,Levenhookia,,"stylidioides",,"","F.Muell.",Unresolved,,L,WCSP (in review),632530,,"Fragm.","6: 77","","1868"
kew-2395897,A,Stylidiaceae,,Oreostylidium,,"affine",,"","Colenso",Unresolved,,L,WCSP (in review),534428,825987-1,"Trans. & Proc. New Zealand Inst.","20: 197","","1887 publ. 1888"
tro-50238155,A,Stylidiaceae,,Oreostylidium,,"subulatum",,"","(Hook.) Berggr.",Accepted,,M,TRO,50238155,,"Minneskr. Fysiogr. Sällsk. Lund","8: 2–5, t. 1, f. 1–38","2","1877"
kew-2551689,A,Stylidiaceae,,Phyllachne,,"bellidifolia",,"","F.Muell.",Unresolved,,L,WCSP (in review),687467,,"Fragm.","8: 39","","1872"
kew-2551696,A,Stylidiaceae,,Phyllachne,,"clavigera",,"","F.Muell.",Unresolved,,L,WCSP (in review),687474,,"Fragm.","8: 40","","1872"
kew-2551697,A,Stylidiaceae,,Phyllachne,,"colensoi",,"","Berggr.",Unresolved,,L,WCSP (in review),687475,825991-1,"Minneskr. Fisiog. Sallks. Lund","8: 11","","1877"
