ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35190790,B,Targioniaceae,,Aitchisoniella,,"himalayensis",,"","Kashyap",Unresolved,,L,TRO,35190790,,"New Phytol.","13: 219","219","1914"
tro-35200909,B,Targioniaceae,,Cyathodium,,"africanum",,"","Mitt.",Accepted,,M,TRO,35200909,,"J. Linn. Soc., Bot.","22: 327","327",""
tro-35202569,B,Targioniaceae,,Cyathodium,,"aureonitens",,"","(Griff.) Mitt.",Accepted,,M,TRO,35202569,,"Denkschr. Kaiserl. Akad. Wiss., Math.-Naturwiss. Kl.","67: 154","154","1898"
tro-35207879,B,Targioniaceae,,Cyathodium,,"bischlerianum",,"","N. Salazar",Accepted,,M,TRO,35207879,,"Bryologist","104: 141","141","2001"
tro-35187966,B,Targioniaceae,,Cyathodium,,"cavernarum",,"","Kunze",Accepted,,M,TRO,35187966,,"Nov. Stirp. Pug.","6: 18","18","1834"
tro-35204180,B,Targioniaceae,,Cyathodium,,"flabellatum",,"","Mehra",Unresolved,,L,TRO,35204180,,"J. Proc. Linn. Soc., Bot.","","",""
tro-35201101,B,Targioniaceae,,Cyathodium,,"foetidissimum",,"","Schiffner",Unresolved,,L,TRO,35201101,,"Kaiserl. Akad. Wiss. Wien, Math.-Naturwiss. Kl., Anz.","67: 154","154","1898"
tro-35206998,B,Targioniaceae,,Cyathodium,,"indicum",,"","Udar & S.R. Singh",Accepted,,M,TRO,35206998,,"J. Bryol.","10: 139. f. 1","139","1978"
tro-35202563,B,Targioniaceae,,Cyathodium,,"mehranum",,"","D.K. Singh",Accepted,,M,TRO,35202563,,"Misc. Bryol. Lichenol.","9: 173. f. 1–2","173","1983"
tro-35208765,B,Targioniaceae,,Cyathodium,,"smaragdinum",,"","Schiffner ex Keissl.",Accepted,,M,TRO,35208765,,"Ann. Naturhist. Mus. Wien","36: 84","84","1909"
tro-35206999,B,Targioniaceae,,Cyathodium,,"spruceanum",,"","Prosk.",Unresolved,,L,TRO,35206999,,"Bryologist","54: 243","243","1951"
tro-35209835,B,Targioniaceae,,Cyathodium,,"steerei",,"","Hässel de Menéndez",Unresolved,,L,TRO,35209835,,"Rev. Bryol. Lichénol.","30: 223","223","1961"
tro-35210579,B,Targioniaceae,,Cyathodium,,"tuberculatum",,"","Udar & D.K. Singh",Accepted,,M,TRO,35210579,,"Bryologist","79: 235. f. 1–18","235","1976"
tro-35200544,B,Targioniaceae,,Cyathodium,,"tuberosum",,"","Kashyap",Unresolved,,L,TRO,35200544,,"New Phytol.","13: 210","210","1914"
tro-35177668,B,Targioniaceae,,Synhymenium,,"aureonitens",,"","Griff.",Accepted,,M,TRO,35177668,,"J. Proc. Linn. Soc., Bot.","5: 124","124","1861"
tro-35188564,B,Targioniaceae,,Targionia,,"bifurca",,"","Nees & Mont.",Unresolved,,L,TRO,35188564,,"Ann. Sci. Nat., Bot., sér. 2,","9: 40 & 113","40 & 113","1838"
tro-35188570,B,Targioniaceae,,Targionia,,"capensis",,"","Huebener",Unresolved,,L,TRO,35188570,,"Hepaticol. Germ.","17","17","1834"
tro-35188567,B,Targioniaceae,,Targionia,,"convoluta",,"","Lindenb. & Gottsche",Unresolved,,L,TRO,35188567,,"Syn. Hepat.","576","576","1846"
tro-35188571,B,Targioniaceae,,Targionia,,"dioica",,"","Schiffner",Unresolved,,L,TRO,35188571,,"Denkschr. Kaiserl. Akad. Wiss., Math.-Naturwiss. Kl.","67: 154.","154","1898"
tro-35188572,B,Targioniaceae,,Targionia,,"elongata",,"","Bisch. ex Gottsche, Lindenb. & Nees",Unresolved,,L,TRO,35188572,,"Syn. Hepat.","576","576","1846"
tro-35209552,B,Targioniaceae,,Targionia,,"formosica",,"","Horik.",Accepted,,M,TRO,35209552,,"Ber. Thatigk. St. Gallischen Naturwiss. Ges.","","",""
tro-35185994,B,Targioniaceae,,Targionia,,"hypophylla",,"","L.",Accepted,,M,TRO,35185994,,"Sp. Pl.","1136","1136","1753"
tro-35202488,B,Targioniaceae,,Targionia,,"indica",,"","Udar & A. Gupta",Accepted,,M,TRO,35202488,,"Geophytology","13: 83. f. 1–69","83","1983"
tro-35188165,B,Targioniaceae,,Targionia,,"lorbeeriana",,"","K. Müller",Accepted,,M,TRO,35188165,,"Hedwigia","79: 78","78","1940"
tro-35188563,B,Targioniaceae,,Targionia,,"mexicana",,"","Lehm. & Lindenb.",Unresolved,,L,TRO,35188563,,"Nov. Stirp. Pug.","4: 27–28.","27","1832"
tro-35210028,B,Targioniaceae,,Targionia,,"michelii",,"","Corda",Unresolved,,L,TRO,35210028,,"Naturalientausch","12: 649","649","1829"
tro-35190014,B,Targioniaceae,,Targionia,,"robusta",,"","Stephani",Unresolved,,L,TRO,35190014,,"Sp. Hepat.","6: 3","3","1917"
tro-35188566,B,Targioniaceae,,Targionia,,"stellaris",,"","(K. Müller) Hässel de Menéndez",Accepted,,M,TRO,35188566,,"Opera Lilloana","7: 74","74","1962"
