ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35168568,B,Theliaceae,,Fauriella,,"baolocensis",,"","Tixier",Accepted,,M,TRO,35168568,,"Rev. Bryol. Lichénol.","34: 155. f. 17","155","1966"
tro-35168567,B,Theliaceae,,Fauriella,,"petelotii",,"","Tixier",Accepted,,M,TRO,35168567,,"Rev. Bryol. Lichénol.","34: 154. f. 16","154","1966"
tro-35180254,B,Theliaceae,,Fauriella,,"robustiuscula",,"","Broth.",Accepted,,M,TRO,35180254,,"Akad. Wiss. Wien Sitzungsber., Math.-Naturwiss. Kl., Abt. 1,","133: 576","576","1924"
tro-35180255,B,Theliaceae,,Fauriella,,"tenerrima",,"","Broth.",Accepted,,M,TRO,35180255,,"Akad. Wiss. Wien Sitzungsber., Math.-Naturwiss. Kl., Abt. 1,","131: 217","217","1923"
tro-35180256,B,Theliaceae,,Fauriella,,"tenuis",,"","(Mitt.) Cardot",Accepted,,M,TRO,35180256,,"Nat. Pflanzenfam. (ed. 2)","11: 282","282","1925"
tro-35171190,B,Theliaceae,,Myurella,,"acuminata",,"","Lindb. & Arnell",Accepted,,M,TRO,35171190,,"Kongl. Svenska Vetensk. Acad. Handl., n.s.","21(10): 141","141","1890"
tro-35171201,B,Theliaceae,,Myurella,,"julacea",,"","(Schwägr.) Schimp.",Accepted,,M,TRO,35171201,,"Bryol. Eur.","6: 41 (fasc. 52–56. Monogr. 3.)","41","1853"
tro-35171207,B,Theliaceae,,Myurella,,"maximowiczii",,"","(G.G. Borshch.) S.O. Lindberg",Accepted,,M,TRO,35171207,,"Nuovo Giorn. Bot. Ital., n.s.,","4: 276","276","1897"
tro-35171208,B,Theliaceae,,Myurella,,"sibirica",,"","(Müll. Hal.) Reimers",Accepted,,M,TRO,35171208,,"Hedwigia","76: 292","292","1937"
tro-35171209,B,Theliaceae,,Myurella,,"sinesi-julacea",,"","Müll. Hal.",Accepted,,M,TRO,35171209,,"Nuovo Giorn. Bot. Ital., n.s.,","5: 206","206","1898"
tro-35171211,B,Theliaceae,,Myurella,,"tenerrima",,"","(Brid.) Lindb.",Accepted,,M,TRO,35171211,,"Musci Scand.","37","37","1879"
tro-35105346,B,Theliaceae,,Thelia,,"asprella",,"","(Schimp.) Sull. & Lesq.",Accepted,,M,TRO,35105346,,"Musci Hep. U.S. (repr.)","248 [Schedae 54]","248","1856"
tro-35105351,B,Theliaceae,,Thelia,,"hirtella",,"","(Hedw.) Sull. & Lesq.",Accepted,,M,TRO,35105351,,"Musci Hep. U.S. (repr.)","247 [Schedae 53]","247","1856"
tro-35105352,B,Theliaceae,,Thelia,,"lescurii",,"","Sull.",Accepted,,M,TRO,35105352,,"Musci Hep. U.S. (repr.)","249 [Schedae 54]","249","1856"
