ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2624811,A,Thymelaeaceae,,Aetoxylon,,"sympetalum",,"","(Steenis & Domke) Airy Shaw",Accepted,,M,WCSP (in review),757162,830800-1,"Kew Bull.","5: 145","","1950"
kew-2625143,A,Thymelaeaceae,,Agallochum,,"officinarum",,"","Lam.",Unresolved,,L,WCSP (in review),757487,830803-1,"Encycl.","1: 48","","1783"
kew-2625144,A,Thymelaeaceae,,Agallochum,,"praestantissimum",,"","Lam.",Unresolved,,L,WCSP (in review),757488,830804-1,"Encycl.","1: 48","","1783"
tro-50314949,A,Thymelaeaceae,,Agallochum,,"pristantissimum",,"","Lam.",Unresolved,,L,TRO,50314949,,"Encycl.","1(1): 48","48","1783"
kew-2625146,A,Thymelaeaceae,,Agallochum,,"sylvestre",,"","Lam.",Unresolved,,L,WCSP (in review),757490,830806-1,"Encycl.","1: 49","","1783"
kew-2629817,A,Thymelaeaceae,,Aloexylum,,"verum",,"","Lour.",Unresolved,,L,WCSP (in review),761983,,"Fl. Cochinch.","267","","1790"
kew-2635598,A,Thymelaeaceae,,Amyxa,,"kutcinensis",,"","Tiegh.",Unresolved,,L,WCSP (in review),767736,830809-1,"Ann. Sci. Nat., Bot.","VII, 17: 248","","1893"
kew-2635599,A,Thymelaeaceae,,Amyxa,,"pluricornis",,"","(Radlk.) Domke",Accepted,,M,WCSP (in review),767737,830810-1,"Biblioth. Bot.","111: 117","","1934"
kew-2635600,A,Thymelaeaceae,,Amyxa,,"taeniocera",,"","Airy Shaw",Unresolved,,L,WCSP (in review),767738,830812-1,"Kew Bull.","5: 146","","1950"
kew-2644531,A,Thymelaeaceae,,Aquilaria,,"agallocha",,"","Roxb.",Unresolved,,L,WCSP (in review),776610,830814-1,"Fl. Ind. ed. 1832","2: 422","","1832"
kew-2644532,A,Thymelaeaceae,,Aquilaria,,"apiculata",,"","Merr.",Accepted,,M,WCSP (in review),776611,830815-1,"Philipp. J. Sci.","20: 411","","1922"
kew-2644533,A,Thymelaeaceae,,Aquilaria,,"baillonii",,"","Pierre ex Lecomte",Accepted,,M,WCSP (in review),776612,830816-1,"Fl. Indo-Chine","5: 179","","1915"
kew-2644534,A,Thymelaeaceae,,Aquilaria,,"banaense",,"","P.H.Hô",Accepted,,M,WCSP (in review),776613,,"Bull. Mus. Natl. Hist. Nat., B, Adansonia","8: 241","","1986"
tro-50314715,A,Thymelaeaceae,,Aquilaria,,"banaensis",,"","P.H. Hô",Accepted,,M,TRO,50314715,,"Bull. Mus. Natl. Hist. Nat., B","8(3): 241–242, pl. 1, f. 7–11","241","1986"
kew-2644536,A,Thymelaeaceae,,Aquilaria,,"beccariana",,"","Tiegh.",Accepted,,M,WCSP (in review),776615,830819-1,"Bull. Soc. Bot. France","40: 77","","1893"
