ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2615353,A,Violaceae,,Acentra,,"serrata",,"","Phil.",Accepted,,M,WCSP (in review),747758,,"Anales Univ. Chile","36: 161","","1870"
kew-2625547,A,Violaceae,,Agatea,,"lecointei",,"","Munzinger",Accepted,,M,WCSP (in review),757891,20000212-1,"Bot. J. Linn. Soc.","137: 93","","2001"
tro-50213532,A,Violaceae,,Agatea,,"lenorrnandi",,"","Melch.",Unresolved,,L,TRO,50213532,,"Nat. Pflanzenfam. (ed. 2)","21: 361","361","1925"
kew-2625548,A,Violaceae,,Agatea,,"longipedicellata",,"","(Baker f.) Guillaumin & Thorne",Accepted,,M,WCSP (in review),757892,866189-1,"Vasc. Pl. Coll. R.F.Thorne N. Caled.","38","","1965"
kew-2625549,A,Violaceae,,Agatea,,"macrobotrys",,"","K.Schum. & Lauterb.",Accepted,,M,WCSP (in review),757893,866190-1,"Fl. Schutzgeb. Südsee","453","","1900"
kew-2625550,A,Violaceae,,Agatea,,"pancheri",,"","(Brongn.) K.Schum. ex Melch.",Accepted,,M,WCSP (in review),757894,,"Nat. Pflanzenfam. ed. 2","21: 361","","1925"
kew-2625551,A,Violaceae,,Agatea,,"rufotomentosa",,"","(Baker f.) Munzinger",Accepted,,M,WCSP (in review),757895,20001720-1,"Bot. J. Linn. Soc.","137: 95","","2001"
kew-2625553,A,Violaceae,,Agatea,,"schlechteri",,"","Melch.",Accepted,,M,WCSP (in review),757897,866192-1,"Nat. Pflanzenfam. ed. 2","21: 361","","1925"
kew-2625554,A,Violaceae,,Agatea,,"veillonii",,"","Munzinger",Accepted,,M,WCSP (in review),757898,20000211-1,"Bot. J. Linn. Soc.","137: 91","","2001"
kew-2625556,A,Violaceae,,Agatea,,"violaris",,"","A.Gray",Accepted,,M,WCSP (in review),757900,,"U.S. Expl. Exped., Phan.","1: 619","","1854"
kew-2625943,A,Violaceae,,Agation,,"lenormandii",,"","Vieill. ex Guillaumin",Unresolved,,L,WCSP (in review),758287,866197-1,"Ann. Mus. Colon. Marseille","II, 9: 98","","1911"
kew-2628607,A,Violaceae,,Allexis,,"batangae",,"","(Engl.) Melch.",Accepted,,M,WCSP (in review),760920,866204-1,"Notizbl. Bot. Gart. Berlin-Dahlem","8: 655","","1924"
kew-2628608,A,Violaceae,,Allexis,,"cauliflora",,"","(Oliv.) Pierre",Accepted,,M,WCSP (in review),760921,866205-1,"Bull. Mens. Soc. Linn. Paris","n.s., 1: 25","","1898"
kew-2628609,A,Violaceae,,Allexis,,"obanensis",,"","(Baker f.) Melch.",Accepted,,L,WCSP (in review),760922,866206-1,"Notizbl. Bot. Gart. Berlin-Dahlem","8: 656","","1924"
kew-2628610,A,Violaceae,,Allexis,,"zygomorpha",,"","Achound. & Onana",Accepted,,M,WCSP (in review),760923,1004908-1,"Kew Bull.","53: 1009","","1998"
kew-2630750,A,Violaceae,,Alsodeia,,"ancuparia",,"","Welw. ex Buettn.",Unresolved,,L,WCSP (in review),762910,,"Verh. Bot. Vereins Prov. Brandenburg","31: 92","","1889"
tro-50068446,A,Violaceae,,Alsodeia,,"antifolia",,"","S. Moore",Unresolved,,L,TRO,50068446,,"Trans. Linn. Soc. London, Bot.","4(3): 308","308","1895"
kew-2630760,A,Violaceae,,Alsodeia,,"bengalensis",,"","Wall.",Unresolved,,L,WCSP (in review),762920,866218-1,"Trans. Med. Soc. Calcutta","7: 224","","1835"
kew-2630766,A,Violaceae,,Alsodeia,,"caledonica",,"","Turcz.",Unresolved,,L,WCSP (in review),762926,866226-1,"Bull. Soc. Imp. Naturalistes Moscou","36(1): 558","","1863"
kew-2630770,A,Violaceae,,Alsodeia,,"capillata",,"","King",Unresolved,,L,WCSP (in review),762930,866230-1,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.","58(2): 407","","1889"
kew-2630771,A,Violaceae,,Alsodeia,,"castaneifolia",,"","Spreng.",Unresolved,,L,WCSP (in review),762931,866231-1,"Syst. Veg.","4(2): 99","","1827"
kew-2630776,A,Violaceae,,Alsodeia,,"chrysodasys",,"","Miq.",Unresolved,,L,WCSP (in review),762936,866236-1,"Fl. Ned. Ind., Eerste Bijv.","390","","1861"
kew-2630781,A,Violaceae,,Alsodeia,,"convallarioides",,"","Baker f.",Unresolved,,L,WCSP (in review),762941,866242-1,"J. Linn. Soc., Bot.","40: 21","","1911"
kew-2630782,A,Violaceae,,Alsodeia,,"corylifolia",,"","Turcz.",Unresolved,,L,WCSP (in review),762942,866243-1,"Bull. Soc. Imp. Naturalistes Moscou","36(1): 559","","1863"
kew-2630786,A,Violaceae,,Alsodeia,,"cymulosa",,"","Miq.",Unresolved,,L,WCSP (in review),762946,866248-1,"Fl. Ned. Ind., Eerste Bijv.","116","","1860"
kew-2630789,A,Violaceae,,Alsodeia,,"dasyprysis",,"","Miq.",Unresolved,,L,WCSP (in review),762949,866250-1,"Fl. Ned. Ind., Eerste Bijv.","391","","1861"
